ReportTitle,Textbox95,Textbox80,Textbox81,Textbox82,Textbox83
QPR for FY 2023-24 National Institutions Oversight Performance  Report as of ( FY 2023-24),Location/s: National,InstitutionType:   National,"Institution:   Agriculture, Forestry and Fisheries (2015-2020), Agriculture, Land Reform and Rural Development, Auditor-General of South Africa, Basic Education, Centre for Public Service Innovation, Civilian Secretariat for the Police Service, Commission for the Promotion and Protection of the Rights of Cultural, Religious and Linguistic Communities, Commission on Gender Equality, Communication and Digital Technologies, Cooperative Governance",FinancialYear:   FY 2023-24,"Report Printed On:   Monday, September 11, 2023 1:28:58 PM"

Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,National_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,National_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,National_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,National_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,OTP_Summary,National_Summary,ValidatedAudited_Summary2,UID
,"Agriculture, Land Reform and Rural Development",National,Programme 1: Administration,Financial Management Services,Annually,1.1.1 Unqualified audit opinion,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,Unqualified audit opinion on the 2022/23 annual financial statements,,,,,,,,235
,"Agriculture, Land Reform and Rural Development",National,Programme 1: Administration,Financial Management Services,Quarterly,1.2.1 Percentage of valid invoices paid within 30 days upon receipt by the department,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",100 %,99 %,"n
Delay in submission of invoices by line function","Awareness on payment of invoices within 30 days will be republished on Departments' ICM.

Monitoring of weekly payments at hand.
 
Communication with the affected line function on the delay in submission of invoices to Finance
",,,100 %,,,,,,100 %,,,,,,100 %,,,,,,100 %,99 %,,,,,,,235
,"Agriculture, Land Reform and Rural Development",National,"Programme 2: Agricultural Production, Biosecurity and Natural Resources Management",Animal Production and Health,Quarterly,3.1.2 Number of animal disease risk surveillance conducted,Non-Standardized,Not  Applicable,"Vibrant, equitable, sustainable rural communities contributing towards food security for all","The Social Protection, Community and Human Development cluster","3 
animal disease risk surveillances conducted (CBPP, PPR and FMD)","
3 animal disease (CBPP, PPR and FMD)
 risk surveillances were conducted 


",n/a,n/a,,,"3 animal disease risk surveillances conducted (CBPP, PPR and FMD)",,,,,,"3 animal disease risk surveillances conducted (CBPP, PPR and FMD)",,,,,,"3 animal disease risk surveillances conducted (CBPP, PPR and FMD)",,,,,,"3 animal disease risk surveillances conducted (CBPP, PPR and FMD)",-,,,,,,,235
,"Agriculture, Land Reform and Rural Development",National,"Programme 2: Agricultural Production, Biosecurity and Natural Resources Management",Natural Resources and Disaster Management,Quarterly,2.2.1 Number of provinces with delineated protected agricultural areas (PAAs),Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",Spatial delineation - MP,"Spatial delineation for Mpumalanga (MP)  on grazing protected agricultural area (PAA) was done. 
",n/a,n/a,,,Spatial delineation - KZN,,,,,,Spatial delineation - GP,,,,,,"Spatial delineation - (MP, KZN and GP)",,,,,,"3 provinces with grazing PAAs (MP, KZN and GP)",-,,,,,,,235
,"Agriculture, Land Reform and Rural Development",National,"Programme 2: Agricultural Production, Biosecurity and Natural Resources Management",Natural Resources and Disaster Management,Quarterly,3.2.1 Number of subsistence producers supported with integrated bioenergy (biogas) technology,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",3,3,n/a,n/a,,,4,,,,,,3,,,,,,3,,,,,,13,3,,,,,,,235
,"Agriculture, Land Reform and Rural Development",National,"Programme 2: Agricultural Production, Biosecurity and Natural Resources Management",Plant Production and Health,Quarterly,2.1.1 Hemp Seed Certification Scheme developed,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Not Applicable,-,-,-,-,,,Stakeholder consultation,,,,,,Final Draft Hemp Seed Certification Scheme,,,,,,Hemp Seed Certification Scheme submitted to the minister for approval,,,,,,Hemp Seed Certification Scheme submitted to the minister for approval,-,,,,,,,235
,"Agriculture, Land Reform and Rural Development",National,"Programme 2: Agricultural Production, Biosecurity and Natural Resources Management",Plant Production and Health,Quarterly,3.1.1 Number of plant pest risk surveillances conducted,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Not Applicable,"3 plant pest risk surveillances conducted (Exotic fruit fly, citrus greening survey and BBTV )","3 plant pest risk surveillances  (Exotic fruit fly, citrus greening survey and BBTV) were conducted
",n/a,n/a,,,"3 plant pest risk surveillances conducted (Exotic fruit fly, citrus greening survey and BBTV )",,,,,,"3 plant pest risk surveillances conducted (Exotic fruit fly, citrus greening survey and BBTV )",,,,,,"3 plant pest risk surveillances conducted (Exotic fruit fly, citrus greening survey and BBTV )",,,,,,"3 plant pest risk surveillances conducted (Exotic fruit fly, citrus greening survey and BBTV )",-,,,,,,,235
,"Agriculture, Land Reform and Rural Development",National,"Programme 3: Food Security, Land Reform and Restitution",Food Security,Annually,5.1.1 Number of new students enrolled at agricultural training institutes,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,800,,,,,,,,235
,"Agriculture, Land Reform and Rural Development",National,"Programme 3: Food Security, Land Reform and Restitution",Land Redistribution and Tenure Reform,Quarterly,4.1.1 Number of CPAs Executive Committee members trained on governance,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",97,142,"The target was overachieved due to the interest on training that has been shown by members of CPAs across the country after oversight visits by executive members. Also, the interest of CPA members to develop management capacity within the association has contributed to the target being overachieved.",N/A,,,152,,,,,,212,,,,,,254,,,,,,715,142,,,,,,,235
,"Agriculture, Land Reform and Rural Development",National,"Programme 3: Food Security, Land Reform and Restitution",Land Redistribution and Tenure Reform,Quarterly,5.2.1 Number of farms supported through the Land Development Support Programme,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",11,0,"The Department is 
currently having an 
impasse with one of its 
commodity organizations
regarding its performance. 
Whilst this dispute is being 
attended to, the 
commodity organization 
then issued a 
communique to suspend 
its services. This 
negatively affected the 
project activities, including 
the development of 
Business plans for 
identified projects. ","New SLA has since been signed with RMIS (Red Meat Industry Services) on the 31 March 2023 to assist in this regard.
",,,18,,,,,,30,,,,,,7,,,,,,66,0,,,,,,,235
