ReportTitle,Textbox95,Textbox80,Textbox81,Textbox82,Textbox83
QPR for FY 2023-24 National Institutions Oversight Performance  Report as of ( FY 2023-24),Location/s: National,InstitutionType:   National,"Institution:   Correctional Services, Defence, Employment and Labour, Environment, Forestry and Fisheries, Financial and Fiscal Commission, Government Communication and Information System, Government Pension Administration Agency, Government Printing Works, Government Technical Advisory Center, Health",FinancialYear:   FY 2023-24,"Report Printed On:   Monday, September 11, 2023 1:31:52 PM"

Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,National_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,National_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,National_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,National_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,OTP_Summary,National_Summary,ValidatedAudited_Summary2,UID
,Government Printing Works,National,Corporate Services,Facilities Management,Quarterly,Percentage completion of Headquarters building,Non-Standardized,Not  Applicable,Not Applicable,Not Applicable,Preparation of Tender Documentation in collaboration with the DBSA as an implementing agent – Prepare and submit for Approval of BOQ & Tender Document,BOQ and the tender documentation concluded. Tender advertised through DBSA as implementing agent.,N/A,N/A,,,Project contractor appointed,,,,,,Construction project milestones implemented in line with the approved project plan,,,,,,Construction project milestones in line with the approved project plan (Practical Completion and handover),,,,,,"90%
refurbishment
of the GPW
Headquarters
building
completed",-,,,,,,,369
,Government Printing Works,National,Corporate Services,Human Resources,Quarterly,Change Management Strategy and implementation Plan,Non-Standardized,Not  Applicable,Not Applicable,Not Applicable,Change management strategy developed,Change Management Strategy Developed,N/A,N/A,,,Change Management Strategy submitted for approval,,,,,,Change Management Implementation Plan developed,,,,,,Change Management Implementation Plan submitted for approval,,,,,,"Change
Management
Strategy and
Implementation
Plan developed",-,,,,,,,369
,Government Printing Works,National,Corporate Services,Human Resources,Quarterly,Number of young people taken through Artisan and Graduate programmes,Non-Standardized,Not  Applicable,Not Applicable,Not Applicable,"Skills and areas of 
placement for the 2024/25 intake identified","Skills and areas of 
placement for the 2024/25 intake identified
",N/A,N/A,,,Artisan and Graduate skills development programme submitted for approval,,,,,,Artisan and Graduate skills development programme advertised and shortlisting completed,,,,,,20 unemployed young people and women recruited for Artisan and Graduate skills development programmes,,,,,,"20 unemployed
young people
recruited for
Artisan and
Graduate skills
development
programmes",-,,,,,,,369
,Government Printing Works,National,Corporate Services,Human Resources,Quarterly,Percentage of identified posts filed in line with the revised structure,Non-Standardized,Not  Applicable,Not Applicable,Not Applicable,20% of vacant positions filled in line with the recruitment plan,20% of vacant positions filled in line with the recruitment plan.,N/A,N/A,,,30% of vacant positions filled in line with the recruitment plan,,,,,,30% of vacant positions filled in line with the recruitment plan,,,,,,10% of vacant positions filled in line with the recruitment plan,,,,,,"90% of vacant
posts filled in
line with the
recruitment
plan",-,,,,,,,369
,Government Printing Works,National,Corporate Services,Human Resources,Quarterly,Percentage of total workforce trained as per the WSP identified priorities,Non-Standardized,Not  Applicable,Not Applicable,Not Applicable,10% of total workforce trained as per the WSP identified priorities,45% workforce trained as per WSP identified priorities.,The target was over achieved due to mandatory training recommended from the MRP report,N/A,,,25% of total workforce trained as per the WSP identified priorities,,,,,,25% of total workforce trained as per the WSP identified priorities,,,,,,10% of total workforce trained as per the WSP identified priorities,,,,,,"70% of total
workforce
trained as
per the WSP
identified
priorities",-,,,,,,,369
,Government Printing Works,National,Corporate Services,Information Communication and Technology,Quarterly,Percentage of the required capability for the GPW Information System and Digital Services Ecosystem Platform in line with Disaster Management Act and good governance,Non-Standardized,Not  Applicable,Not Applicable,Not Applicable,"Framework and 
reference Architecture for the building of GPW Information System and Digital Services Ecosystem Platform in line
with Disaster Management Act good governance","Framework and 
reference Architecture for the building of GPW Information System and Digital Services Ecosystem Platform in line
with Disaster Management Act good governance not achieved","Framework still needs to be presented to MANCO, EXCO and submitted for approval by the CEO.",Submitted to the Office of the accounting Officer for approval,,,10% of the required capability for the GPW Information System and Digital Services Ecosystem Platform in line with Disaster Management Act and good governance.,,,,,,20% of the required capability for the GPW Information System and Digital Services Ecosystem Platform in line with Disaster Management Act and good governance.,,,,,,30% of the required capability for the GPW Information System and Digital Services Ecosystem Platform in line with Disaster Management Act and good governance.,,,,,,"60% of the
required
capability
for the GPW
Information
System and
Digital Services
Ecosystem
Platform in line
with Disaster
Management
Act and good
governance.",-,,,,,,,369
,Government Printing Works,National,Corporate Services,Legal Services,Quarterly,Percentage of contracts (SLAs/MOU) drafted as per approved tender document,Non-Standardized,Not  Applicable,Not Applicable,Not Applicable,"100% contracts
(SLAs/MOU) drafted as per the approved tender document","100% (08) contracts
(SLAs/MOU) drafted as per the approved tender document",N/A,N/A,,,100% contracts (SLAs/MOU) drafted as per the approved tender document,,,,,,100% contracts (SLAs/MOU) drafted as per the approved tender document,,,,,,100% contracts (SLAs/MOU) drafted as per the approved tender document,,,,,,"100% contracts
(SLAs/MOU)
drafted as
per approved
tender
document",-,,,,,,,369
,Government Printing Works,National,Corporate Services,Security Services,Quarterly,Percentage implementation of the GPW security plan,Non-Standardized,Not  Applicable,Not Applicable,Not Applicable,100% implementation of the approved security management plan,100% implementation of the approved security management plan is not achieved,All four activities are still work in progress due to inadequate resources during the quarter under review,Quarter 1 activities will be finalized and reported before the end of the current financial year ,,,100% implementation of the approved security management plan,,,,,,100% implementation of the approved security management plan,,,,,,100% implementation of the approved security management plan,,,,,,"100%
implementation
of the approved
security
management
plan",-,,,,,,,369
,Government Printing Works,National,Corporate Services,Strategic Planning,Quarterly,Number of provincial group customer engagement sessions conducted,Non-Standardized,Not  Applicable,Not Applicable,Not Applicable,2 Provincial group customer engagement sessions conducted,2 provincial customer engagement conducted,N/A,N/A,,,3 Provincial group customer engagement sessions conducted,,,,,,3 Provincial group customer engagement sessions conducted,,,,,,Customer feedback submitted for consolidation in the SDIP,,,,,,"8 provincial
group customer
engagement
sessions
conducted",-,,,,,,,369
,Government Printing Works,National,Financial Services,Financial Services,Quarterly,Audit Outcome,Non-Standardized,Not  Applicable,Not Applicable,Not Applicable,Annual Financial Statements (AFS) for the 2022/23 financial year submitted to AGSA,Annual Financial Statements for 2022/23 were submitted to the AGSA by 31 May 2023.,N/A,N/A,,,Audited AFS included in the Annual Report 2022/23,,,,,,Tabling (inclusive of financial statements),,,,,,Unqualified audit opinion for 2022/23,,,,,,"Unqualified
audit opinion
for 2022/23",-,,,,,,,369
