ReportTitle,Textbox95,Textbox80,Textbox81,Textbox82,Textbox83
QPR for FY 2020-21 National Institutions Oversight Performance  Report as of ( FY 2020-21),Location/s: National,InstitutionType:   National,"Institution:   Agriculture, Forestry and Fisheries (2015-2020), Agriculture, Land Reform and Rural Development, Arts and Culture (2015-2020)",FinancialYear:   FY 2020-21,"Report Printed On:   Thursday, February 9, 2023 9:04:51 AM"

Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,National_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,National_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,National_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,National_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,OTP_Summary,National_Summary,ValidatedAudited_Summary2,UID
,"Agriculture, Land Reform and Rural Development",National,Programme 1.: Administration ,Programme 1.: Administration ,Quarterly,1.2.1 % valid invoices paid within 30 days upon receipt by the department,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,100%,65%,"65% of valid invoices were paid within 30 days, reason for deviation of 35% has not been provided",Not provided,,,100%,"88%(8355 out of 9443 received invoices were paid within 30 days).

Not Achieved
","Disruptions in the day to day operations as a result of the working arrangements as a result of the COVID pandemic.
The invoice tracking system not being fully utilized. Invoices not received at a central location
","Increased capacity under  COVID  level 1
The utilization of the invoice tracking system will be fully implemented. A circular with the training dates has been issued. The training will commence on 19 October 2020
Enforcing the utilization of the nodal point for receipt of all invoices
",,,100%,97%,"Disagreements with suppliers on the amounts invoiced to the department (MTN&DPW).
Disruptions in the day-to-day operations as a result of the working arrangements as a result of the Covid-19 pandemic.
","Constant engagements with suppliers in order to ensure that the problem are resolved and non-recurring.
Increase capacity.
",,,100%,94%,"Delays by provinces to submit delivery notes and Automotive (AM) forms to National Office for bulk procurement of laptops. Information Technology (IT) equipment waiting for verification by IT before invoices can be processed.
","Client offices together with contract management to work together to ensure that machines are collected immediately after the expired of the contract. To decentralise the procurement of similar nature to provinces to avoid similar challenges. To engage IT to come up with workable solution to avoid delays in  the verification of IT equipment.
",,,100%,-,86%,"Delays in submission of delivery notes and Automotive (AM) for bulk procurement of laptops. Delays in verification of Information Technology (IT) equipment before processing of invoices.

",,,,86,98
,"Agriculture, Land Reform and Rural Development",National,Programme 1.: Administration ,Programme 1.: Administration ,Quarterly,1.3.1 % compliance to performance management framework ,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,100%,0%,"The planned target was affected by the Department of Public Service and Administration (DPSA) circular for performance agreements to be submitted end of August 2020.
","Work will be concluded as per the DPSA’s circular.
",,,,This target has been discontinued ,Not Applicable,Not applicable,,,100%,,,,,,,N/A,N/A,N/A,,,100%,-,0%,The planned target was affected by the Department of Public Service and Administration (DPSA) circular for performance agreements to be submitted end of August 2020. ,,,,0,98
,"Agriculture, Land Reform and Rural Development",National,Programme 1: Administration,Programme 1: Administration,Annually,1.1.1 Unqualified audit opinion,Non-Standardized,Not  Applicable,"An efficient, effective and development-oriented public service",Governance and Administration cluster,,,,,,,,,,,,,,,,,,,,,,,,,Unqualified audit opinion (financial and non-financial performance),-,,N/A,N/A,,,Unqualified audit opinion was not obtained,98
,"Agriculture, Land Reform and Rural Development",National,Programme 1: Administration,Programme 1: Administration,Annually,1.1.1 Unqualified audit opinion,Non-Standardized,Not  Applicable,"An efficient, effective and development-oriented public service",Governance and Administration cluster,,,,,,,,,,,,,,,,,,,,,,,,,Unqualified audit opinion,-,Qualified audit opinion for 2019/20 (DAFF and DRDLR),"DAFF: The material finding under forestry’s biological assets resulted in a qualified audit opinion outcome 
","The responsibility is now with the Department of Environment, Forestry and Fisheries (DEFF)
",,,DAFF obtained a qualified and DRDLR unqualified audit opinion for 2019/20,98
,"Agriculture, Land Reform and Rural Development",National,"Programme 2.: Agricultural Production, Health, Food Safety, Natural Resources and Disaster Management ","Programme 2.: Agricultural Production, Health, Food Safety, Natural Resources and Disaster Management ",Annually,2.5.1 Area (ha) of cultivated fields changed from conventional to conservation agriculure practices,Non-Standardized,Not  Applicable,"Vibrant, equitable, sustainable rural communities contributing towards food security for all","The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,5000,0,13556.22,Availability of Conservation Agriculture implements to farmers enable for doing much more than initially targeted. These implements include four row no-till planters and boom sprayers that DALRRD procured and distributed to Provinces. ,N/A,,,13556.22,98
,"Agriculture, Land Reform and Rural Development",National,"Programme 2.: Agricultural Production, Health, Food Safety, Natural Resources and Disaster Management ","Programme 2.: Agricultural Production, Health, Food Safety, Natural Resources and Disaster Management ",Quarterly,2.1.1 Number of approved new plant varieties registered,Non-Standardized,Not  Applicable,"Vibrant, equitable, sustainable rural communities contributing towards food security for all",Not Applicable,-,,,,,,Report on new plant varieties evaluated,,,,,,Report on new plant varieties evaluated,"Report on 22 new plant varieties has been compiled 

",n/a,n/a,,,Report on 100 new plant varieties registered,50 new plant varieties registered for this quarter. A total of 180 new plant varieties have been registered for the 2020/21 financial year,More varieties were registered in the previous quarters compensating for underachievement of this quarter,The targets for this indicator was assessed and reviewed with strategic planning for the 2021/22 financial year.,,,100 New plant varieties registered,-,180,"The variance is because of the evaluation of ornamental plants that could not be evaluated in previous financial years due to seedlings that died and had to be re-planted and evaluated.
68 in Q2 and 12 for Q3. 


",,,,180,98
,"Agriculture, Land Reform and Rural Development",National,"Programme 2.: Agricultural Production, Health, Food Safety, Natural Resources and Disaster Management ","Programme 2.: Agricultural Production, Health, Food Safety, Natural Resources and Disaster Management ",Quarterly,2.1.1 Number of new plant varieties registered,Non-Standardized,Not  Applicable,"Vibrant, equitable, sustainable rural communities contributing towards food security for all","The Social Protection, Community and Human Development cluster",-,,,,,,Report on new plant varieties registered ,"Report on new plant varieties was compiled with 108 varieties registered.

Achieved
","Some of the ornamental plant varieties that were meant to be evaluated in previous seasons could not be evaluated mainly due to immature plant material provided by the applicants; in some cases, seedlings died and had to be replanted. This led to a backlog in evaluating ornamental plants, and the evaluations thereof were finalized in Quarter 2 of 2020/21, hence they were registered and had certificates issued in Q2
","Not applicable
",,,Report on new plant varieties registered ,,,,,,100 new plant varieties registered,N/A,N/A,N/A,,,100 new plant varieties registered,-,180,"The variance is because of the evaluation of ornamental plants that could not be evaluated in previous financial years due to seedlings that died and had to be re-planted and evaluated.
68 in Q2 and 12 for Q3. 
",,,,180,98
,"Agriculture, Land Reform and Rural Development",National,"Programme 2.: Agricultural Production, Health, Food Safety, Natural Resources and Disaster Management ","Programme 2.: Agricultural Production, Health, Food Safety, Natural Resources and Disaster Management ",Quarterly,2.1.1 Number of new plant varieties registration,Non-Standardized,Not  Applicable,"Vibrant, equitable, sustainable rural communities contributing towards food security for all","The Social Protection, Community and Human Development cluster",-,,,,,,Report on new plant varieties registered,"Report on new plant varieties was compiled with 108 varieties registered.
","Some of the ornamental plant varieties that were meant to be evaluated in previous seasons could not be evaluated mainly due to immature plant material provided by the applicants; in some cases, seedlings died and had to be replanted. This led to a backlog in evaluating ornamental plants, and the evaluations thereof were finalized in Quarter 2 of 2020/21, hence they were registered and had certificates issued in Q2
",Not applicable,,,Report on new plant varieties registered,,,,,,100 new plant varieties registered,N/A,N/A,N/A,,,100 new plant varieties registered,-,180,80 additional new plant varieties were registered.,,,,180,98
,"Agriculture, Land Reform and Rural Development",National,"Programme 2.: Agricultural Production, Health, Food Safety, Natural Resources and Disaster Management ","Programme 2.: Agricultural Production, Health, Food Safety, Natural Resources and Disaster Management ",Quarterly,2.1.1 Number of targeted plant taxa conserved ex situ,Non-Standardized,Not  Applicable,Protect and enhance our environmental assets and natural resources,Not Applicable,LDARD and farmers on consulted on collection missions,"Consultation with farmers was not done: Not Achieved
","Briefing sessions with farmers in targeted districts in Limpopo province could not be done due to Lock down regulations prohibiting travelling  between  provinces. 
","As the achievement of the annual target is dependent on Q1 activities, which could not be achieved, the directorate submitted a revised output indicator.
",,,Identified crops collected,Not applicable,Not applicable,Not applicable,,,Accessions processed,,,,,,"Ex situ collection of 2 targeted plant taxa expanded (amaranthus, cucurbits)","
N/A ",N/A,N/A,,,"Ex situ collection of 2 targeted plant taxa expanded (amaranthus, cucurbits)",-,"Consultations with farmers did not take place 

",Briefing sessions in Limpopo districts with LDARD farmers as targeted in quarter one could not take place as anticipated due to   lock down regulations prohibiting travelling between provinces made it impossible for intended briefing sessions with farmers to be held. ,,,,Consultations with farmers did not take place,98
,"Agriculture, Land Reform and Rural Development",National,"Programme 2.: Agricultural Production, Health, Food Safety, Natural Resources and Disaster Management ","Programme 2.: Agricultural Production, Health, Food Safety, Natural Resources and Disaster Management ",Quarterly,2.1.2 Number of indigenous animal conservation projects implemented,Non-Standardized,Not  Applicable,"Vibrant, equitable, sustainable rural communities contributing towards food security for all",Not Applicable,Farmers with indigenous goats in North West assessed,"Assessment was not done: Not Achieved
","Briefing sessions with farmers in targeted districts in North West province could not be done due to Lock down regulations prohibiting travelling  between  provinces
","As the achievement of the annual target is dependent on Q1 activities, which could not be achieved, the directorate submitted a revised output indicator.
",,,Training on conservation activities provided to  indigenous goat farmers,Not applicable,Not applicable,Not applicable,,,Location and population data compiled,,,,,,1 Indigenous Animal Conservation Projects implemented (indigenous goats in North West),N/A,N/A,N/A,,,1 Indigenous Animal Conservation Projects implemented (indigenous goats in North West),-,Assessments did not take place ,Lock down regulations prohibited travelling between provinces and made it impossible for intended assessments with farmers to be held.,,,,Assessments did not take place,98
