ReportTitle,Textbox95,Textbox80,Textbox81,Textbox82,Textbox83
QPR for FY 2023-24 National Institutions Oversight Performance  Report as of ( FY 2023-24),Location/s: National,InstitutionType:   National,"Institution:   Government Technical Advisory Center, Health, Higher Education and Training, Home Affairs, Human Settlements, Independent Communications Authority of South Africa, Independent Electoral Commission, Independent Police Investigative Directorate, International Relations and Cooperation, Justice and Constitutional Development",FinancialYear:   FY 2023-24,"Report Printed On:   Monday, September 11, 2023 1:33:53 PM"

Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,National_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,National_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,National_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,National_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,OTP_Summary,National_Summary,ValidatedAudited_Summary2,UID
,Government Technical Advisory Center,National,Programme 1:  Management and support services,Programme 1:  Management and support services,Quarterly,1.1.1 Unqualified audit opinion obtained,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,n/a,n/a,n/a,n/a,,,n/a,,,,,,Unqualified audit opinion,,,,,,n/a,,,,,,Unqualified audit opinion,-,,,,,,,460
,Government Technical Advisory Center,National,Programme 1:  Management and support services,Programme 1:  Management and support services,Quarterly,1.1.3 Percentage of invoices received and paid in 30 days,Standardized,Max,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,100 %,99.7 %,Underperformance is attributed to delays in signing-off two invoices.,The S&T invoice register is being checked on a weekly basis. An additional column was added to the RFQ register to follow up on invoices and payment dates.,,,100 %,,,,,,100 %,,,,,,100 %,,,,,,100 %,0 %,,,,,,,460
,Government Technical Advisory Center,National,Programme 2:  Technical and advisory services,Programme 2:  Technical and advisory services,Annually,2.1.1. Percentage of project appraisal reports completed,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,100 %,,,,,,,,460
,Government Technical Advisory Center,National,Programme 2:  Technical and advisory services,Programme 2:  Technical and advisory services,Annually,2.2.1 Percentage of approved institutional development support projects completed on time and within budget,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,100 %,,,,,,,,460
,Government Technical Advisory Center,National,Programme 2:  Technical and advisory services,Programme 2:  Technical and advisory services,Annually,2.4.1 Percentage of spending review capacity building Initiatives delivered,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,100 %,,,,,,,,460
,Government Technical Advisory Center,National,Programme 2:  Technical and advisory services,Programme 2:  Technical and advisory services,Quarterly,2.3.1 Number of PPP capacity-building events held,Standardized,Max,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",2,2,n/a,n/a,,,1,,,,,,2,,,,,,1,,,,,,6,2,,,,,,,460
,Government Technical Advisory Center,National,Programme 2:  Technical and advisory services,Programme 2:  Technical and advisory services,Quarterly,2.3.2 Number of memos submitted for consideration and approval by NT,Standardized,Max,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",1,3,Overperformance is attributed to completion of procurement ready projects ahead of the expected time frame. ,n/a,,,2,,,,,,1,,,,,,2,,,,,,6,3,,,,,,,460
,Government Technical Advisory Center,National,Programme 2:  Technical and advisory services,Programme 2:  Technical and advisory services,Quarterly,2.4.2 Number of remuneration reports completed,Standardized,Max,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",0 %,0 %,n/a,n/a,,,2 %,,,,,,0 %,,,,,,2 %,,,,,,4 %,0 %,,,,,,,460
,Independent Communications Authority of South Africa,National,Programme 1: Administration,Corporate Services,Annually,Amount of business intelligence gathered from analysis of integrated business systems data,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,460
,Independent Communications Authority of South Africa,National,Programme 1: Administration,Corporate Services,Quarterly,Value of communication services provided through monitoring of the media environment,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","The Economic Sectors, Employment and Infrastructure Development cluster",15 mill,"R23,480,424.67",Announcement of the pending Spectrum Auction as well the DTT migration announcement by the DCDT,None,,,15 mill,,,,,,15 mill,,,,,,15 mill,,,,,,15 mill,-,,,,,,,460
