ReportTitle,Textbox95,Textbox80,Textbox81,Textbox82,Textbox83
QPR for FY 2023-24 National Institutions Oversight Performance  Report as of ( FY 2023-24),Location/s: National,InstitutionType:   National,"Institution:   Traditional Affairs, Transport, Water and Sanitation, Women, Youth and Persons with Disabilities",FinancialYear:   FY 2023-24,"Report Printed On:   Monday, September 11, 2023 2:00:10 PM"

Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,National_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,National_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,National_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,National_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,OTP_Summary,National_Summary,ValidatedAudited_Summary2,UID
Traditional Affairs,Traditional Affairs,National,ADMINISTRATION,ADMINISTRATION,Quarterly,% of actions in  the Organisational  Performance Information  (OPIM) Compliance  Management Plan  implemented ,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster","Organisational 
Performance 
Information 
Compliance 
Management Plan 
approved

85% of actions in 
the organisational 
performance 
information Compliance 
Management Plan 
for the quarter 
Implemented 
","Achieved

100% of actions in the Organisational Performance Information Compliance Management Plan for the quarter were implemented

","The Department strives for full compliance, which is, the implementation of 100% of actions in the Organisational Performance Information Compliance Management Plan",N/A,,,"85% of actions in 
the organisational 
performance 
information Compliance 
Management Plan 
for the quarter 
Implemented ",,,,,,"85% of actions in 
the organisational 
performance 
information Compliance 
Management Plan 
for the quarter 
Implemented ",,,,,,"85% of actions in 
the organisational 
performance 
information Compliance 
Management Plan 
for the quarter 
Implemented ",,,,,,"85% of actions in 
the organisational 
performance 
information Compliance 
Management Plan 
for the quarter 
Implemented",-,,,,,,,268
Traditional Affairs,Traditional Affairs,National,ADMINISTRATION,ADMINISTRATION,Quarterly,% of actions in the CFM  compliance management  plan implemented,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster","CFM Compliance 
Management Plan 
approved

85% of actions in the 
CFM Compliance 
Management Plan 
for the quarter 
implemented
","CFM Compliance 
Management Plan was
approved

100% of actions in the 
CFM Compliance 
Management Plan 
for the quarter were
implemented
","The Department strives for full compliance, which is, the implementation of 100% of actions in the CFM Compliance
Management Plan
",N/A,,,"85% of actions in the 
CFM Compliance 
Management Plan 
for the quarter 
implemented",,,,,,"85% of actions in the 
CFM Compliance 
Management Plan 
for the quarter 
implemented",,,,,,"85% of actions in the 
CFM Compliance 
Management Plan 
for the quarter 
implemented",,,,,,"85% of actions in the 
CFM Compliance 
Management Plan 
for the quarter 
implemented
",-,,,,,,,268
Traditional Affairs,Traditional Affairs,National,ADMINISTRATION,ADMINISTRATION,Quarterly,% of DTA employees trained through various interventions,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",Training Plan Approved,Training Plan was approved,N/A,N/A,,,-,,,,,,-,,,,,,60%,,,,,,60%,-,,,,,,,268
Traditional Affairs,Traditional Affairs,National,ADMINISTRATION,ADMINISTRATION,Quarterly,% of actions in the Organisational Performance Information (OPIM) Compliance  Management Plan  implemented ,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Not Applicable,0 %,0 %,0,0,,,0 %,,,,,,0 %,,,,,,0 %,,,,,,0 %,0 %,,,,,,,268
Traditional Affairs,Traditional Affairs,National,ADMINISTRATION,ADMINISTRATION,Quarterly,% of actions in the CFM compliance management plan implemented,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Not Applicable,0 %,0 %,0,0,,,0 %,,,,,,0 %,,,,,,0 %,,,,,,0 %,0 %,,,,,,,268
Traditional Affairs,Traditional Affairs,National,ADMINISTRATION,ADMINISTRATION,Quarterly,% of DTA employees trained through various interventions,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Not Applicable,0 %,0 %,0,0,,,0 %,,,,,,0 %,,,,,,0 %,,,,,,0 %,0 %,,,,,,,268
Traditional Affairs,Traditional Affairs,National,ADMINISTRATION,ADMINISTRATION,Quarterly,Number of reports on anti GBVF Interventions within the Traditional Affairs  sector developed,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Not Applicable,1,1,N/A,N/A,,,1,,,,,,1,,,,,,1,,,,,,1,1,,,,,,,268
Traditional Affairs,Traditional Affairs,National,"PROGRAMME 2: RESEARCH, POLICY AND LEGISLATION","PROGRAMME 2: RESEARCH, POLICY AND LEGISLATION",Annually,% of received applications for traditional leadership recognition finalised within six months of receipt,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268
Traditional Affairs,Traditional Affairs,National,"PROGRAMME 2: RESEARCH, POLICY AND LEGISLATION","PROGRAMME 2: RESEARCH, POLICY AND LEGISLATION",Annually,% of received traditional leadership disputes resolved,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268
Traditional Affairs,Traditional Affairs,National,"PROGRAMME 2: RESEARCH, POLICY AND LEGISLATION","PROGRAMME 2: RESEARCH, POLICY AND LEGISLATION",Annually,% reduction in the number of illegal customary initiation schools,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268
