ReportTitle,Textbox95,Textbox80,Textbox81,Textbox82,Textbox83
QPR for FY 2023-24 National Institutions Oversight Performance  Report as of ( FY 2023-24),Location/s: National,InstitutionType:   National,"Institution:   Statistics South Africa, Telecommunications and Postal Services (2015-2020), The Presidency, Tourism, Trade, Industry and Competition",FinancialYear:   FY 2023-24,"Report Printed On:   Monday, September 11, 2023 1:58:39 PM"

Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,National_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,National_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,National_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,National_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,OTP_Summary,National_Summary,ValidatedAudited_Summary2,UID
,"Trade, Industry and Competition",National,Progamme 4:Sectors,Progamme 4:Sectors,Quarterly,Value of investment facilitated,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",R400m,"R714M;
Veer  
R400M
Aerospace (6 companies)  – R5,538M; 
Evergreen - R80M
CTFL - R6.6M. Two Companies: Senza Clothing (Pty) Ltd. R1.27M and Amanda Laird R5.34M
Agro-Processing: SAPA: R220M (Rainbow Chicken Hammarsdale Plant) (Plant Opening on 28 August 2023)
SAFI – R1.7M 
Opening: R714M
Metals: Velocity Venture – aluminum ingots and rod – R120M (in collaboration with ISA - SAIC","Regular Monitoring of investments pledged
",N/A,,,R400m,,,,,,R300m,,,,,,"R400m

",,,,,,R1.5bn,-,,,,,,,366
,"Trade, Industry and Competition",National,Progamme 4:Sectors,Progamme 4:Sectors,Quarterly,Value (Rand) of additional local output committed or achieved,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",R1bn,"R229 000 000 
secured from;
Chemicals R60M:  Company 1: Afrizonke (R15M)  & Company 2: Chemcor (R45M) 
Plastics R135M: Company 1: SRF Flexipack (R130M) & Company 2: Techofuel (R5M) 
Primary minerals R30M: Company1Polarium(R30M) 
Poultry (R3.9M): Local  production added from 185 000 birds to 300 000 = 115 000 @ R34/birds   
Total: R229 000 000 
","Inability of firms to confirm accurate localization data
","Intensive engagements with stakeholders on localization
",,,R1bn,,,,,,R250m,,,,,,"R250m

",,,,,,R2.5bn,-,,,,,,,366
,"Trade, Industry and Competition",National,Progamme 4:Sectors,Progamme 4:Sectors,Quarterly,Value of exports in manufacturing sectors,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",R100m,"R521.4M secured from;
• Cosmetics - In-Cosmetics Global 2023 in Spain, Export orders signed by Natural Ingredients producers at the stands amounted to R1 438 060 with 556 trade leads collected by the companies; April 2023.
• Raw sugar exports (April 2023) – SASSA (Source: SARS/Quantec) 
","Regular monitoring of sector 
interventions and increased stakeholder engagements
",N/A,,,R100m,,,,,,R50m,,,,,,"R160m

",,,,,,R410m,-,,,,,,,366
,"Trade, Industry and Competition",National,Progamme 4:Sectors,Progamme 4:Sectors,Quarterly,Value of exports in manufacturing sectors to Africa,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",R25m,"R430 000 
","No targeted programme for Africa Regional Development
","Increased engagements with exporters into Africa
",,,R25m,,,,,,R10m,,,,,,"R33m


",,,,,,R93m,-,,,,,,,366
,"Trade, Industry and Competition",National,Progamme 4:Sectors,Progamme 4:Sectors,Quarterly,Number of jobs supported,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",600 000,"614 159 jobs supported through the following sectors: 
Poultry and Sugar - 132 000; Autos –  53137 
CTFL – 86612 manufacturing + 120 000 retail; Furniture Masterplan – 22 000; 
Steel Masterplan - 219 457. 
","Regular monitoring of industry interventions and increased stakeholder engagements
",N/A,,,600 000,,,,,,"600 000
",,,,,,"600 000
",,,,,,600 000,-,,,,,,,366
,"Trade, Industry and Competition",National,Progamme 4:Sectors,Progamme 4:Sectors,Quarterly,Number of jobs to be created through the dtic programmes: • 50 000 social economy fund part-time or temporary job opportunities; • 50 000 full-time jobs,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",400,"1 836 jobs created through the following sectors: 
Primary Minerals: 550 Scaw Metals, 
Angi Steel, Polarium Veer Metals 800,
Velocity Ventures 250 jobs to be created at full production
Plastics: 8
CTFL: 115 
Electro technical: 20 (ABB South Africa)
Medical devices: 10 new jobs created and an additional 50 is proposed to be created as a result of the new manufacture operations(Evergreen Latex)
National Industrial Participation Programme: 93
","Regular monitoring of industry interventions and increased stakeholder engagements
",N/A,,,400,,,,,,"250
",,,,,,"409

",,,,,,1 459,-,,,,,,,366
,"Trade, Industry and Competition",National,Progamme 4:Sectors,Progamme 4:Sectors,Quarterly,Number of jobs in Black industrialist firms supported by the dtic group,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",1 000,"526 jobs in black industrialist firms
",Low monitoring of black-owned business in sectors,"Increased sector interventions amongst  black 
industrialists",,,1 000,,,,,,1 500,,,,,,"1 500

",,,,,,5 000,-,,,,,,,366
,"Trade, Industry and Competition",National,Progamme 4:Sectors,Progamme 4:Sectors,Quarterly,Publishing of regulations when necessary and expedited publishing of energy efficiency compulsory specifications.,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",1,"2 compulsory
Specifications submitted i.e.;

General Service Lamps were published in the Government Gazette on 23 May 2023.; and
Submission on the amendment of the Compulsory Specification for Electrical and Electronic Appliances was submitted .
","
Increased and regular monitoring of sector interventions
"," 
N/A",,,1,,,,,,1,,,,,,"1

",,,,,,4,-,,,,,,,366
,"Trade, Industry and Competition",National,Progamme 4:Sectors,Progamme 4:Sectors,Quarterly,"Priority legislation amended, tabled or submitted to Executive Authority, Cabinet or Parliament",Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",Nil,"Submission of NBR Act finalised and submitted
","Ministerial intervention that had to be expedited 
",N/A,,,Nil,,,,,,Nil,,,,,,"1

",,,,,,1,-,,,,,,,366
,"Trade, Industry and Competition",National,Progamme 4:Sectors,Progamme 4:Sectors,Quarterly,High impact trade and climate change strategy and advocacy,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster","Assessment of 
existing carbon policy and trading 
elements","Assessment of existing carbon policy and trading elements 
",N/A,N/A,,,"Analyse 
potential mitigation strategies",,,,,,"Stakeholder 
engagements workshops on draft strategy and action
plan
",,,,,,"Finalisation of

strategy and action plan on Carbon Boarder Adjustment Mechanisms",,,,,,"Strategy and action
 plan for South Africa’s engagement with the EU on Carbon Border Adjustment Mechanisms",-,,,,,,,366
,"Trade, Industry and Competition",National,Progamme 4:Sectors,Progamme 4:Sectors,Quarterly,Increase in Green industrialisation and energy efficiency,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",Nil,"Work on the EV 
Road Map is ongoing: Inter-departmental engagements between DTIC & NT are seized with finalizing a support framework and quantum. 
Autos: A Road Map working document (first draft). The dtic response report to NT on the NEV proposal.
Net benefit analysis of the NEV incentive package. A meeting with Technical Task Team was held on 07 June 2023, to discuss progress to-date and way forward.
13/06/2023 – Interdepartmental Work stream meeting was held between DTIC, NT and IDC. The outline of the different support measures was discussed and how the teams will work together, a timeline was set from June to August 2023 to complete the funding proposals.
","Ministerial intervention that had to be expedited 
",N/A,,,Nil,,,,,,"Nil
",,,,,,"1
",,,,,,1,-,,,,,,,366
,"Trade, Industry and Competition",National,Progamme 4:Sectors,Progamme 4:Sectors,Quarterly,Green Hydrogen commercialisation framework implemented,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster","Assessment of 
comments received by stakeholders","The Green Hydrogen Commercialisation Strategy was updated in June 2023 to include the public comments received. The socio-economic impact assessment was updated.
Green Hydrogen  commercialisation strategy presented to DG ESIEID Cluster and was approved for submission to Cabinet in July 2023. 
",N/A,N/A,,,"Stakeholder 
engagements and finalisation of comments",,,,,,"Development of 
draft Green Commercialisation
framework
",,,,,,"Implementation of 

Green Hydrogen Commercialisation
framework
",,,,,,1,-,,,,,,,366
