Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,UID
,Mineral Resources and Energy,National,Programme 1: Administration,Programme 1: Administration,Quarterly,% Reduction of irregular expenditure compared to prior year,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",No incidences of irregular expenditure and reporting of identified cases requiring investigation,Achieved: No incidents of irregular expenditure incurred in the period under review.,,,No incidences of irregular expenditure and reporting of identified cases requiring investigation,Not achieved ,Payment of a service provider without an addendum to the original contract ,Management to seek advice from Legal Services regarding the contract .,No incidences of irregular expenditure and reporting of identified cases requiring investigation,"Achieved: No new identified irregular expenditure for Q3.
",None,None,100% Reduction of irregular expenditure compared to prior year,Achieved ,,,100% Reduction of irregular expenditure compared to prior year,-,Achieved,Irregular expenditure disclosed in the current year relates to the payment of continuous contract that were found to be irregular and are not yet condoned,N/A,"Not Achieved 99,6%   was achieved.                  ",224
,Mineral Resources and Energy,National,Programme 1: Administration,Programme 1: Administration,Quarterly,% Reduction of Wasteful and fruitless expenditure compared to prior year,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster","No incidents of wasteful and fruitless expenditure, reporting of identified cases requiring investigation",Achieved: No incidents of wasteful and fruitless expenditure cases were reported in the period under review.,,,"No incidents of wasteful and fruitless expenditure, reporting of identified cases requiring investigation",Not achieved ,7 incidents of wasteful and fruitless expenditure were reported,Communication sessions to appraise end users will be conducted ,"No incidents of wasteful and fruitless expenditure, reporting of identified cases requiring investigation",Achieved: No incident reported in Q3 ,None,None,100% Reduction of Wasteful and fruitless expenditure compared to prior year,Achieved ,,,100% Reduction of Wasteful and fruitless expenditure compared to prior year,-,"Not Achieved
99.95% was achieved owing to historical Wasteful and Fruitless expenditure transactions 
",Fruitless and wasteful expenditure disclosed in the current year relates to historical events that require continued disclosure. ,Fruitless and wasteful expenditure disclosed in the current year relates to historical events that require continued disclosure. ,"Not Achieved
99.95% was achieved owing to historical Wasteful and Fruitless expenditure transactions 
",224
,Mineral Resources and Energy,National,Programme 1: Administration,Programme 1: Administration,Quarterly,% Resolution of reported incidents of corruption,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",Implement the integrated Anti-fraud and Corruption Strategy and policy,No allegations of suspected fraudulent and/or corrupt activities were reported during the period under review,,,Implement the integrated Anti-fraud and Corruption Strategy and policy,Achieved: No cases have been reported. ,N/A,N/A,Implement the integrated Anti-fraud and Corruption Strategy and policy,"Achieved:  No reported incidents of Corruption for the quarter
",None,None,95% Resolution of reported incidents of corruption,Achieved,,,95% Resolution of reported incidents of corruption,-,"100% Achieved 
No reported incidents of corruption
",N/A,N/A,"100% Achieved, 
No reported incidents of corruption
",224
,Mineral Resources and Energy,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Number of approved Schedule 3A SOE Annual Performance Plans tabled in Parliament,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",N/A,,,,N/A,,,,N/A,,,,7 Approved Schedule 3A SOE’s Annual Performance Plans tabled in Parliament,Achieved,,,7 Approved Schedule 3A SOE’s Annual Performance Plans tabled in Parliament ,-,"Achieved 
7 Approved Schedule 3A SOE’s Annual Performance Plans were tabled in Parliament 
",N/A,N/A,"Achieved 
7 Approved Schedule 3A SOE’s Annual Performance Plans were tabled in Parliament 
",224
,Mineral Resources and Energy,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Number of approved Shareholder compacts and Corporate Plans of Schedule 2 SOEs,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",N/A,,,,N/A,,,,N/A,,,,"4 Approved Shareholder compacts and Corporate Plans of Schedule
2 SOEs 
",Achieved,,,"4 Approved Shareholder compacts and Corporate Plans of Schedule
2 SOEs 
",-,"Not achieved 
",There were delays in submission of on requested clarification on budget allocation and targets by relevant stakeholders,"All 4 Shareholder compacts and Corporate Plans of Schedule
2 SOEs were produced and  approved after the end of the financial year.
","Not Achieved

",224
,Mineral Resources and Energy,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Number of SOEs Annual Reports tabled in Parliament,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",N/A,,,,11 SOEs Annual Reports tabled in Parliament,Not Achieved. 10 Annual Reports were submitted to Parliamentary Liaison Officer for tabling. ,,,N/A,,,,N/A,,,,11 SOEs Annual Reports tabled in Parliament,-,11 SOEs Annual Reports tabled in Parliament,N/A,N/A,11 SOEs Annual Reports tabled in Parliament,224
,Mineral Resources and Energy,National,Programme 1: Administration,Programme 1: Administration,Quarterly,"Number of SOEs Quarterly performance Reports reviewed, and Ministerial submissions produced ",Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster","11 SOEs Quarterly performance Reports reviewed, and Ministerial submissions produced ","Partially achieved. 9/11 quarterly reports submissions produced within required timeframe (SDT, NRWDI, NERSA, CEF, NNR, MHSC, Mintek, SADPMR, SANEDI)",2/11 submissions not completed within the required timeframe due to delays internally on the finalisation of Necsa and CGS submissions,Improvement in producing quarterly submissions within the required timeframe,"11 SOEs Quarterly performance Reports reviewed, and Ministerial submissions produced ","Not achieved. 8/11 submissions drafted and routed for Ministerial approval (SADPMR, MHSC, SANEDI, NERSA, SDT, NRWDI, CGS and CEF)","Due to challenges in securing dates for review meetings with SOE  Executives and detailed internal analysis review processes which took longer than anticipated, 3 submissions could not be finalized by the 30 September due date","Necsa, NNR, and Mintek will be finalized during the first week of October 2022","11 SOEs Quarterly performance Reports reviewed, and Ministerial submissions produced ","Achieved: 11/11 quarter 2 reports of SOE's Ministerial submissions produced 
",None,None,"11 SOEs Quarterly performance Reports reviewed, and Ministerial submissions produced ",Achieved,,,"44 SOEs Quarterly performance Reports reviewed, and Ministerial submissions produced ",-,"Not Achieved 
43 SOEs Quarterly performance Reports reviewed, and Ministerial submissions produced 
",1 Quarterly report was not submitted,N/A,"Not Achieved 
43 SOEs Quarterly performance Reports reviewed, and Ministerial submissions produced 
",224
,Mineral Resources and Energy,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage of approved invoices from service providers paid within 30 days of receipt,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",100% Approved invoices from service providers paid within 30 days of receipt,"Partially Achieved:
Out of a total number of 395 invoices received,  389 invoices were paid within 30 days.",98 % invoices paid within 30 days. ,There is a co-dependency on branches to verify and sign off the invoices speedily for payment. Constant communication in this regard is made with end users.,100% Approved invoices from service vice providers paid within 30 days of receipt,Not achieved: 99% Approved invoices from service providers paid within 30 days of receipt,Budget Managers delayed the approval of invoices,Continuous information sessions and consequence management will be implemented.,100% Approved invoices from service vice providers paid within 30 days of receipt,"Achieved: 100% (389) Invoices amounting to R 79 159 007,68 were paid within 30 days of receipt. 
",None,None,100% Approved invoices from service providers paid within 30 days of receipt,"Achieved: 542 invoices received, and all paid before 30 days ",,,100% Approved invoices from service providers paid within 30 days of receipt,-,"Not Achieved
99% of approved invoices were paid within 30 days of receipt by finance",Delays in submitting invoices by process owners within stipulated timeframes.,N/A,"Not Achieved
99% of approved invoices were paid within 30 days of receipt by finance
",224
,Mineral Resources and Energy,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Receipt of an unqualified audit opinion for the year under review,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",N/A,,,,Receipt of an unqualified audit opinion for the year under review,Not achieved ,Not yet due,N/A, N/A,,,, N/A,,,,Receipt of an unqualified audit opinion for the year under review,-,Awaiting AGSA audit outcomes,N/A,N/A,Achieved,224
,Mineral Resources and Energy,National,Programme 2: Minerals and Petroleum Regulation (MPR),Programme 2: Minerals and Petroleum Regulation (MPR),Quarterly,Number of Environmental Inspections conducted,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",319,Partially Achieved: 277 Environmental inspections were conducted ,EC and MP conducted fewer inspections and they will catch up in the next quarter/s,,319,Achieved: 402 Environmental Inspections were conducted,More inspections were conducted to finalize closure applications,N/A,319,"Not Achieved: 313 Environmental inspections were conducted.
","The quarter target was not achieved but the accumulative target has been achieved (Q3 target 957, Q3 actual 990). 
","This target will be achieved in the next quarter.
",318,Achieved: 387 Environmental inspections were conducted ,Over achievement is as a result of addressing shortfalls in the previous quarters,,1 275,-,Achieved: 1400 Environmental inspections were conducted,"More inspections were prompted by amendments of Environmental Authorization, complaints and follow ups on compliance notices issued.",N/A,Achieved: 1400 ,224
,Mineral Resources and Energy,National,Programme 2: Minerals and Petroleum Regulation (MPR),Programme 2: Minerals and Petroleum Regulation (MPR),Quarterly,Number of fuel samples Tested ,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",270,Partially Achieved: 260 fuel samples were tested,The loss of a vehicle of one of the inspectors in one of the Regions contributed to the under achievement. ,,270,Achieved: 287 fuel samples were tested. ,Addional samples i.e 17 were collected and sampled to make up the shortfall of 10 samples during Q1; and 7 more due to rise in fuel quality complaints.,N/A,270,"Not Achieved: 253 fuel samples were tested.
","253 (270 - 17) fuel samples were collected and tested. There was a deficit of 17 samples due to surplus of 21 from the second quarter. Lastly, the Department contracted a service provider to collect and test fuel samples annually thus the numbers had to be distributed evenly.
","This target will be achieved in the next quarter.
",270,Achieved: 279 fuel samples were tested ,Over achievement is as a result of addressing shortfalls in the previous quarters,,1 080 ,-,Achieved: 1083 fuel samples were tested,The Department conducted more inspections,N/A,Achieved: 1083 ,224
,Mineral Resources and Energy,National,Programme 2: Minerals and Petroleum Regulation (MPR),Programme 2: Minerals and Petroleum Regulation (MPR),Quarterly,Number of jobs to be enabled through the issuing of mining rights ,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",1 000,Partially Achieved: 928 jobs were enabled through the issuing of mining rights,"WC, LP and GP didn’t issue any mining right during the quarter. ",,1 000,Achieved: 2389 jobs were enabled through the issuing of mining rights. Last quarter was 928. ,A number of mining companies responded positively to the invitation to come forward for execution of mining rights.,N/A,1 000,"Achieved: 2174 jobs were enabled through the issuing of mining rights.
","Target overachieved by 1174. A number of mining companies responded positively to the invitation to come forward for execution of mining rights.
",None,1 000,Achieved: 1457 jobs were enabled through the issuing of mining rights,A number of mining companies responded positively to the invitation to come forward for execution of mining rights.,,4 000 ,-,Achieved: 6977 jobs were enabled through the issuing of mining right ,Several mining companies responded positively to the invitation for execution of their rights,N/A,"Achieved:
 6977 
",224
,Mineral Resources and Energy,National,Programme 2: Minerals and Petroleum Regulation (MPR),Programme 2: Minerals and Petroleum Regulation (MPR),Quarterly,Number of legal compliance inspections (mineral laws-MLA) conducted ,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",37,Achieved: 52 Legal compliance inspections were conducted,Some companies inspected have more than one right,,38,Achieved: 38 Legal Compliance inspections were conducted,N/A,N/A,38,"Achieved: 49 Legal Compliance inspections were conducted.
","Additional inspection are were conducted due to Audit findings.
",None,37,Achieved: 40 Legal compliance inspections were conducted ,Over achievement is as a result of addressing shortfalls in the previous quarters,,150,-,Achieved: 179 Legal compliance inspections were conducted ,More inspections were conducted due to audit findings and verification of non-operational mines. Some companies inspected held more than one right.,N/A,Achieved: 179 ,224
,Mineral Resources and Energy,National,Programme 2: Minerals and Petroleum Regulation (MPR),Programme 2: Minerals and Petroleum Regulation (MPR),Quarterly,Number of Mining Economics (MWP/PWP) inspections conducted,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",125,Achieved: 126 Mining Economics (MWP/PWP) inspections were conducted,Over achieved by one inspection,,125,Not Achieved: 122 inspections were conducted. ,The GP Regional office redirect resources to deal with the evaluation of applications (MWP and PWP) . ,More inspections will be conducted in the next quarter ,125,"Achieved: 134 Mine Economics inspection were conducted.
","Over achievement is as a result of addressing shortfalls in the previous quarters.
",None,125,Achieved: 143 Mine Economics inspections were conducted ,Over achievement is as a result of addressing shortfalls in the previous quarters,,500,-,"Achieved: 531 Mine Economics inspections were conducted 
","More inspections were conducted to process ancillary applications (sec 102 renewals and sec 20 application) and complaints 
",N/A,Achieved: 531 ,224
