Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Cluster,DesiredPerformance,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q2,CorrectiveAction_Q2,UID
,"Trade, Industry and Competition",National,Progamme 4:Sectors,Progamme 4:Sectors,Quarterly,% Increase localisation in both public and private sectors through key sectoral interventions,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",20% Increase localisation in both public and private sectors through key sectoral interventions,,,,,,,"10% Increase 
localisation in both public and private sectors through key sectoral interventions",R1 467 660.00 ,"Fewer companies reported on this indicator in this quarter
","Increased  engagements with stakeholders on localisation

","10% Increase
 localisation in both public and private sectors through key sectoral interventions","R1 105 223 784.00 derived from the following:
Aerospace & Defense local industrial output:  R9 512 000 
CCPP(Afro Zonke): R100 000 000
Electro-Tech: R2 100 000
Industrial Procurement : R489 839 000
NIPP: R503 772 784

Note: - 31% of R1 607 400 of quarterly  
","Slow economic growth resulting in low localisation value reported by companies
","Branch will endeavor to engage more companies in order to increase the value of localisation reported
",20% Increase localisation in both public and private sectors through key sectoral interventions,-,,,,,,,300
,"Trade, Industry and Competition",National,Progamme 4:Sectors,Progamme 4:Sectors,Quarterly,Develop and implement a  Regional Critical Minerals (RCM) Strategy and funding proposal  in partnership with the Department of Minerals and Petroleum  ,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",Develop and implement a  Regional Critical Minerals (RCM) Strategy and funding proposal  in partnership with the Department of Minerals and Petroleum  ,,,,,,,"Stakeholder engagemen
t  towards the development of a  draft Regional Critical Minerals (RCM) Strategy  Framework in partnership with the Department of Minerals and Petroleum  ","Draft Regional Critical Minerals (RCM) Strategy  Framework was revised following the presentation to Economic cluster and Cabinet.

",N/A,N/A ,"Development of a draft Regional Critical Minerals (RCM) Strategy  

Funding proposal and implementation plan of the Regional Critical Minerals (RCM) Strategy  Framework in partnership with the Department of Minerals and Petroleum  
","Draft Regional Critical Minerals (RCM) Strategy developed

The draft Regional Critical Minerals Strategy document has informed the dtic inputs into the following processes:
the National Critical Minerals Strategy- led by the Department of Mineral Resources and Energy, 
Development of the Continental Critical Mineral’s Strategy- through led by the Department of International Relations and Cooperation (DIRCO)
",N/A,N/A,Develop and implement a  Regional Critical Minerals (RCM) Strategy and funding proposal  in partnership with the Department of Minerals and Petroleum  ,-,,,,,,,300
,"Trade, Industry and Competition",National,Progamme 4:Sectors,Progamme 4:Sectors,Quarterly,Development of National  industrial policy ,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",Development of a draft National Industrial Policy,,,,,,,"Conduct research to
 inform the National Industrial Policy Framework

Stakeholder engagement workshops
","Conducted research to inform the National Industrial Policy Framework
Held stakeholder engagement workshops with different industries

Produced draft document for further consultations 


",N/A ,N/A ,"Draft National 
Industrial Policy Framework developed and submitted to the Accounting Office","Draft National Industrial
Policy developed and
submitted to the Accounting
Officer
",N/A,N/A,Development of a draft National Industrial Policy,-,,,,,,,300
,"Trade, Industry and Competition",National,Progamme 4:Sectors,Progamme 4:Sectors,Quarterly,Establishment of a Decarbonisation Project Coordination Office,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",Establishment of a Decarbonisation Project Coordination Office,,,,,,,Identification of resources towards the establishment of a Decarbonisation Strategy,"Identification of resources towards the establish 
ment of a Decarbonisation Strategy


Note: This is described within the project plan under Project governance
",N/A ,N/A ,"Approval of a 
Decarbonisation Project Coordination Office","Resources will be provided internally at the dtic. 
",N/A,N/A,Establishment of a Decarbonisation Project Coordination Office,-,,,,,,,300
,"Trade, Industry and Competition",National,Progamme 4:Sectors,Progamme 4:Sectors,Quarterly,Finalisation of a decarbonisation strategy for the industry  ,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",Finalisation of a decarbonisation strategy for the industry by Cabinet,,,,,,,Stakeholder engagement  and project plan development towards the  implementation of  a draft decarbonisation strategy,"Stakeholder engagements held and project plan towards the implementation of  a draft decarbonisation strategy was developed

",N/A ,N/A ,"Finalisation of a 
decarbonisation strategy for the industry  ","Draft Industry Decarbonisation Strategy submitted
",N/A,N/A,Finalisation of a decarbonisation strategy for the industry by Cabinet,-,,,,,,,300
,"Trade, Industry and Competition",National,Progamme 4:Sectors,Progamme 4:Sectors,Quarterly,Hemp and Cannabis Commercialization Policy approved ,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",Approved  of Hemp and Cannabis Commercialization Policy,,,,,,,"Draft Hemp and 
Cannabis Commercialization Policy","Draft Commercialisation Policy
 developed. However, the policy has not yet been submitted for Ministerial approval
","Policy was circulated for public comment and deadline was set for 2 Jan 2025

","Draft Hemp and Cannabis Commercialization Policy to be 
submitted in Q4

","Finalisation of Hemp 
and Cannabis Commercialization Policy","Finalised Hemp and Cannabis Commercialisation Policy and submitted for approval and sign-off.
",N/A,N/A,Approved  of Hemp and Cannabis Commercialization Policy,-,,,,,,,300
,"Trade, Industry and Competition",National,Progamme 4:Sectors,Progamme 4:Sectors,Quarterly,Number of  new jobs created through sectoral interventions,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",3 000 new jobs created through the sectoral interventions,,,,,,,"1 500 jobs created 
through the sectoral interventions ",188,"Fewer companies have reported on the number of jobs created

","Increased engagements with stakeholders on jobs created

","1 500 jobs created 
through the sectoral interventions ","24 jobs created through the following sectors:

Aerospace & Defense : 4
Metals (GMSA) : 10
CCPP (Aro Zonke): 10
","Slow economic growth resulted in the low number of jobs reported. 
","Branch will endeavour to engage more companies in order to increase the number of jobs reported
",3 000 new jobs created through the sectoral interventions,-,,,,,,,300
,"Trade, Industry and Competition",National,Progamme 4:Sectors,Progamme 4:Sectors,Quarterly,Number of Masterplans reviewed,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster","1 Masterplan reviewed 
(Auto Masterplan)
",,,,,,,"Stakeholder engagemen
t workshops on Automotive Master Plan","Initial engagements on
 the Automotive Policy Review terms of reference commenced in December following the EOC.
","Unavailability of stakeholders to engage earlier

","Process being fast-tracked for consideration by stakeholders during Q4.
","Draft Automotive 
Master Plan with implementation actions reviewed","Draft ToR developed and submitted to ERPC for review. 

","Draft Automotive Master Plan was not completed. A   submission was  submitted to ADDG highlighting reasons for non-achievement
","To be completed in Q1 of 25/26 FY
","1 Masterplan reviewed 
(Auto Masterplan)
",-,,,,,,,300
,"Trade, Industry and Competition",National,Progamme 4:Sectors,Progamme 4:Sectors,Quarterly,Number of Masterplans reviewed,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster","1 Masterplan reviewed 
(Auto Masterplan)
",,,,,,,,,,,,N/A,N/A,N/A,,-,,,,,,,300
,"Trade, Industry and Competition",National,Progamme 4:Sectors,Progamme 4:Sectors,Quarterly,Number of SMMEs provided with market access instruments ,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",Number of SMMEs provided with market access instruments 200  SMMEs provided with market access instruments,,,,,,,"Market access 
instruments provided to 100 SMMEs  ", 102," N/A
","   N/A
","Market access 
instruments provided to 100 SMMEs  "," 195 SMME’s through the following sectors:: 
AISI: 6
Industrial Procurement: 1
CCPP (Cosmetics): 27
Proudly SA: 161
","Significant number of SMME’s that exhibited at the Proudly SA Summit resulted to the achievement. 
",N/A ,200  SMMEs provided with market access instruments,-,,,,,,,300
