Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,OTP_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,National_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,National_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,National_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,National_Q4,UID
Basic Education,Education,Northern Cape,Programme 1:  Administration,Sub-Programme 1.5: Education Management Information System (EMIS),Annually,Percentage of expenditure going towards non- personnel items,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Driver 2: Social Equity and Human Welfare ,"The Social Protection, Community and Human Development cluster",,,,,,,27 %,27 %,27 %,27 %,24.4,Cash flow shortage to fund schools for Section 21 during the year under review ,Budget reprioritasation will be explored for 2025/26 ,Annual target not achieved as planned. Cash flow issues must be better forecasted and monitored quarterly.,,,,,,,,,,,,,,,,,,30
Basic Education,Education,Northern Cape,Programme 1:  Administration,Sub-Programme 1.5: Education Management Information System (EMIS),Quarterly,: Number of public schools that use the South African School Administration and Management System (SA-SAMS) or any alternative electronic solution to provide data,Non-Standardized,Max,"Priority 3: Education, Skills And Health",Driver 2: Social Equity and Human Welfare ,"The Social Protection, Community and Human Development cluster",554,554,554,"  


554",554,554,554,554,554,554,554,None ,None ,Target achieved as planned.,,,,Target achieved as planned,"There is  alignment between the targets in the e-QPR and the 2024/25 APP for all the quarters  of the  2024/25 financial year. The outcome for the 1st quarter of the 2024/25 financial year is 100% of the set target.
",,,"Target achieved as planned for Q2 , and to date performance is on track.","The PED is advised to insert the outcome for the quarter under review.
",,,"To date, performance is on track.","The PED has achieved 100% of the set target for the quarter under review.
",none applicable ,none applicable ,"To date, performance is on track. ","The PED has achieved 100% of the set target for the quarter under review. 
",30
Basic Education,Education,Northern Cape,Programme 1:  Administration,Sub-Programme 1.5: Education Management Information System (EMIS),Quarterly,Number of public schools that can be  contacted electronically (email),Non-Standardized,Max,"Priority 3: Education, Skills And Health",Driver 2: Social Equity and Human Welfare ,"The Social Protection, Community and Human Development cluster",554,554,554,"
554",554,554,554,554,554,554,554,None ,None ,Target achieved as planned.,,,,Target achieved as planned ,"There is  alignment between the targets in the e-QPR and the 2024/25 APP for all the quarters  of the  2024/25 financial year. The outcome for the 1st quarter of the 2024/25 financial year is 100% of the set target.
",,,"Target achieved as planned for Q2, and to date performance is on track.
","The PED is advised to insert the outcome for the quarter under review.
",,,"To date, performance is on track.","The PED has achieved 100% of the set target for the quarter under review.
",none applicable ,none applicable ,"To date, performance is on track. ","The PED has achieved 100%  of the set target for the quarter under review. 
",30
Basic Education,Education,Northern Cape,Programme 2.	Public Ordinary School Education,Sub-Programme 2.3: Human Resource Development,Annually,Number of foundation phase teachers trained in numeracy content and methodology,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Driver 2: Social Equity and Human Welfare ,"The Social Protection, Community and Human Development cluster",,,,,,,1825,183,1825,183,989,Cost containment measures and two of teachers'unions adopted a stance of working only for prescrbed time (work to rule) and this affected training as such (training) mostly scheduled after school hours.,None ,,,,,,,,,,,,,,,,,,,30
Basic Education,Education,Northern Cape,Programme 2.	Public Ordinary School Education,Sub-Programme 2.3: Human Resource Development,Annually,Number of foundation phase teachers trained in reading  methodology,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Driver 2: Social Equity and Human Welfare ,"The Social Protection, Community and Human Development cluster",,,,,,,1825,664,1825,664,1871,"Slightly more teachers were trained in the 1st Term before cost containment was implemented, which adversely affected other planned targets.  ",None ,,,,,,,,,,,,,,,,,,,30
Basic Education,Education,Northern Cape,Programme 2.	Public Ordinary School Education,Sub-Programme 2.3: Human Resource Development,Annually,Number of learners in no fee public ordinary schools that benefit in line with the National Norms and Standards for School Funding,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Driver 2: Social Equity and Human Welfare ,"The Social Protection, Community and Human Development cluster",197228,195633,,,,,,,197228,195633,195633,"Lessor learners were enrolled in no fee schools than the anticipated planned target for the 2024 Academic year.
",NONE,,,,,,,,,,,,,,,,,,,30
Basic Education,Education,Northern Cape,Programme 2.	Public Ordinary School Education,Sub-Programme 2.3: Human Resource Development,Annually,Number of schools provided with multi- media resources,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Driver 2: Social Equity and Human Welfare ,"The Social Protection, Community and Human Development cluster",,,,,,,15,10,15,10,10,Implemented cost conatinmentmeasures and the Department did not retable the 2024/25 APP where original targets would have been reviewed ,None ,,,,,,,,,,,,,,,,,,,30
Basic Education,Education,Northern Cape,Programme 2.	Public Ordinary School Education,Sub-Programme 2.3: Human Resource Development,Annually,Number of teachers trained in language content and methodology,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Driver 2: Social Equity and Human Welfare ,"The Social Protection, Community and Human Development cluster",,,,,,,2200,358,2200,358,1606,Cost containment measures and two of teachers'unions adopted a stance of working only for prescrbed time (work to rule) and this affected training as such (training) mostly scheduled after school hours.,None ,,,,,,,,,,,,,,,,,,,30
Basic Education,Education,Northern Cape,Programme 2.	Public Ordinary School Education,Sub-Programme 2.3: Human Resource Development,Annually,Number of teachers trained in mathematics content and methodology,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Driver 2: Social Equity and Human Welfare ,"The Social Protection, Community and Human Development cluster",,,,,,,1900,119,1900,119,1106,Cost containment measures and two of teachers'unions adopted a stance of working only for prescrbed time (work to rule) and this affected training as such (training) mostly scheduled after school hours.,None ,,,,,,,,,,,,,,,,,,,30
Basic Education,Education,Northern Cape,Programme 2.	Public Ordinary School Education,Sub-Programme 2.3: Human Resource Development,Annually,Percentage of learners in schools that are funded at a minimum level,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Driver 2: Social Equity and Human Welfare ,"The Social Protection, Community and Human Development cluster",29.8 %,100 %,,,,,,,29.8 %,100 %,0,"Cash flow shortage to fund schools for Section 21 


",Cash flow  repriotisation to be explored in 2025/26,,,,,,,,,,,,,,,,,,,30
Basic Education,Education,Northern Cape,Programme 2.	Public Ordinary School Education,Sub-Programme 2.3: Human Resource Development,Quarterly,Number of schools monitored on the implementation of EGRA tool,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Driver 2: Social Equity and Human Welfare ,"The Social Protection, Community and Human Development cluster",17,17,15,"
15",0,,18,7,50,39,27,Cost containment resulted in downscaling of programmes inclusive of monitoring of EGRA ,,"Annual target not achieved as planned. Department must quantify the cost containment issue (i.e., what was cut, why, and what impact it had). Propose clear corrective action, e.g., shifting unmet activities to 2025/26 with budget allocation.",,,,Target achieved as planned ,"There is  alignment between the targets in the e-QPR and the 2024/25 APP for all the quarters  of the  2024/25 financial year. The outcome for the 1st quarter of the 2024/25 financial year is 100% of the set target.
",,,"Target achieved as planned for Q2, and to date performance is on track.
"," The outcome for the 2nd  quarter of the 2024/25 financial year is 100% of the set target. 
",,,"No targer was planned for 3rd quarter, but to date performance is on track. ",,Cost containment ,,"To date, performance is not on track due to cost containment.","The PED has achieved 38,89%  of the set target for the quarter under review.   The variance is -11. The PED has provided a reason for the attainment of the quarterly target. 
",30
