Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,DesiredPerformance,UID
,Gauteng: E-Governance,Gauteng,Programme 1: Administration,Programme 1: Administration,Annually,Departmental Risk Register,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"Economy, Jobs and Infrastructure ","The Economic Sectors, Employment and Infrastructure Development cluster",Departmental Risk Register Approved,Departmental Risk Register Approved,,,,,,,Departmental Risk Register Approved,Departmental Risk Register Approved,,None Required,Target Achieved,,,,,,,,,,,,,,,118
,Gauteng: E-Governance,Gauteng,Programme 1: Administration,Programme 1: Administration,Annually,Number of youths placed for experiential learning,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"Economy, Jobs and Infrastructure ","The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,100,0,100,0,,"Although 28 youth were placed for experiential learning the contracts were not complete at the time of reporting.
In addition, the target was not achieved because some learners declined the experiential learning offers received because of better offers received somewhere. In addition, there is a lack of stipend due to budget constraints. ",The department is collaborating with institutions that already pay stipend for the department to host learners for experiential learning.,,,,,,,,,,,,,,,118
,Gauteng: E-Governance,Gauteng,Programme 1: Administration,Programme 1: Administration,Annually,Percentage of funded positions filled,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"Economy, Jobs and Infrastructure ","The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,92 %,85 %,92 %,85 %,,The target was not achieved because of cost containment measures outlines on circular 20 of 2024 delayed the advertising and filing of positions,"The circular on cost containment has been discontinued effective 01 April 2025
Job evaluation process is still underway to ensure alignment with Regulation 40(c) of the Public Service Regulations
",,,,,,,,,,,,,,,118
,Gauteng: E-Governance,Gauteng,Programme 1: Administration,Programme 1: Administration,Annually,Percentage of women employed in SMS positions in the Department,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"Economy, Jobs and Infrastructure ","The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,50 %,45 %,50 %,45 %,,The target was not achieved because cost containment measure outlined in circular 20 of 2024 delayed the advertising and filing of post,The department is prioritizing women in when filling the vacant posts,,,,,,,,,,,,,,,118
,Gauteng: E-Governance,Gauteng,Programme 1: Administration,Programme 1: Administration,Annually,Percentage of youths employed in the Department,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"Economy, Jobs and Infrastructure ","The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,25 %,16 %,25 %,16 %,,The target was not achieved because of the cost containment measures outlined in circular 20 of 2024 delayed the advertising and filing of positions,Job evaluation process is still underway to ensure alignment with Regulations 40 (c) of the Public Service regulations,,,,,,,,,,,,,,,118
,Gauteng: E-Governance,Gauteng,Programme 1: Administration,Programme 1: Administration,Quarterly,Number of evaluations conducted,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Building a Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",1,1,1,1,1,1,1,1,4,4,,,,,None,Target Achieved,The Department did not provide actual output. The Department is requested to provide actual output.,None,Target Achieved,Target achieved,None required,Target Achieved,Target achieved.,None required ,Target Achieved,Target achieved.,,118
,Gauteng: E-Governance,Gauteng,Programme 1: Administration,Programme 1: Administration,Quarterly,Number of people benefiting from bursaries ,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"Building a Capable, Ethical and Developmental State","The Economic Sectors, Employment and Infrastructure Development cluster",0,0,35,46,0,Applicable in Q4,35,52,70,46,,,,,Applicable to Q2,None required,,The target was overachieved because more employees applied for bursaries.,Target Achieved,Please ensure that the actual output is provided prior the approval of the Accounting Officer ,Applicable in Q4,Applicable in Q4,,The was overachieved because more employees applied for bursaries,Target Achieved,Please provide actual output upon approval.,,118
,Gauteng: E-Governance,Gauteng,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage of persons with disabilities employed in the Department,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"Economy, Jobs and Infrastructure ","The Economic Sectors, Employment and Infrastructure Development cluster",5 %,4 %,5 %,4 %,5 %,4 %,5 %,4 %,5 %,4 %,,,,,The target was not achieved because the directive from National Treasury on freezing of posts as per circular 49 of 2023.,Concurrence memorandum to advertise 54 positions was submitted to OOP,The Department did not provide actual output. The Department is requested to provide actual output.,The target was not achieved because of the delays in advertising and filling of vacant positions due to cost containment circular issued by DPSA circular 49 of 2023. ,"The department is prioritizing PWD’s when filling vacant positions, 1 appointment has been made at SMS level effective 01 September 2024
","Target not achieved
",The target was not achieved because of the delays in advertising and filling of vacant positions due to cost containment circular issued by DPSA circular 49 of 2023.,"The department is prioritizing PWD’s when filling vacant positions In addition, job evaluation process is underway to ensure alignment with the concurrence process.",Target not achieved. ,The target was not achieved because of the cost containment measure outlined in circular 20 of 2024 delayed the advertising and filing of posts.,"The department is prioritizing PWD’s when filling vacant positions. In addition, job evaluation process is underway to ensure alignment with Regulations 40 (c) of the public service regulations",Target not achieved.,,118
,Gauteng: E-Governance,Gauteng,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage of procurement budget spend on companies owned by Persons With Disabilities,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"Economy, Jobs and Infrastructure ","The Economic Sectors, Employment and Infrastructure Development cluster",7 %,0 %,7 %,0 %,7 %,1 %,7 %,1 %,7 %,1 %,,,,,"The target was not achieved because the financial year has started, and certain categories still have minimal spending.",Enhancing PWD spending in the second quarter will be  prioritized to ensure that the target is achieved.,The Department did not provide actual output. The Department is requested to provide actual output.,The target was not achieved because of challenges in getting Persons With Disabilities owned companies to submit quotation as all their information on the system is outdated.,"The department is prioritising PWD’s owned company   to increase expenditure in this area to ensure target is achieved.
In addition, a request was made to treasury to update the system to include an update PWD companies’ information.",Please ensure that the actual output is provided prior the approval of the Accounting Officer ,"The target was not achieved because most of the PWD suppliers are not responding to RFQ while others contact details are not updated on CSD database.

",Enhancing PWD spending will be a priority to ensure that the target is achieved.,Please provide actual output upon approval.,"The target was not achieved, the decrease in spending was due to a lack of budget and non-provision of specifications by other business units. There was minimal spending of certain months within the quarter, which also contributed to underachievement.","Companies owned by People with disabilities will be afforded priority in the next financial year when it pertains to expanding expenditure in order to attain the target. Additionally, compliance will be enforced, and internal control measures will be taken into consideration with regard to submission of the requests for implementation.",Please provide actual output upon approval.,,118
,Gauteng: E-Governance,Gauteng,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage of procurement budget spend on companies owned by women,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"Economy, Jobs and Infrastructure ","The Economic Sectors, Employment and Infrastructure Development cluster",60 %,90 %,60 %,74 %,60 %,31 %,60 %,21 %,60 %,21 %,,,,,The target was overachieved because of the targeted companies owned by women service providers,Target Achieved,The Department did not provide actual output. The Department is requested to provide actual output.,The target was overachieved because of the targeted companies owned by women service providers,Target Achieved,Please ensure that the actual output is provided prior the approval of the Accounting Officer ,The target was not achieved because of insufficient budget to meet the commitments which impacted the quarterly achievement.,The department will continue to prioritise spend in this category.,Please provide actual output upon approval.,"The target was not achieved,  the decrease in spending was due  lack of budget and non-provision of specifications by other business units. There was minimal spending of certain months within the quarter, which also contributed to underachievement.","Women owned business will be afforded priority in the next financial year when it pertains to expanding expenditure to attain the target. Additionally, compliance will be enforced, and internal control measures will be taken into consideration regarding submission of the requests for implementation.",Please provide actual output upon approval.,,118
