Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,National_Q1,National_Q2,National_Q4,National_Q3,DesiredPerformance,UID
Social Development,Social Development,Gauteng,Programme 1:  Administration,Sub - Programme 1.2.2: Supply Chain Management,Quarterly,Number of contracts awarded by the Department to HDI/SMME companies.,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"Safety, Social Cohesion and Food Security","The Social Protection, Community and Human Development cluster",5,3,"Target: Not Achieved 
The pending two projects were finalised, however will be cancelled due to non-responsiveness.",The Department will re-advertise the projects and improve the specification to get better responses,Target not achieved.,5,"3
",Target: Not achieved Performance is due to 2 tenders that were advertised for forensic audit were cancelled due to the mandate not belonging to the department.),Supply Chain Management has a plan in place to ensure acceleration of bids that are in the procurement plan to ensure completion thereof within the 2024/25 financial year.,Target not achieved.,11,"
6","Performance is due to 2 tenders that were advertised for forensic audit were  cancelled due to the mandate not belonging to the department. 
The advertisement of tenders for food parcels, dignity packs and long-term contracts (security, catering, cleaning and laundry services) for Institutions have been delayed due to some strategic considerations by the department.",Supply Chain Management has a plan in place to ensure acceleration of bids that are in the procurement plan to ensure completion thereof within the 2024/25 financial year.,Target not achieved.,19,"31
","Target: Exceeded
Performance is due to additional contracts that were awarded
",The Department has aligned the APP target in line with the baseline,Target not achieved ,19,43,31,"Target: Exceeded
Performance is due to contracts that were awarded in line with the catch-up plan. ",The Department will identify value of the tender to determine awarding of contract.,,,,,,,76
Social Development,Social Development,Gauteng,Programme 1:  Administration,Sub - Programme 1.2.2: Supply Chain Management,Quarterly,Percentage procurement spend in township by the Department.,Standardized,Max,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"Safety, Social Cohesion and Food Security","The Social Protection, Community and Human Development cluster",40 %,36.94 %,"Target: Not Achieved
Limited programmes took place   in townships, impacting on procurement spent.",The Department continues to monitor implementation of the departmental procurement strategy and Provincial TER strategy,Target not achieved.,40 %,"43.46%
 %",Target: Achieved                                                                                                                                                                                                                                                                                                                                                                                            ,The Department will increase procurement of goods and services from target groups and monitor the implementation of the departmental procurement strategy and Provincial TER strategy.,,40 %,"40,22% %","Target: Exceeded
 Performance is due to implementation of the departmental procurement strategy and Provincial TER strategy.                                        
",The contracts were awarded according to the procurement plan to ensure that the RFP Plan is adhered to through monitoring of projects. ,,40 %,44.30% %,"Target: Exceeded
Performance is due to implementation of the departmental procurement strategy and Provincial TER strategy.                                        
Comment: Performance is as at the end of February 2025 due to alignment of the system by Gauteng Provincial Treasury.  
                                                                                                                                                                                                                        
                                                                                                                                                                                                ",The contracts were awarded according to the procurement plan to ensure that the RFP Plan is adhered to through monitoring of projects.,Target exceeded,40 %,0 %,44.87,"Target: Exceeded
Performance is due to implementation of the departmental procurement strategy and Provincial TER strategy.                                        
                                                                                                                                                                      ",The contracts were awarded according to the procurement plan to ensure that the RFP Plan is adhered to through monitoring of projects.,,,,,,,76
Social Development,Social Development,Gauteng,Programme 1:  Administration,Sub - Programme 1.2.2: Supply Chain Management,Quarterly,Preferential procurement spend per GPG targets ('R000) by the Department,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"Safety, Social Cohesion and Food Security","The Social Protection, Community and Human Development cluster",HDI: 80% Women: 40% Youth: 30% People with Disabilities: 7%,"HDI:93.55% Women:48.68% Youth:46.24% People with Disabilities:
1.62%
","Target: Not achieved 
Performance for people with disabilities is due to minimal procurement of goods and services in the quarter under review. 
", The Department will continue to monitor implementation of the departmental procurement strategy and Provincial TER strategy.  This will ensure End users enhance monitoring of deliveries and payment of People with disabilities owned companies.,Target not achieved.,HDI: 80% Women: 40% Youth: 30% People with Disabilities: 7%, HDI:88.04% Women:51.21% Youth:36.48% PWD's:1.28%,Target: Not Achieved                                                 The performance for PWD owned companies is due to minimal participation by PWD's                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,The Department will increase procurement of goods and services from target groups and monitor the implementation of the departmental procurement strategy and Provincial TER strategy.,Target not achieved for PWD's.,HDI: 80% Women: 40% Youth: 30% People with Disabilities: 7%,"HDI:81.41% Women:44.55% Youth:28.51% People with Disabilities:1.36%

","Target: Not achieved 
The performance for people with disabilities is due to minimal procurement of goods and services in the quarter under review. 
",The Department will continue to monitor implementation of the departmental procurement strategy and Provincial TER strategy.  This will ensure End users enhance monitoring of deliveries and payment of People with disabilities owned companies.,Target not achieved. The Corrective Action is the same as Q1. ,HDI: 80% Women: 40% Youth: 30% People with Disabilities: 7%,"HDI:87.92% Women:42.15% Youth:28.73% PWD's:0.26%
","Target: Not achieved 
The performance for people with disabilities is due to minimal procurement of goods and services in the quarter under review.
Performance for youth was attained in the previous quarters.
Comment: Performance is as at the end of February 2025 due to alignment of the system by Gauteng Provincial Treasury.  

                                                                                                                                                                                                                                                                                                                                                      

                                                                                                                                                                                                                                                                                                                         ","The Department will continue to monitor implementation of the departmental procurement strategy and Provincial TER strategy.  This will   enhance monitoring of deliveries and payment of People with disabilities owned companies.

                                                                                                                                                                                                                                                                                                                                                      
",Target not achieved ,HDI: 80% Women: 40% Youth: 30% People with Disabilities: 7%,-,"HDI:91.10% Women:48% Youth:30% PWD's:0.46%
","Target: Not achieved 
The performance for youth and people with disabilities is due to minimal procurement of goods and services in the quarter under review. 
",The Department will continue to monitor implementation of the departmental procurement strategy and Provincial TER strategy.  This will   enhance monitoring of deliveries and payment of Youth and People with disabilities owned companies.,,,,,,,76
Social Development,Social Development,Gauteng,Programme 1:  Administration,Sub-Programme 1.2.1: Human Resource Management,Quarterly,Number of EPWP work opportunities created,Standardized,Max,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"Safety, Social Cohesion and Food Security","The Social Protection, Community and Human Development cluster",9125,8104,"Target: Not Achieved
Performance is due to efforts to realise the targets within the quarter could not be concluded pending finalization of Service Level Agreements (SLAs). Some participants resigned due to better opportunities. Moreover, there are some NPOs that could not sign the SLA as a result of their non-compliance with funding requirements.","The Department will fast track signing of SLAs and continue to facilitate access and support NPOS to comply with funding requirements.
",Target not achieved.,9125,"8 335

","Target: Not Achieved                                                     Performance is due to brigades who terminated their services for better opportunities. Moreover, there are some NPOs that could not sign the SLA as a result of their non-compliance with funding requirements.",The Department aligned target on Revised APP to current baseline and budget.,Target not achieved.,8169,9741,"Target: Exceeded  
Performance is due to the reporting of expansion programmes.                                                   ",The Department will continue to facilitate and monitor reporting of job creation initiatives.  ,The Annual Target is not aligned to revised APP.,8169,"
9 692
",Target: Exceeded                         Performance is due to the reporting of expansion programmes. ,The Department will continue to facilitate and monitor reporting of job creation initiatives. ,Target exceeded,8169,9741,10092,Target: Exceeded                         Performance is due to the reporting of expansion programmes. ,The Department will continue to facilitate and monitor reporting of job creation initiatives. ,,Targeted output is underachieved with reason for deviation and corrective action reported.,"Underachievement with reason for deviation and corrective action is noted for this indicator.

",Reason for deviation and corrective action are acknowledged for this overachieved indicator.,,,76
Social Development,Social Development,Gauteng,Programme 1:  Administration,Sub-Programme 1.2.1: Human Resource Management,Quarterly,Number of learners on learnership programmes,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"Safety, Social Cohesion and Food Security","The Social Protection, Community and Human Development cluster",50,50,Target achieved,None,Target achieved.,0,"0
",Comment: Not targeted in the quarter under review.,"None
",,0,0,Comment: Not targeted in the quarter under review,None,,0,"
0","Comment: Not targeted in the quarter under review.

","None
",Reported in Q1,50,50,50,"Target: Achieved
","None
",,,,,,,76
Social Development,Social Development,Gauteng,Programme 1:  Administration,Sub-Programme 1.2.1: Human Resource Management,Quarterly,Number of new bursars participating in external bursary programmes,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"Safety, Social Cohesion and Food Security","The Social Protection, Community and Human Development cluster",50,0,Target: Not Achieved   Performance is pending reconciliation targets,Target to be aligned during APP review and achieved in Quarter 4,Target not achieved.,0,"0
","Comment: Not targeted in the quarter under review.
","None
",,0,0,Comment: Not targeted in the quarter under review,None,,50,"
0","Target: Not achieved               Performance is due to insufficient budget.
","Budget is not available to grant bursaries.


",Target not achieved,50,0,0,Target: Not achieved               Performance is due to insufficient budget.,Budget is not available to grant bursaries.,,,,,,,76
Social Development,Social Development,Gauteng,Programme 1:  Administration,Sub-Programme 1.2.1: Human Resource Management,Quarterly,Number of people participating in internship programmes,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"Safety, Social Cohesion and Food Security","The Social Protection, Community and Human Development cluster",242,242,Target  achieved,None,Target achieved.,0,"0
",Comment: Not targeted in the quarter under review.,"None
",,0,0,Comment: Not targeted in the quarter under review.,None,,104,"
104
","Target: Achieved
","None

",Target achieved,346,346,346,"Target: Achieved
","None
",,,,,,,76
Social Development,Social Development,Gauteng,Programme 1:  Administration,Sub-Programme 1.2.3: Financial Management,Quarterly,Audit opinion on Annual financial statements expressed by the AGSA,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"Economy, Jobs and Infrastructure ","The Social Protection, Community and Human Development cluster","Targeted in 
the second
quarter",Targeted in the 2nd quarter,Comment: Not targeted in the quarter under review.,None,,"Unqualified 
(Clean) Audit 
opinion","Achieved with findings
",Comment: Not achieved Unqualified (Clean) Audit opinion with findings,The Department will continue to implement the audit recommendations.,"Target not achieved. The department is requested to look at APP, as the target is targeted for Q2. The department is further requested to consider amending targets set for the indicator during revision period.","Achieved in 
the 2nd 
quarter",Reported in the 2nd quarter,Reported in the 2nd quarter,None,,"Achieved in 
the second
quarter","Reported in the 2nd quarter
","Comment: Achieved in the 2nd quarter
","None
",Achieved,"Unqualified 
(Clean) Audit 
opinion",-,Achieved with findings,Target: Not Achieved                                   Unqualified (Clean) Audit opinion with findings.,"The Department will continue to
implement the audit recommendations.",,,,,,,76
Social Development,Social Development,Gauteng,Programme 1:  Administration,Sub-Programme 1.2.3: Financial Management,Quarterly,Percentage of suppliers paid within 15 days,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"Economy, Jobs and Infrastructure ","The Social Protection, Community and Human Development cluster",80 %,95 %,"Target: Exceeded
Performance is due to compliance by end-users in confirming services within 48 hours.",The Department continues to liaise with VMD to update TCC on vendor profiles and conduct end-user forums emphasizing turnaround time of 48 hrs on confirming services rendered or good delivered. ,,80 %,"
93,17%
 %","Target: Exceeded
Performance is due to compliance by end-users in confirming services within 48 hours.",The Department continues to liaise with Vendor management Division (VMD) to update Tax Clearance Certificate (TCC) on vendor profiles and conduct end-user forums emphasizing turnaround time of 48 hrs on confirming services rendered or good delivered. ,,80 %,"92,38 %","Target: Exceeded
Performance is due to compliance by end-users in confirming services within 48 hours.",The Department continues to liaise with Vendor management Division (VMD) to update Tax Clearance Certificate (TCC) on vendor profiles and conduct end-user forums emphasizing turnaround time of 48 hrs on confirming services rendered or good delivered. ,,80 %,"
99,93%

 %","Target: Exceeded
Performance is due to compliance by end-users in confirming services within 48 hours.",The Department continues to liaise with Vendor management Division (VMD) to update Tax Clearance Certificate (TCC) on vendor profiles and conduct end-user forums emphasizing turnaround time of 48 hrs on confirming services rendered or good delivered. ,Target exceeded,80 %,95 %,99.93,"Target: Exceeded
Performance is due to compliance by end-users in confirming services within 48 hours.",The Department continues to liaise with Vendor management Division (VMD) to update Tax Clearance Certificate (TCC) on vendor profiles and conduct end-user forums emphasizing turnaround time of 48 hrs on confirming services rendered or good delivered. ,,,,,,,76
Social Development,Social Development,Gauteng,Programme 1:  Administration,Sub-Programme 1.2.3: Financial Management,Quarterly,Percentage of suppliers paid within 30 days,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"Economy, Jobs and Infrastructure ","The Social Protection, Community and Human Development cluster",100 %,100 %,Target: Achieved,None,Target achieved.,100 %,"99,74%

 %","Target: Not Achieved 
Performance is due to non-compliance by end-users in confirming services within 48 hours.","The Department continues to liaise with Vendor management Division (VMD) to update Tax Clearance Certificate (TCC) on vendor profiles and conduct end-user forums emphasizing turnaround time of 48 hrs on confirming services rendered or good delivered. 

Non-compliance by end users will be escalated to relevant managers to ensure compliance in future.
",Target not achieved.,100 %,"99,27 %","Target: Not Achieved 
Performance is due to non-compliance by end-users in confirming services within 48 hours.
Inadequacy of cash availability at the end of November impacted on the achievement of the target.","The Department continues to liaise with VMD to update TCC on vendor profiles and conduct end-user forums emphasizing turn around time of 48 hrs  on confirming services rendered or good delivered. 

Non-compliance by end users will be escalated to relevant managers to ensure compliance in future.
",Target not achieved.,100 %,"
99,09%
 %","Target: Not Achieved 
Performance is due to non-compliance by end-users in confirming services within 48 hours.","The Department continues to liaise with VMD to update TCC on vendor profiles and conduct end-user forums emphasizing turnaround time of 48 hrs on confirming services rendered or good delivered. 

Non-compliance by end users will be escalated to relevant managers to ensure compliance in future.

",Target not achieved ,100 %,100 %,99.09,"Target: Not Achieved 
Performance is due to non-compliance by end-users in confirming services within 48 hours.
Furthermore, inadequacy of cash availability at the end of November impacted on the achievement of the target.","The Department continues to liaise with VMD to update TCC on vendor profiles and conduct end-user forums emphasizing turnaround time of 48 hrs on confirming services rendered or good delivered. 

Non-compliance by end users will be escalated to relevant managers to ensure compliance in future.
",,,,,,,76
