Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q3,National_Q3,OTP_Q4,National_Q2,UID
Health,Health,KwaZulu Natal,Programme 1: Administration,Programme 1: Administration,Annually,Audit outcome for regulatory audit expressed by AGSA for the previous FY,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Basic Services,"The Social Protection, Community and Human Development cluster",,,,,Unqualified,,,,Unqualified,,,,,,,,,,,,,,,,,,,,125
Health,Health,KwaZulu Natal,Programme 1: Administration,Programme 1: Administration,Annually,Contingent liability of medico-legal cases,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Basic Services,"The Social Protection, Community and Human Development cluster",,,,,,,32000000000,31708160893.67,32000000000,31708160893.67,,The Department has contained costs by establishing Centres of Excellence to provide care to some claimants. ,,,,,,,,,,,,,,,,,125
Health,Health,KwaZulu Natal,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage of hospitals implementing E-Health beyond Module 1 (Phase 1),Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Basic Services,"The Social Protection, Community and Human Development cluster",47.6 %,81 %,47.6 %,71.4 %,76.2 %,92.9 %,90.5 %,92.9 %,90.5 %,71.4 %,,,,,"Equipment has been procured and training on basic computer literacy provided at 42 hospitals to date.  However, the number of hospitals using eHealth can fluctuate due to network connectivity challenges.",,reason for deviation is noted.,"Equipment has been procured and training on basic computer literacy provided at 42 hospitals to date.  However, the number of hospitals using eHealth can fluctuate due to network connectivity challenges, which the Department is engaging Telkom on. ",,Reason for deviation is noted.,"Equipment has been procured and training on basic computer literacy provided at 42 hospitals to date.  However, the number of hospitals using eHealth can fluctuate due to network connectivity challenges. 

MIGRATION OF EHEALTH FROM SITA: KZN Health ICT is currently researching the possibility of migrating eHealth to a more stable environment and the current examples are Inkosi Albert Luthuli Central hospital or the Dube Trade Port.
",,"Equipment has been procured and training on basic computer literacy provided at 42 hospitals to date.  However, the number of hospitals using eHealth can fluctuate due to network connectivity challenges. ",,,,,,125
Health,Health,KwaZulu Natal,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage of hospitals implementing E-Health for the first time (At least Module 1),Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Basic Services,"The Social Protection, Community and Human Development cluster",0 %,0 %,0 %,0 %,22.2 %,0 %,55.6 %,0 %,55.6 %,0 %,,,,,No deviation.,,,No deviation,,,Implementation delayed by budgetary constraints. ,"Secure adequate budget for network upgrades and hardware, provision of additional resources and implementing change management.",Implementation delayed by budgetary constraints. ,"Motivate for adequate budget in 2025/26 for network upgrades and hardware, provision of additional resources and implementing change management.",Reason for deviation and corrective action have been noted.,,,,125
Health,Health,KwaZulu Natal,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage of supplier invoices paid within 30 Days,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Basic Services,"The Social Protection, Community and Human Development cluster",96.2 %,97 %,96.2 %,66.7 %,96.2 %,42.8 %,96.2 %,41.3 %,96.2 %,66.7 %,,,,,Improvement in processing of payments is due to constant reminders sent by Accounts Payables to institution to pay suppliers within the specified period and  the payment cycle reports that are distributed monthly.,,slight positive variance is noted.,"Provincial Treasury changed the methodology used for payments to be made within 30 days, thereby reducing the number of supplier invoices that can be paid.   ",Additional funding to be allocated to the Department to disburse payments timeously.,Reason for deviation is noted,"Provincial Treasury changed the methodology used for payments to be made within 30 days, thereby reducing the number of supplier invoices that can be paid.  ",Additional funding to be allocated to the Department to disburse payments timeously.,"The Department has cash-flow restrictions, thereby reducing the number of supplier invoices that can be paid within 30 days.",Continue to implement the cost saving measures to ensure adequate cash flow in the new financial year.,Reason for deviation and corrective action have been noted.,,,,125
Health,Health,KwaZulu Natal,Programme 1: Administration,Programme 1: Administration,Quarterly,Proportion of expenditure paid to businesses owned by women,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Basic Services,"The Social Protection, Community and Human Development cluster",14.7 %,13.5 %,14.7 %,16.1 %,14.8 %,23.2 %,14.8 %,7.2 %,14.7 %,23.2 %,,,,,"Due to the highly specialised nature of procurement in Health, it has been difficult to find suppliers with the requisite credentials.",Strategies to be developed to identify and attract preferential suppliers.,slight under achievement is noted. Reason for deviation is noted.,Increased compliance by female business owners to competitive bid offers.,,Overachievement is noted. Reason for deviation noted,Increased compliance by female business owners to competitive bid offers.,,"There is no Supply Chain Management (SCM) Legislation for “set asides”, therefore women owned businesses are still required to compete with other well established companies.","- Continued use of supplier development information sessions to capacitate women-owned businesses to be more competitive in their bid offers to the Department.
- Prioritisation of vulnerable groups when inviting quotations up to R1 million.",,,,,125
Health,Health,KwaZulu Natal,Programme 2: District Health Services,Disease Prevention and Control (DPC),Annually,Malaria case fatality rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Basic Services,"The Social Protection, Community and Human Development cluster",,,,,,,0.0 %,0.7 %,0.0 %,0.7 %,,Mortality Audit report suggests a delay in patients seeking treatment. ,Community awareness campaigns on the importance of seeking treatment early.,,,,,,,,,,,,,,,,125
Health,Health,KwaZulu Natal,Programme 2: District Health Services,Disease Prevention and Control (DPC),Quarterly,PHC Mental Disorders Treatment Rate New,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Basic Services,"The Social Protection, Community and Human Development cluster",0.01 %,0.03 %,0.01 %,0.03 %,0.01 %,0.04  %,0.01 %,0.04 %,0.01 %,0.04 %,,,,,Implementation of standard operating procedures on screening and treatment initiation. ,,,Implementation of standard operating procedures on screening and treatment initiation. ,,,Continued training on Mental Health and Substance Abuse cascade and indicators.,,"Continued training on Mental Health and Substance Abuse screening, cascade and indicators.",,Positive variance is noted.,,,,125
Health,Health,KwaZulu Natal,Programme 2: District Health Services,"District Health Services (PHC, CHC and District Hospitals)",Annually,Ideal clinic status obtained rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Basic Services,"The Social Protection, Community and Human Development cluster",,,,,,,94.9 %,97.5 %,94.9 %,97.5 %,,"Ideal Clinic Realisation and Maintenance (ICRM) Champions support and co-ordinate ICRM activities, including implementation of Quality Improvement Plans. ",,,,,,,,,,,,,,,,,125
Health,Health,KwaZulu Natal,Programme 2: District Health Services,"District Health Services (PHC, CHC and District Hospitals)",Annually,Patient Experience of Care satisfaction rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Basic Services,"The Social Protection, Community and Human Development cluster",,,,,,,89.6 %,87.3 %,89.6 %,87.3 %,,"Clients unsatisfied with access to care, especially referral pathways and the unavailability of medication.","Quality Improvement Plans, training and strategies to focus on these areas. ",,,,,,,,,,,,,,,,125
