Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,UID
,North West: Office of the Premier,North West,Programme 1: Administration,- Sub Programme 1.1: Premier Support,Annually,Default,Non-Standardized,Not  Applicable,"An efficient, effective and development-oriented public service",-,Governance and Administration cluster,,,,,,,,,,,,,,,,,,,,,,,73
,North West: Office of the Premier,North West,Programme 1: Administration,- Sub Programme 1.1: Premier Support,Annually,Number of performance agreements signed by Members of Executive Council,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Eradication of Corruption,"Governance, State Capacity and Institutional Development cluster",,,10,,,,,,10,,10,,,,,,,,,,,,73
,North West: Office of the Premier,North West,Programme 1: Administration,- Sub Programme 1.1: Premier Support,Annually,Number of Premier’s programmes coordinated ,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Job Creation,"Governance, State Capacity and Institutional Development cluster",,,,,,,2,,2,,2,,,,,,,,,,,,73
,North West: Office of the Premier,North West,Programme 1: Administration,- Sub Programme 1.1: Premier Support,Quarterly,Default,Non-Standardized,Not  Applicable,"An efficient, effective and development-oriented public service",-,Governance and Administration cluster,,,,,,,,,,,,,,,,,,,,,,,73
,North West: Office of the Premier,North West,Programme 1: Administration,Corporate Management,Annually,Percentage of woman in SMS posts appointed,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Job Creation,"Governance, State Capacity and Institutional Development cluster",,,,,,,40%,40%,40%,40%,40%,,,,,,,,,,,,73
,North West: Office of the Premier,North West,Programme 1: Administration,Sub Programme 1.2: Executive Council Support,Annually,Default,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"Governance, State Capacity and Institutional Development cluster",,,,,,,,,,,,,,,,,,,,,,,73
,North West: Office of the Premier,North West,Programme 1: Administration,Sub Programme 1.2: Executive Council Support,Quarterly,Default,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"Governance, State Capacity and Institutional Development cluster",0,0,0,,0,,0,,0,0,0,,,,,,,,,,,,73
,North West: Office of the Premier,North West,Programme 1: Administration,Sub Programme 1.2: Executive Council Support,Quarterly,Number of resolutions on governance structures monitored ,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Job Creation,"Governance, State Capacity and Institutional Development cluster",1,1,1,1,1,1,1,1,4,4,4,,,,,,,,,,,,73
,North West: Office of the Premier,North West,Programme 1: Administration,Sub Programme 1.2: Executive Council Support,Quarterly,Number of Stakeholder activities Coordinated,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Job Creation,"Governance, State Capacity and Institutional Development cluster",1,1,1,1,1,1,1,1,4,4,4,,,,,,,,,,,,73
,North West: Office of the Premier,North West,Programme 1: Administration,Sub Programme 1.3: Director-General Support,Annually,Default,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"Governance, State Capacity and Institutional Development cluster",,,,,,,,,,,,,,,,,,,,,,,73
,North West: Office of the Premier,North West,Programme 1: Administration,Sub Programme 1.3: Director-General Support,Quarterly,Default,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"Governance, State Capacity and Institutional Development cluster",,,,,,,,,,,,,,,,,,,,,,,73
,North West: Office of the Premier,North West,Programme 1: Administration,Sub Programme 1.4: Financial Management,Annually,Default,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"Governance, State Capacity and Institutional Development cluster",,,,,,,,,,,0,,,,,,,,,,,,73
,North West: Office of the Premier,North West,Programme 1: Administration,Sub Programme 1.4: Financial Management,Annually,Percentage implementation of audit action plan ,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Eradication of Corruption,"Governance, State Capacity and Institutional Development cluster",,,,,,,100%,100%,100%,100%,100%,,,,,,,,,,,,73
,North West: Office of the Premier,North West,Programme 1: Administration,Sub Programme 1.4: Financial Management,Annually,Percentage on preferential procurement spent on enterprises that are owned by persons with disabilities ,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Eradication of Corruption,"Governance, State Capacity and Institutional Development cluster",,,,,,,3%,3%,3%,3%,3%,,,,,,,,,,,,73
,North West: Office of the Premier,North West,Programme 1: Administration,Sub Programme 1.4: Financial Management,Annually,Percentage on preferential procurement spent on enterprises that are owned by women,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Eradication of Corruption,"Governance, State Capacity and Institutional Development cluster",,,,,,,40%,40%,40%,40%,40%,,,,,,,,,,,,73
,North West: Office of the Premier,North West,Programme 1: Administration,Sub Programme 1.4: Financial Management,Annually,Percentage on preferential procurement spent on enterprises that are owned by youth,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Eradication of Corruption,"Governance, State Capacity and Institutional Development cluster",,,,,,,30%,30%,30%,30%,30%,,,,,,,,,,,,73
,North West: Office of the Premier,North West,Programme 1: Administration,Sub Programme 1.4: Financial Management,Annually,Unqualified audit opinion obtained  ,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Eradication of Corruption,"Governance, State Capacity and Institutional Development cluster",,,,,1,1,,,1,1,1,,,,,,,,,,,,73
