Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,National_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,National_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,National_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,National_Q4,DesiredPerformance,UID
,"Sport, Arts and Culture",Western Cape,Programme 1: Administration,Sub-Programme 1.2: Financial Management Services,Annually,1.2.1 Number of plans implemented for improving audit outcomes and reducing the audit findings raised by the Auditor-General and Internal Auditor to achieve service excellence.,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,VIP 3: Empowering People,"The Social Protection, Community and Human Development cluster",,,,,1,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,159
,"Sport, Arts and Culture",Western Cape,Programme 1: Administration,Sub-Programme 1.3: Management  Services,Annually,1.3.4 Departmental Business Continuity Plan annually reviewed and adjusted as necessary,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,VIP 3: Empowering People,"The Social Protection, Community and Human Development cluster",,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,159
,"Sport, Arts and Culture",Western Cape,Programme 1: Administration,Sub-Programme 1.3: Management  Services,Quarterly,1.3.1 Number of Batho Pele documents compiled,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,VIP 3: Empowering People,"The Social Protection, Community and Human Development cluster",0,,1,1,0,,1,1,2,2,2,,,,,,Due Q2 and Q4.,No reporting required for the quarter under review.,,,Target achieved. Data accepted.,Achieved.,,,Due Q4.,No reporting required for the quarter under review.,,,Target achieved. Data Accepted.,,,159
,"Sport, Arts and Culture",Western Cape,Programme 1: Administration,Sub-Programme 1.3: Management  Services,Quarterly,1.3.2 Number of quarterly performance monitoring reports compiled,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,VIP 3: Empowering People,"The Social Protection, Community and Human Development cluster",1,1,1,1,1,1,1,1,4,4,4,,,,,,The PDO notes the target has been achieved and is on track.,Achieved as planned.,,,Target achieved. Data accepted.,Achieved.,,,Target achieved. Data accepted.,Achieved.,,,Target achieved. Data Accepted.,,,159
,"Sport, Arts and Culture",Western Cape,Programme 1: Administration,Sub-Programme 1.3: Management  Services,Quarterly,1.3.3 Number of quarterly verification reports compiled,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,VIP 3: Empowering People,"The Social Protection, Community and Human Development cluster",1,1,1,1,1,1,1,1,4,4,4,,,,,,The PDO notes the target has been achieved and is on track.,Achieved as planned.,,,Target achieved. Data accepted.,Achieved.,,,Target achieved. Data accepted.,Achieved.,,,Target achieved. Data Accepted.,,,159
,"Sport, Arts and Culture",Western Cape,Programme 2: Cultural Affairs ,Sub-Programme 2.1 Management,Annually,2.1.1 Number of EPWP job opportunities created,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,VIP 2: Growth and Jobs,"The Social Protection, Community and Human Development cluster",,,,,,,425,426,425,426,426,One additional work opportunity became available due to a beneficiary finding employment (beneficiary turnover).,,,,,,,,,,,,,,,,,,,,159
,"Sport, Arts and Culture",Western Cape,Programme 2: Cultural Affairs ,Sub-Programme 2.2: Arts and Culture,Annually,2.2.6 Number of Cultural Commissions supported,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,VIP 3: Empowering People,"The Social Protection, Community and Human Development cluster",,,,,1,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,159
,"Sport, Arts and Culture",Western Cape,Programme 2: Cultural Affairs ,Sub-Programme 2.2: Arts and Culture,Quarterly,2.2.1 Number of practitioners participating in capacity building opportunities,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,VIP 3: Empowering People,"The Social Protection, Community and Human Development cluster",100,120,80,85,70,80,20,30,270,315,315,"Collaborations and
partnering with
municipalities and
community art centres and high demand for some of the opportunities
resulted in more
attendees at workshops. ",,,The project (percussion workshop) had more practitioners joining than anticipated because the event was moved to  the Cape Metro which was more accessible. Some practitioners were in close proximity to the cultural facility and could walk there. Others needed to be driven as they were some distance away.,,The PDO notes the target has been over achieved and the reason for deviation.,"Over-achieved, reason for deviation provided.",Individuals from the surrounding areas of Paarl joined the sessions without confirming attendance and could be accommodated at the sessions.,,The PDO notes the target is overachieved and the reason for deviation.,"Achieved, reason for deviation provided.",The was an increased number of groups shortlisted by the adjudicators to participate in the DCAS Drama finalists' workshop. This was made possible by the partnership of Knysna and Overberg Municipalities who provided transport for the participants to attend the workshop.,,The PDO notes the target is overachieved and that the reason for deviation is to be confirmed.,"Over-achieved, no reason for deviation and corrective action provided.",The project was in partnership with National Library and had a bigger turnout than was anticipated as a result.,,The PDO notes the target is over-achieved. Kindly provide a reason for deviation and corrective action?,Provide reason for overachievement,,159
,"Sport, Arts and Culture",Western Cape,Programme 2: Cultural Affairs ,Sub-Programme 2.2: Arts and Culture,Quarterly,2.2.2 Number of community conversations/dialogues implemented to foster social interaction per year,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,VIP 3: Empowering People,"The Social Protection, Community and Human Development cluster",1,1,1,1,1,1,0,,3,3,3,,,,,,The PDO notes the target has been achieved and is on track.,Achieved as planned.,,,Target achieved. Data accepted,Achieved.,,,Target achieved. Data accepted.,Achieved.,,The annual target was achieved.,,Not achieved provide reason for deviation and corrective action,,159
,"Sport, Arts and Culture",Western Cape,Programme 2: Cultural Affairs ,Sub-Programme 2.2: Arts and Culture,Quarterly,2.2.3 Number of national and historical/significant days commemorated,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,VIP 3: Empowering People,"The Social Protection, Community and Human Development cluster",1,2,2,2,1,1,0,,4,5,5,TBC,,,A dance organisation approached the Department for a collaboration regarding the hosting of an Africa Day celebration which took place place on 25 May 2024.,,The PDO notes the performance data was not available at the date of submission and is to be confirmed.,"Not achieved, no reason for deviation provided.",,,Target achieved. Data accepted,Achieved.,,,Target achieved. Data accepted.,Achieved.,,The annual target was achieved.,,Not achieved provide reason for deviation and corrective action,,159
