Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,DesiredPerformance,OTP_Q1,OTP_Q2,OTP_Q3,OTP_Q4,National_Q1,National_Q2,National_Q3,National_Q4,National_Summary,UID
,Cooperative Governance,Free State,Programme 1.	Administration,Sub Programme 1.1.	Office of the MEC,Annually,Default,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,Governance and Administration cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270
,Cooperative Governance,Free State,Programme 1.	Administration,Sub Programme 1.1.	Office of the MEC,Quarterly,Default,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,Governance and Administration cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270
,Cooperative Governance,Free State,Programme 1.	Administration,Sub Programme 1.2.	Corporate Services,Annually,Achievement of all planned targets in the Annual Performance Plan,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",Good governance,"Governance, State Capacity and Institutional Development cluster",,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,270
,Cooperative Governance,Free State,Programme 1.	Administration,Sub Programme 1.2.	Corporate Services,Annually,All critical funded posts filled,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",Good governance,"Governance, State Capacity and Institutional Development cluster",,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,270
,Cooperative Governance,Free State,Programme 1.	Administration,Sub Programme 1.2.	Corporate Services,Annually,Default,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,Governance and Administration cluster,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,270
,Cooperative Governance,Free State,Programme 1.	Administration,Sub Programme 1.2.	Corporate Services,Annually,"Independent and objective assurance provided on governance, risk management and control in the Department towards contributing to the achievement of the Department’s strategic and compliance objectives",Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",Good governance,"Governance, State Capacity and Institutional Development cluster",,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,270
,Cooperative Governance,Free State,Programme 1.	Administration,Sub Programme 1.2.	Corporate Services,Annually,National Operations Management and Methodology Framework successfully implemented towards improving identified operations of the Department   ,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",Good governance,"Governance, State Capacity and Institutional Development cluster",,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,270
,Cooperative Governance,Free State,Programme 1.	Administration,Sub Programme 1.2.	Corporate Services,Quarterly,Default,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,Governance and Administration cluster,0,,0,0,0,,0,,0,0,0,,,,,,None,None,,,,,,,,,,,,,,,270
,Cooperative Governance,Free State,Programme 1.	Administration,Sub Programme 1.2.	Corporate Services,Quarterly,"Number of Departmental Awareness Sessions and capacity building programmes to support Gender, Youth and Disability mainstreaming",Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",Good governance,"Governance, State Capacity and Institutional Development cluster",0,0,1,1,0,0,1,1,2,1,2,None,None,,None,None,None,None,0,None,None,None,,,,,,,,,,,270
,Cooperative Governance,Free State,Programme 1.	Administration,Sub Programme 1.2.	Corporate Services,Quarterly,Number of performance reviews against its Annual Performance Plan,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",Good governance,"Governance, State Capacity and Institutional Development cluster",1,1,1,1,1,1,1,1,4,1,4,None,None,,None,None,None,None,None,None,None,None,,,,,,,,,,,270
,Cooperative Governance,Free State,Programme 1.	Administration,Sub Programme 1.2.	Corporate Services,Quarterly,Percentage of completed internal audits,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",Good governance,"Governance, State Capacity and Institutional Development cluster",0 %,0 %,0 %,0 %,0 %,0 %,100 %,72 %,100 %,72 %,100,None,None,,None,None,None,None,None,None,  One (1) audit was delayed due to the CRO being hospitalized for three weeks.                                                                   The audit is at execution phase and will be completed by 17 April 2025.                                                            Four (4) audits are at reporting phase and awaiting discussion with the client.                                                             ,"Estimated completion dates:
1. Risk Management - 30 April 2025
2. Phase 1: Governance Audit - 30 April 2025
3. Phase 2: Governance Audit - 30 April 2025
4. Municipal Finance - 17 April 2025
5. Municipal Infrastructure - 10 April 2025
6. Asset Disposal and Loss Control - 07 April 2025 .",,,,,,,,,,,270
,Cooperative Governance,Free State,Programme 1.	Administration,Sub Programme 1.2.	Corporate Services,Quarterly,Percentage of procurement awarded to women owned enterprises,Non-Standardized,Max,"Priority 5: Spatial Integration, Human Settlements and Local Government",Good governance,"Governance, State Capacity and Institutional Development cluster",40 %,59.21 %,40 %,61.10 %,40 %,49.87 %,40 %,0 %,40 %,61.1 %,0,Reporting was discontinued in this APP,Reporting was discontinued in this APP,,Additional 19.21 was mainly driven by more economic participation in the women owned companies during the reporting period. ,None,Additional 21.10% was mainly driven by more economic participation in the women owned companies during the reporting period,None,Additional 9.87% was mainly driven by more economic participation in the women owned companies during the reporting period,None,Reporting on this APP was discontinued,Reporting on this APP was discontinued,,,,,,,,,,,270
,Cooperative Governance,Free State,Programme 1.	Administration,Sub Programme 1.2.	Corporate Services,Quarterly,Percentage of procurement awarded to women owned enterprises,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",Good governance,Governance and Administration cluster,0 %,59.12 %,0 %,,40 %,49.87 %,40 %,51.12 %,40 %,0 %,51.12,Additional  11.12% was mainly driven by more economic participation in the women owned companies during the reporting period.,None,,Additional 19.21 was mainly driven by more economic participation in the women owned companies during the reporting period. ,None,,,Additional 9.87% was mainly driven by more economic participation in the women owned companies during the reporting period,None,additional 11.12% was mainly driven by more economic participation in the women owned companies during the reporting period.,None,,,,,,,,,,,270
,Cooperative Governance,Free State,Programme 1.	Administration,Sub Programme 1.2.	Corporate Services,Quarterly,Percentage of valid invoices paid within 30 days,Non-Standardized,Max,"Priority 5: Spatial Integration, Human Settlements and Local Government",Good governance,"Governance, State Capacity and Institutional Development cluster",100 %,100 %,100 %,100 %,100 %,100 %,100 %,98% %,100 %,100 %,98,Invoices were rescheduled,Department will improve the existing checklist in order to ensure non-reoccurrence.,,None,None,None,None,None,None,Invoices were rescheduled.,Department  will improve the existing checklists in order to ensure non-reoccurrence.,,,,,,,,,,,270
,Cooperative Governance,Free State,Programme 1.	Administration,Sub Programme 1.2.	Corporate Services,Quarterly,Percentage on compliance with Key Control Matrix (KCM) Standards,Non-Standardized,Max,"Priority 5: Spatial Integration, Human Settlements and Local Government",Good governance,"Governance, State Capacity and Institutional Development cluster",100 %,100 %,100 %,0 %,100 %,100 %,100 %,100 %,100 %,100 %,100,None,None,,None,None,The indicator was performed on an adhoc basis by an official in the Financial Directorate whose contract expired,Directorate is in process of appointing DD: Internal Control on fixed term contract,None,None,None,None,,,,,,,,,,,270
,Cooperative Governance,Free State,Programme 2: Local Governance,Sub Programme 2.1: Municipal Administration,Annually,Default,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,270
,Cooperative Governance,Free State,Programme 2: Local Governance,Sub Programme 2.1: Municipal Administration,Annually,No. of municipalities successfully implementing anti-corruption measures ,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",Good governance,"Governance, State Capacity and Institutional Development cluster",,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,270
,Cooperative Governance,Free State,Programme 2: Local Governance,Sub Programme 2.1: Municipal Administration,Annually,No. of municipalities that have adopted standardized or customized municipal by-laws,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",Good governance,"Governance, State Capacity and Institutional Development cluster",,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,270
,Cooperative Governance,Free State,Programme 2: Local Governance,Sub Programme 2.1: Municipal Administration,Annually,No. of municipalities that have implemented municipal by-laws ,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",Good governance,"Governance, State Capacity and Institutional Development cluster",,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,270
,Cooperative Governance,Free State,Programme 2: Local Governance,Sub Programme 2.1: Municipal Administration,Quarterly,No of municipalities supported towards litigation management ,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",Good governance,"Governance, State Capacity and Institutional Development cluster",0,0,1,1,0,0,1,1,2,1,2,None,None,,None,None,None,None,None,None,None,None,,,,,,,,,,,270
,Cooperative Governance,Free State,Programme 2: Local Governance,Sub Programme 2.1: Municipal Administration,Quarterly,No. of municipalities assisted and supported towards customizing review and/or adopting municipal by-laws	,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",Good governance,"Governance, State Capacity and Institutional Development cluster",3,3,3,3,3,3,2,2,11,2,11,None,None,,None,None,None,None,None,None,None,None,,,,,,,,,,,270
