Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,OTP_Summary,ValidatedAudited_Summary2,UID
Transport,Transport,Northern Cape,Programme 3: Transport Operations ,Sub-Programme 3.2: Public Transport Services ,Quarterly,Average number of weekday passenger trips,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,-,"The Economic Sectors, Employment and Infrastructure Development cluster",0,,,,This deliverable is not tracked in the APP for the 2024-25 financial year in the Northern Cape province. ,0,,,,This deliverable is not tracked in the APP for the 2024-25 financial year in the Northern Cape province.,0,,,,This deliverable is not tracked in the APP for the 2024-25 financial year in the Northern Cape province.,0,,,,This deliverable is not tracked in the APP for the 2024-25 financial year in the Northern Cape province.,0,-,,,,This deliverable is not planned for the NC for this financial year.This is a pilot indicator for the sector.,,17
Transport,Transport,Northern Cape,Programme 3: Transport Operations ,Sub-Programme 3.2: Public Transport Services ,Quarterly,Number of hours operated by public transport operators,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,-,"The Economic Sectors, Employment and Infrastructure Development cluster",0,,,,This deliverable is not tracked in the APP for the 2024-25 financial year in the Northern Cape province. ,0,,,,This deliverable is not tracked in the APP for the 2024-25 financial year in the Northern Cape province.,0,,,,This deliverable is not tracked in the APP for the 2024-25 financial year in the Northern Cape province.,0,,,,This deliverable is not tracked in the APP for the 2024-25 financial year in the Northern Cape province.,0,0,,,,This deliverable is not planned for the NC for this financial year.This is a pilot indicator for the sector.,,17
Transport,Transport,Northern Cape,Programme 3: Transport Operations ,Sub-Programme 3.2: Public Transport Services ,Quarterly,Number of operative decentralised offices established,Non-Standardized,Max,Priority 2: Economic Transformation And Job Creation,"Driver 1: Economic Transformation, Growth and Development","The Economic Sectors, Employment and Infrastructure Development cluster",4,3,"Due to personnel challenges pertaining to suspension of management members responsible for PRE’s administration that had a direct and negative impact on performance
",The Pixley ka Seme office will be established during the 4th quarter,"The targets are aligned to the APP 2024-25. Performance is still at 75% up to the 1st quarter, since the previous financial year. ",4,3,"Cost containment measures implemented affects planned activities to establish the fourth office in Pixley Ka Seme District. 
Due to personnel challenges, e.g suspension of management members responsible for PRE’s administration had a direct impact on performance.

","Programme to postpone the planned activities for the establishment of the 4th office.
",Performance remains at 75% against the quarterly target up to the 2nd quarter. ,4,3,All activities related to the establishment of the fourth decentralized office have been postponed due to cost containment measures imposed by National Treasury. ,The Programme aims to identify office space for this office in the Pixley Ka Seme District during the fourth quarter of the current financial year.,Performance remains at 75% against the annual target since the previous financial year. ,4,3,All activities related to the establishment of the fourth decentralized office have been postponed due to cost containment measures imposed by National Treasury,The Programme aims to prioritize activities relating to the establishment of the fourth decentralised office in the Pixley Ka Seme District during the new financial year,75% Performance achieved against the annual target and remained the same as per the previous financial year. ,4,3,,,,"Please populate the pre-audited outputs before the final submission. 
Achived 75% performance against the annual target, as per the quarterly reports, maintaining the 3 achieved in the 2023/24 FY.  ",,17
Transport,Transport,Northern Cape,Programme 3: Transport Operations ,Sub-Programme 3.2: Public Transport Services ,Quarterly,Number of routes subsidised,Standardized,Max,Priority 2: Economic Transformation And Job Creation,-,"The Economic Sectors, Employment and Infrastructure Development cluster",61,61,,,The targets are aligned to the APP 2024-25. Performance is on track up to the 1st quarter with the quarterly target achieved as planned. ,61,52,Contract terminated due to non-compliance. ,SCM is in the process of procuring a substitute contractor.   ,85% Performance against the quarterly target due to terminated contracts. ,61,52,Contract terminated due to non-compliance,"SCM to
appoint a
substitute
operator
","85% performance against the quarterly target, due to terminated contracts. ",61,52,Contract terminated due to non-compliance,Matter have been referred to SCM to appoint a substitute operator,"85,2% Performance achieved against the quarterly target. Performance remained at 52 since the 2nd quarter. ",61,61,,,,"Please populate the pre-audited output before the final submission.  Average performance of 54,25 achieved over all the quarters. Achieved 61 routes in the 2023/24 FY.",,17
Transport,Transport,Northern Cape,Programme 3: Transport Operations ,Sub-Programme 3.3: Operator Licences and Permits,Quarterly,Number of Provincial Regulating Entity (PRE) hearings conducted,Standardized,Not  Applicable,Not Applicable,-,Not Applicable,3,0,No Pre-Hearing/adjudications held in he quarter as the PRE was tasked with managing the discrepancies and challenges in the Handing Over Report before resuming with adjudication of operating license applications,All Pre-Adjudications have been deferred to the 2nd Quarter,"The targets are aligned to the APP 2024-25. No progress reflected in the 1st quarter, and adjudications deferred to the 2nd quarter, expecting an over performance in Q2. ",3,2,The PRE dealt with discrepancies that emanated from the Handover report.   ,Gazette was published in September 2024. Hearings will increase during the 3rd and 4th quarters,"Improvement reflected in Q2 in comparison with Q1, but gap of 1st quarter still remains. ",3,3,,,"Quarterly target was achieved as planned, but the gap from Q1 and Q2 still remains. 41,6% performance against the annual target up to the 3rd quarter. ",3,3,-,-,"Quarterly target achieved as planned, with 66,67% performance achieved against the annual target due to an underperformance in Q1 and Q2. ",12,8,8,No Pre-Hearing/adjudications held in the 1st quarter as the PRE was tasked with managing the discrepancies and challenges in the Handing Over Report before resuming with adjudication of operating license applications,None,"66,67% achieved against the annual target and output aligned to the outputs reported quarter on quarter. Improvement reflected in comparison with 3 achieved in 2023/24 FY. ",,17
Transport,Transport,Northern Cape,Programme 3: Transport Operations ,Sub-Programme 3.4: Transport Systems,Annually,Number of Provincial Land Transport Frameworks updated,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Driver 1: Economic Transformation, Growth and Development","The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,,,,,,,1,1,,,,1,1,1,-,-,Annual target achieved as planned and maintained performance as per 2023/24 FY.,,17
Transport,Transport,Northern Cape,Programme 3: Transport Operations ,Sub-Programme 3.5: Infrastructure Operations,Annually,Number of Reports submitted on the Mega Projects,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"Driver 1: Economic Transformation, Growth and Development","The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,,,,,,,2,2,,,,2,2,2,-,-,Annual target achieved as planned and maintained performance as per 2023/24 FY.,,17
Transport,Transport,Northern Cape,Programme 4: Transport Regulation ,Sub-Programme 4.2: Transport Administration and Licensing,Quarterly,Number of compliance inspections conducted,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,-,"The Economic Sectors, Employment and Infrastructure Development cluster",10,10,,,The targets are aligned to the APP 2024-25. Performance is on track up to the 1st quarter with the quarterly target achieved as planned.  ,15,13,Due to ill health of an official not all compliances were conducted,Achieve targets as planned for the quarter,86% performance against the quarterly target and 46% achieved against the annual target up to the 2nd quarter.,15,18,Additional 3 inspections were conducted to address the 2nd  Quarter under performance,,Quarterly target was achieved and the gap from Q2 was addressed. Performance is on track with 82% achieved against the annual target up to the 3rd quarter.  ,10,10,-,-,Quarterly target achieved as planned and annual target achieved up to the 4th quarter. ,50,51,51,Additional inspections were conducted to address non-compliance at a VTS,,Annual target achieved and improvement noted in comparison with 50 achieved in 2023/24 FY.,,17
Transport,Transport,Northern Cape,Programme 4: Transport Regulation ,Sub-Programme 4.3: Law Enforcement,Quarterly,Number of drunken driving operations conducted,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,-,"The Economic Sectors, Employment and Infrastructure Development cluster",80,113,Additional operations conducted during the Easter Campaigns,Achieve targets as planned for the Quarter,The targets are aligned to the APP 2024-25. Performance is on track up to the 1st quarter with 95 operations conducted. ,70,124,Integrated law enforcement operations,The performance of is affected positively by integrated or joint operations with other stakeholders ,Performance is on track up to Q2 with 79% achieved against the annual target up to the 2nd quarter. ,90,149,More operations were conducted due to Road Safety Festive season campaign,,Performance is on track with the annual target already achieved up to the 3rd quarter.,80,106,Increased festive season operations,None,"Annual target achieved up to the 4th quarter, with all quarterly targets over achieved. Slight decrease indicated in comparison with the previous FY from 535 to 493.",320,492,491,Increased festive season operations,,"Annual target achieved, and indicated a decrease in comparison with the 535 achieved in the 2023/24 FY. ",,17
Transport,Transport,Northern Cape,Programme 4: Transport Regulation ,Sub-Programme 4.3: Law Enforcement,Quarterly,Number of pedestrian operations conducted,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,-,"The Economic Sectors, Employment and Infrastructure Development cluster",8,7,"One (1) Operation could not materialise due to the hospitalisation of the Safety Officer
",Extra pedestrian operation will be conducted in quarter 2,"The targets are aligned to the APP 2024-25. Performance of 87,5% achieved against the 1st quarter target. ",6,8,"Integrated programmes and 1 extra operation as a remedial action for Quarter 1
",Achieve targets as planned for the quarter,Performance is on track with 50% achieved against the annual target up to the 2nd quarter.,10,12,More interventions were conducted due to Road Safety Festive season campaign,,Performance is on track up to the 3rd quarter with a total of 27 pedestrian operations conducted resulting in 90% achieved against the annual target. ,6,13,More pedestrian activations were conducted to reduce fatalities involving pedestrians,None,"Annual target achieved up to the 4th quarter, with Q2, Q3 and Q4 quarterly targets, over-achieved. ",30,40,40,More pedestrian activations were conducted to reduce fatalities involving pedestrians,,Annual target achieved and indicated an improvement in comparison with the 37 achieved in 2023/24 FY. ,,17
