Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,National_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,National_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,National_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,National_Q4,OTP_Q2,DesiredPerformance,UID
Basic Education,Education,North West,Programme 1:  Administration,Sub Programme 1.2,Annually,POI 1.3: Percentage of expenditure going towards non-personnel items,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Job Creation,"The Social Protection, Community and Human Development cluster",,,,,,,15 %,15 %,15 %,15 %,,None,None,,,,,,,,,,,,,,,,,,,116
Basic Education,Education,North West,Programme 1:  Administration,Sub Programme 1.2,Quarterly, POI 1.11: Percentage of preferential procurement spend on enterprises that are youth - owned,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Job Creation,"The Social Protection, Community and Human Development cluster",3 %,10.76 %,4 %,None %,4 %,11% %,4 %,8% %,15 %,0 %,,,,,"Our preference targets women, youth and PWD, therefore women followed by youth are allocated the highest points out of three categories. Women who are youth are more favoured to be awarded any contract where they compete against any designated group.","The department will identify contracts which will specifically only target women youth and PWD-owned.

",Please provide reason for deviation for an over achievement and remedial. ,"There is  alignment between the targets in the e-QPR and the 2024/25 APP for all the quarters  of the  2024/25 financial year. The outcome for the 1st quarter of the 2024/25 financial year is 352% of the set target. The PED has not provided a reason for the attainment of the outcome for the period under review and are advised to do so.
",Awaiting for report from Provincial Treasury,Report will be provided during phase 2 reporting.,"The PED has provided a reason for not reporting on this indicator for the quarter under review. The PED is advised to look at the ""corrective action Q2"" to be taken because the reporting was for the second quarter.
",More women enterprises responded and qualified.,,,"The PED has achieved 269% of the set target for the quarter under review. The PED has provided a reason for the attainment of the set target.  The PED is advised to update the indicator in line with the Provincial Treasury report if need be.
",None,None,,"The PED has achieved 200%  of the set target for the quarter under review.   The PED is advised to include a reason for the attainment of the target for the quarter under review.
",,,116
Basic Education,Education,North West,Programme 1:  Administration,Sub Programme 1.2,Quarterly,POI 1.10: Percentage of preferential procurement spend on enterprises that are women - owned ,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Job Creation,"The Social Protection, Community and Human Development cluster",10 %,41.52 %,10 %,None %,10 %,29 %,10 %,36% %,40 %,0 %,,,,,"Our preference targets women, youth and PWD, therefore women are allocated the highest points out of three categories. Women are more favoured to be awarded any contract where they compete against any designated group.",The department will identify contracts which will specifically only target women youth and PWD – owned.,Please provide reason for deviation for an over achievement and remedial. ,"There is  alignment between the targets in the e-QPR and the 2024/25 APP for all the quarters  of the  2024/25 financial year. The outcome for the 1st quarter of the 2024/25 financial year is 415% of the set target. The PED has not provided a reason for the attainment of the outcome for the period under review and are advised to do so.
",Awaiting for report from Provincial Treasury ,,"The PED has provided a reason for not reporting on this indicator for the quarter under review. The PED is advised to look at the ""corrective action Q2"" to be taken because the reporting was for the second quarter.
",More women enterprises responded and qualified.,,,"The PED has achieved 4158% of the set target for the quarter under review.  The PED has provided a reason for the attainment of the set target.  The PED is advised to update the indicator in line with the Provincial Treasury report if need be.
",None,None,,"The PED has achieved 360%  of the set target for the quarter under review.   The PED is advised to include a reason for the attainment of the target for the quarter under review.
",,,116
Basic Education,Education,North West,Programme 1:  Administration,Sub Programme 1.2,Quarterly,POI 1.12: Percentage of preferential procurement spend on enterprises that are PWD - owned,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Job Creation,"The Social Protection, Community and Human Development cluster",1 %,0.55 %,2 %,None %,2 %,0.6 %,2 %,1% %,7 %,0 %,,,,,"The department does not have adequate service providers who are disabled, responding to our request, although there are numerous awareness campaigns organised by Strategic Planning. However, even if the designated groups are identified, they do not impact significantly, the price of the disabled designated groups is more than 25% above the lowest price.",None,,"There is  alignment between the targets in the e-QPR and the 2024/25 APP for all the quarters  of the  2024/25 financial year. The outcome for the 1st quarter of the 2024/25 financial year is 55% of the set target. The PED has provided a reason for the attainment of the outcome for the period under review.
",Awaiting for report from Provincial Treasury,Report will be provided during phase 2 reporting.,"The PED has provided a reason for not reporting on this indicator for the quarter under review. The PED is advised to look at the ""corrective action Q2"" to be taken because the reporting was for the second quarter.
","The department does not have adequate service providers who are disabled, responding to our request, although there are numerous awareness campaigns organised by Strategic Planning. However even if the designated groups are identified, they do not impact significantly if the price of the disable designated groups is more than 25% above the lowest price.",,Department to include the indicator that has under-performed in the Q3 Improvement plan. ,"The PED has achieved 28% of the set target for the quarter under review.  The PED has provided a reason for the attainment of the set target,  The PED is advised to update the indicator in line with the Provincial Treasury report if need be.
",Less people with disability applied ,None,,"The PED has achieved 50%  of the set target for the quarter under review.   The PED has provided a reason for the   attainment of the target for the quarter under review.
",,,116
Basic Education,Education,North West,Programme 1:  Administration,Sub Programme 1.2,Quarterly,POI 1.13: Percentage of invoices paid within 30 days,Non-Standardized,Average,"Priority 3: Education, Skills And Health",Job Creation,"The Social Protection, Community and Human Development cluster",100 %,94 %,100 %,94 %,100 %,92 %,100 %,87% %,100 %,"93,33333333333333333333333333 %",,,,,Delayed due to suppliers not attending to queries promptly.,Implementation of tracking system where suppliers will immediately receive a massage to attend to queries,Develop the improvement plan for the under-achieved indicator. ,"There is  alignment between the targets in the e-QPR and the 2024/25 APP for all the quarters  of the  2024/25 financial year. The outcome for the 1st quarter of the 2024/25 financial year is 94% of the set target. The PED has provided a reason for the attainment of the outcome for the period under review. The outcome of the corrective action to be undertaken should be monitored.
",Delayed due to end users not attending to queries promptly.,Implementation of tracking system where end users will immediately receive a message to attend to queries.," The outcome for the 2nd  quarter of the 2024/25 financial year is 94% of the set target.  The PED has provided a reason for the attainment of the outcome for the quarter under review. The outcome of the corrective action to be undertaken should be monitored.
",Delayed due to end users not attending to queries promptly,Closely monitor invoice tracking system to pay suppliers within 30 days,,"The PED has achieved 94% of the set target for the quarter under review.  The PED has provided a reason for the attainment of the set target.  It is advised that the PED have a corrective action in place to deal with the reason for deviation.
",Delayed due to end users not attending to queries,Closely monitor invoice tracking system to pay suppliers within 30 days ,The department to develop improvement plan for the indicator that  was not achieved in Q4,"The PED has achieved 87%  of the set target for the quarter under review.   The PED has provided a reason for the   attainment of the target for the quarter under review. The corrective action to be undertaken should be monitored during the 2025/26 financial year.
",,,116
Basic Education,Education,North West,Programme 1:  Administration,Sub Programme 1.2,Quarterly,POI 1.4: Percentage of SGBs in schools that meet the minimum criteria in terms of functionality ,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",2. Tackling Unemployment (2019-2024),"The Social Protection, Community and Human Development cluster",0 %,,0 %,0 %,60 %,60 %,0 %,,60 %,0 %,,,,,,,,,,,,None,None,,"The PED has achieved 99% of the set target for the quarter under review. The PED has provided a reason for the attainment of the set target. However. The reason for deviation does not correspond with the actual output for quarter 3,
",,,,,,,116
Basic Education,Education,North West,Programme 1:  Administration,Sub Programme 1.4,Quarterly,POI 1.6: Number of office-based employees trained,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Job Creation,"The Social Protection, Community and Human Development cluster",60,63,100,100,100,100,58,58,318,58,,,,,We had to swap the Q1 POPIA training for 40 SMS members with two programmes that were already procured. Managers were not available for training.,Swapped training planned for Q2.  Advance excel and 19 Basic Project Management 24 to make up for Q1 target.,,"There is  alignment between the targets in the e-QPR and the 2024/25 APP for all the quarters  of the  2024/25 financial year. The outcome for the 1st quarter of the 2024/25 financial year is 105% of the set target. The variance is 3. The PED has provided a reason for the attainment of the outcome for the period under review. The outcome of the corrective action to be undertaken should be monitored.
",None,None,,None,None,,"The PED has achieved 100% of the set target for the quarter under review.
",None,None,,"The PED has achieved 0%  of the set target for the quarter under review. 
",,,116
Basic Education,Education,North West,Programme 1:  Administration,Sub Programme 1.5,Quarterly,POI 1.1: Number of public schools that use the South African School Administration and Management System (SA-SAMS) or any alternative electronic solution to provide data,Non-Standardized,Average,"Priority 3: Education, Skills And Health",Job Creation,"The Social Protection, Community and Human Development cluster",1468,1468,1468,1468,1468,1466,1468,1466,1468,1467,,,,,None,None,,"There is  alignment between the targets in the e-QPR and the 2024/25 APP for all the quarters  of the  2024/25 financial year. The outcome for the 1st quarter of the 2024/25 financial year is 100% of the set target. 
",None,None," The outcome for the 2nd quarter of the 2024/25 financial year is 100% of the set target.
","Three primary schools were closed (Naganasentle, Klipvoor and Thebenare) and 1 school started using SA SAMS (Borolelo Primary)",None,,"The PED has achieved 100% of the set target for the quarter under review.
","Three primary schools were closed (Naganasentle, Klipvoor and Thebenare) and 1 school started using SA SAMS (Borolelo Primary)",None,,"The PED has achieved  99,86%  of the set target for the quarter under review.  The variance is -2.  The PED has provided a reason for the   attainment of the target for the quarter under review. The PED is advised to check the number of schools closed as it shows 2. whilst the narrative refers to 3, The PED is advised to track the impact of the rationalisation and whether the resources from the schools have been reallocated and if there are savings thereof.
",,,116
Basic Education,Education,North West,Programme 1:  Administration,Sub Programme 1.5,Quarterly,POI 1.2: Number of public schools that can be contacted electronically (email),Non-Standardized,Average,"Priority 3: Education, Skills And Health",Job Creation,"The Social Protection, Community and Human Development cluster",1468,1468,1468,1468,1468,1466,1468,1466,1468,1467,,,,,None,None,,"There is  alignment between the targets in the e-QPR and the 2024/25 APP for all the quarters  of the  2024/25 financial year. The outcome for the 1st quarter of the 2024/25 financial year is 100% of the set target. 
",None,None," The outcome for the 2nd  quarter of the 2024/25 financial year is 100% of the set target.
",None,None,,"The PED has achieved 100% of the set target for the quarter under review.
","Three primary schools were closed (Naganasentle, Klipvoor and Thebenare) and 1 school started using SA SAMS (Borolelo Primary)",None,,"The PED has achieved  99,86%  of the set target for the quarter under review.  The variance is -2.  The PED has provided a reason for the   attainment of the target for the quarter under review. The PED is advised to check the number of schools closed as it shows 2. whilst the narrative refers to 3, The PED is advised to track the impact of the rationalisation and whether the resources from the schools have been reallocated and if there are savings thereof.
",,,116
Basic Education,Education,North West,Programme 1:  Administration,Sub Programme 1.5,Quarterly,POI 1.5: Percentage of schools having access to information through Connectivity,Non-Standardized,Average,"Priority 3: Education, Skills And Health",Job Creation,"The Social Protection, Community and Human Development cluster",100 %,100 %,100 %,100 %,100 %,100 %,100 %,100 %,100 %,100 %,,,,,None,None,,"There is  alignment between the targets in the e-QPR and the 2024/25 APP for all the quarters  of the  2024/25 financial year. The outcome for the 1st quarter of the 2024/25 financial year is 100% of the set target. 
",None,None," The outcome for the 2nd  quarter of the 2024/25 financial year is 100% of the set target.
",None,None,,"The PED has achieved 100% of the set target for the quarter under review.
",None,None,,"The PED has achieved 100% of the set target for the quarter under review.
",,,116
