Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,OTP_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,ReasonforDeviation_Q1,CorrectiveAction_Q1,National_Q1,National_Q2,National_Q3,National_Q4,UID
Environmental Affairs,Environmental Affairs,North West,Programme 1:  Administration ,Programme 1:  Administration ,Annually,default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,98
Environmental Affairs,Environmental Affairs,North West,Programme 1:  Administration ,Programme 1:  Administration ,Annually,Percentage of Budget spent on enterprise owned by women,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,40 %,,40 %,,45,More commodities were procured  from women owned enterprises,None,,,,,,,,,,,,,,,,,,98
Environmental Affairs,Environmental Affairs,North West,Programme 1:  Administration ,Programme 1:  Administration ,Annually,Percentage of prior year audit findings resolved,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,100 %,89 %,100 %,89 %,89,Some POEs were not provided to support implemention of  action plan in order to clear the finding,None,,,,,,,,,,,,,,,,,,98
Environmental Affairs,Environmental Affairs,North West,Programme 1:  Administration ,Programme 1:  Administration ,Quarterly,default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,98
Environmental Affairs,Environmental Affairs,North West,Programme 1:  Administration ,Programme 1:  Administration ,Quarterly,Number of oversight on the performance of Entities,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",1,1,1,0,1,1,1,1,4,1,3,tbp,,,Output not reported on ,,,Output not updated,None,None,Output not reported instead reason for deviation reported as output,None,None,Output not reported and reason for deviation not stated,None,None,,,,,98
Environmental Affairs,Environmental Affairs,North West,Programme 1:  Administration ,Programme 1:  Administration ,Quarterly,Number of reports on the implementation of disaster management plan,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",1,1,1,1,1,1,1,1,4,4,4,None,None,,Output not reported on ,None,None,Output not updated,None,None,Output not reported and reason for deviation not stated,None,None,Output not reported and reason for deviation not stated,None,None,,,,,98
Environmental Affairs,Environmental Affairs,North West,Programme 1:  Administration ,Programme 1:  Administration ,Quarterly,Percentage of invoices paid within 30 days after receipts of invoices,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",100 %,88 %,100 %,91.4% %,100 %,100% %,100 %,95% %,100 %,88 %,94,Unavailability of the system due maintance of the mainframe,None,,Output not reported on ,"1.Non Adherence to turn around time                                             2. Payment rejection to invalid SARS reference number.

",Intensify follow-ups to ensure that turnaround time is complied with.  ,,None,None,,1. Human error - incorrect date of invoice captured  2. Unavailability of the system due maintance of the mainframe,None,,Some invoices were accruals and others were payables due to closure of the system,Encourage suppliers to submit invoices immediately after the opening of the new financial year,,,,,98
Environmental Affairs,Environmental Affairs,North West,Programme 1:  Administration ,Sub-Programme 1.1: Office of the MEC,Annually,default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98
Environmental Affairs,Environmental Affairs,North West,Programme 1:  Administration ,Sub-Programme 1.1: Office of the MEC,Quarterly,default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,0,,,,,,,,Remove,,,,,,,,,,,,,98
Environmental Affairs,Environmental Affairs,North West,Programme 1:  Administration ,Sub-Programme 1.2: Senior Management (HOD),Annually,default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98
