Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,DesiredPerformance,UID
,Mineral Resources and Energy,National,Programme 1: Administration,Programme 1: Administration,Quarterly,% Resolution of reported incidents of corruption,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",Report on resolved cases/incidents of fraud corruption cases,"Achieved
",N/A,N/A,Report on resolved cases/incidents of fraud corruption cases,Achieved,N/A,N/A,Report on resolved cases/incidents of fraud corruption cases,Revised,,,95% resolution of reported incidents of corruption,Revised,,,95% resolution of reported incidents of corruption,-,,,,,,287
,Mineral Resources and Energy,National,Programme 1: Administration,Programme 1: Administration,Quarterly,No new incidences of irregular expenditure identified requiring investigation per annum,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",No new incidences of irregular expenditure identified requiring investigation per annum,Not achieved ,Procurement process not followed,"SCM policy was shared with the end user.
",No new incidences of irregular expenditure identified requiring investigation per annum,"Achieved
No irregular expenditure was incurred during Q2 ",N/A,N/A,No new incidences of irregular expenditure identified requiring investigation,"Achieved

No irregular expenditure incurred during the 3rd quarter
",N/A,N/A,No new incidences of irregular expenditure identified requiring investigation per annum,Achieved,N/A,N/A,No new incidences of irregular expenditure identified requiring investigation per annum,-,,,,,,287
,Mineral Resources and Energy,National,Programme 1: Administration,Programme 1: Administration,Quarterly,No new incidents of wasteful and fruitless expenditure identified requiring investigation per annum,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",No new incidents of wasteful and fruitless expenditure identified requiring investigation per annum,"Achieved 
",N/A,N/A,No new incidents of wasteful and fruitless expenditure identified requiring investigation per annum,Not Achieved ,The invoice received after due date,Implementation of firmer consequence management,No new incidents of wasteful and fruitless expenditure identified requiring investigation per annum,Not Achieved. An amount of R936.12 interest was paid,Additional amount was incurred in December 2024 due to late receipt of arbitration award which led to payment of  interest.,The matter will be referred to internal audit for investigation. ,No new incidents of wasteful and fruitless expenditure identified requiring investigation per annum,Achieved,N/A,N/A,No new incidents of wasteful and fruitless expenditure identified requiring investigation per annum,-,,,,,,287
,Mineral Resources and Energy,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Number of jobs to be enabled through the granting of new (to industry) petroleum retail licenses,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",Delete ,Delete ,Delete ,Delete ,Delete ,,,,Delete ,,,,Delete ,,,,Delete ,-,,,,,,287
,Mineral Resources and Energy,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage assessment of approved Shareholder compacts and Corporate Plans of Schedule 2 SOEs,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,Revised,,,"100% assessment of received Shareholder compacts and Corporate Plans of Schedule
2 SOEs",Revised,,,"100% assessment of received Shareholder compacts and Corporate Plans of Schedule
2 SOEs",-,,,,,,287
,Mineral Resources and Energy,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage of approved invoices from service providers paid within 30 days of receipt,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",100% approved invoices from service providers paid within 30 days of receipt,Achieved ,N/A,N/A,100% approved invoices from service vice providers paid within 30 days of receipt,Achieved: 3 Note 34 Reports submitted to NT on time,N/A,N/A,100% approved invoices from service vice providers paid within 30 days of receipt,"Achieved
Approved invoices paid within 30 days 
",N/A,N/A,100% approved invoices from service providers paid within 30 days of receipt,Achieved,N/A,N/A,"100% approved
invoices from service providers paid within 30 days of receipt",-,,,,,,287
,Mineral Resources and Energy,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage of received schedule 3A SOE Annual Performance Plans reviewed and tabled in Parliament,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,N/A,,,100% of received schedule 3A SOE Annual Performance Plans reviewed and tabled in Parliament,"Achieved: 7 Annual Performance Plans approved by the Minister for tabling
",N/A,N/A,100% of received schedule 3A SOE Annual Performance Plans reviewed and tabled in Parliament,-,,,,,,287
,Mineral Resources and Energy,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage of received Schedule 3A SOE’s Annual Performance Plans assessed for submission to Parliament,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,Revised,,,100% assessment of received schedule 3A SOE Annual Performance Plans and submitted to Parliament,Revised,,,100% assessment of received schedule 3A SOE Annual Performance Plans and submitted to Parliament,-,,,,,,287
,Mineral Resources and Energy,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage of received Shareholder compacts and Corporate Plans of Schedule 2 SOEs reviewed and ministerial submission produced,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"Governance, State Capacity and Institutional Development cluster",,,,,,,,,,N/A,,,"100% of received Shareholder compacts and Corporate Plans of Schedule
2 SOEs reviewed and ministerial submissions produced","Not achieved: Shareholder Compact and Corporate Plans of Schedule 2 SOE received, reviewed and Ministerial submissions produced
","CEF Shareholder Compact submission delayed due to the outstanding financial information. 
","CEF shareholder compact was signed after the reporting timelines
","100% of received Shareholder compacts and Corporate Plans of Schedule
2 SOEs reviewed and ministerial submissions produced",-,,,,,,287
,Mineral Resources and Energy,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage of received SOE Annual Reports reviewed and tabled in Parliament,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,100% of received SOE Annual Reports reviewed and tabled in Parliament,,,,,N/A,,,,N/A,N/A,N/A,100% of received SOE Annual Reports reviewed and tabled in Parliament,-,,,,,,287
