Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,National_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,National_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,National_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,National_Q4,OTP_Q3,OTP_Q1,UID
Basic Education,Education,Free State,Programme 1:  Administration,Programme 1:  Administration,Annually,Default,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230
Basic Education,Education,Free State,Programme 1:  Administration,Programme 1:  Administration,Quarterly,Default,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230
Basic Education,Education,Free State,Programme 1:  Administration,Sub Programme 1.1: Office of the MEC,Annually,Default,Non-Standardized,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230
Basic Education,Education,Free State,Programme 1:  Administration,Sub Programme 1.1: Office of the MEC,Quarterly,Default,Non-Standardized,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230
Basic Education,Education,Free State,Programme 1:  Administration,Sub-Programme 1.2: Corporate Services,Annually,Default,Non-Standardized,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,230
Basic Education,Education,Free State,Programme 1:  Administration,Sub-Programme 1.2: Corporate Services,Annually,Output Indicator 103: Percentage of expenditure going towards non-personnel items,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, innovation and skills development","Governance, State Capacity and Institutional Development cluster",,,,,,,13 %,,13 %,,15.1,"Higher spending is due to transfer payments to schools and ECD Centres that was paid for 2 quarters during the 1st & 3rd quarters as well as payments of accruals. 

",N/A,,,,,,,,,,,,,,,,,,230
Basic Education,Education,Free State,Programme 1:  Administration,Sub-Programme 1.2: Corporate Services,Annually,Output Indicator 104: Number of SMART schools provided with additional ICT devices,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, innovation and skills development","Governance, State Capacity and Institutional Development cluster",,,,,,,10,,10,,10,N/A,N/A,,,,,,,,,,,,,,,,,,230
Basic Education,Education,Free State,Programme 1:  Administration,Sub-Programme 1.2: Corporate Services,Annually,Output Indicator 105: Number of teachers provided with ICT devices,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, innovation and skills development","Governance, State Capacity and Institutional Development cluster",,,,,,,400,,400,,423,"More teachers were equipped with ICT devices that enabled them to integrate technology into the lessons to accommodate students’ diverse and unique learning styles.

",N/A,,,,,,,,,,,,,,,,,,230
Basic Education,Education,Free State,Programme 1:  Administration,Sub-Programme 1.2: Corporate Services,Annually,Output Indicator 106: Number of Office based educators provided with ICT devices,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, innovation and skills development","Governance, State Capacity and Institutional Development cluster",,,,,,,50,,50,,51,N/A,N/A,,,,,,,,,,,,,,,,,,230
Basic Education,Education,Free State,Programme 1:  Administration,Sub-Programme 1.2: Corporate Services,Annually,Output Indicator 108: Number of schools reached through advocacy campaigns on GBVF,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, innovation and skills development","Governance, State Capacity and Institutional Development cluster",,,,,,,150,,150,,167,"The over-achievement is due to partnerships with external Departments/ Organisations and other Sections within the Department.
",N/A,,,,,,,,,,,,,,,,,,230
