Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,UID
,"Trade, Industry and Competition",National,Programme 1: Administration ,Programme 1: Administration ,Quarterly,"% of cases received to be completed up to Final report stage, by the end of the financial year.",Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,0,0,N/A,N/A ,0,N/A,N/A,N/A,0,N/A,N/A,N/A,60,"67%
",N/A ,N/A ,60,0,67,"The preliminary investigation was conducted for certain cases, which led to the completion of investigations in a shorter period of time","N/A 
",67,175
,"Trade, Industry and Competition",National,Programme 1: Administration ,Programme 1: Administration ,Quarterly,"(%) of procurement approved towards women, youth and PWD ",Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,0,0,N/A ,N/A ,25,"Youth 
R4,662,810.87  
25%
Women R11,474,224.72	
61%
PWD	
R1,832,427.89
10%
",N/A,N/A,0,N/A,N/A,N/A,25,"Women – 
R102 107 042.60 - 44% 
Youth –
R28 571 022.47 
12%
PWD – 
R2 033 627.89  
1%
","More targeted training relating to PWD initiated
",N/A ,25,0,25,"N/A 
","N/A 
",44,175
,"Trade, Industry and Competition",National,Programme 1: Administration ,Programme 1: Administration ,Quarterly,A  Proposal for the operation and staffing of an Entity Oversight Unit  and implementation of improved oversight,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,ToRs drafted and submitted to ERC ,"Tours drafted and submitted to ERC 
","Draft ToRs submitted to ERC
",N/A ,Study commissioned by ERC ,Target not achieved ,"Study not yet commissioned by ERC

Further consultations with Branches and Ministry on the ToR 
","Revised ToR following the consultation  was submitted to ERC with a request for them to commission the study. 

To be finalised in Q3. 
",Approval of proposals and implementation ,"Proposals not yet available as the “Fit or Purpose” project is still ongoing
","Awaiting the “Fit for Purpose” project o be completed.
",N/A,Implementation and monitoring ,"Target not achieved: 
Staffing of the unit is part of the Fit for Purpose project 


","Staffing of the unit is part of the Fit for Purpose project 
",N/A ,1,-,1,"N/A 
","N/A 
",1,175
,"Trade, Industry and Competition",National,Programme 1: Administration ,Programme 1: Administration ,Quarterly,A Proposal for rationalisation of entities submitted to Minister for consideration.,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,Terms of reference drafted and submitted to ERC ,"Terms of reference drafted and submitted to ERC
","Draft ToRs submitted to ERC
",N/A ,Study commissioned by ERC ,Target not achieved ,"Study not yet commissioned by ERC

Further consultations with Branches and Ministry on the ToR 
","Revised ToR following the consultation  was submitted to ERC with a request for them to commission the study. 

To be finalised in Q3  
",Present proposal to OpsComm & Exbo and submit to Minister  ,"Proposals on th Rationalisation not yet available as the service provider was appointed in Q3
","Delays in the appointment of the service provider.
",N/A,Implementation and monitoring  ,"Target not achieved 
Proposal for rationalisation of entities not yet completed and approved 

","
Service provider was appointed in November 2022 and work is still underway 
",N/A ,1,-,1,"N/A 
","N/A 
",1,175
,"Trade, Industry and Competition",National,Programme 1: Administration ,Programme 1: Administration ,Quarterly,A report  on the effectiveness of the dtic communications in communities ,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,0,0,N/A,N/A,0,N/A,N/A,N/A,0,N/A,N/A,N/A,1,"Target not achieved:
 
Terms of reference to assess the effectiveness of communication were developed and SLA with GCIS was  not finalised 

","Consultation between parties took longer than anticipated 
",N/A ,1,0,1,"N/A 
","N/A 
",1,175
,"Trade, Industry and Competition",National,Programme 1: Administration ,Programme 1: Administration ,Quarterly,A report on  Implementation of the Reporting Tool Project Plan,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,0,0,N/A ,N/A ,0,N/A,N/A,N/A,0,N/A,N/A,N/A,1,"An annual report was compiled
and signed off on 31 March
2023
",N/A ,N/A ,1,0,1,"N/A 
","N/A 
",1,175
,"Trade, Industry and Competition",National,Programme 1: Administration ,Programme 1: Administration ,Quarterly,A report on the Annual client satisfaction survey conducted and corrective action plan produced,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,0,0,N/A ,N/A ,0,N/A,N/A,N/A,0,N/A,N/A,N/A,1,"Exceeded – report produced of action plans included in CMSB plan 2023/24 –signed off by A/DG on 6 March 2023
","Planned
interventions
initiated already in
Nov /Dec 2022
",N/A ,1,0,1,"N/A 


","N/A 
",1,175
,"Trade, Industry and Competition",National,Programme 1: Administration ,Programme 1: Administration ,Quarterly,"Finalisation, approval and implementation of the oversight framework ",Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,0,0,N/A ,N/A ,0,N/A,N/A,N/A,Approved oversight framework  ,"Oversight framework not yet eveloped as the service provider was appointed in Q3 
",Delas in the appointment of the service provider.,N/A,0,N/A ,N/A ,N/A,Approved oversight framework ,-,"Enhancements to oversight framework
approved and implemented. The enhancements related to:
- Quarterly reports of
entities;
- Board and CEO
appointment
processes
- Entities’ reporting to
the Audit Committee

","N/A 
","N/A 
","Enhancements
to oversight
framework
approved and
implemented.
Enhancements
related to:
• Quarterly
reports of
entities
• Board
and CEO
appointment
processes
• Entities
reporting
to the Audit
Committee",175
,"Trade, Industry and Competition",National,Programme 1: Administration ,Programme 1: Administration ,Quarterly,Number of Action Minutes outlining steps taken to improve the performance of the Monitoring and Evaluation unit,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,0,0,N/A ,N/A ,1,1,N/A,N/A,0,N/A,N/A,N/A,0,"Report submitted on 29 March 2023
 
 • Consulted with GTAC re possible assistance with the project
• Approached BAC and BAC approved the utilisation of GTAC for the Fit for Purpose project as well as for the development of a
Competency Framework and conducting of a Skills Audit for the department
• Appointment letter submitted to GTAC and engagement meeting scheduled for 20 April 2023
• Consultation with Organised Labour as part of the DBC agenda in the meeting of 29 March 2023
",N/A ,N/A,1,0,1,"N/A 
","N/A 
",1,175
,"Trade, Industry and Competition",National,Programme 1: Administration ,Programme 1: Administration ,Quarterly,Number of analysis plans identifying improvements to IT performance developed ,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,0,0,N/A ,N/A ,1,1,N/A,N/A,0,N/A,N/A,N/A,1,"An ICT improvement Plan
2023/24 FY was compiled and
finalised on 31 March 2023
",N/A ,N/A ,2,1,2,"N/A 
","N/A 
",2,175
