Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,DesiredPerformance,UID
Public Service and Administration,Public Service and Administration,National,Programme 1: Administration,Programme 1: Administration,Quarterly,"% reduction in cases of fruitless, wasteful, and irregular expenditure from the baseline",Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",,,,,,,,,,,,,"80% reduction in cases of fruitless, wasteful, and irregular expenditure from the baseline ",,,,"80% reduction in cases of fruitless, wasteful, and irregular expenditure from the baseline ",-,,,,,,300
Public Service and Administration,Public Service and Administration,National,Programme 1: Administration,Programme 1: Administration,Quarterly,% Representation of people with disabilities appointed in the department,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",,,,,,,,,,,,,Annual Report on the % of Youth (ages 18-35 years) appointed in the department against the targeted 30 %,,,,2% representation of people with disabilities in the department ,-,,,,,,300
Public Service and Administration,Public Service and Administration,National,Programme 1: Administration,Programme 1: Administration,Quarterly,% Representation of women appointed in SMS positions in the department ,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",,,,,,,,,,,,,Annual Report on the % of women appointed in SMS positions in the department ,,,,50% representation of women in SMS positions in the department,-,,,,,,300
Public Service and Administration,Public Service and Administration,National,Programme 1: Administration,Programme 1: Administration,Quarterly,% representation of Youth (ages 18-35 years) appointed in the department  ,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",,,,,,,,,,,,,Annual Report on the % of youth appointed in the department against the targeted 30%,,,,30% representation of youth in the department,-,,,,,,300
Public Service and Administration,Public Service and Administration,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Annual Report on the % of people with disabilities appointed in the department against the government’s target of 2% submitted to the Director-General for approval (REV),Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",,,,,,,,,,,,,Annual Report on the % of people with disabilities appointed in the department against th government’s target of 2% submitted to the Director General for approval,"ACHIEVED
The Annual Report on the % of people with disabilities appointed in the department was submitted to the Director-General for approval. The report indicated that the representation of people with Disabilities in the Department as at the end of March 2025 was at 2.23% against the targeted 2%
",Not Applicable,Not Applicable,Annual Report on the % of people with disabilities appointed in the department against th government’s target of 2% submitted to the Director General for approval,-,"ACHIEVED
The Annual Report on the % of people with disabilities appointed in the department was submitted to the Director-General for approval. The report indicated that the representation of people with Disabilities in the Department as at the end of March 2025 was at 2.23% against the targeted 2%
",,,,The Annual report will be timely submitted to the Director – General,300
Public Service and Administration,Public Service and Administration,National,Programme 1: Administration,Programme 1: Administration,Quarterly,"Annual Report on the % of women appointed in SMS positions in the department, against the government’s target of 50%, submitted to the Director-General for approval (REV)",Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",,,,,,,,,,,,,Annual Report o the percentage of women appointed in SMS positions in the department against the government target of 50 percent submitted to the director general for approval ,"ACHIEVED
The Annual Report on the % women appointed in SMS positions in the department was submitted to the Director-General for approval. The report indicated that the  representation of women in SMS positions in the Department as at end March 2025 was at 47.06% against the targeted 50%
",Not Applicable,Not Applicable,Annual Report o the percentage of women appointed in SMS positions in the department against the government target of 50 percent submitted to the director general for approval ,-,"ACHIEVED
The Annual Report on the % women appointed in SMS positions in the department was submitted to the Director-General for approval. The report indicated that the representation of women in SMS positions in the Department as at end March 2025 was at 47.06% against the targeted 50%







",,,,The Annual report will be timely submitted to the Director – General,300
Public Service and Administration,Public Service and Administration,National,Programme 1: Administration,Programme 1: Administration,Quarterly,"Annual Report on the % of Youth (ages 18-35 years) appointed in the department against the government’s target of 30 %, submitted to the Director-General for approval (REV)",Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",,,,,,,,,,,,,"Annual Report on the % of Youth (ages 18-35 years) appointed in the department against the government’s target of 30 %, submitted to the Director-General for approval","ACHIEVED
The Annual Report on the % youth appointed in the department was submitted to the Director-General for approval. The report indicated that the % of youth appointed in the Department as at end March 2025 was at 7.6% against the targeted 30%
",Not Applicable,Not Applicable,"Annual Report on the % of Youth (ages 18-35 years) appointed in the department against the government’s target of 30 %, submitted to the Director-General for approval",-,"ACHIEVED
The Annual Report on the % youth appointed in the department was submitted to the Director-General for approval. The report indicated that the % of youth appointed in the Department as at end March 2025 was at 7.6% against the targeted 30%
",,,,The Annual report will be timely submitted to the Director – General,300
Public Service and Administration,Public Service and Administration,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Business Continuity Plan Developed,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",Draft Business Continuity Plan developed,Achieved,Not Applicable,Not Applicable,Draft Business Continuity Plan consulted internally with Staff and EXCO ,Draft Business Continuity Plan consulted internally with Staff and EXCO,Not Applicable,,Business Continuity Plan submitted to the Director-General for approval ,,,,,,,,Business Continuity Plan submitted for approval by the Director General,-,,,,,,300
Public Service and Administration,Public Service and Administration,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Business Continuity Plan submitted to the Director-General for approval (REV),Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",,,,,Draft Business Continuity Plan consulted internally with Staff and EXCO,,,,Business Continuity Plan submitted to the Director- General for approval,Achieved,Not Applicable,Not Applicable,0,,,,Business Continuity Plan submitted to the Director- General for approval,-,"ACHIEVED
The Business Continuity Plan was submitted to the Director- General for approval
",,,,The Business Continuity Plan will be approved by the Director – General,300
Public Service and Administration,Public Service and Administration,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Number of Bi-annual reports on compliance with the BBBEE prescripts,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",,,,,1st Bi-annual reports on compliance with the BBBEE status ,1st Bi-annual reports on compliance with the BBBEE status,Not Applicable,,,,,,2nd Bi-annual (2) reports on  compliance with the BBBEE status ,,,,Bi-annual (2) reports on compliance with the BBBEE status,-,,,,,,300
Public Service and Administration,Public Service and Administration,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Number of Bi-annual reports on compliance with the BBBEE prescripts submitted to the Chief Financial Officer,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",0,,,,1,,,,0,,,,1,"ACHIEVED
The 2nd Bi-annual report on compliance with the BBBEE status (Fully compliant in the procurement environment) was submitted to the Chief Financial Officer

",Not Applicable,Not Applicable,2,0,2,,,,Bi-annual Reports will be timely submitted to the CFO to ensure compliance,300
Public Service and Administration,Public Service and Administration,National,Programme 1: Administration,Programme 1: Administration,Quarterly,"Number of quarterly reports on fruitless, wasteful and irregular expenditure submitted to the national Treasury",Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",4,,,,1,,,,1,Achieved,Not Applicable,Not Applicable,1,"ACHIEVED
The 3rd Quarter report on fruitless, wasteful and irregular expenditure (reflecting R0.00) was submitted to the National Treasury 
",Not Applicable,Not Applicable,4,0,4,,,,All the quarterly reports will be timely submitted to National Treasury to ensure compliance,300
Public Service and Administration,Public Service and Administration,National,Programme 2: Human Resources Management and Development,Programme 2: Human Resources Management and Development,Quarterly,Annual Compliance Monitoring Report on two (2) public Administration Norms and Standards compiled.,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",,,,,Proposed framework (outline) for the compliance report and the two (2) selected Public Administration Norms and standards to be assessed for compliance submitted to EXCO for approval ,Proposed framework (outline) for the compliance report and the two (2) selected Public Administration Norms and standards to be assessed for compliance submitted to the Director-General for approval,"The Proposed
framework (outline)
for the compliance
report and the two (2)
selected Public
Administration Norms and standards to be
assessed for
compliance was
submitted to the
Director-General.",Framework will be re-ruted to EXCO for approval,,,,,Annual Compliance  Monitoring on two (2) Public Administration   Norms and  Standards conducted and report submitted to the Director - General for approval  ,"ACHIEVED
The Annual Compliance Monitoring Report on two (2) Public Administration Norms and Standards was submitted to the Minister for approval.
",Not Applicable,Not Applicable,Annual Compliance Monitoring Report on two (2) Public Administration Norms and  Standards submitted to the Director-General for approva,-,,,,,,300
Public Service and Administration,Public Service and Administration,National,Programme 2: Human Resources Management and Development,Programme 2: Human Resources Management and Development,Quarterly,Annual Compliance Monitoring Report on two (2) Public Administration Norms and Standards submitted to the Minister for approval.(REV),Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",0,,,,Proposed framework (outline) for the compliance report and the two (2) selected Public Administration Norms and standards to be assessed for compliance submitted to EXCO for approval,,,,0,,,,Annual Compliance Monitoring Report on two (2) Public Administration Norms and Standards submitted to the Minister for approval.,,,,Annual Compliance Monitoring Report on two (2) Public Administration Norms and Standards submitted to the Minister for approval.,-,"ACHIEVED
The Annual Compliance Monitoring Report on two (2) Public Administration Norms and Standards [Communication Technology (ICT) security and Temporary Incapacity Leave] was submitted to the Minister for approval
",Not Applicable,Not Applicable,,The report will be approved by the Director-General,300
Public Service and Administration,Public Service and Administration,National,Programme 2: Human Resources Management and Development,Programme 2: Human Resources Management and Development,Quarterly,Monitoring Report on the implementation of the Skills Audit Methodology for the Public Service by 81 provincial departments submitted to the Director-General for approval(REV),Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",Implementation of the Skills Audit Methodology monitored in 20 Provincial departments,,,,Implementation of the Skills Audit Methodology monitored in 41 Provincial departments,,,,0,,,,Monitoring Report on the implementation of the Skills Audit Methodology for the Public Service by 81 provincial departments submitted to the Director-General for approval,"ACHIEVED 
The Monitoring Report on the implementation of the Skills Audit Methodology for the Public Service by 81 provincial departments was submitted to the Director-General for approval
",Not Applicable,Not Applicable,Monitoring Report on the implementation of the Skills Audit Methodology for the Public Service by 81 provincial departments submitted to the Director-General for approval,-,"ACHIEVED
The Monitoring Report on the implementation of the Skills Audit Methodology for the Public Service by 81 provincial departments was submitted to the Director-General for approval

",Not Applicable,Not Applicable,,The report will be approved by the Director-General,300
