Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,UID
Office of the Chief Justice,Office of the Chief Justice,National,PROGRAMME 1: ADMINISTRATION,PROGRAMME 1: ADMINISTRATION,Annually,Audit outcome for the OCJ,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,,,,,,,,,"Clean Audit
outcome for the
2022/23
Financial Year",,Clean Audit outcome for 2022/23 financial year,None ,N/A,Clean Audit outcome for 2022/23 financial year,,,,,,,,,226
Office of the Chief Justice,Office of the Chief Justice,National,PROGRAMME 1: ADMINISTRATION,PROGRAMME 1: ADMINISTRATION,Annually,Percentage of vacant posts on funded establishment,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,,,,,,,,,10 %,,10.9,"The increased vacancy rate was due to the implementation of the circular no.49 of 2023 issued by DPSA on the 17th of October 2023, which negatively affected and contributed to the increased recorded vacancy rate.",OCJ will continuously engage National Treasury and DPSA with the filling of vacant Posts.,10.9,,,,,,,,,226
Office of the Chief Justice,Office of the Chief Justice,National,PROGRAMME 1: ADMINISTRATION,PROGRAMME 1: ADMINISTRATION,Quarterly,Percentage of procurement of goods and services above R500 000 awarded to suppliers who meet the specific goals,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",0 %,,30 %,100 %,0 %,N/A %,50 %,"9

 %",80 %,100 %,100,"Out of twelve (12) orders above R500 000, two (2) were issued through the OCJ procurement process to suppliers that met the specific goals. A further ten (10) were ICT orders that were issued to SITA which is a State Entity.
",None,100,,,Only 1 procurement of goods and services was awarded above R500 000 and the supplier met the specific goals,N/A,N/A,N/A,"Out of the 11 orders issued to the suppliers, only one supplier met the specific goals for orders above R500 000. Ten orders were issued to SITA, however SITA is a State Entity wherefore no goal points can be awarded contributing to the 41%.",No corrective measures can be implemented. The OCJ is fully compliant with the requirements on Preferential procurement regulations of 2022.,226
Office of the Chief Justice,Office of the Chief Justice,National,PROGRAMME 1: ADMINISTRATION,PROGRAMME 1: ADMINISTRATION,Quarterly,Percentage of designated employees (SMS members & other categories)who submitted financial disclosures within timeframes,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,100 %,100 %,100 %,100 %,0 %,N/A %,0 %,N/A %,100 %,100 %,100,None,N/A,100,None,N/A,None,N/A,N/A,N/A,N/A,N/A,226
Office of the Chief Justice,Office of the Chief Justice,National,PROGRAMME 1: ADMINISTRATION,PROGRAMME 1: ADMINISTRATION,Quarterly,Percentage of staff in the Department comprised of youth,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,30 %,30 %,30 %,30.5 %,30 %,"30%

 %",30 %,"29
 %",30 %,28 %,28.6,"This was due to the youth employment being a moving target with young employees outgrowing the youth category and youth taking up employment opportunities elsewhere.

In addition, the implementation of circular no.49 of 2023 issued by DPSA on the 17th of October 2023 affected recruitment processes of the OCJ that could have targeted the youth.
",The OCJ will ensure future vacant and approved posts are structured to attract and appoint youth. The OCJ will also explore other employment initiatives provided by government. ,28.6,None,N/A,The reason for overachievement is attributed by the filling of 48 posts in September. Mostly were youth,N/A,N/A,N/A,"Due to circular 49 of 2023 (cost containment vacant posts within the department could not be filled, while a significant number of youth turned 36 years in the reporting period, impacting the number of youth within OCJ",Future vacant and approved posts will be structured to attract and appoint youth ,226
Office of the Chief Justice,Office of the Chief Justice,National,PROGRAMME 1: ADMINISTRATION,PROGRAMME 1: ADMINISTRATION,Quarterly,Percentage of women representation in Senior Management Service (SMS),Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,0 %,,48 %,54 %,0 %,N/A %,50 %,"53

 %",50 %,54 %,53,The recruitment and selection process attracted more females at SMS level while 1 SMS male resigned impacting the percentage of male SMS.,None,53,,,The recruitment and selection process attracted more females at SMS. ,N/A,N/A,N/A,The recruitment and selection process attracted more females at SMS level. ,N/A,226
Office of the Chief Justice,Office of the Chief Justice,National,PROGRAMME 1: ADMINISTRATION,PROGRAMME 1: ADMINISTRATION,Quarterly,Percentage of people with disabilities representation in the Department,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,0 %,,1.5 %,1.8 %,0 %,N/A %,2 %,"2
 %",2 %,0 %,2,None,N/A,2,,,The Department implemented recruitment processes that attracted PWD.,N/A,N/A,N/A,None,N/A,226
Office of the Chief Justice,Office of the Chief Justice,National,PROGRAMME 1: ADMINISTRATION,PROGRAMME 1: ADMINISTRATION,Quarterly,Number of Service Centres with Court Online system rolled-out,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,1,0,2,0,2,0,2,0,7,0,0,"Due to ongoing instability issues with the Court Online system, the system in its current form cannot be rolled out to other Service Centres","The stabilisation plan was developed and is currently in the implementation stage. In addition, the OCJ engaged SITA and Microsoft to urge them to provide skilled resources and support the stabilisation of the Court Online system. SITA and Microsoft installed the monitoring tool on the Court Online production environment in order to draft changes and remediation required and provide seamless support as well as determining defects and bottlenecks. Furthermore, SITA system support team was also relocated to OCJ premises to form a war room aimed at stabilising the system in line with the plan. ",0," Due to ongoing stability issues with the Court Online system, the system in its current form cannot be rolled out to other Service Centres.","Various meetings took place between OCJ, SITA and Microsoft, where Microsoft indicated that their participation is dependent on their resource availability.
The OCJ and SITA then worked on a stabilisation plan which SITA presented to the OCJ on 02 June 2023. Successful Implementation of the stabilisation plan will result in the continuation of rollout of Court Online
","Due to ongoing stability issues with the Court Online system, the system in its current form cannot be rolled out to other Service Centres.","The stabilisation plan has not concluded. SITA and Microsoft is still in the process of performing data collection using the monitoring agents that were installed on the Court Online production environment. Once the data collection process has been concluded, SITA and Microsoft will then be in a position to indicate which components of the Court Online system requires remediation and indicate a timeline to implement and resolve the identified components which will then result in the stabilisation issued to be resolved and stabilisation plan to be concluded.","Due to ongoing stability issues with the Court Online system, the system in its current form cannot be rolled out to other Service Centres
","The stabilisation plan has not been concluded. SITA and Microsoft managed to install the monitoring agents and is currently evaluating the output produced by the monitoring agents that were installed on the Court Online production environment. Once the data collection process has been concluded, SITA and Microsoft will then be in a position to indicate which components of the Court Online system requires remediation and indicate a timeline to implement and resolve the identified components which will then result in the stabilisation issue to be resolved and stabilisation plan to be concluded","Due to ongoing stability issues with the Court Online system, the system in its current form cannot be rolled out to other Service Centres","The stabilisation plan has not been concluded. SITA and Microsoft managed to install the monitoring agents and is currently evaluating the output produced by the monitoring agents that were installed on the Court Online production environment. Once the data collection process has been concluded, SITA and Microsoft will then be in a position to indicate which components of the Court Online system requires remediation and indicate a timeline to implement and resolve the identified components which will then result in the stabilisation issue to be resolved and stabilisation plan to be concluded.",226
Office of the Chief Justice,Office of the Chief Justice,National,PROGRAMME 1: ADMINISTRATION,PROGRAMME 1: ADMINISTRATION,Quarterly,Number of Employee Health and Wellness (EHW) programmes implemented within the OCJ,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,3,6,3,19,3,10,3,11,12,46,46,There was an increased need for wellness interventions by the officials during the reporting period.,None,46,There was a need for psychosocial session across the OCJ resulting in multiple request.,N/A,Recruitment to adhere to the wellness calendar and courts continues to have need for wellness interventions.,N/A,"Requirements to adhere to the wellness calendar and courts continue to have needs for wellness interventions
",N/A,There was an increased need for wellness interventions by the officials during the reporting period ,N/A,226
Office of the Chief Justice,Office of the Chief Justice,National,PROGRAMME 1: ADMINISTRATION,PROGRAMME 1: ADMINISTRATION,Quarterly,Percentage of staff trained in line with the Workplace Skills Plan (WSP) ,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",0 %,,50 %,84 %,60 %,"115%

 %",70 %,"84
 %",70 %,84 %,84,The target was exceeded due to higher than envisaged turnout in the Labour Relations training.,None,84,,,Effective monitoring of training implementation and awareness,N/A,"Effective monitoring of training implementation and awareness visit
on importance of implementation of training

",N/A,The target was exceeded due to higher than envisaged turnout in the Labour Relations training,N/A,226
Office of the Chief Justice,Office of the Chief Justice,National,PROGRAMME 1: ADMINISTRATION,PROGRAMME 1: ADMINISTRATION,Quarterly,Percentage of reported fraud cases investigated within 60 working days,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,0 %,,75 %,69 %,0 %,N/A %,75 %,"84
 %",75 %,69 %,79,Overachievement is a result of the fewer complex cases received as compared to the previous Financial Year,None,79,,,Complex cases leading to prolonged investigations,Conducting parallel investigations and fast tracking less complex cases,N/A,N/A,Overachievement is a results of the fewer complex cases received during Q3 and Q4 ,N/A,226
Office of the Chief Justice,Office of the Chief Justice,National,PROGRAMME 1: ADMINISTRATION,PROGRAMME 1: ADMINISTRATION,Quarterly,Number of Fraud Prevention and Anti-Corruption awareness sessions conducted,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,0,,9,9,9,8,8,9,26,26,26,None,N/A,26,,,None,N/A,"Non achievement was due to cancellation of sessions by business units as a result of competing operational requirements
","The outstanding target will be conducted during the quarter 4 reporting period
","The ethics Office only conducted 8 awareness sessions during quarter 3 which resulted to under performance with 1 session. To compensate for that, an additional session over and above what was planned for Q4 was done.",N/A,226
Office of the Chief Justice,Office of the Chief Justice,National,PROGRAMME 1: ADMINISTRATION,PROGRAMME 1: ADMINISTRATION,Quarterly,ICT Disaster Recovery Strategy implemented,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster","Draft ICT Disaster
Recovery Strategy
developed",Draft ICT Disaster Recovery Strategy developed,"ICT Disaster
Recovery Strategy
approved",ICT Disaster Recovery Strategy not approved.,"Data replication
and testing
finalised",Data replication and testing finalised,"ICT Disaster
Recovery Site
established","ICT Disaster
Recovery Site established
","ICT Disaster
Recovery Site
established",-,ICT Disaster Recovery Site established,None,N/A,ICT Disaster Recovery Site established,None,N/A ,Due to delays on SITA with regards to procurement process and approval of the Project Charter to guide the project implementation.,Draft Strategy was presented to the Business Continuity Committee. Engagement with SITA has resumed.,N/A,N/A,None,N/A,226
Office of the Chief Justice,Office of the Chief Justice,National,PROGRAMME 1: ADMINISTRATION,PROGRAMME 1: ADMINISTRATION,Quarterly,Number of COVID-19 OHS inspections conducted within the OCJ,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,1,1,1,1,1,0,1,1,4,3,3,The non-achievement of the target is due to non-compliance by the courts in quarter three (3). ,"COVID-19 related indicators have been discontinued, the OCJ will therefore not be conducting any COVID-19 OHS inspections. 
.",3,None ,N/A,None,N/A,"During the reporting period, OHS Representatives were still on Leave and there was delayed submission of the Inspection Report
","Non-Compliant letters to be issued to the courts to rectify the issue in future. Proper Leave management. Engage DCOs to ensure inspection reports are submitted timeously.
",None,N/A,226
Office of the Chief Justice,Office of the Chief Justice,National,PROGRAMME 1: ADMINISTRATION,PROGRAMME 1: ADMINISTRATION,Quarterly,Number of COVID-19 related trainings conducted for designated Safety and Health representatives,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",1,1,1,9,1,7,1,0,4,17,17,"Demand for Safety Health
Representatives
training increased due to expiry of OHS certificates. ",N/A,17,None,N/A,The OHS representatives within the Department were due for training in order to carry out OHS duties effectively.,N/A,The was a high demand for the COVID-19 related training due to high staff turnover,N/A,"There were no OHS training in the Provinces in this quarter as OHS committee members' certificates from previous training were still valid. Furthermore, the annual target has been met",The annual target has already been achieved for the financial year 2023/24 and the output indicator on Covid-19 related training has been phased out.,226
Office of the Chief Justice,Office of the Chief Justice,National,PROGRAMME 1: ADMINISTRATION,PROGRAMME 1: ADMINISTRATION,Quarterly,Number of COVID-19 compliance reports produced,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,1,1,1,1,1,1,1,1,4,4,4,None,N/A,4,None,N/A,None ,N/A,None ,N/A,None,N/A,226
Office of the Chief Justice,Office of the Chief Justice,National,PROGRAMME 1: ADMINISTRATION,PROGRAMME 1: ADMINISTRATION,Quarterly,Number of COVID-19 pandemic risk mitigation reports produced,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,1,1,1,1,1,1,1,1,4,4,4,None ,N/A,4,None,N/A,None ,N/A,None,NA/,None,N/A,226
Office of the Chief Justice,Office of the Chief Justice,National,PROGRAMME 2: SUPERIOR COURT SERVICES,Sub-Programme 1: Administration of Superior Courts,Quarterly,Percentage of default judgments finalised by Registrars within 14 days from date of receipt of application,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",76 %,98 %,76 %,96 %,76 %,"95%

 %",76 %,"96
 %",76 %,96 %,96,Improved training and monitoring to measures implemented to sustain achievement of targets.,None,96,Improved training and monitoring to measures implemented to sustain achievement of targets. ,N/A,Improved training and monitoring measures implemented to sustain the achievements of targets. ,N/A,"Improved training and monitoring to measures implemented to sustain achievements of targets. 
",N/A,Improved training and monitoring to measures implemented to sustain achievements of targets,N/A,226
Office of the Chief Justice,Office of the Chief Justice,National,PROGRAMME 2: SUPERIOR COURT SERVICES,Sub-Programme 1: Administration of Superior Courts,Quarterly,Percentage of taxations of legal bills of costs finalised within 60 days from date of set down,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",85 %,99.5 %,85 %,99.5 %,85 %,"99% 

 %",85 %,99 %,85 %,0 %,99,Improved training and monitoring to measures implemented to sustain achievement of targets.,None,99,Improved training and monitoring to measures implemented to sustain achievement of targets. ,N/A,Improved training and monitoring measures implemented to sustain the achievements of targets. ,N/A,"Improved training and monitoring to measures implemented to sustain achievements of targets
",N/A,Improved training and monitoring to measures implemented to sustain achievements of targets,N/A,226
Office of the Chief Justice,Office of the Chief Justice,National,PROGRAMME 2: SUPERIOR COURT SERVICES,Sub-Programme 1: Administration of Superior Courts,Quarterly,Percentage of warrants of release (J1) delivered within one day of the release issued,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",100 %,100 %,100 %,100 %,100 %,"100%

 %",100 %,"100
 %",100 %,100 %,100,None,N/A,100,None,N/A,None,N/A,N/A,N/A,None,N/A,226
Office of the Chief Justice,Office of the Chief Justice,National,PROGRAMME 2: SUPERIOR COURT SERVICES,Sub-Programme 1: Administration of Superior Courts,Quarterly,Number of monitoring reports on Law Reporting Project produced,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",1,1,1,1,1,1,1,1,4,4,4,None,N/A,4,None,N/A,None,N/A,None,N/A,None,N/A,226
Office of the Chief Justice,Office of the Chief Justice,National,PROGRAMME 2: SUPERIOR COURT SERVICES,Sub-Programme 1: Administration of Superior Courts,Quarterly,Number of Judicial Case Flow Management performance reports produced,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",1,1,1,1,1,1,1,1,4,4,4,None,N/A,4,None,N/A,None,N/A,None,N/A,None,N/A,226
Office of the Chief Justice,Office of the Chief Justice,National,PROGRAMME 2: SUPERIOR COURT SERVICES,Sub-Programme 1: Administration of Superior Courts,Quarterly,Number of reports on enhancement of court order integrity produced,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",1,1,1,1,1,1,1,1,4,4,4,None,N/A,4,None,N/A,None,N/A,None,N/A,None,N/A,226
Office of the Chief Justice,Office of the Chief Justice,National,PROGRAMME 3: JUDICIAL EDUCATION AND SUPPORT,PROGRAMME 3: JUDICIAL EDUCATION AND SUPPORT,Quarterly,Number of judicial education courses conducted,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",47,32,35,39,20,27,13,24,115,122,122,Adhoc Requests for training,None,122,Webinars cancelled and/or postponed due to connectivity challenges caused by loadshedding,"Plans underway to convert some of the webinars to in person training, subject to availability of funds",Re-scheduling of Q1 and Q3 courses,N/A,Conversion of training from virtual to in-person.,N/A,Adhoc training and conversion to in-person training,N/A,226
Office of the Chief Justice,Office of the Chief Justice,National,PROGRAMME 3: JUDICIAL EDUCATION AND SUPPORT,PROGRAMME 3: JUDICIAL EDUCATION AND SUPPORT,Quarterly,Number of research monographs on judicial education produced,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",0,,1,1,0,N/A,1,1,2,1,2,None,N/A,2,,,None,N/A,N/A,N/A,None,N/A,226
Office of the Chief Justice,Office of the Chief Justice,National,PROGRAMME 3: JUDICIAL EDUCATION AND SUPPORT,PROGRAMME 3: JUDICIAL EDUCATION AND SUPPORT,Quarterly,Number of monitoring reports on the management of litigations produced,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",1,1,1,1,1,1,2,2,5,5,5,None,N/A,5,None,N/A,None,N/A,N/A,N/A,None,N/A,226
Office of the Chief Justice,Office of the Chief Justice,National,PROGRAMME 3: JUDICIAL EDUCATION AND SUPPORT,PROGRAMME 3: JUDICIAL EDUCATION AND SUPPORT,Quarterly,Number of reports on judicial appointments and judicial complaints produced,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",1,1,0,N/A,1,1,1,1,3,1,3,None,N/A,3,None,N/A,N/A,N/A,None,N/A,None,N/A,226
Office of the Chief Justice,Office of the Chief Justice,National,PROGRAMME 3: JUDICIAL EDUCATION AND SUPPORT,PROGRAMME 3: JUDICIAL EDUCATION AND SUPPORT,Quarterly,Number of reports on the status of disclosures for Judges Registrable Interests produced,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",0,,1,1,0,N/A,1,1,2,1,2,None,N/A,2,,,None,N/A,N/A,N/A,None,N/A,226
Office of the Public Service Commission,Office of the Public Service Commision,National,Programme 1: Administration,Programme 1: Administration,Annually,Approval of PSC functional structure,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Not Applicable,,,,,,,,,PSC Functional Structure Approved,,,n/a,n/a,,,,,,,,,,226
Office of the Public Service Commission,Office of the Public Service Commision,National,Programme 1: Administration,Programme 1: Administration,Annually,Audit Opinion,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Not Applicable,,,,,,,,,Unqualified Audit Opinion,,,None,None,,,,,,,,,,226
Office of the Public Service Commission,Office of the Public Service Commision,National,Programme 1: Administration,Programme 1: Administration,Annually,Submission of the PSC Bill to Parliament,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Not Applicable,,,,,,,,,PSC Bill Submitted to Parlaiment,,,n/a,n/a,,,,,,,,,,226
Office of the Public Service Commission,Office of the Public Service Commision,National,Programme 1: Administration,Programme 1: Administration,Annually,Number of reports on skills audit approved,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Not Applicable,,,,,,,,,1,,,n/a,n/a,,,,,,,,,,226
Office of the Public Service Commission,Office of the Public Service Commision,National,Programme 1: Administration,Programme 1: Administration,Annually,Percentage of B-BBEE suppliers appointed,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,,,,,,,,,60 %,,,n/a,n/a,,,,,,,,,,226
Office of the Public Service Commission,Office of the Public Service Commision,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Number of processes automated,Non-Standardized,Max,"Priority 1: A Capable, Ethical and Developmental State",Not Applicable,0,,0,Due in Q4,0,Due in Q4,2,Achieved: 2 processes  were automated.,2,0,,,,,,,n/a,n/a,N/A,N/A,n/a,n/a,226
Office of the Public Service Commission,Office of the Public Service Commision,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Number of reports on stakeholder outreach programmes coordinated,Non-Standardized,Max,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,1,1,1,1,1,1,1, Achieved: 1 report  produced,4,1,,,,,None,None required. ,None,None,N/A,N/A,n/a,n/a,226
Office of the Public Service Commission,Office of the Public Service Commision,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage maintenance of the vacancy rate,Non-Standardized,Max,"Priority 1: A Capable, Ethical and Developmental State",Not Applicable,10 %,8.6 %,10 %,6.8 %,10 %,8.6 %,10 %,Achieved: 9.9% %,10 %,0 %,,,,,None,None required.,None,None,N/A,N/A,n/a,n/a,226
Office of the Public Service Commission,Office of the Public Service Commision,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage of valid invoices paid within 30 days of receipt,Non-Standardized,Average,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,100 %,100 %,100 %,100 %,100 %,100 %,100 %,Achieved: 100% (421 out of 421) valid invoices paid within 30 days of receipt %,100 %,100 %,,,,,None,None required,None,None,N/A,N/A,n/a,n/a,226
Office of the Public Service Commission,Office of the Public Service Commision,National,Programme 2: Leadership and Management Practices,Programme 2: Leadership and Management Practices,Annually,"Number of own accord investigative reports produced as contemplated in section 196(4) (f) (iii) and (iv) of the Constitution, 1996",Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Not Applicable,,,,,,,,,3,,,n/a,n/a,,,,,,,,,,226
Office of the Public Service Commission,Office of the Public Service Commision,National,Programme 2: Leadership and Management Practices,Programme 2: Leadership and Management Practices,Annually,"Number of reports produced on leadership and human resource management, public sector reform and professionalization.",Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Not Applicable,,,,,,,,,4,,,n/a,n/a,,,,,,,,,,226
Office of the Public Service Commission,Office of the Public Service Commision,National,Programme 2: Leadership and Management Practices,Programme 2: Leadership and Management Practices,Quarterly,	Number of reports on grievance management and the efficiency of the grievance procedure in the Public Service produced,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Not Applicable,0,,1,1,1,2,1,1,3,4,,,,,,,n/a,n/a,Overachieved due to a  number of report that had to be concluded following a conference on professionalization,N/A,n/a,n/a,226
Office of the Public Service Commission,Office of the Public Service Commision,National,Programme 2: Leadership and Management Practices,Programme 2: Leadership and Management Practices,Quarterly,Number of strategic engagements conducted on the implementation of PSC recommendations with targeted departments,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Not Applicable,0,,4,10,4,10,2,10,10,30,,,,,,,PSC received many requests from the departments.,n/a,The PSC engaged a number of stakeholders due to issues emanating from PSC recommendations report,N/A,Target exceeded due to requests received from departments,n/a,226
Office of the Public Service Commission,Office of the Public Service Commision,National,Programme 2: Leadership and Management Practices,Programme 2: Leadership and Management Practices,Quarterly,Percentage of all registered levels 2-12 grievances concluded within 30 working days of receipt of all relevant information,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Not Applicable,60 %,77 %,70 %,82 %,80 %,82 %,85 %,85 %,85 %,326 %,,,,,None,"Due to the increase of capacity after the appointment of interns to assist with the grievance cases
Additional support provided to Provincial Offices that had more grievance cases
",Regular panel meetings and file inspections resulted in the overachievement.,The PSC will continue to conduct these file inspections. ,Increased capacity and regular panel meetings,N/A,n/a,n/a,226
