Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,OTP_Q3,National_Q1,National_Q2,National_Q3,National_Q4,OTP_Q4,OTP_Q1,UID
Social Development,Social Development,North West,Programme 1:  Administration,Sub Programme 1.2:	Corporate Management Services,Quarterly,Percentage of compliant invoices paid within 30 days,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Eradication of Corruption,"Governance, State Capacity and Institutional Development cluster",100 %,0.95 %,"•	Re-issue payments – as a results of systems rejections due to supplier changing of banking details by service providers and the delay in the interface Walker and the CSD systems.
•	Accrual payments – payments submitted but were not processed before the system closer on 31 March and were processed after the loading of the budget in April.
•	Once a week disbursement and system disruptions.
","Timeous capturing of invoices upon receipt and submission for approval.

Provincial treasury to consider increasing the number of payment disbursement in a week.
",100 %,96 %,"BAS system rejections due to;
a)	Supplier’s changing their banking details and delay in the interface between the Walker and CSD systems.
b)	Incorrect supplier information on the (e.g. supplier CSD number/information) 
","-	Timeous capturing of invoices upon receipt and submission for approval.

-	Provincial Treasury to consider increasing payment disbursements from once a week to more.
",Programme Manager to provide progress ,100 %,95% %,The delay in releasing payments to service providers as a result of tight management of cash and bank by the Provincial Treasury.,Provincial Treasury to consider increasing the number of payment disbursement in a week.,100 %,94 %,Changes on banking details not effected/updated by service providers timeously resulting in rejection of payment batches,"-	The Department to continue to advice Service Providers to update and correct their banking details timeously.
-	Request the Provincial Treasury to intensify the awareness workshops
",100 %,0 %,94,Changes on banking details not effected or updated by service provides timeously resulting in rejection of payment batches.,"-	The Department to continue to advice Service Providers to update and correct their banking details timeously.
-	Request the Provincial Treasury to intensify the awareness workshops
",,,,,,,,,61
Social Development,Social Development,North West,Programme 1:  Administration,Sub Programme 1.2:	Corporate Management Services,Quarterly,Percentage of post audit findings resolved,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Eradication of Corruption,"Governance, State Capacity and Institutional Development cluster",0 %,,,,20 %,23 %,"-	Developed a tracking register as a monitoring tool, for consultation of relevant managers",N/A,Programme Manager to provide progress ,60 %,62% %,"Committee on monitoring of PAAP has been established
Monitoring tool developed
Physical Monitoring performed on a weekly basis
PAAP is a standing item on all management meetings 
",None,80 %,62 %,Activities still in progress,Speed up finalisation of activities during 1st quarter 2025-26,80 %,23 %,62,The process/action to resolve the identified findings is taking longer than anticipated.,-	Speed up finalisation of activities during 1st quarter 2025-26.,,,,,,,,,61
Social Development,Social Development,North West,Programme 2:  Social Welfare Services,Sub Programme 2.1: Management and Support,Annually,Number of written supervision contracts between supervisors of social service professionals and their supervisees signed,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",2. Tackling Unemployment (2019-2024),"Governance, State Capacity and Institutional Development cluster",1142,1176,,,,,,,,,,,,,,,,1142,1176,1176,Increased number of contracts signed in NPO’s,None,,,,,,,,,61
Social Development,Social Development,North West,Programme 2:  Social Welfare Services,Sub Programme 2.1: Management and Support,Quarterly,Number of comprehensive assessments conducted by social workers,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Provision of quality Health Care Services (especially opening hrs of clinics,"The Social Protection, Community and Human Development cluster",2022,2264,Overachievement in response to high number of reported cases that required social work intervention,None,2353,2421,Overachievement in response to high number of reported cases that required social work intervention,None,,2195,1 966,Under achievement is due to nature of cases that required social work intervention and. completion of the comprehensive assessments tool,Fast track reported cases to social workers that required intense comprehensive assessments,2341,2381,Overachievement is due the improved intervention on cases report to social workers,None,8911,9032,9032,Overachievement is due to the improved intervention on cases report to social workers,None,,Department to develop the Improvement plan for indicators that were not achieved in Q3 using the recommended template as per the Provincial Reporting Guidelines. ,,,,,,,61
Social Development,Social Development,North West,Programme 2:  Social Welfare Services,Sub Programme 2.2: Services to Older Persons,Annually,Number of older persons participating in active ageing programmes,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Provision of quality Health Care Services (especially opening hrs of clinics,"The Social Protection, Community and Human Development cluster",,,,,6350,4746,,,,,,,,,,,,6350,4746,5355,Delayed on implementation of the programme due to late confirmation by National and change of dates,,,,,,,,,,61
Social Development,Social Development,North West,Programme 2:  Social Welfare Services,Sub Programme 2.2: Services to Older Persons,Quarterly,Number of older persons accessing community-based care services,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Provision of quality Health Care Services (especially opening hrs of clinics,"The Social Protection, Community and Human Development cluster",7040,7529,Overachievement in response to high number of Older Persons Joining Community based care services in Bojanala & Dr RSM.,None,7040,7368,Overachievement due to increased attendance of Beneficiaries in community-based care services.,N/A,,7040,7099,Overachievement is due to outreach services in Dr RSM and Bojanala,None,7040,8281,Older Persons reached through intensified marketing of services in Dr RSM & Bojanala Districts,None,7040,8281,8225,Older Persons reached through intensified promotion of services in Dr RSM & Bojanala Districts,None,,,Overachievement is noted for this indicator with reason for deviation in place.,Overachievement with reason for deviation is noted for this indicator.,Targeted output achieved.,Over achievement recorded with reason for deviation for this indicator is noted.,,,61
Social Development,Social Development,North West,Programme 2:  Social Welfare Services,Sub Programme 2.2: Services to Older Persons,Quarterly,Number of older persons accessing residential care facilities,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Provision of quality Health Care Services (especially opening hrs of clinics,"The Social Protection, Community and Human Development cluster",1658,1797,-	Overachievement is due to increased number of older persons that required access statutory services in all the districts,None,1658,1830,Overachievement due to new admissions in residential care services.,N/A,,1658,1 784,"Overachievement is due new admissions in Bojanala, Dr RSM & Dr KK",None,1658,1803,More admissions of Older Persons at residential facilities due to economically viable beneficiaries in Dr RSM & Bojanala Districts.,None,1658,1803,2241,More admissions of Older Persons at residential facilities due to economically viable beneficiaries in Dr RSM & Bojanala Districts,None,,,"The same comment as above applies, submission is noted.",Overachievement with reason for deviation is noted for this indicator.,Targeted output achieved.,Over achievement recorded with reason for deviation for this indicator is noted.,,,61
Social Development,Social Development,North West,Programme 2:  Social Welfare Services,Sub Programme 2.2: Services to Older Persons,Quarterly,Number of older persons accessing statutory services,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Provision of quality Health Care Services (especially opening hrs of clinics,"The Social Protection, Community and Human Development cluster",576,730,Overachievement in due to increased number of older persons that required to access statutory services in all the Districts.,None,600,664,Overachievement due to increased number of older persons who required to access statutory services in all the districts..,N/A,,595,512,Underachievement is due to less referred cases for statutory interventions,In-	Re-orientation on elder abuse protocol in line chapter 5 of the older person’s Act,570,462,Less referrals and non-responsiveness of the community to the programme.. ,Promote awareness of services in order to cover a broader spectrum of potential beneficiaries,2341,2368,2342,Referrals and positive response of the community to the programme.. ,None,,,,,,,,,61
Social Development,Social Development,North West,Programme 2:  Social Welfare Services,Sub Programme 2.3:	Services to the Persons with Disabilities,Quarterly,Number of persons accessing social rehabilitation services,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Provision of quality Health Care Services (especially opening hrs of clinics,"The Social Protection, Community and Human Development cluster",2662,3520,Increased beneficiaries accessing social rehabilitation services,None,2662, 2984,Over performance due to more persons accessing social rehabilitation services as a result of implementation of school social work programme,N/A,,2662,3146,"-	Overachievement is due to intensified outreach programmes & awareness in Ratlou, Ramotshere Moiloa & Morelete",None,2662,2398,Under performance due to low turnover and absenteeism in NMM and DR KK.,Strengthen group work and empowerment programmee,2662,2398,4652,Over performance due to more persons accessing social rehabilitation services as a result of implementation of school social work programme.,None,,,,,,,Develop the improvement plan for indicators that were not achieved in Q4 that will be implemented in Q1 to improve performance. ,,61
Social Development,Social Development,North West,Programme 2:  Social Welfare Services,Sub Programme 2.3:	Services to the Persons with Disabilities,Quarterly,Number of Persons with Disabilities accessing day care services,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Provision of quality Health Care Services (especially opening hrs of clinics,"The Social Protection, Community and Human Development cluster",633,706,Over performance due to more admissions at day care centres.,None,633,734,"Over performance due to new admissions at Day Care Centres in Kagisano Molopo, Taung, Naledi and Mamusa.",N/A,,633,674,"Over performance due to new admission in Ratlou,Tswaing and Mamusa",None,633,638,High achievement due to increased attendance in the day care centres Naledi and Greater Taung,None,633,638,846,"Over performance due to new admissions at Day Care Centres. (Kagisano Molopo, Taung, Naledi and Mamusa,Tswaing, Ramotshere Moilwa, Ratlou, Madibeng, Moses ",None,,,Overachievement is noted for this indicator.,,,,,,61
