Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,DesiredPerformance,ReasonforDeviation_Q1,CorrectiveAction_Q1,National_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,National_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,National_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,National_Q4,UID
,"Sport, Arts and Culture",Free State,Programme 1: Administration,Programme 1: Administration,Annually,Default,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,Test 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,164
,"Sport, Arts and Culture",Free State,Programme 1: Administration,Programme 1: Administration,Quarterly,Default,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,Test 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,164
,"Sport, Arts and Culture",Free State,Programme 1: Administration,Sub-programme 1.1: Corporate Services,Annually,Number of Batho Pele/service delivery improvement documents compiled,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",,,,,,,2,2,2,2,2,,,,,,,,,,,,,,,,,164
,"Sport, Arts and Culture",Free State,Programme 1: Administration,Sub-programme 1.1: Corporate Services,Annually,Number of vacant posts filled within 8 months of becoming vacant,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",,,,,,,10,,10,,0,"See the output indicator 3 below for the revised output indicator and the target. The output indicator was revised to measure the ""Percentage of funded posts filled"". as well.",,,,,,,,,,,,,,,,164
,"Sport, Arts and Culture",Free State,Programme 1: Administration,Sub-programme 1.1: Corporate Services,Annually,Percentage of funded posts filled,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",,,,,,,90 %,90 %,90 %,90 %,90,,,,Higher employment rate,,,,,,,,,,,,,164
,"Sport, Arts and Culture",Free State,Programme 1: Administration,Sub-programme 1.1: Corporate Services,Quarterly,Percentage of supplier’s valid invoices paid within 30 days,Non-Standardized,Max,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",95 %,95 %,95 %,100 %,100 %,100 %,100 %,100 %,100 %,100 %,100,,,,,,,Achieved as planned,The Department was able to pay 100% of the valid invoices within 30 days. ,"No corrective measure required, the Department has to pay 100% of valid invoices within 30 days.",Achieved as planned ,,,Achieved as planned.,,,Achieved as planned.,164
,"Sport, Arts and Culture",Free State,Programme 1: Administration,Sub-programme 1: Office of the MEC,Annually,deafult,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,164
,"Sport, Arts and Culture",Free State,Programme 1: Administration,Sub-programme 1: Office of the MEC,Quarterly,deafult,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,164
,"Sport, Arts and Culture",Free State,Programme 2: Cultural Affairs ,Programme 2: Cultural Affairs ,Annually,Default,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,164
,"Sport, Arts and Culture",Free State,Programme 2: Cultural Affairs ,Programme 2: Cultural Affairs ,Quarterly,Number of community conversations / dialogues implemented to foster social interaction per year,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,-,"The Social Protection, Community and Human Development cluster",0,0,2,2,1,1,1,1,4,4,4,,,,,,,No reporting required for the quarter under review.,,,Achieved as planned,,,Achieved as planned.,,,Achieved as planned,164
