Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,OTP_Q1,OTP_Q3,OTP_Q2,UID
,Mpumalanga: Office of the Premier,Mpumalanga,Programme 1: Administration,1.1 Director-General Support: Security Management,Quarterly,Number of departments monitored for compliance with MISS ,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","A capable, ethical and developmental state","Governance, State Capacity and Institutional Development cluster",3,3,None,None,3,3,None,None,3,3,None,None,3,3,None,None,12,12,12,None,,,,,,102
,Mpumalanga: Office of the Premier,Mpumalanga,Programme 1: Administration,1.2 Director-General Support: Integrity Management ,Quarterly,Number of anti-fraud and corruption awareness sessions /engagements facilitated),Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","A capable, ethical and developmental state","Governance, State Capacity and Institutional Development cluster",12,12,None,None,12,13,One more request from DSD was attended to and resulted in exceeding the set target,None,6,10,Requests from municipalities exceeded the planned target,None,6,6,None,None,36,41,42,6 additional requests were attended to and resulted in exceeding the set target,,,,,,102
,Mpumalanga: Office of the Premier,Mpumalanga,Programme 1: Administration,1.3 Director-General Support: Forensic Audit Services,Quarterly,Number of forensic investigation finalised,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","A capable, ethical and developmental state","Governance, State Capacity and Institutional Development cluster",3,3,None,None,3,4,Aging cases were prioritized and the allegations did not warrant further investigations,N/A,3,1,"Current cases could not be finalized due to investigation limitations; such as unavailability of personnel to be interviewed, delays in receiving documentation",Cases will be finalized in the 4th quarter to meet the annual target,3,8,The 5 additional forensic investigations address the non-achievement in the third quarter,None,12,16,16,4 additional investigations finalised timely due to availability of documentation and witnesses,,,,,,102
,Mpumalanga: Office of the Premier,Mpumalanga,Programme 1: Administration,1.3 Director-General Support: Forensic Audit Services,Quarterly,Number of Provincial Forensic Services recommendations followed-up,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","A capable, ethical and developmental state","Governance, State Capacity and Institutional Development cluster",3,4,None,None,4,4,None,None,4,0,Recommendations not successfully followed-up during the quarter due to unavailability of information & officials from Departments,More recommendations will be followed-up in the 4th quarter to meet the annual target,4," Achieved
Monitoring the implementation of recommendations on thirteen (13) previously finalized investigations was conducted. 
Disciplinary action has been taken on one of the two finalized investigations. 
On the second recommendation, we are awaiting a progress report on the implementation of the recommendations
Eleven (11) Departments were monitored for the implementation of recommendations emanating from finalized Public Protector investigations","Over achieved is due to an additional responsibility given to the OTP to monitor the implementation of recommendations from finalised Public Protector investigations across all 11 Departments,  thus the over achievement of 9",None,15,12,17,Overachievement is due to an additional responsibility given to monitor the implementation of recommendations from finalised Public Protector investigations across all 11 departments ,,,Provide reason for over-achievement,,,102
,Mpumalanga: Office of the Premier,Mpumalanga,Programme 1: Administration,1.4 Financial Management,Quarterly,Percentage of OTP preferential procurement spent on persons with disabilities business enterprises,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","A capable, ethical and developmental state","Governance, State Capacity and Institutional Development cluster",7 %,0 %,Less interest shown businesses own by people with disability on RFQ issued during the period under review,Work disability bodies to promote business opportunities offered by OTP,7 %,0% %,The Office could not find registered businesses from the Central Supplier Database,"Bi-annual Provincial meetings of the Forum with target groups (Women, Youth and Persons with Disabilities) where issues such as opportunities on inclusive economic empowerment are discussed. This forum is coordinated in collaboration with the DEDT, MEGA, NYDA and other relevant partners. 

As a plan to include the Persons with Disabilities, the Office conducted roadshows in 16 Local Municipalities to market the Premier’s Youth Development Fund, and to prepare applicants for business applications and compliance. Persons with Disabilities were also invited in order to increase their participation in the Fund.
SCM will also conduct roadshows in municipalities on the use and accessing the Central Supplier Database, targeting Person with Disabilities",7 %,0% %,Could not find registered businesses of Persons with Disability from the CSD,The Province to develop a broad strategy in partnership with Disability formations in order for persons with disability to benefit from OTP business opportunities,7 %,0% %,Could not find registered businesses of persons with disabilities from the Central Supplier Database,The Office will continue conducting roadshows to encourage participation of youth and persons with disabilities in 18 Local Municipalities.,7 %,0 %,0,Could not find registered businesses of persons with disabilities from the CSD,"•	Bi-annual Provincial meetings of the Forum with target groups (women, youth and people living with disabilities) where issues such as opportunities on inclusive economic empowerment are discussed. 

•	More advocacy to be coordinated in support of target groups’ businesses for beneficiation in the OTPs business opportunities; and 

•	The Province to develop a broad strategy in partnership with Disability formations in order for persons with disability to benefit from OTP business opportunities.",,,,,102
,Mpumalanga: Office of the Premier,Mpumalanga,Programme 1: Administration,1.4 Financial Management,Quarterly,Percentage of OTP Preferential Procurement spent on women business enterprises,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","A capable, ethical and developmental state","Governance, State Capacity and Institutional Development cluster",40 %,57 %,More opportunities provided to women own businesses,None,40 %,26.95% %,Not enough Women and Youth business enterprises responded to the requests for quotations (RFQs) on the services required by the Office,"Bi-annual Provincial meetings of the Forum with target groups (Women, Youth and Persons with Disabilities) where issues such as opportunities on inclusive economic empowerment are discussed. This forum is coordinated in collaboration with the DEDT, MEGA, NYDA and other relevant partners.",40 %,36.98% %,Less Women businesses responded positively to the OTPs RFQs,More advocacy to be coordinated in support of women businesses for beneficiation in the OTPs business opportunities,40 %,30.38% %,Inadequate number of responses to RFQs received from  Women and Youth business enterprises on the services required by the Office,"Bi-annual Provincial meetings of the Forum with target groups (women, youth and people living with disabilities) where issues such as opportunities on inclusive economic empowerment are discussed. This forum is coordinated in collaboration with the DEDT, MEGA, NYDA and other relevant partners.",40 %,57 %,32.4,Inadequate number of responses to RFQs received from Women and Youth business enterprises on the services required by the Office,"•	Bi-annual Provincial meetings of the Forum with target groups (women, youth and people living with disabilities) where issues such as opportunities on inclusive economic empowerment are discussed. 

•	More advocacy to be coordinated in support of target groups’ businesses for beneficiation in the OTPs business opportunities.",,,,,102
,Mpumalanga: Office of the Premier,Mpumalanga,Programme 1: Administration,1.4 Financial Management,Quarterly,Percentage of OTP preferential procurement spent on youth business enterprises,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","A capable, ethical and developmental state","Governance, State Capacity and Institutional Development cluster",30 %,41.6 %,More opportunities provided to women own businesses,None,30 %,22.81% %,Not enough Women and Youth business enterprises responded to the requests for quotations (RFQs) on the services required by the Office,"Bi-annual Provincial meetings of the Forum with target groups (Women, Youth and Persons with Disabilities) where issues such as opportunities on inclusive economic empowerment are discussed. This forum is coordinated in collaboration with the DEDT, MEGA, NYDA and other relevant partners.",30 %,30% %,None,None,30 %,23.65% %,Inadequate number of responses to RFQs received from  Women and Youth business enterprises on the services required by the Office,"Bi-annual Provincial meetings of the Forum with target groups (women, youth and people living with disabilities) where issues such as opportunities on inclusive economic empowerment are discussed. This forum is coordinated in collaboration with the DEDT, MEGA, NYDA and other relevant partners. ",30 %,0 %,28.3,Not enough Women and Youth business enterprises responded to the requests for quotations (RFQs) on the services required by the Office,"•	Bi-annual Provincial meetings of the Forum with target groups (women, youth and people living with disabilities) where issues such as opportunities on inclusive economic empowerment are discussed. 

•	More advocacy to be coordinated in support of target groups’ businesses for beneficiation in the OTPs business opportunities.",,,,,102
,Mpumalanga: Office of the Premier,Mpumalanga,Programme 1: Administration,1.4 Financial Management,Quarterly,Percentage of valid invoices paid within 30 days from date of receipt,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","A capable, ethical and developmental state","Governance, State Capacity and Institutional Development cluster",100 %,100 %,None,None,100 %,892  %,None,None,100 %,100% (1080 out of 1080) %,None,None,100 %,100% (1002 of 1002)  %,None,None,100 %,892 %,100,None,,,,,,102
,Mpumalanga: Office of the Premier,Mpumalanga,Programme 1: Administration,Sub - Programme 1.1: Premier Support,Quarterly,Default,Non-Standardized,Not  Applicable,"An efficient, effective and development-oriented public service",-,Governance and Administration cluster,,,,,,,,,,,,,,,,,,,,,,,,,,102
,Mpumalanga: Office of the Premier,Mpumalanga,Programme 1: Administration,Sub - Programme 1.2: Executive Council Support,Quarterly,default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,"Achieved

1 Report on Premier’s Coordinating Forum (PCF) with local government produced",None,None,,1,None,None,,1,2,None,,,,,,102
