Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,UID
,Communication and Digital Technologies,National,ADMINISTRATION,ADMINISTRATION,Quarterly,Developed Digitised workflow  management system,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Not Applicable,"e-Submission user 
requirements specifications 
developed",User requirement specifications for e-submission developed.,None,None,"e-Submission System 
developed",e-Submission workflow developed,None,None,"e-Submission System user 
training conducted",All Branches trained on how to use eSubmission system.,None,None,"e-Submission System rolled 
out",e-Submission was rolled-out.,None,None,"e-Submission System 
developed",-,The e-Submission System was developed,None,None,"The
Department
achieved
the planned
target. The
e-Submission
System was
developed.",127
,Communication and Digital Technologies,National,ADMINISTRATION,ADMINISTRATION,Quarterly,Disaster Management Plan,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Not Applicable,"Disaster Management Plan 
developed by Business 
Continuity Team",Not Achieved. ,No performance information was submitted.,Catch-up report to be done in quarter 2.,"Awareness programme of 
Disaster Management plan 
conducted",Awareness programme of Disaster Management plan conducted.,The initial APP target was not properly drafted and was not in line with the MTSF target.,Annual target has been updated/changed to align to the MTSF target. The new / updated target commences in quarter 3.,"Disaster Management Plan 
implemented and monitored",Target revised,,,-,-,,,"Implementation of Disaster 
Management Plan monitored",-,The Department did not achieve the planned target.,The Department of Cooperative Governance is responsible for the development of the Disaster Management Plan. ,The target was revised since the responsibility for the development and implementation of disaster management plan lies with the Department of Cooperative Governance. The DCDT could concentrate on developing the Disaster Management Programme within the Department and its Portfolio.,"The Department
did
not achieve
the planned
target on the
implementation
of Disaster
Management
Plan was not
monitored as
planned",127
,Communication and Digital Technologies,National,ADMINISTRATION,ADMINISTRATION,Quarterly,Implemented Disaster Management Programme,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",None,,,,None,,,,"Disaster Risks identification
and assessment conducted","Disaster risk identification and assessment conducted, and draft disaster risks and mitigation strategies developed.",None,None,"Disaster Risks Report
developed",Disaster risks and mitigation strategies report developed and approved.,None,None,"Disaster risks
identification
conducted",-,Dister risk identification was conducted and mitigation strategies report was developed and approved,None,None,"The Department
achieved the
planned target.
Disaster risk
identification
was conducted,
and mitigation
strategies was
developed and
approved",127
,Communication and Digital Technologies,National,ADMINISTRATION,ADMINISTRATION,Quarterly,Implemented District  Developmental Model Plan,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Not Applicable,"Implementation of DDM 
Plan in the prioritized Districts/ 
Metros coordinated",Not Achieved.,Delays in finalising the coordination of DDM activities  ,Catch-up report to be done in quarter 2.,"Implementation of DDM 
Plan in the prioritized Districts/ 
Metros coordinated","Coordinated inputs from the department and SOCs for the development of the DDM Plan.

Drafted a submission to the Director General to approve the DDM Plan to be coordinated, and to nominate a DDG to champion DDM across the sector. 

Invited COGTA to address MANCO regarding institutionalization of DDM and managing expectations for DDM by sector departments. 

Participated in the Capricorn District technical and mayoral meetings in support of the Deputy Minister as the DDM political champion.

Supported the minister and SOC participation in the Eastern Cape Presidential DDM Oversight Imbizo.
",Delays in finalising DDM plan,Catch-up plan to be developed to achieve target in Q3,"Implementation of DDM 
Plan in the prioritized Districts/ 
Metros coordinated",Implementation of DDM Plan in the prioritized Districts/ Metros was coordinated.,Inadequate supporting evidence.,Engagement with the Project Manager for alignment of supporting evidence and Reporting in Q4.,"Implementation of DDM 
Plan in the prioritized Districts/ 
Metros coordinated",Implementation of DDM Plan in the prioritized Districts / Metros was coordinated. ,None,None,"Implementation of DDM 
Plan in the prioritized Districts/ 
Metros coordinated",-,The Department was unable to fully coordinate the DDM Plan in the prioritised Districts / Metros.,"Implementation of DDM Plan in
the prioritised
Districts/ Metros was not coordinated in quarter 1, 2 and 3 of the reporting period
",DDM activities will be coordinated in the 24/25 FY..,"The Department
did not
achieve the
planned target
on coordinating
the Implementation
of
DDM Plan in
the prioritized
Districts/ Metros.",127
,Communication and Digital Technologies,National,ADMINISTRATION,ADMINISTRATION,Quarterly,Implemented Gender  Responsive Annual  Performance Plan in line with  the GRBPMEA Framework,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Not Applicable,"Implementation of Annual 
Performance Plan focusing 
on Responsive Budgeting, 
Planning Monitoring, 
Evaluation and Auditing in 
two Branches and three SOCs 
coordinated ","Implementation of Annual Performance Plan focusing on Responsive Budgeting, Planning Monitoring, Evaluation and Auditing in two Branches and three SOCs coordinated",The report was not aligned to the quarterly target  ,Catch-up report to be done in quarter 2.,"Implementation of Annual 
Performance Plan focusing 
on Responsive Budgeting, 
Planning Monitoring, 
Evaluation and Auditing in 
two Branches and three SOCs 
coordinated ","Implementation of Annual Performance Plan focusing on Responsive Budgeting, Planning Monitoring, Evaluation and Auditing in two additional Branches and three additional SOCs coordinated",Lack of alignment of evidence with achievement  ,Catch-up plan to be developed to achieve target in Q3,"Implementation of Annual 
Performance Plan focusing 
on Responsive Budgeting, 
Planning Monitoring, 
Evaluation and Auditing in 
two Branches and three SOCs 
coordinated ","Implementation of Annual Performance Plan focusing on Responsive udgeting, Planning Monitoring, Evaluation and Auditing in two additional Branches and three additional SOCs coordinated",None,None,"Implementation of Annual 
Performance Plan focusing 
on Responsive Budgeting, 
Planning Monitoring, 
Evaluation and Auditing in 
two Branches and three SOCs 
coordinated ","Implementation of Annual
Performance Plan focusing on Responsive Budgeting, Planning Monitoring, Evaluation and Auditing in two remaining SOCs was coordinated.
",None,None,"Gender Responsive 
Annual Performance Plan 
coordinated",-,Gender Responsive Annual Performance Plan was coordinated during the reporting period,None,None,"The
Department
achieved
the planned
target. Gender
Responsive
Annual
Performance
Plan was
coordinated",127
,Communication and Digital Technologies,National,ADMINISTRATION,ADMINISTRATION,Quarterly,"Number of monitoring  reports on the participation  of Women, Youth and  Persons with Disabilities  in procurement, SMME  Development and  Employment Equity in the ICT  Sector",Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Not Applicable,"2022/23 Q4 Monitoring 
report developed on the 
participation of women, 
youth, and persons with 
disabilities participation 
in procurement, SMME 
Development and 
Employment Equity in the ICT 
Sector","Q4 Monitoring report developed on the participation of women, youth, and persons with disabilities participation in procurement, SMME Development and Employment Equity in the ICT Sector",The attached report did not contain relevant information,  Catch-up report to be done in quarter 2.,"2023/24 Q1 Monitoring 
report developed on the 
participation of women, 
youth, and persons with 
disabilities participation 
in procurement, SMME 
Development and 
Employment Equity in the ICT 
Sector","2023/24 Q1 Monitoring report developed on the participation of women, youth, and persons with disabilities participation in procurement, SMME Development and Employment Equity in the ICT Sector",Lack of alignment of evidence with achievement  ,Catch-up plan to be developed to achieve target in Q3,"2023/24 Q2 Monitoring 
report developed on the 
participation of women, 
youth, and persons with 
disabilities participation 
in procurement, SMME 
Development and 
Employment Equity in the ICT 
Sector",Not Achieved,Delayed submission of the performance information and supporting evidence.,Engagement with the Project Manager for prioritisation in Q4.,"2023/24 Q3 Monitoring 
report developed on the 
participation of women, 
youth, and persons with 
disabilities participation 
in procurement, SMME 
Development and 
Employment Equity in the ICT 
Sector","2023/24 Q3 Monitoring report on the participation of women, youth, and persons with disabilities participation in
procurement and Employment Equity in the ICT Sector was developed.",The SMME development is not covered in the monitoring report submitted.,The monitoring report to include the SMME Development performance information. ,"4 Monitoring reports on the 
participation of women, 
youth, and persons with 
disabilities participation 
in procurement, SMME 
Development and 
Employment Equity in the ICT 
Sector",-,The Department was not able to achieve this annual target.,"The Department was unable to develop the monitoring reporting during the reporting period due to inadequate relevant information focusing of the SMME
Development.
",Source relevant availability  information to support the target.    ,"The
Department
did not
achieve the
planned target
of monitoring
reports on the
participation of
women, youth,
and persons
with disabilities
participation in
procurement,
SMME
Development
and
Employment
Equity in the
ICT Sector.",127
,Communication and Digital Technologies,National,ADMINISTRATION,ADMINISTRATION,Quarterly,Percentage (%) increase  of DCDT integrated Plan  of Action implemented in  support of the NSP on GBV,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Not Applicable,"10% increase of DCDT 
integrated Plan of Action 
implemented in support of 
the NSP on GBV","10% increase of DCDT integrated Plan of Action implemented in support of the NSP on GBV
Through implementation in two provinces in May and June 2023",The report lacked relevant information to measure percentage increase of implementation of Action Plan. Lack of alignment with quarterly target.   ,Catch-up report to be done in quarter 2.,"20% increase of DCDT 
integrated Plan of Action 
implemented in support of 
the NSP on GBV",20% increase of DCDT integrated Plan of Action implemented in support of the NSP on GBV,Lack of alignment of evidence with achievement  ,Catch-up plan to be developed to achieve target in Q3,"40% increase of DCDT 
integrated Plan of Action 
implemented in support of 
the NSP on GBV",40% increase of DCDT integrated Plan of Action implemented in support of the NSP on GBV,None,None,"60% increase of DCDT 
integrated Plan of Action 
implemented in support of 
the NSP on GBV","60% increase of DCDT
integrated Plan of Action was
implemented in support of
the NSP on GBV.
",None,None,"60% increase of DCDT 
integrated Plan of Action 
implemented in support of 
the NSP on GBV",-,60% increase of DCDT integrated Plan of Action was implemented in support of the NSP on GBV.,None,None,"The
Department
achieved the
planned target.
60% increase
of DCDT
integrated Plan
of Action was
implemented
in support of
the NSP on
GBV.",127
,Communication and Digital Technologies,National,ADMINISTRATION,ADMINISTRATION,Quarterly,Percentage (%) of valid  invoices paid within 30 days  from date of receipts,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Not Applicable,"100% of valid invoices paid 
within 30 days from date of 
receipt",All valid invoiced received from suppliers for the period 1 April – 30 June 2023 were paid within 30 days.,None,None,"100% of valid invoices paid 
within 30 days from date of 
receipt",All invoiced received from suppliers for the period 1 July – 30 September 2023 were paid within 30 days.,None,None,"100% of valid invoices paid 
within 30 days from date of 
receipt","All invoiced received from suppliers for the period October - December 2023 were paid within 30 days.

The exception report on 30-day payments for October - December 2023 were submitted to National Treasury before the monthly deadlines.
",None,None,"100% of valid invoices paid 
within 30 days from date of 
receipt",100% of valid invoices were paid within 30 days from date of receipt.,None,None,"100% of valid invoices paid 
within 30 days from date of 
receipt",-,100% valid invoiced received from suppliers during the reporting period were paid within 30 days.,None,None,"The
Department
has achieved
the planned
target. 100%
valid invoices
were paid
within 30 days
from date of
receipt.",127
,Communication and Digital Technologies,National,ICT ENTERPRISE AND PUBLIC ENTITY OVERSIGHT,ICT ENTERPRISE AND PUBLIC ENTITY OVERSIGHT,Quarterly,Analysed SOEs Performance  Reports,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Not Applicable,"Analysis of received SOEs’ 
Q4 reports for FY 2022/23 
developed and submitted ","Q4 analysis report developed and submitted for: SABC, ICASA, FPB, Postbank, SAPO, BBI, SITA, Nemisa, USAASA, zaDNA, Sentech",None,None,"Analysis of received SOEs’ 
Q1 reports for FY 2023/24 
developed and submitted ","Q1 Performance analysis reports for the FY 2023/24 for SABC, ICASA, FPB, Sentech, SAPO, Postbank, Nemisa, BBI, SITA, ZADNA, USAASA were developed and submitted.",None ,None ,"Analysis of received SOEs’ 
Q2 reports for FY 2023/24 
developed and submitted ",Analysis of Q2 reports for the entities were developed and submitted.,None,None,"Analysis of received SOEs’ 
Q3 reports for FY 2023/24 
developed and submitted ","Q3 performance reports of the entities BBI, FPB, ICASA, Sentech, SITA, USAASA, SAPO, Postbank, zaDNA, Nemisa and SABC were developed, analysed and submitted.",None,None,"Service Delivery of SOEs 
on received performance 
and compliance Reports 
analysed and submitted ",-,"The Department
 has successfully analysed and submitted Service Delivery of State-Owned Enterprises (SOEs) on received performance and compliance reports.",None,None,"The Department
achieved the
planned target.
Service Delivery
of State-Owned
Enterprises (SOEs)
on received
performance
and compliance
reports were
analysed and
submitted.
",127
,Communication and Digital Technologies,National,ICT ENTERPRISE AND PUBLIC ENTITY OVERSIGHT,ICT ENTERPRISE AND PUBLIC ENTITY OVERSIGHT,Quarterly,Approved Shareholder  compacts by the Entities’  Boards,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Not Applicable,-,The development of the monitoring report on the Post Acquisition integration report done and submitted to Director General’s Office.,None,None,-,,None ,None ,"Development of the 
Shareholder’s Compacts for 
the 2024/25 financial year 
commenced by reviewing 
the 2023/4 Shareholder’s 
Compacts  ",Development of Shareholder Compacts for 2024/25 commenced by reviewing the 2023/24 Compacts.,None,None,"SOE Boards’ approval of 
the 2024/25 Shareholder 
Compacts facilitated ",SOE Boards’ approval of the 2024/25 Shareholder Compacts were facilitated.,None,None,"Development of Shareholder 
compacts of Schedule 2 and 
3B entities facilitated ",-,"The Department
 has successfully facilitated the approval of the Shareholder compacts of Schedule 2 and 3B entities by the Entities’ Boards.",None,None,"The Department
achieved the
planned target.
Development
of Shareholder
compacts of
Schedule 2 and
3B entities was
facilitated.
",127
