Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q3,UID
,Northern Cape: Office of the Premier,Northern Cape,Programme 1 Administration,1.2.1 Office of the Director General:,Annually,Number of approved Departmental Risk Register submitted,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Drive 4:  Accountable and Effective Governance,"Governance, State Capacity and Institutional Development cluster",,,1,1,,,,,1,1,1,,,,,,,,,,,,,,,57
,Northern Cape: Office of the Premier,Northern Cape,Programme 1 Administration,1.2.2 Security and Records Management,Annually,Percentage of new staff screened for employment suitability,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Drive 4:  Accountable and Effective Governance,"Governance, State Capacity and Institutional Development cluster",,,,,,,100 %,100 %,100 %,100 %,100,,,,,,,,,,,,,,,57
,Northern Cape: Office of the Premier,Northern Cape,Programme 1 Administration,1.2.2 Security and Records Management,Quarterly,Number of quarterly Provincial Anti-Corruption programmes,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Drive 4:  Accountable and Effective Governance,"Governance, State Capacity and Institutional Development cluster",1,1,1,1,1,1,1,0,4,3,4,,,,,,Target achieved as planned for the quarter,,,Target achieved as planned for the quarter. ,,,Awaiting Report,,,57
,Northern Cape: Office of the Premier,Northern Cape,Programme 1 Administration,1.2.2 Security and Records Management,Quarterly,Number of quarterly security threat assessment reports ,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Drive 4:  Accountable and Effective Governance,"Governance, State Capacity and Institutional Development cluster",1,1,1,1,1,1,1,1,4,4,4,,,,,,Target achieved as planned for the quarter,,,Target achieved as planned for the quarter. ,,,,,,57
,Northern Cape: Office of the Premier,Northern Cape,Programme 1 Administration,1.2.3 Provincial Council on AIDS-Secretariat,Quarterly,Number of districts supported in the establishment of Local and Ward AIDS Councils,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Drive 4:  Accountable and Effective Governance,"Governance, State Capacity and Institutional Development cluster",1,1,1,1,1,1,2,2,5,5,5,,,,,,Target achieved as planned for the quarter,,,Target achieved as planned for the quarter. ,,,,,Year to date performance is at 100%,57
,Northern Cape: Office of the Premier,Northern Cape,Programme 1 Administration,1.2.3 Provincial Council on AIDS-Secretariat,Quarterly,Number of stakeholder engagements coordinated  ,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Drive 4:  Accountable and Effective Governance,"Governance, State Capacity and Institutional Development cluster",3,3,3,3,3,3,3,3,12,12,12,,,,,,Target achieved as planned for the quarter,,,Target achieved as planned for the quarter. ,,,,,Year to date performance is at 100%,57
,Northern Cape: Office of the Premier,Northern Cape,Programme 1 Administration,1.3.1: Executive Council Support,Quarterly,Number of reports on the implementation of Executive decisions,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Drive 4:  Accountable and Effective Governance,"Governance, State Capacity and Institutional Development cluster",1,1,1,1,1,1,1,1,4,4,4,,,,,,Target achieved as planned for the quarter,,,Target achieved as planned for the quarter. ,,,,,Year to date performance is at 100%,57
,Northern Cape: Office of the Premier,Northern Cape,Programme 1 Administration,1.3.2. Stakeholder Management.,Quarterly,Number of protocol services rendered in the province ,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Drive 4:  Accountable and Effective Governance,"Governance, State Capacity and Institutional Development cluster",2,3,2,4,2,2,3,4,9,13,13,"Overachievement is attributed to support rendered for national events within the province, which was outside of the provincial planning.",Indicator reviewed for the next financial year,,"Overachievement is attributed to support rendered for national events within the province, which was outside of the provincial planning. ",,Target for the quarter was over achieved. Reason for deviation has been provided. ,Overachieved based on unplanned engagements events.,,Target for the quarter was over- achieved. Reason for deviation has been provided. YTD perforamnce i s at 175%,,,"Overachieved on targets, due to unplanned events.",,Target for the quarter achieved. Year to date performance is at 150%. ,57
,Northern Cape: Office of the Premier,Northern Cape,Programme 1 Administration,1.3.2. Stakeholder Management.,Quarterly,Number of stakeholder engagements coordinated,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Drive 4:  Accountable and Effective Governance,"Governance, State Capacity and Institutional Development cluster",2,3,2,5,2,5,2,7,8,20,20,	Overachievement is due to additional International engagements related to opportunities for the NC province.,Indicator reviewed for the next financial year,,"Overachievement is due to additional
International engagements related to opportunities for the NC province. 
",,Target for the quarter was over- achieved. Reason for deviation has been provided.,"Overachievement on targets, unplanned engagements emanating from international engagements",,Target for the quarter was over- achieved. Reason for deviation has been provided. YTD performance is at 200%,Overachievement on targets due to unplanned engagements emanating from additional international engagements.,,"Overachieved on targets, unplanned engagements emanating from international relations",,"Target for the quarter was over- achieved. Reason for deviation has been provided. Year to date performance is at 216,67%",57
,Northern Cape: Office of the Premier,Northern Cape,Programme 1 Administration,1.4 Financial Management,Annually,Audited Annual Report,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Drive 4:  Accountable and Effective Governance,"Governance, State Capacity and Institutional Development cluster",,,1,1,,,,,1,1,1,,,,,,,,,,,,,,,57
,Northern Cape: Office of the Premier,Northern Cape,Programme 1 Administration,1.4 Financial Management,Quarterly,Percentage of uncontested invoices paid within 30 days of receipt date  ,Non-Standardized,Average,"Priority 1: A Capable, Ethical and Developmental State",Drive 4:  Accountable and Effective Governance,"Governance, State Capacity and Institutional Development cluster",100 %,100 %,100 %,100 %,100 %,100 %,100 %,100 %,100 %,100 %,100,,,,,,Target for the quarter has been achieved as planned.,,,Target achieved for the quarter as planned.,,,,,,57
,Northern Cape: Office of the Premier,Northern Cape,Programme 1 Administration,1.4 Financial Management,Quarterly,Percentage on preferential procurement spend on enterprises owned by targeted groups,Non-Standardized,Average,"Priority 1: A Capable, Ethical and Developmental State",Drive 4:  Accountable and Effective Governance,"Governance, State Capacity and Institutional Development cluster",60 %,0 %,60 %,0 %,60 %,0 %,60 %,0 %,60 %,0 %,63,"Q1 = 90%
Q2 = 70%
Q3 = 53%
Q4 = 41%
total 254 /4 =63%",,,Outstanding awaiting report from Provincial Treasury after final disbursement ,,Target for the quarter not achieved. Reason for deviation has been provided. Corrective / Remedial measures to be provided.,Outstanding awaiting report from Provincial Treasury after final disbursement.,,Target for the quarter not achieved. Reason for deviation has been provided. Corrective / Remedial measures to be provided noting that the YTD performance is 0% and it is highly unlikely that the annual target will be achieved. ,Awaiting report from Provincial Treasury.,,"Outstanding, Awaiting report from Provincial Treasury after final disbursment.",,,57
,Northern Cape: Office of the Premier,Northern Cape,Programme 2 Institutional Development,2.1.1 Human Resource Administration,Annually,Maintain vacancy rate of 10% or less,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Drive 4:  Accountable and Effective Governance,"Governance, State Capacity and Institutional Development cluster",,,,,,,10 %,8.78 %,10 %,8.78 %,9,,,,,,,,,,,,,,,57
,Northern Cape: Office of the Premier,Northern Cape,Programme 2 Institutional Development,2.1.1 Human Resource Administration,Quarterly,Number of monitoring reports on provincial compliance to the Public Service HRA related norms and standards,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Drive 4:  Accountable and Effective Governance,"Governance, State Capacity and Institutional Development cluster",0,0,1,1,0,0,1,1,2,2,2,,,,,,There is no planned target for Q1.,,,Target achieved as planned for the quarter. ,,,,,Year to date performance is at 100%,57
,Northern Cape: Office of the Premier,Northern Cape,Programme 2 Institutional Development,2.1.2.Human Resource Strategy and Transversal Co-ordination,Annually,Annual report on bursaries awarded to unemployed youth,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Drive 4:  Accountable and Effective Governance,"Governance, State Capacity and Institutional Development cluster",,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,57
,Northern Cape: Office of the Premier,Northern Cape,Programme 2 Institutional Development,2.1.2.Human Resource Strategy and Transversal Co-ordination,Annually,Monitoring report on the Provincial HRD Strategy Implementation Plan,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Drive 4:  Accountable and Effective Governance,"Governance, State Capacity and Institutional Development cluster",,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,57
,Northern Cape: Office of the Premier,Northern Cape,Programme 2 Institutional Development,2.1.2.Human Resource Strategy and Transversal Co-ordination,Annually,Report on compliance by provincial departments with the submission of HRD plans,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Drive 4:  Accountable and Effective Governance,"Governance, State Capacity and Institutional Development cluster",,,1,1,,,,,1,1,1,,,,,,,,,,,,,,,57
,Northern Cape: Office of the Premier,Northern Cape,Programme 2 Institutional Development,2.1.2.Human Resource Strategy and Transversal Co-ordination,Quarterly,Number of HRD Forums on integrated planning and coordination,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Drive 4:  Accountable and Effective Governance,"Governance, State Capacity and Institutional Development cluster",2,2,2,2,2,2,2,2,8,8,8,,,,,,Target achieved as planned for the quarter,,,Target achieved as planned for the quarter. ,,,,,"Quarter target achieved. 
Year to date performance is at 100%. ",57
,Northern Cape: Office of the Premier,Northern Cape,Programme 2 Institutional Development,2.1.3. Performance Management and Capacity Development,Annually,Number of approved OTP Workplace Skills Plan submitted to PSETA ,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Drive 4:  Accountable and Effective Governance,"Governance, State Capacity and Institutional Development cluster",1,1,,,,,,,1,1,1,,,,,,,,,,,,,,,57
,Northern Cape: Office of the Premier,Northern Cape,Programme 2 Institutional Development,2.1.3. Performance Management and Capacity Development,Annually,Number of OTP status reports submitted to DPSA ,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Drive 4:  Accountable and Effective Governance,"Governance, State Capacity and Institutional Development cluster",,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,57
