Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,DesiredPerformance,OTP_Q4,UID
,Eastern Cape: Office of the Premier,Eastern Cape,Programme 1: Administration,Sub - Programme 1.5: Corporate Management Services,Quarterly,1.1 HR Maturity Level,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",-,-,,,-,,3,No report received,,,,-,-,N/A,N/A,3,-,,,,,,,,,,70
,Eastern Cape: Office of the Premier,Eastern Cape,Programme 1: Administration,Sub - Programme 1.5: Corporate Management Services,Quarterly,1.4 ICT Maturity Level,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",-,-,,,-,,3,3,N/A,N/A,,-,-,N/A,N/A,3,-,,,,,,,,,,70
,Eastern Cape: Office of the Premier,Eastern Cape,Programme 1: Administration,Sub - Programme 1.5: Corporate Management Services,Quarterly,1.5 Employees below 35 years of age,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",20%,"16.6% (65/390X100) 

Of the 52 ARP posts, 33 are earmarked for Youth. Progress:
So far, of the 33 earmarked posts, 10 have been filled, 3 are in progress and 11 have been advertised,  
However, 6 posts were deviated from the plan. Recruitment panels were appointed and trained on EE policy as well as EE targets for 2024/ 25. 
"," 
As much as there were consultations with recruitment panels, the adverts were not specifying the EE targets and that resulted not to get the required target.  ","EE targets must be specified in the advertisements.

To strengthen partnership with recruitment panels

Meet regularly with project team 
",20%,,20%,17.35,Youth employees   are exiting Youth Bracket.,"•	Lower -level posts that do not need any experience are ringfenced for youth.
•	Mentoring and Coaching programme should prioritize the MMS level posts in-order to fill the gaps on SMS level
",Accepted,20%,17,Appointed Youth are exiting youth bracket,•	Lower -level posts that do not need any experience are ringfenced for youth.,20%,-,,,,,,,,,,70
,Eastern Cape: Office of the Premier,Eastern Cape,Programme 1: Administration,Sub- Programme 1.1: Premier support,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,70
,Eastern Cape: Office of the Premier,Eastern Cape,Programme 1: Administration,Sub- Programme 1.1: Premier support,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,70
,Eastern Cape: Office of the Premier,Eastern Cape,Programme 1: Administration,Sub- programme 1.2: Executive Council Support,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,70
,Eastern Cape: Office of the Premier,Eastern Cape,Programme 1: Administration,Sub- programme 1.2: Executive Council Support,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,70
,Eastern Cape: Office of the Premier,Eastern Cape,Programme 1: Administration,Sub- Programme 1.3: Director-General Support,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,70
,Eastern Cape: Office of the Premier,Eastern Cape,Programme 1: Administration,Sub- Programme 1.3: Director-General Support,Quarterly,1.10 Unqualified audit opinion without matters of emphasis,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",-,-,,,Unqualified audit opinion without matters of emphasis,Unqualified audit opinion,-,-,N/A,N/A,,-,-,N/A,N/A,Unqualified audit opinion without matters of emphasis,-,,,,,,,,,,70
,Eastern Cape: Office of the Premier,Eastern Cape,Programme 1: Administration,Sub- Programme 1.3: Director-General Support,Quarterly,1.3 Risk Management Maturity Level,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",-,-,,,-,,3,3,N/A,N/A,,-,-,N/A,N/A,3,-,,,,,,,,,,70
,Eastern Cape: Office of the Premier,Eastern Cape,Programme 1: Administration,Sub- Programme 1.3: Director-General Support,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,-,,,,,,,,,,70
,Eastern Cape: Office of the Premier,Eastern Cape,Programme 1: Administration,Sub-Programme 1.4: Financial Management,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,70
,Eastern Cape: Office of the Premier,Eastern Cape,Programme 1: Administration,Sub-Programme 1.4: Financial Management,Quarterly,1.2 Financial Maturity Level,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",-,-,,,-,,3,2,Underspending,Implement stricter budget controls with real time monitoring. ,Accepted,-,-,N/A,N/A,3,-,,,,,,,,,,70
,Eastern Cape: Office of the Premier,Eastern Cape,Programme 1: Administration,Sub-Programme 1.4: Financial Management,Quarterly,1.6 Procurement beneficiation towards Eastern Cape Based Micro Small Medium Enterprise (MSME)  ,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",60%,91%,Focused efforts on increasing procurement spend towards women own   enterprises yielded positive outcomes.,,60%,70%,60%,73,N/A,N/A,Accepted,60%,"69,4%",Focused efforts on increasing procurement spend towards Eastern Cape based MSME’s yielded positive outcomes.,N/A,60%,-,,,,,10%,Focused efforts on increasing procurement spend towards EC MSMEs own   enterprises yielded positive outcomes.,No reason provided for over achievement,,,70
