Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,UID
Statistics South Africa,Statistics South Africa,National,Programme 1: Administration,Executive and Project Support,Annually,1.1 Number of reports on priority projects supported in accordance with Stats SA’s project management framework: 1 report on support provided to Census 2022 and PES compiled by March 2023,Non-Standardized,Not  Applicable,"An efficient, effective and development-oriented public service",Governance and Administration cluster,,,,,,,,,1,,1,,,1,,,,,,,,,246
Statistics South Africa,Statistics South Africa,National,Programme 1: Administration,Executive and Project Support,Annually,1.2 Percentage of prioritised required MIR functionalities developed: 25% (Phase 1) of prioritised MIR functionalities developed by March 2023,Non-Standardized,Not  Applicable,"An efficient, effective and development-oriented public service",Governance and Administration cluster,,,,,,,,,25,,25,,,25,,,,,,,,,246
Statistics South Africa,Statistics South Africa,National,Programme 1: Administration,Facilities Transport and Security Management,Annually,5.1 Number of reports on monitoring the fleet management strategy: 1 report on the monitoring of the fleet management strategy compiled by March 2023 ,Non-Standardized,Not  Applicable,"An efficient, effective and development-oriented public service",Governance and Administration cluster,,,,,,,,,1,,1,,,1,,,,,,,,,246
Statistics South Africa,Statistics South Africa,National,Programme 1: Administration,Facilities Transport and Security Management,Annually,5.2: Report on logistics and fleet management support provided to Census 2022: Percentage of logistics and fleet management support provided to Census 2022 and PES,Non-Standardized,Not  Applicable,"An efficient, effective and development-oriented public service",Governance and Administration cluster,,,,,,,,,100 %,,98,Dependency on ext stakeholder,Expected completion: Q2 of 2023/24,98,,,,,,,,,246
Statistics South Africa,Statistics South Africa,National,Programme 1: Administration,Financial Management,Annually,6.1 System for financial management funding model: Number of systems for financial management funding model developed,Non-Standardized,Not  Applicable,"An efficient, effective and development-oriented public service",Governance and Administration cluster,,,,,,,,,1,,0,HR constraints,Work will continue in 2023/24,0,,,,,,,,,246
Statistics South Africa,Statistics South Africa,National,Programme 1: Administration,Financial Management,Annually,6.2 Report on financial management support provided to Census 2022: Percentage of financial management support provided to Census 2022 and PES ,Non-Standardized,Not  Applicable,"An efficient, effective and development-oriented public service",Governance and Administration cluster,,,,,,,,,100 %,,76,Internal processes,Expected completion in Q1 of 2023/24,76,,,,,,,,,246
Statistics South Africa,Statistics South Africa,National,Programme 1: Administration,Human Resource Management and Development,Annually,4.1.1: Number of talent management elements institutionalised: 1 skills development strategy developed by September 2022,Non-Standardized,Not  Applicable,"An efficient, effective and development-oriented public service",Governance and Administration cluster,,,,,,,,,1,,0,"Internal stakeholder consultation
",Work will continue in 2023/24,0,,,,,,,,,246
Statistics South Africa,Statistics South Africa,National,Programme 1: Administration,Human Resource Management and Development,Annually,4.1.2: Number of talent management elements institutionalised: 1 skills development plan implemented (phase 2) by March 2023,Non-Standardized,Not  Applicable,"An efficient, effective and development-oriented public service",Governance and Administration cluster,,,,,,,,,1,,0,Internal stakeholder consultation,Work will continue in 2023/24,0,,,,,,,,,246
Statistics South Africa,Statistics South Africa,National,Programme 1: Administration,Human Resource Management and Development,Annually,4.1.3: Number of talent management elements institutionalised: 1 report on talent management compiled by March 2023,Non-Standardized,Not  Applicable,"An efficient, effective and development-oriented public service",Governance and Administration cluster,,,,,,,,,1,,0,Internal processes,Work will continue in 2023/24,0,,,,,,,,,246
Statistics South Africa,Statistics South Africa,National,Programme 1: Administration,Human Resource Management and Development,Annually,4.2 Percentage of human resource management support provided to PES: 100% human resource support provided to PES by September 2022,Non-Standardized,Not  Applicable,"An efficient, effective and development-oriented public service",Governance and Administration cluster,,,,,,,,,100 %,,100,"Ext of Census project
",,100,,,,,,,,,246
