Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q4,CorrectiveAction_Q4,UID
"Planning, Monitoring and Evaluation","Planning, Monitoring and Evaluation",National,PROGRAMME 1 : ADMINISTRATION,1.1 Departmental Management,Quarterly,Audited Annual Report,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,Annual Report submitted to Auditor-General SA by 31 May 2022,Annual Report was submitted to Auditor-General SA by 31 May 2022,None,None,Audited Annual Report Submitted to National Treasury and Parliament by due date,Audited Annual Report submitted to National Treasury by 31 July 2022 and Parliament by 27 September 2022,None,None,Present Annual Report to Parliament,2021/22 Audited Annual Report presented to Parliament,None,None,-,,Produce AR and submit to AGSA for audit and to NT and Parliament by due dates,-,"Annual Report was produced and submitted to Auditor-General SA, NT and Parliament by due dates",None,None,"Annual Report was produced and submitted to Auditor-General SA, NT and Parliament by due date",,,153
"Planning, Monitoring and Evaluation","Planning, Monitoring and Evaluation",National,PROGRAMME 1 : ADMINISTRATION,"1.2 Risk, Anti-corruption and Integrity Management",Quarterly,Percentage of designated employees submitting financial disclosures,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,100%,99% compliance in submission of financial interests within the specified time frame of 30 April 2022),"Target missed by a percentage point (1%)  

78 out of 79 SMS members, complied with the submission of financial interests
",Disciplinary measures will be instituted against the Official through Labour Relations Unit. The official has subsequently submitted the financial interests through a concession granted by the DPSA in June 2022 ,100%,80% (52 of  65)  designated employees complied with the submissions of financial interests within the specified timeframes of 31 July 2022,13 ASD’s including OSD officials failed to comply with the submission of financial interests within the specified time frame of 31 July 2022. The officials provided various reasons for non-submission as per the submission to the DG,"Disciplinary measures will be instituted against the officials who did not comply. The officials were granted concessions by the DG, to ensure that they submit their outstanding financial interests once the DPSA opened the e- Disclosure system for the officials",-,N/A,N/A,N/A,-,,100% compliance in submission of financial interests by all designated employees within the specified time frames,-,"99% compliance in
submission of financial
interests within the
specified time frame of 30 April 2022)

78 out of 79 SMS members,
complied with the submission of financial interests

80% (52 of  65)  designated employees  (ASD L9 &10) complied with the submissions of financial interests within the specified timeframes of 31 July 2022
","Target missed by a percentage
point (1%)



Target missed by 20 % ","The official has subsequently submitted the financial interests through a concession granted by the
DPSA in June
2022

7 ASD’s   failed to comply with the submission of financial interests within the specified time frame of 31 July 2022

Report as at 31 March 2023: 60 ASD’s and 1 OSD had submitted the financial disclosures.

Submission was routed to Employee wellness to institute disciplinary measures  
","99% compliance in
submission of financial
interests within the
specified time frame of 30 April 2022)

78 out of 79 SMS members,
complied with the submission of financial interests

80% (52 of  65)  designated employees  (ASD L9 &10) complied with the submissions of financial interests within the specified timeframes of 31 July 2022
",,,153
"Planning, Monitoring and Evaluation","Planning, Monitoring and Evaluation",National,PROGRAMME 1 : ADMINISTRATION,1.3 Human Resource Management ,Quarterly,Maintain vacancy rate of 10% or below on the recruitment plan,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,Fill vacancies and achieve a vacancy rate of 10% or below,"The average vacancy rate for the quarter is 8.2% 

Note:
The DPME for the purposes of calculating the vacancy rate only included posts that are funded as per the EXCO decision after the budget cuts implemented by National Treasury
","None
",None,Fill vacancies and achieve a vacancy rate of 10% or below,"The average vacancy rate for the quarter is 7.7% 

Note: The DPME for the purposes of calculating the vacancy rate only included posts that are funded as per the EXCO decision after the budget cuts implemented by National Treasury
",None,None,Fill vacancies and achieve a vacancy rate of 10% or below,"The average vacancy rate for the quarter is 8,3% 

Note: 
For purposes  of calculating the vacancy rate, only funded vacant posts are included.
",None,None,Fill vacancies and achieve a vacancy rate of 10% or below,"Target Not Achieved: 
The average vacancy rate for the quarter is 10.3% 

Note: The DPME for the purposes of calculating the vacancy rate only included posts that are funded as per the EXCO decision after the budget cuts implemented by National Treasury",Maintain a vacancy rate of 10% or less annually,-,"The average vacancy rate for the year is 8,4% ",None,None,"The average vacancy rate for the year is 8,4% ",0.3% deviation from the target,"Due to Minister reshuffling, posts became open and will be filled soon
",153
"Planning, Monitoring and Evaluation","Planning, Monitoring and Evaluation",National,PROGRAMME 1 : ADMINISTRATION,1.4 Chief Financial Officer,Quarterly,Payment to suppliers turnaround times,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,30 working days on average,All invoices paid within 30 days from day of receipt of invoice,None,None,30 working days on average,100% of received valid invoices paid within 30 days of receipt.,"30 days exception Reports for July, August and September 2022",None,30 working days on average,100% of valid invoices received paid within 30 days of receipts,None,None,30 working days on average,"100% of valid invoices received paid within 30 days of receipts
",30 working days on average,-,All invoices paid within 30 days from day of receipt of invoice,None,None,All invoices paid within 30 days from day of receipt of invoice,None,None,153
"Planning, Monitoring and Evaluation","Planning, Monitoring and Evaluation",National,PROGRAMME 2: INSTITUTIONALISING NATIONAL PLANNING IN GOVERNMENT ,2.1 National Planning Commission (Secretariat),Annually,NDP monitoring report,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,,,,,,,,,,,,,,,Report on monitoring NDP Indicators and Targets,,Report on monitoring NDP Indicators and Target was produced,None,None,Report on monitoring NDP Indicators and Target was produced,,,153
"Planning, Monitoring and Evaluation","Planning, Monitoring and Evaluation",National,PROGRAMME 2: INSTITUTIONALISING NATIONAL PLANNING IN GOVERNMENT ,2.1 National Planning Commission (Secretariat),Annually,Number of research projects completed in support of implementation of the NDP,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,,,,,,,,,,,,,,,1 consolidated report on all research projects to review and support implementation of the NDP produced,,"1 synthesis report on all research projects to review and support
Implementation of the NDP was produced
",None,None,"1 synthesis report on all research projects to review and support
Implementation of the NDP was produced",,,153
"Planning, Monitoring and Evaluation","Planning, Monitoring and Evaluation",National,PROGRAMME 2: INSTITUTIONALISING NATIONAL PLANNING IN GOVERNMENT ,2.1 National Planning Commission (Secretariat),Annually,Number of stakeholder engagements report,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,,,,,,,,,,,,,,,1 consolidated stakeholder engagements report on NDP implementation,,Stakeholder engagements report on NDP implementation,None,None,Stakeholder engagements report on NDP implementation,,,153
"Planning, Monitoring and Evaluation","Planning, Monitoring and Evaluation",National,PROGRAMME 2: INSTITUTIONALISING NATIONAL PLANNING IN GOVERNMENT ,2.1 National Planning Commission (Secretariat),Annually,Annual report on the work of the NPC,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,,,,,,,,,,,,,,,"Produce the Annual Report for 2021/22, which reflect the contribution of the NPC",,NPC Annual Report for 2021/2022 was produced ,None,None,NPC Annual Report for 2021/2022 was produced by 30 June 2022,,,153
"Planning, Monitoring and Evaluation","Planning, Monitoring and Evaluation",National,PROGRAMME 2: INSTITUTIONALISING NATIONAL PLANNING IN GOVERNMENT ,National Planning Coordination,Annually,Number of assessment reports on received national institution’s Strategic Plans and Annual Performance Plans produced,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,,,,,,,,,,,,,,,42 assessment reports produced,,52 assessment  reports on received national institution’s Strategic Plans and Annual Performance Plans were produced ,Additional 10 assessment reports produced,None,52 assessment  reports on received national institution’s Strategic Plans and Annual Performance Plans were produced,,,153
"Planning, Monitoring and Evaluation","Planning, Monitoring and Evaluation",National,PROGRAMME 2: INSTITUTIONALISING NATIONAL PLANNING IN GOVERNMENT ,National Planning Coordination,Annually,Number of assessment reports on received provincial institutions Strategic Plans and Annual Performance Plans produced,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,,,,,,,,,,,,,,,Consolidated assessment reports for six provinces produced,,Consolidated Assessment Reports for six provinces were produced,None,None,Consolidated Assessment Reports for six provinces were produced,,,153
"Planning, Monitoring and Evaluation","Planning, Monitoring and Evaluation",National,PROGRAMME 2: INSTITUTIONALISING NATIONAL PLANNING IN GOVERNMENT ,National Planning Coordination,Annually,Number of Quarterly Performance Reporting Guidelines issued to all national departments,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,,,,,,,,,,,,,,,1 Guideline for National QPRs issued by 15 May 2022,,1 Guideline for National QPRS was issued to all National Institutions on 13 May 2022,None,None,1 Guideline for National QPRS was issued to all National Institutions on 13 May 2022,,,153
"Planning, Monitoring and Evaluation","Planning, Monitoring and Evaluation",National,PROGRAMME 2: INSTITUTIONALISING NATIONAL PLANNING IN GOVERNMENT ,National Planning Coordination,Annually,Number of Quarterly Performance Reporting Guidelines issued to all Offices of the Premier,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,,,,,,,,,,,,,,,1 Guideline for Provincial QPRs issued by 15 May 2022,,"1 Guideline for Provincial
QPRS was issued to all Offices of the Premier on 13 May 2022
",None,None,"1 Guideline for Provincial
QPRS was issued to all Offices of the Premier on 13 May 2022",,,153
"Planning, Monitoring and Evaluation","Planning, Monitoring and Evaluation",National,PROGRAMME 2: INSTITUTIONALISING NATIONAL PLANNING IN GOVERNMENT ,National Planning Coordination,Annually,Number of concept notes on the automation of the planning system,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,,,,,,,,,,,,,,,1 concept note on the automation of the planning system,,Concept note on the automation of the planning system was produced,None,None,Concept note on the automation of the planning system was produced,,,153
"Planning, Monitoring and Evaluation","Planning, Monitoring and Evaluation",National,PROGRAMME 2: INSTITUTIONALISING NATIONAL PLANNING IN GOVERNMENT ,National Planning Coordination,Annually,Number of reports on the revision of IPFB,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,,,,,,,,,,,,,,,One report on the revision of the IPFB produced,,One report on the revision of the IPFB was produced,None,None,One report on the revision of the IPFB was produced,,,153
