Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,National_Q2,UID
Human Settlements,Human Settlements,Eastern Cape,Programme 1: Administration,Financial Management Services,Quarterly,Percentage of invoices paid within 30 days from date of invoice receipt,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements and Local Government","The Social Protection, Community and Human Development cluster",100 %,98 %,"Under performance was due to problematic invoices that could not be processed on time, and the delays in the preparation of expenditure approval and 
commitment register.
","Several reminders were sent to end 
users for the preparation of paperwork.
","Your corrective measure shows what you have already done, but it does not show what it is that you are going to do to improve this situation",100 %,"99,3 %","Under performance was due to problematic invoices that could not be processed on time, and the delays in the preparation of expenditure approval and commitment register",Several reminders were sent to affected end users for the preparation of paperwork,What happens if they do not respond again in Q3? Please devise a plan to work around this matter,100 %,98.6 %,"Under performance was due to problematic invoices that could not be processed on time, and delays in the preparation of expenditure approval and commitment register.",Several reminders were sent to affected end users for the preparation of paperwork.,How are you ensuring that you no longer encounter problematic invoices? Will they be accommodated in the last quarter?,100 %,"97,5% %",Under performance was due to problematic invoices: Invoices could not be processed on time due to the following reasons: Delays in the preparation of expenditure approval and commitment register. Budget constraints,"Several reminders were sent to end users for the preparation of paperwork
The strategy that is currently applied resulted in significant improvement from 91% achieved in 2023/24 to 98,39 % in 2024/25 financial year that is evidence that the current working for the Department.","The corrective measure has already been applied and did not work, please indicate what new strategy will you be making to achieve this particular indicator",100 %,"99,3 %",,,,,,85
Human Settlements,Human Settlements,Eastern Cape,Programme 1: Administration,Head of Department: Executive support,Annually,Number of departmental business continuity plan approved,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements and Local Government","The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,1,0,,,,1,0,,Under performance was due to the project with SITA which only commenced in December 2024,"The project is at 81% completion, and it is envisaged to be completed during the 1st quarter of 2025/26 financial year.",,,85
Human Settlements,Human Settlements,Eastern Cape,Programme 1: Administration,Head of Department: Executive support,Quarterly,Number of internal audits conducted,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements and Local Government","The Social Protection, Community and Human Development cluster",3,3,None,None,,3,3,None,None,,2,2,None,None,,2,2,None,None,,10,2,,,,,,85
Human Settlements,Human Settlements,Eastern Cape,Programme 1: Administration,Strategy and Systems,Quarterly,Number of Corporate Governance of ICT elements implemented,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements and Local Government","The Social Protection, Community and Human Development cluster",1,1,None,None,,1,1,None,None,,1,1,None,None,,1,1,None,None,,4,4,,,,,,85
Human Settlements,Human Settlements,Eastern Cape,Programme 1: Administration,Strategy and Systems,Quarterly,Number of IGR forums reinforced,Non-Standardized,Max,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements and Local Government","The Social Protection, Community and Human Development cluster",4,2,Under performance was due to postponements of IGR Forums by COGTA and Great Kei Municipality,The Sub-Programme will facilitate the sitting of IGR Forums in the second quarter ,Your Q2 target should be 6 instead of 4 because of your corrective measure on this matter to be able to achieve.,4,9,Over performance is due to recovery from last quarter and additional District Development Model sessions from municipalities,None,Recovery from Q1 is noted,4,5,Over performance was due to additional District Development Model sessions held in various municipalities,None,Name the Municipalities that contributed in the overachievement,4,7,"Over performance was due to three additional IGR Forums held in different Local Municipalities namely:
•	EXCO Back to School Programme in O.R.Tambo District on the 21st of January 2025
•	 IGR Forum Meeting in Mnquma Local Municipality on the 26th of February 2025
•	Reporting Working Session in Sarah Baartman District on the 14th of March 2025
",None,Name the three municipalities,16,9,,,,,,85
Human Settlements,Human Settlements,Eastern Cape,Programme 1: Administration,Sub-programme 1.1: Office of the MEC,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,0,None,None,,,0,,,,,,85
Human Settlements,Human Settlements,Eastern Cape,Programme 1: Administration,Sub-programme 1.2: Corporate Services,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,0,0,None,None,,0,,,,,0,,,,,0,0,None,None,,0,0,,,,,,85
Human Settlements,Human Settlements,Eastern Cape,Programme 1: Administration,Sub-programme 1.2: Corporate Services,Quarterly,Number of Human Resource Plan priorities implemented,Non-Standardized,Max,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements and Local Government","The Social Protection, Community and Human Development cluster",5,3,"Under performance was due to following reasons:  
•	Departmental Organogram could not be reviewed due to the   delays in the approval of the service delivery model.
•	There is also a challenge of persons with disabilities due to the limited number of people with disabilities that are applying even when posts are ring-fenced for them and are encouraged to apply
","•	Facilitate the approval of the Service Delivery model so that the organizational structure can be reviewed and aligned to organogram.
•	Continue to ringfence vacant posts for persons with disabilities to apply for the posts. 
•	Continuously engagement with relevant stakeholders
",Continuous ringfencing of the posts for disabled people needs to be accompanied by a new strategy to source the reasons why they are not applying to ringfenced posts,0,0,None,None,,5,3,Underperformance was due to the implementation of the approved Service Delivery Model depends mainly on its alignment with the organogram. There is a challenge for people with disabilities who do not apply even when posts are ringfence for them,The delegation to approve the review of the Organigram lies with the MEC. The memorandum that requests the MEC to approve the review of the organogram was submitted to the office of the MEC and it is not approved yet. Continue to ringfence posts on the next recruitment drive in an effort to meet the equity targets.,Reasons for the MEC not to approve this plan should be sourced to serve as proof that the work was done (POE),0,0,None,None,,5,3,,,,,,85
Human Settlements,Human Settlements,Eastern Cape,Programme 1: Administration,Sub-programme 1.2: Corporate Services,Quarterly,Turnaround time to fill vacant funded posts from Provincial Co-ordination and Monitoring Team (PCMT) approval (days),Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements and Local Government","The Social Protection, Community and Human Development cluster",240,304,"•	DPSA invoked circular 49 of 2023 regarding the filling of funded vacant posts however the Department was working towards filling of these posts at the beginning of the financial year 24/25.
•	Furthermore, the turnaround time was changed to 240 days to funded vacant posts as against the planned 365 days Departmental plan for 2023/24
",None,,240,170,Over performance was due to improved working relations with all stakeholders,None,,240,0,No posts approved for advertisement,None,Please provide reasons for deviation,240,217,Over performance was due to implementation e-recruitment and improved HR processes ,None,,240,-,,,,,,85
Human Settlements,Human Settlements,Eastern Cape,"Programme 2: Housing Needs, Research and Planning",Capacity Building and Municipal Support,Annually,"Number of short learning programs implemented for Councillors, Traditional Leaders and Municipal officials",Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements and Local Government","The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,4,0,,,,4,0,,Under performance was due to delays in procurement and contractual processes,SLP’s targeted quarter 4 will be implemented during the first quarter of 2025/26,,,85
