Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,National_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,National_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,National_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,OTP_Q1,National_Q4,UID
,"Sport, Arts and Culture",KwaZulu-Natal,Programme 1: Administration,Programme 1: Administration,Annually,Percentage of expenditure within the variance,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Growing the Economy,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,2 %,2 %,2 %,2 %,,"""Target achieved 

The department has spent 100 percent of its allocated budget  of R1 537 779 billion.""
",,,,,,,,,,,,,,,,,,,100
,"Sport, Arts and Culture",KwaZulu-Natal,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage of critical and funded posts filled within 6 months of advertisement,Non-Standardized,Max,"Priority 1: A Capable, Ethical and Developmental State",Build a caring and incorruptible government,"Governance, State Capacity and Institutional Development cluster",100 %,100 %,100 %,14.28 %,100 %,62 %,100 %,0.62% %,100 %,100 %,,,,,,,"Achieved, however the reason for deviation are confusing against the reported actual performance","The selection process was put on halt during the change of 6th administration
","The process has been reinstated and envisaged to be concluded by end of November 2024.
",N/A,"Not achieved, reason for deviation and corrective action provided.",,,Please provide the reason for the deviation and correction action statement.,"Not achieved, no reason for deviation and corrective action provided.",At the moment only posts approved by OTP are filled.,,Please expand on the reason for deviation.,,,100
,"Sport, Arts and Culture",KwaZulu-Natal,Programme 1: Administration,Programme 1: Administration,Quarterly,"Percentage of people with disabilities employed,",Non-Standardized,Max,"Priority 1: A Capable, Ethical and Developmental State",Build a caring and incorruptible government,"Governance, State Capacity and Institutional Development cluster",2 %,2 %,2 %,"2,3 %",2 %,2.57 %,2 %,"2,27%
 %",2 %,"2,3 %",,,,,,,Achieved as planned.,,,"The department is advised to ensure that all fields are populated. In areas where the reason for deviation and corrective action is not required please kindly put ""N/A"".",Achieved.,,,Please provide the reason for the deviation and correction action statement.,"Over-achieved, no reason for deviation provided.",,,Please provide reason for deviation.,,,100
,"Sport, Arts and Culture",KwaZulu-Natal,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage of procurement awarded to designated groups,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Build a caring and incorruptible government,"Governance, State Capacity and Institutional Development cluster",90 %,93 %,90 %,95 %,90 %,96 %,90 %,98% %,90 %,,,,,,the target has been exceeded by 3% as there were more than enough supliers from the HDI's to supply goods and services to the Department.,,,"The target has been exceeded by 5% as most of the goods & services that the Department procures are from the HDI
",,"The department is advised to ensure that all fields are populated. In areas where the reason for deviation and corrective action is not required please kindly put ""N/A"".","Achieved, reason for deviation provided.","""Target achieved 

The target has been exceeded by 6% as most of the goods & services that the Department procures are from the HDI""
",,N/A,Achieved.,"""Target achieved 

The target has been exceeded by 8% as most of the goods & services that the Department procures are from the HDI""
",,,,,100
,"Sport, Arts and Culture",KwaZulu-Natal,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage of suppliers paid within 30-day period,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Build a caring and incorruptible government,"Governance, State Capacity and Institutional Development cluster",100 %,100 %,100 %,100 %,100 %,100 %,100 %,100 %,100 %,,,,,,,,,,,"The department is advised to ensure that all fields are populated. In areas where the reason for deviation and corrective action is not required please kindly put ""N/A"".",Achieved.,,,N/A,Achieved. ,,,,,,100
,"Sport, Arts and Culture",KwaZulu-Natal,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage of women maintained at SMS level,Non-Standardized,Max,"Priority 1: A Capable, Ethical and Developmental State",Build a caring and incorruptible government,"Governance, State Capacity and Institutional Development cluster",50 %,51 %,50 %,45.94 %,50 %,45.94 %,50 %,"48,57%
 %",50 %,51 %,,,,,"The target was exceeded since the the filling of Senior Management roles prioritised the attraction and selection of female candidates
",,Over-achieved reason for deviation provided.,"Target not achieved due to two (2) officials that exited the system on 31 August 2024.
","Posts will be prioritized for filling
",N/A,"Not achieved, reason for deviation and corrective action provided.",,"SMS posts to be prioritized for filling
",Kindly provide the reason for the deviation.,"Not achieved, no reason for deviation provided.","There was a difference of 1,43% between the planning target and actual achievement
",,"Target not achieved, please review reason for deviation and provide corrective action.",,,100
,"Sport, Arts and Culture",KwaZulu-Natal,Programme 2: Cultural Affairs ,Programme 2: Cultural Affairs ,Annually,Number of books published on township/ villages.,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Education and Skills Development ,"The Social Protection, Community and Human Development cluster",,,,,,,4,4,4,4,,No,,,,,,,,,,,,,,,,,,,100
,"Sport, Arts and Culture",KwaZulu-Natal,Programme 2: Cultural Affairs ,Programme 2: Cultural Affairs ,Quarterly,Number of community conversations / dialogues implemented to foster social interaction per year,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,-,"The Social Protection, Community and Human Development cluster",9,9,7,7,6,3,6,5,28,24,,,,,,,Achieved as planned.,,,"The department is advised to ensure that all fields are populated. In areas where the reason for deviation and corrective action is not required please kindly put ""N/A"".",Achieved.,3 Community conversation were rescheduled for the 4th Quarter,,"Kindly revise reason for the deviation as it does not state why the target was not achieved. elaborate on my the outstanding project was rescheduled for February 2025. Lastly, please provide the corrective action statement.","Not achieved, reason for deviation provided but do not provide basis for rescheduling",Some community conversations were invalidated due to insufficient evidence.,,Please capture the reason for deviation and corrective action.,,,100
,"Sport, Arts and Culture",KwaZulu-Natal,Programme 2: Cultural Affairs ,Programme 2: Cultural Affairs ,Quarterly,Number of cultural exhibition staged.. ,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Education and Skills Development ,"The Social Protection, Community and Human Development cluster",1,1,1,1,1,1,0,0,3,3,,,,,,,Achieved as planned.,,,"The department is advised to ensure that all fields are populated. In areas where the reason for deviation and corrective action is not required please kindly put ""N/A"".",Achieved.,No deviation,,N/A,Achieved. ,,,,,,100
,"Sport, Arts and Culture",KwaZulu-Natal,Programme 2: Cultural Affairs ,Programme 2: Cultural Affairs ,Quarterly,Number of cultural/ creative sector practitioners capacitated. ,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Education and Skills Development ,"The Social Protection, Community and Human Development cluster",100,119,300,369,240,194,100,25,740,707,,,,,Target exceeded due to popularity of some capacity building interventions.,,"Over-achieved, reason for deviation provided.",Popularity of some capacity development interventions increased numbers of people participating and were accommodated at no additional costs.,Stringent preparations and selections will be followed aimed at eliminating last minute registrations.,N/A,"Achieved, reason for deviation and corrective action achieved.",The reprioritization of budget led to  the postponement of some capacity development interventions,These capacity development will be implemented once financial position has improved.,Noted.,"Not achieved, reason for deviation and corrective action provided. The corrective action is generic, does not provide timelines",A beadwork course had to be rescheduled for next financial year due to financial constraints.,Review targets to align with available resources.,,,,100
