Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,UID
,Communication and Digital Technologies,National,ADMINISTRATION,ADMINISTRATION,Quarterly,Implemented DCDT integrated Action Plan in support of the implementation of National Strategic Plan (NSP) on gender-based Violence,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,"Implementation of the
DCDT integrated plan
of action in support of
National Strategic Plan
(NSP) on gender-based
Violence, focusing on
Prevention, Reporting
and Economic Power
Pillars working with SOCs
and Branches of DCDT,
commenced in three
provinces and two districts
focusing on Youth and
Children","Implementation of the DCDT integrated plan of action in support of National Strategic Plan (NSP) on gender-based Violence, focusing on Prevention, Reporting and Economic Power Pillars working with SOCs and Branches of DCDT, commenced in three provinces (EC, MP and NW) and in two districts in NW (Dr Kenneth Kaunda District Municipality) and MP (Nkangala District Municipality).",None,None,"Implementation of the
DCDT integrated plan
of action in support of
National Strategic Plan
(NSP) on gender-based
Violence, focusing on
Prevention, Reporting
and Economic Power
Pillars working with SOCs
and Branches of DCDT
continued in three
additional provinces and
two additional districts
focusing on Women and
youth","Implementation of the DCDT integrated plan of action in support of National Strategic Plan (NSP) on gender-based Violence, focusing on Prevention, Reporting and Economic Power Pillars working with SOCs and Branches of DCDT continued in three additional provinces and two additional districts focusing on Women and youth",None,None,"Implementation of the
DCDT integrated plan
of action in support of
National Strategic Plan
(NSP) on gender-based
Violence, focusing on
Prevention, Reporting
and Economic Power
Pillars working with SOCs
and Branches of DCDT
continued focusing on
Persons with Disabilities
Children, Survivors and
Victims of Gender Based
Violence","Implementation of the DCDT integrated plan of action in support of National Strategic Plan (NSP) on gender-based Violence, focusing on Prevention, Reporting and Economic Power Pillars working with SOCs and Branches of DCDT continued focusing on Persons with Disabilities Children, Survivors and Victims of Gender Based Violence and was implemented in quarter under review successfully.",None,None,"Implementation of the
DCDT integrated plan
of action in support of
National Strategic Plan
(NSP) on gender-based
Violence, focusing on
Prevention, Reporting
and Economic Power
Pillars working with SOCs
and Branches of DCDT
continued through hosting
a National Stakeholder
Engagement and
Evolution Workshop and
developing the annual
report","Implementation of the DCDT integrated plan of action in support of National Strategic Plan (NSP) on gender-based Violence, focusing on Prevention, Reporting and Economic Power Pillars working with SOCs and Branches of DCDT continued in the period under review. As well as hosting a National Stakeholder Engagement and Evolution Workshop.",None,None,"Implementation of the
DCDT integrated plan
of action in support of
the implementation of
National Strategic Plan
(NSP) on gender-based
Violence coordinated
focusing on Prevention,
Reporting and Economic
Power Pillars",-,"The DCDT
Integrated
Plan of Action
in support
of National
Strategic Plan
(NSP) on genderbased
Violence,
focusing on
Prevention,
Reporting and
Economic
Power Pillars was
implemented
in Provinces
and Districts
Municipalities
working with
SOCs focusing
on women,
youth, Persons
with Disabilities
Children,
Survivors and
Victims of
Gender Based
Violence. National
Stakeholder
Engagement
and Evolution
Workshop was
also hosted
during the
reporting period.",None,None,"The DCDT
Integrated
Plan of Action
in support
of National
Strategic Plan
(NSP) on genderbased
Violence,
focusing on
Prevention,
Reporting and
Economic
Power Pillars was
implemented
in Provinces
and Districts
Municipalities
working with
SOCs focusing
on women,
youth, Persons
with Disabilities
Children,
Survivors and
Victims of
Gender Based
Violence. National
Stakeholder
Engagement
and Evolution
Workshop was
also hosted
during the
reporting period.",117
,Communication and Digital Technologies,National,ADMINISTRATION,ADMINISTRATION,Quarterly,Implemented Departmental and SOCs GDYC Responsiveness programmes,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,-,,,,"Initial Report on Gender,
Responsiveness, Budgeting,
Planning, Monitoring,
Evaluation and Auditing
(GRBPME) concluded
focusing on the 10 Pillars in
the Framework on GRBPME
and covering the period
April to September 2022","Initial Report on Gender, Responsiveness, Budgeting, Planning, Monitoring, Evaluation and Auditing (GRBPME) concluded focusing on the 10 Pillars in the Framework on GRBPME and covering the period April to September 2022 was developed taking into account the work done over the two quarters.",None,None,-,No Q3 target,,,"Report on GRBPME
concluded focusing
on the 10 Pillars in the
Framework on GRBPME
and covering the period
October 2022 to March
2023",Report on GRBPME focusing on the Pillars in the Framework on GRBPME and covering the period the period October 2022 to March 2023 was developed.,None,None,"Departmental and SOCs
GDYC Responsiveness
programmes monitored in
line with National targets",-,"The Department
monitored the
Departmental
and SOCs GDYC
Responsiveness
Programmes in
line with National
targets focusing
on the Pillars in
the Framework
on GRBPME",None,None,"The Department
monitored the
Departmental
and SOCs GDYC
Responsiveness
Programmes in
line with National
targets focusing
on the Pillars in
the Framework
on GRBPME",117
,Communication and Digital Technologies,National,ADMINISTRATION,ADMINISTRATION,Quarterly,Implemented Digital Transformation strategy initiatives,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,"Terms of Reference for the
Workflow Management
System developed and
submitted for approval.",Terms of Reference for the Workflow Management System developed and submitted for approval.,None,None,"Service provider appointed
to implement the Workflow
Management System",Not Achieved ,There was a delay in the appointment of a service provider due to incomplete user requirement.,The Chief Directorate engaged business process owners to finalise the user requirements which will be used to develop a proposal to guide in the appointment of a service provider.,"Workflow Management
System developed",The Department managed to get proposals from SITA on e-leave solution and e-submission.,Still waiting for appointment of service provider due to proposals that are above the budgeted amount.,To get a reasonable price to be able to appoint a service provider,"Workflow Management
System rolled-out and
implemented.",Appointed a Service Provider to develop intranet and workflows on SharePoint online platform,"The target was not met and that was caused by
delay to get the proposal so that a service provider can be appointed to implement the workflow management system. The delay to implement the system was further caused by high pricing proposal that was received.
",The discussion regarding the high pricing proposal was done with management and it was recommended that comparison in terms of the market pricing for the system should be done. ITCD engaged with internal supply chain and managed to Source quote for SharePoint to address the challenges and to find a best possible way to proceed with digital transformation initiatives.,"Digital transformation
strategy initiatives
implemented (Workflow
management system)",-,"Department
did not achieve
the target of
implementing
the digital
transformation
strategy
(workflow
management
system)","There was delay
in getting the
proposal so
that a service
provider can
be appointed
to implement
the workflow
management
system and
the delay was
furthermore as a
result of the high
pricing proposal
received.",The discussion regarding the high pricing proposal was done with management and it was recommended that comparison in terms of the market pricing for the system should be done. ITCD engaged with internal supply chain and managed to Source quote for SharePoint to address the challenges and to find a best possible way to proceed with digital transformation initiatives.,"Department
did not achieve
the target of
implementing
the digital
transformation
strategy
(workflow
management",117
,Communication and Digital Technologies,National,ADMINISTRATION,ADMINISTRATION,Quarterly,Implemented District Developmental Model,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,"DDM Implementation
plan developed inclusive
of priority projects across
Districts/Metros",DDM Implementation Plan was developed inclusive of priority projects across Districts/Metros,None,None,"Implementation of DDM
plan coordinated and
monitored","Implementation of DDM plan was coordinated and monitored, the report was signed off by the DDG.",None,None,"Implementation of DDM
plan coordinated and
monitored",Implementation of DDM Plan was coordinated and monitored. A coordination and monitoring report produced.,None,None,"Implementation of DDM
plan coordinated and
monitored",Coordination and monitoring progress report regarding the implementation of the DDM plan was developed. ,None,None,"DDM Plan in the
prioritised Districts/Metros
implemented",-,"During the
reporting period
the Department
implemented
the DDM Plan
focusing on the
priority projects
across Districts/
Metros.
Coordination
and monitoring
progress report
regarding the
implementation
of the DDM plan
was developed.",None,None,"During the
reporting period
the Department
implemented
the DDM Plan
focusing on the
priority projects
across Districts/
Metros.
Coordination
and monitoring
progress report
regarding the
implementation
of the DDM plan
was developed.",117
,Communication and Digital Technologies,National,ICT ENTERPRISE AND PUBLIC ENTITY OVERSIGHT,ICT ENTERPRISE AND PUBLIC ENTITY OVERSIGHT,Quarterly,Approved Annual Performance Plans of Department & Public Entities,Non-Standardized,Not  Applicable,Not Applicable,Not Applicable,-,,,,-,-,-,-,"Strategic alignment and
submission of entities draft
APPs facilitated",Strategic alignment of entities and DCDT was conducted during the DCDT Strategic Planning workshop and submission of entities draft APPs was facilitated.,None,None,"Entities APPs analysed for
Minister’s approval","Tabling of the Department’s 
2023/24 APP and submitted Public Entities APPs were facilitated.

No tabling letters were prepared because Postbank is not a listed entity under the PFMA.  We are also still in the process of establishing Postbank for it to be a complete separate entity from SAPO under the Ministry just like any other entities in the DCDT Portfolio.  
",None,None,"Tabling of submitted
Annual Performance Plans
of Department & Public
Entities, in line with the
MTSF, facilitated",-,"The Department
coordinated the
Implementation
of recommendations
of Departmental
and
Public Entities
Analysis Reports
through analysis
of quarterly report
submitted
by Entities.",None,None,"The Department
coordinated the
Implementation
of recommendations
of Departmental
and
Public Entities
Analysis Reports
through analysis
of quarterly report
submitted
by Entities.",117
,Communication and Digital Technologies,National,ICT ENTERPRISE AND PUBLIC ENTITY OVERSIGHT,ICT ENTERPRISE AND PUBLIC ENTITY OVERSIGHT,Quarterly,Approved Consolidated Portfolio Monitoring Reports,Non-Standardized,Not  Applicable,Not Applicable,Not Applicable,"Consolidated Portfolio
monitoring report for Q4 of
the 2021/22 FY developed",Consolidated Portfolio Monitoring Report for Q4 was developed,None,None,"Consolidated Portfolio
monitoring report for Q1 of
the 2022/23 FY developed",Consolidated Monitoring report for Q1 of 22/23 FY was developed.,None,None,"Consolidated Portfolio
monitoring report for Q2 of
the 2022/23 FY developed",Consolidated portfolio monitoring report for Q3 of 22/23 FY was developed and submitted,None,None,"Consolidated Portfolio
monitoring report for Q3 of
the 2022/23 FY developed",Consolidated performance monitoring report Portfolio for Q3 of the 2022/23 was developed and signed by the DDG.,None,None,"Consolidated
performance monitoring
and reporting for the
Portfolio developed",-,"The Department
achieved the
planned target.
The approved
consolidated
performance
monitoring and
reporting for
the Portfolio
monitoring
reports were
developed
during the
reporting period",None,None,"The Department
achieved the
planned target.
The approved
consolidated
performance
monitoring and
reporting for
the Portfolio
monitoring
reports were
developed
during the
reporting period",117
,Communication and Digital Technologies,National,ICT ENTERPRISE AND PUBLIC ENTITY OVERSIGHT,ICT ENTERPRISE AND PUBLIC ENTITY OVERSIGHT,Quarterly,Implemented Performance Management System for ICASA Councilors,Non-Standardized,Not  Applicable,Not Applicable,Not Applicable,"Signing of Performance
Agreements by the
Chairperson and Other
councillors facilitated",Signing of Performance Agreements by Chairperson and other councilors facilitated,Delays in approval of the Performance Management System for ICASA Councilors.,Signing of Performance Agreements will be prioritised in quarter 2.,"Evaluation Panel
appointment facilitated",Not achieved,The Performance Management System not yet approved by the National Assembly.,"The target has been revised in the APP, that will be revised in line with the Minister's Performance Agreement","Chairperson and other
councillors evaluated by
the Evaluation Panel",Not Achieved,The Evaluation Panel has not been appointed yet.,Awaiting Parliament to appoint the Evaluation Panel.,"Performance assessment
reports submitted to
Parliament",Delays in getting the approved PMS by National Assembly ,PMS has not been implemented.,The approved PMS has since been received for National Assembly,"Monitoring and evaluation
of the Performance
Management System
for ICASA Councilors
facilitated",-,"The Department
was unable to
achieve the
planned target
of facilitating
the monitoring
and evaluation
of the
Performance
Management
System
for ICASA
Councilors","The
Performance
Management
System was not
approved by
the National
Assembly during
the reporting
period.","The approved Performance
Management
System (PMS) has since been received from the National Assembly.","The Department
was unable to
achieve the
planned target
of facilitating
the monitoring
and evaluation
of the
Performance
Management
System
for ICASA
Councilors",117
,Communication and Digital Technologies,National,ICT ENTERPRISE AND PUBLIC ENTITY OVERSIGHT,ICT ENTERPRISE AND PUBLIC ENTITY OVERSIGHT,Quarterly,Implemented recommendations of Departmental and Public Entity Analysis Reports,Non-Standardized,Not  Applicable,Not Applicable,Not Applicable,"Fourth Quarterly analysis
reports for department
and entities for 2021/22 FY
developed and submitted",Fourth Quarterly analysis reports for department and entities for 2021/22 FY were developed and submitted.,None,None,"First Quarterly analysis
reports for Department
and entities for 2022/23 FY
developed and submitted","First Quarterly analysis for the Department, SITA, Sentech, USAASA, USAF, BBI, NEMISA, POSTBANK, SAPO, SABC, ICASA, FPB and ZADNA was developed and submitted for approval.",None,None,"Second Quarterly analysis
reports of entities for
2022/23 FY developed
and submitted.

Public Entities Annual
Performance analysis
reports developed and
submitted","Public Entities Annual performance Reports analysis were developed and submitted.

Second Quarterly analysis reports for Department and entities for 2022/23 FY
were developed and submitted.
",None,None,"Third Quarterly analysis
reports of entities for
2022/23 FY developed
and submitted.

Annual Reports submitted
to Parliament","Third Quarter reports for NEMISA, USAASA, USAF, zaDNA, SAPO, Postbank, SITA, BBI, Sentech, SABC, ICASA were analysed, feedback letters prepared and  Submitted for Minister’s consideration and approval.",None,None,"Implementation of
recommendations from
analysis of Departmental &
Public Entity Performance
Reports coordinated",-,,,,,117
,Communication and Digital Technologies,National,ICT INFORMATION SOCIETY AND CAPACITY DEVELOPMENT,ICT INFORMATION SOCIETY AND CAPACITY DEVELOPMENT,Quarterly,Approved Digital Government Act,Non-Standardized,Not  Applicable,Not Applicable,Not Applicable,"Concept document on
the Digital Government
Act",Concept document was developed.  The TORs have been processed with deadline of 15 July 2022 for service providers to submit proposals.  The task team has been identified.,None,None,"Draft Green Paper on
Digital Government Act
developed",Draft Green Paper on Digital Government Act was developed.,None,None,"Stakeholder consultation
conducted on the draft
Green Paper on Digital
Government Act","Stakeholder consultation was conducted on the draft Green Paper on Digital Government Act with DPSA, Presidency and SITA.",None,None,"Revised Green Paper
developed on Digital
Government Act",Draft Green Paper was developed on Digital Government Act but it was not revised.,"The draft digital government green paper received minor inputs that did not require the revision to take place. The input for the development of the draft digital government act was that once the streamlining of the approach on digital government is completed, the draft act would be used as planned.",The revised Green Paper will be used by the soon to be announced e-government approach and the formation of Inter-Ministerial Committee on Digital Government.  This will affect the next coming years of the MTSF plans and further execution of next steps of developing a Digital Government Act.,"Green Paper on the
Digital Government Act
developed",-,"The Department
was unable to
achieve the
planned target
of developing
the Green Paper
on the Digital
Government Act.","The
achievement
of the target
was affected
by the change
of approach in
driving the Digital
Government
Agenda within
government.
The revised draft
green paper
was completed
except for
getting the
inputs from key
stakeholders
such as DPSA,
Presidency and
SITA because
of decision
to change
the digital
government
agenda and
approach. As
a result, Green
Paper would be
put in abeyance
until further
notice.",The revised Green Paper will be used by the soon to be announced e-government approach and the formation of Inter-Ministerial Committee on Digital Government.  This will affect the next coming years of the MTSF plans and further execution of next steps of developing a Digital Government Act.,"The Department
was unable to
achieve the
planned target
of developing
the Green Paper
on the Digital
Government Act.",117
,Communication and Digital Technologies,National,ICT INFORMATION SOCIETY AND CAPACITY DEVELOPMENT,ICT INFORMATION SOCIETY AND CAPACITY DEVELOPMENT,Quarterly,Approved policy to discontinue GSM phones,Non-Standardized,Not  Applicable,Not Applicable,Not Applicable,"Research and
benchmark conducted
on discontinuing of GSM
phones","Research and benchmark on the discontinuation of GMS phones has commenced. Problem Statement, Background and the Overall Objectives of the GMS Discontinuation Project has been done.",Delays in finalising the concept for conducting the research and benchmark.,Research and benchmark on the discontinuation of GMS phones will be prioritised in quarter 2,"Draft policy on the
discontinuing of GSM
phones developed",Draft GSM Discontinuation Policy Development Framework was developed.,"The pronouncement of 2G and 3G sunset on the Next Generation Radio Frequency Spectrum Draft Policy gazetted on the 8th September 2022 has direct impact and implications on this work. The 4IR PMO has had an exodus of specialised experts, skills, and knowledge. Uncertainty on the direction of the work.",The two sets of work are focused on the same aspects. The development of a Policy Framework to guide the development of policy is more appropriate as it will delineate the high-level parameters and particular characteristics that the policy needs to address.  Allocation of required human capital resources. Executive guidance on the direction of the work.,"Stakeholder consultation
conducted on the Draft
policy of the discontinuing
of GSM phones",Not achieved.,"Consultations did not commence due to the gazetting of The Next Generation Radio Frequency Spectrum Draft Policy, the dependency of the discontinue GSM phones policy relies on the completion of the Next Generation Radio Frequency Spectrum Draft Policy as it include the roadmap of the sunset of 2G networks.",Adoption and implementation of the Next Generation Radio Frequency Spectrum Draft Policy.,"Final Draft of the policy to
discontinue GSM phones
submitted for approval","Report submitted for approval taking into account the work done on the Next Generation 
Spectrum Policy
",None,None,"Policy to discontinue GSM
phones developed and
submitted for approved",-,"The Policy to
discontinue
GSM phones
was developed
and the report
submitted for
approval taking
into account
the work done
on the Next
Generation
Spectrum Policy",None,None,"The Policy to
discontinue
GSM phones
was developed
and the report
submitted for
approval taking
into account
the work done
on the Next
Generation
Spectrum Policy",117
,Communication and Digital Technologies,National,ICT INFORMATION SOCIETY AND CAPACITY DEVELOPMENT,ICT INFORMATION SOCIETY AND CAPACITY DEVELOPMENT,Quarterly,Implemented Artificial Intelligence Strategy,Non-Standardized,Not  Applicable,Not Applicable,Not Applicable,"Establishment of the AI
Institute coordinated",The Establishment of the AI Institute was coordinated. ,None ,None ,"Draft AI Strategy
developed",Draft Artificial Intelligence (AI) Strategy was developed.,None,None,"Stakeholder consultation
conducted on the Draft AI
Strategy developed","Stakeholder consultation was conducted with DCDT, University of Johannesburg and the Tshwane University of Technology on the developed draft AI Strategy.",None,None,"AI Strategy submitted for
approval","Implementation of Digital and Future Skills Programmes, through local and international Public and Private Partnerships was coordinated",None,None,"Establishment of the AI
Institute coordinated and
AI Strategy developed",-,"The
Establishment
of the Artificial
Intelligence (AI)
Institute was
coordinated,
and AI Strategy
was developed. Furthermore,
the Department
together with
University of
Johannesburg,
and Tshwane
University of
Technology
on the 30
November
2022 launched
the Artificial
Intelligence
Institute of South
Africa (AIISA).",None,None,"The
Establishment
of the Artificial
Intelligence (AI)
Institute was
coordinated,
and AI Strategy
was developed. Furthermore,
the Department
together with
University of
Johannesburg,
and Tshwane
University of
Technology
on the 30
November
2022 launched
the Artificial
Intelligence
Institute of South
Africa (AIISA).",117
,Communication and Digital Technologies,National,ICT INFORMATION SOCIETY AND CAPACITY DEVELOPMENT,ICT INFORMATION SOCIETY AND CAPACITY DEVELOPMENT,Quarterly,Implemented Digital and Future Skills training programme,Non-Standardized,Not  Applicable,Not Applicable,Not Applicable,"Implementation of Digital
and Future Skills training
programmes coordinated
through local and
international, public and
private partnerships","An MoU for the establishment of a partnership with MICT SETA for the implementation of digital skills programme was prepared, submitted and approved by the ADG. Furthermore, meetings with both local and international public stakeholders were held as part of implementation of Digital and Future Skills training programmes. ",None,None,"Implementation of
Digital and Future Skills
Programmes, through
local and international
Public and Private
Partnerships coordinated","Implementation of Digital and Future Skills Programmes, through local and international Public and Private 
Partnerships was coordinated and a report was developed.

Furthermore, the online launch of the Skills Innovation challenge through the partnership with ILO under the Decent Jobs for Youth Project.
",None,None,"Implementation of
Digital and Future Skills
Programmes, through
local and international
Public and Private
Partnerships coordinated
monitored","Implementation of Digital and Future Skills Programmes, through local and international Public and Private Partnerships, was coordinated and monitored.",None,None,"Implementation of
Digital and Future Skills
Programmes, through
local and international
Public and Private
Partnerships coordinated","Implementation of Digital and Future Skills Programmes, through local and international Public and Private Partnerships was successfully coordinated.",None,None,"Digital and Future Skills
training programmes
coordinated through local
and international Public
and Private partnerships",-,"Digital and
Future Skills
training
programmes
through local
and international
Public and
Private
partnerships was
coordinated.",None,None,"Digital and
Future Skills
training
programmes
through local
and international
Public and
Private
partnerships was
coordinated.",117
