Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,DesiredPerformance,UID
Higher Education and Training,Higher Education and Training,National,Programme 1: Administration,Programme 1: Administration,Annually,Audit opinion received from the AG of South Africa,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Not Applicable,"Clean audit
outcome",Unqualified audit opinion with findings Not achieved,,,,,,,"Clean audit
outcome",,,"Internal control deficiencies in the in the planning, management and reporting processes","Implement corrective actions in ensuring attainment of a clean audit and on-going engagements with relevant management to respond to audit issues and interventions escalated to management.
",,,,,,,,,,,193
Higher Education and Training,Higher Education and Training,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage of disciplinary cases resolved within 90 days per annum,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Governance, State Capacity and Institutional Development cluster",80 %,81 %,80 %,67 %,80 %,88 %,80 %,82 %,80 %,318 %,,,,,,,"Due to financial constraints from the college. Promotions of employees in from the Dept affected the turnaround time. Key witnesses’ unavailability and postponements. In certain instances, the charged employee is on a prolong sick leave and applied for medical boarding. In another case, the chairperson delayed submitting her sanction report. ",The branch will issue circular reminding the colleges to finalise disciplinary hearings within 90 days ,None ,None ,N/A,,,193
Higher Education and Training,Higher Education and Training,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage of network connectivity uptime per annum,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Governance, State Capacity and Institutional Development cluster",95 %,99.65 %,95 %,96.71 %,95 %,99.54 %,95 %,82 %,95 %,0 %,,,,,,,n/a,n/a,None ,None ,N/A,,,193
Higher Education and Training,Higher Education and Training,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage of public procurement set aside for: Black-owned businesses,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Governance, State Capacity and Institutional Development cluster",70 %,86.07 %,70 %,73 %,70 %,81.70 %,70 %,87 %,70 %,0 %,,,,,,,n/a,n/a,None,None ,N/A,,,193
Higher Education and Training,Higher Education and Training,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage of public procurement set aside for: Businesses owned by people living with disabilities,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Governance, State Capacity and Institutional Development cluster",7 %,0.02 %,7 %,0.95 %,7 %,0.69 %,7 %,7 %,7 %,0 %,,,,,,,"Over the past financial year, allocating procurement to businesses owned by persons with disabilities has failed consistently. A concerted effort was launched to identify business on the National Treasury Central Supplier Database (CSD). At a Supply Chain Management (SCM) forum hosted by National Treasury, the Department reported this challenge, and other national departments declared the same challenge. Many have considerably decreased their target or deselected this target.   ","The Department continues to strive in achieving this target by scanning the CSD when procuring through Request for Quotation (RFQ).
We therefore prioritise business owned by persons with disabilities when procuring through RFOs
","Lack of sufficient proof of disability during evaluation process.

A few businesses that are owned by people living with disability (Limited market of businesses owned by people living with disability).

	","Continuously engaging the National Treasury to influence the market of businesses owned by specific category/ies) in the National Database
",N/A,,,193
Higher Education and Training,Higher Education and Training,National,Programme 1: Administration,Programme 1: Administration,Quarterly,"Percentage of public procurement set aside for: Small, Medium and Macro Enterprises (SMME’s)",Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Governance, State Capacity and Institutional Development cluster",30 %,69.18 %,30 %,67.46 %,30 %,65.83 %,30 %,48 %,30 %,0 %,,,,,,,n/a,n/a,None ,None ,N/A,,,193
Higher Education and Training,Higher Education and Training,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage of public procurement set aside for: Women-owned businesses,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Governance, State Capacity and Institutional Development cluster",40 %,43.36 %,40 %,54.03 %,40 %,51.05 %,40 %,46 %,40 %,0 %,,,,,,,n/a,n/a,None ,None ,N/A,,,193
Higher Education and Training,Higher Education and Training,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage of public procurement set aside for: Youth-owned businesses,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Governance, State Capacity and Institutional Development cluster",30 %,41.17 %,30 %,32.57 %,30 %,16.46 %,30 %,32 %,30 %,0 %,,,,,,,n/a,n/a,"A few businesses that are owned by people living with disability (Limited market of businesses owned by youth).

	
",Continuously engaging the National Treasury to influence the market of businesses owned by specific category/ies) in the National Database,N/A,,,193
Higher Education and Training,Higher Education and Training,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage of vacancy rate reduced per annum ,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Governance, State Capacity and Institutional Development cluster",10 %,9.90 %,10 %,5.6 %,10 %,16.70 %,10 %,7.90 %,10 %,0 %,,,,,,,n/a,n/a,"Moratorium on filling of posts by the Minister. 

	","The Department has divided Human Resource Management into three streams to deal with all the recruitment process and fast-track the appointments.
",N/A,,,193
Higher Education and Training,Higher Education and Training,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage of valid invoices received from creditors paid within 30 days,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Governance, State Capacity and Institutional Development cluster",100 %,99.80 %,100 %,99.96 %,100 %,100 %,100 %,100 %,100 %,0 %,,,,,Large volumes of invoices received from suppliers which led to some orders to be closed and payments for same orders were processed manually since the services were rendered. ,All manual payments were checked according to the receipt dates and some payments were prioritized for processing within 30-day payment threshold. ,"There was a late payment which resulted from unavailability of the responsible manager, the delayed approval was escalated to Supply Chain Management for super-approval, further delays were also due to connectivity challenges at SCM and Finance. ","The super-approval function relating to travel expenditure was extended to Supply Chain Management senior managers.
Continuous communication pertaining to system unavailability and limited access to the payment systems
",None ,None ,N/A,,,193
