Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,National_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,National_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,National_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,National_Q4,DesiredPerformance,UID
Basic Education,Education,KwaZulu-Natal,Programme 1:  Administration,Corporate Services,Annually,NSOI 1.1: Percentage of women in Senior Management Service.,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Education and Skills Development ,"The Social Protection, Community and Human Development cluster",,,,,,,50 %,40 %,50 %,40 %,40,Post can only be filled by females as they become vacant and subject to the availability of suitable female candidates.,Selection Committees are being apprised of the Departments' obligations regarding this prior to  proceeding with the selection process to increase its representation of women in SMS. ,,,,,,,,,,,,,,,,,,,157
Basic Education,Education,KwaZulu-Natal,Programme 1:  Administration,Corporate Services,Annually,NSOI 1.2: Percentage of women school principals.,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Education and Skills Development ,"The Social Protection, Community and Human Development cluster",,,,,,,50 %,40 %,50 %,40 %,40,Post can only be filled by females as they become vacant and subject to the availability of suitable female candidates.,"District offices requested to scrutinise nominations and where necessary, return to the Selection Committee for reconsideration in line with the EE goals.",,,,,,,,,,,,,,,,,,,157
Basic Education,Education,KwaZulu-Natal,Programme 1:  Administration,Corporate Services,Quarterly,SOI 102: Number of public schools that can be contacted electronically (e-mail),Standardized,Max,"Priority 3: Education, Skills And Health",Education and Skills Development ,"The Social Protection, Community and Human Development cluster",5860,5831,5860,5827,5860,5827,5860,5812,5860,5831,5812,Non-viable schools have negatively contributed to not achieving the set target.,Target reviewed for the new financial year.,,The deviation is due to schools that are no longer functioning as they have been deemed to be non-viable.,,"The reason for deviation is noted, please provide corrective action.","There is  alignment between the targets in the e-QPR and the 2024/25 APP for all the quarters  of the  2024/25 financial year. The outcome for the 1st quarter of the 2024/25 financial year is 99,5% of the set target.   The variance is -29. The PED has  provided a reason for the attainment of the set target for the quarter under review. 
",Non-viable schools have impacted negatively in achieving the set target.,,"Target not achieved, reason for deviation is noted, kindly provide corrective action."," The outcome for the 2nd quarter of the 2024/25 financial year is 99% of the set target. The variance is -33. The PED has provided a reason for the attainment of the outcome for the quarter under review. The PED is advised to track the impact of the rationalization and whether the resources from the schools have been reallocated and if there are savings thereof.
",Non-viable schools have impacted negatively in achieving the set target.,,Please provide the corrective action ,"The PED has achieved 99% of the set target for the quarter under review. The variance is -33.  The PED has provided a reason for the attainment of the set target.  The PED is advised to track the impact of the rationalisation and whether the resources from the schools have been reallocated and if there are savings thereof.
",The issue of non-viable schools has impacted negatively on achieving the set target.,Target reviewed for the new financial year.,Please provide the corrective action.,"The PED has achieved 99,18%  of the set target for the quarter under review.   The variance is -48. The PED has provided a reason for the attainment  of the quarterly target.  The PED is advised to track the impact of the rationalisation and whether the resources from the schools have been reallocated and if there are savings thereof.
",,157
Basic Education,Education,KwaZulu-Natal,Programme 1:  Administration,Education Management Information System (EMIS),Quarterly,SOI 101: Number of public schools that use the South African School Administration and Management System (SA-SAMS) or any alternative electronic solution to provide data.,Standardized,Max,"Priority 3: Education, Skills And Health",Education and Skills Development ,"The Social Protection, Community and Human Development cluster",5860,5831,5860,5827,5860,5827,5860,5812,5860,5831,5812,The issue of non-viable schools has impacted negatively on achieving the set target.,Target reviewed for the new financial year.,,The deviation is due to the decline in the number of public schools operating in the province.,,The reason for deviation is noted however please provide corrective action.,"There is  alignment between the targets in the e-QPR and the 2024/25 APP for all the quarters  of the  2024/25 financial year. The outcome for the 1st quarter of the 2024/25 financial year is 99,5% of the set target. The variance is -29.   The PED has  provided a reason for the attainment of the set target for the quarter under review. 
","From the 5 831 reported in the last quarter, 4 schools have since been reported as being non-functional.",,"Target not achieved, reason for deviation is noted, kindly provide corrective action "," The outcome for the 2nd  quarter of the 2024/25 financial year is 99% of the set target. The variance is -33. The PED has provided a reason for the attainment of the outcome for the quarter under review. The PED is advised to track the impact of the rationalization and whether the resources from the schools have been reallocated and if there are savings thereof.
",The issue of non viable schools has impacted negatively on achieving the set target. ,,Please provide corrective action.,"The PED has achieved 99% of the set target for the quarter under review. The variance is -33.  The PED has provided a reason for the attainment of the set target.  The PED is advised to track the impact of the rationalisation and whether the resources from the schools have been reallocated and if there are savings thereof.
",The issue of non-viable schools has impacted negatively on achieving the set target.,Target reviewed for the new financial year.,Please provide the corrective action,"The PED has achieved 99,18%  of the set target for the quarter under review.   The variance is -48. The PED has provided a reason for the attainment  of the quarterly target.  The PED is advised to track the impact of the rationalisation and whether the resources from the schools have been reallocated and if there are savings thereof.
",,157
Basic Education,Education,KwaZulu-Natal,Programme 1:  Administration,Financial Management,Annually,SOI 103: Percentage of expenditure going towards non-personnel items.,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Education and Skills Development ,"The Social Protection, Community and Human Development cluster",,,,,,,11.72 %,10.26 %,11.72 %,10.26 %,10.26,Enforced cost-cutting due to the non- funding of the wage agreement resulted in pressures on Compensation of Employees,Matter raised with oversight committees and treasuries for more funding.,,,,,,,,,,,,,,,,,,,157
Basic Education,Education,KwaZulu-Natal,Programme 1:  Administration,Financial Management,Quarterly,NSOI 1.3: Percentage of payments with requisite supportive documents made within 30 days. ,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Education and Skills Development ,"The Social Protection, Community and Human Development cluster",100 %,0 %,100 %,0 %,100 %,0 %,100 %,0 %,100 %,0 %,10.26,Enforced cost-cutting due to the non- funding of the wage agreement resulted in pressures on Compensation of Employees,Matter raised with oversight committees and treasuries for more funding.,,,,"target for the quarter not achieved, please provide reason for deviation and corrective action statement.","There is  alignment between the targets in the e-QPR and the 2024/25 APP for all the quarters  of the  2024/25 financial year. The outcome for the 1st quarter of the 2024/25 financial year is 0% of the set target.   The PED has not  provided a reason for the attainment of the set target for the quarter under review and is advised to do so. 
",Due to budget cuts and cash flow problems payments cannot be made within 30 days.,The Executive of the Department is in engagements with Provincial Treasury for more funding.,"Target not achieved, reason for deviation and corrective have been noted","The PED has provided a reason for the 0% output. The outcome of the corrective action to be undertaken should be monitored. The PED is further advised to monitor the impact of not paying within the stipulated time.
",Due to budget cuts and cash flow problems payments cannot be made within 30 days.,The Executive of the Department is in engagements with Provincial Treasury for more funding.,Reason for deviation and corrective have noted.,"The PED has achieved 0% of the set target for the quarter under review.  The PED has provided a reason for the attainment of the set target.  
","Due to budget cuts and cash flow problems, payments cannot be made within 30 days. ",The Executive of the Department is in engagements with Provincial Treasury for more funding.,,"The PED has achieved 0% of the set target for the quarter under review.  The PED has provided a reason for the attainment of the set target.  
",,157
Basic Education,Education,KwaZulu-Natal,Programme 2.	Public Ordinary School Education,Human Resource Development,Annually,SOI 204: Number of foundation phase teachers trained in reading methodology.,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Education and Skills Development ,"The Social Protection, Community and Human Development cluster",,,,,,,4010,6358,4010,6358,6358,More than anticipated number attended the workshop.,,,,,,,,,,,,,,,,,,,,157
Basic Education,Education,KwaZulu-Natal,Programme 2.	Public Ordinary School Education,Human Resource Development,Annually,SOI 205: Number of foundation phase teachers trained in numeracy content and methodology.,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Education and Skills Development ,"The Social Protection, Community and Human Development cluster",,,,,,,4010,6252,4010,6252,6252,More than anticipated number attended the workshop.,,,,,,,,,,,,,,,,,,,,157
Basic Education,Education,KwaZulu-Natal,Programme 2.	Public Ordinary School Education,Human Resource Development,Annually,SOI 206: Number of teachers trained in mathematics content and methodology.,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Education and Skills Development ,"The Social Protection, Community and Human Development cluster",,,,,,,7850,18924,7850,18924,18924,More than anticipated number attended the workshop.,,,,,,,,,,,,,,,,,,,,157
Basic Education,Education,KwaZulu-Natal,Programme 2.	Public Ordinary School Education,Human Resource Development,Annually,SOI 207: Number of teachers trained in language content and methodology.,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Education and Skills Development ,"The Social Protection, Community and Human Development cluster",,,,,,,15020,25610,15020,25610,25610,More than anticipated number attended the workshop.,,,,,,,,,,,,,,,,,,,,157
