Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,OTP_Q1,National_Summary,OTP_Q2,DesiredPerformance,National_Q1,National_Q2,National_Q3,OTP_Q4,National_Q4,UID
,Cooperative Governance,Mpumalanga,Programme 1.	Administration,Sub Programme 1.1.	Office of the MEC,Annually,Default,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,Governance and Administration cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202
,Cooperative Governance,Mpumalanga,Programme 1.	Administration,Sub Programme 1.1.	Office of the MEC,Quarterly,Default,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,Governance and Administration cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202
,Cooperative Governance,Mpumalanga,Programme 1.	Administration,Sub Programme 1.1.	Office of the MEC,Quarterly,Number of MUNIMEC Forum held,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","A capable, ethical and developmental state","Governance, State Capacity and Institutional Development cluster",1,1,None,None,0,0,None ,None,1,1,None ,None,0,0,None ,None,2,2,2,None,None,,,,,,,,,,,202
,Cooperative Governance,Mpumalanga,Programme 1.	Administration,Sub Programme 1.2.	Corporate Services,Annually,Default,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,Governance and Administration cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202
,Cooperative Governance,Mpumalanga,Programme 1.	Administration,Sub Programme 1.2.	Corporate Services,Quarterly,Default,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,Governance and Administration cluster,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,202
,Cooperative Governance,Mpumalanga,Programme 1.	Administration,Sub Programme 1.2.	Corporate Services,Quarterly,Number of risk management reports approved ,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","A capable, ethical and developmental state","Governance, State Capacity and Institutional Development cluster",1,1,None,None,1,1,None,None,1,1,None,None,2,2,None,None,5,5,5,None,None,,,,,,,,,,,202
,Cooperative Governance,Mpumalanga,Programme 1.	Administration,Sub Programme 1.2.	Corporate Services,Quarterly,Percentage of invoices paid within 30 days,Non-Standardized,Max,"Priority 1: A Capable, Ethical and Developmental State","A capable, ethical and developmental state","Governance, State Capacity and Institutional Development cluster",100 %,100 %,None ,None,100 %,100 %,None,None,100 %,100 %,None,None ,100 %,100 %,None ,None,100 %,100 %,100,None,None,,,,,,,,,,,202
,Cooperative Governance,Mpumalanga,Programme 1.	Administration,Sub Programme 1.2.3 Security Management,Quarterly,Number of security assessments conducted,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","A capable, ethical and developmental state","Governance, State Capacity and Institutional Development cluster",2,4,Request from Traditional Institutional Management necessitated additional security assessments to be conducted,None,2,2,None,None,2,2,None,None,2,2,None,None,8,10,10,None,None,,,,,,,,,,,202
,Cooperative Governance,Mpumalanga,Programme 1.	Administration,Sub Programme 1.2.4 Community and IT Support,Quarterly,Number of assessment reports on the implementation of the Departmental Disaster Management Plan,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","A capable, ethical and developmental state","Governance, State Capacity and Institutional Development cluster",1,1,None,None,1,1,None,None,1,1,None,None,1,1,None,None,4,4,4,None,None,,,,,,,,,,,202
,Cooperative Governance,Mpumalanga,Programme 1.	Administration,Sub Programme 1.2.4 Community and IT Support,Quarterly,Number of Departmental publications designed ,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","A capable, ethical and developmental state","Governance, State Capacity and Institutional Development cluster",4,4,None,None,5,5,None,None,4,4,None,None,4,4,None,None,17,17,17,None,None,,,,,,,,,,,202
,Cooperative Governance,Mpumalanga,Programme 1.	Administration,Sub Programme 1.2.4 Community and IT Support,Quarterly,Number of ICT Systems monitored on functionality,Non-Standardized,Average,"Priority 1: A Capable, Ethical and Developmental State","A capable, ethical and developmental state","Governance, State Capacity and Institutional Development cluster",2,2,None,None,2,2,None,None,2,2,None,None,2,2,None,None,2,2,2,None,None,,,,,,,,,,,202
,Cooperative Governance,Mpumalanga,Programme 1.	Administration,Sub Programme 1.3 Human Resource Management,Quarterly,Percentage of compliance to applicable prescripts,Non-Standardized,Max,"Priority 1: A Capable, Ethical and Developmental State","A capable, ethical and developmental state","Governance, State Capacity and Institutional Development cluster",100 %,100 %,None,None,100 %,100 %,None,None,100 %,100 %,None,None,100 %,100 %,None,None,100 %,100 %,100,None,None,,,,,,,,,,,202
,Cooperative Governance,Mpumalanga,Programme 2: Local Governance,Sub Programme 2.1.4 Inter-Governmental Relations,Quarterly,Number of district municipalities monitored on the functionality of IGR structures,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements  and Local Government","Governance, State Capacity and Institutional Development cluster",3,3,None,None,3,3,None,None,3,3,None,None,3,3,None,None,3,3,3,None,None,,,,,,,,,,,202
,Cooperative Governance,Mpumalanga,Programme 2: Local Governance,Sub Programme 2.1.4 Inter-Governmental Relations,Quarterly,Percentage of responses on petitions,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements  and Local Government","Governance, State Capacity and Institutional Development cluster",0,0,None,None,100,100,None,None,0,0,None,None,100,100,None,None,100,100,100,None,None,,,,,,,,,,,202
,Cooperative Governance,Mpumalanga,Programme 2: Local Governance,Sub Programme 2.1.4 Inter-Governmental Relations ,Annually,Number of municipalities monitored on basic infrastructure in voting stations for National and Provincial Elections,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements  and Local Government","Governance, State Capacity and Institutional Development cluster",17,17,,,,,,,,,,,,,,,17,17,17,None,None,,,,,,,,,,,202
