ReportTitle,Textbox95,Textbox80,Textbox81,Textbox82,Textbox83
QPR for FY 2023-24 National Institutions Oversight Performance  Report as of ( FY 2023-24),Location/s: National,InstitutionType:   National,"Institution:   Military Veterans, Mineral Resources and Energy, Municipal Demarcation Board, Municipal Infrastructure Support Agency, National School of Government",FinancialYear:   FY 2023-24,"Report Printed On:   Monday, September 11, 2023 1:46:23 PM"

Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,National_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,National_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,National_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,National_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,OTP_Summary,National_Summary,ValidatedAudited_Summary2,UID
,Mineral Resources and Energy,National,Programme 1: Administration,Programme 1: Administration,Quarterly,% Reduction of irregular expenditure compared to prior year,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",No incidences of irregular expenditure and reporting of identified cases requiring investigation,Achieved,N/A,N/A,,,No incidences of irregular expenditure and reporting of identified cases requiring investigation,,,,,,No incidences of irregular expenditure and reporting of identified cases requiring investigation,,,,,,70% reduction of irregular expenditure compared to prior year,,,,,,70% reduction of irregular expenditure compared to prior year,-,,,,,,,168
,Mineral Resources and Energy,National,Programme 1: Administration,Programme 1: Administration,Quarterly,% Reduction of Wasteful and fruitless expenditure compared to prior year,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster","No incidents of wasteful and fruitless expenditure, reporting of identified cases requiring investigation",Achieved,N/A,N/A,,,"No incidents of wasteful and fruitless expenditure, reporting of identified cases requiring investigation",,,,,,"No incidents of wasteful and fruitless expenditure, reporting of identified cases requiring investigation",,,,,,70% Reduction of Wasteful and fruitless expenditure compared to prior year,,,,,,70% Reduction of Wasteful and fruitless expenditure compared to prior year,-,,,,,,,168
,Mineral Resources and Energy,National,Programme 1: Administration,Programme 1: Administration,Quarterly,% Resolution of reported incidents of corruption,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",Implement the integrated Anti-fraud and Corruption Strategy and policy,Achieved,N/A,N/A,,,Implement the integrated Anti-fraud and Corruption Strategy and policy,,,,,,Implement the integrated Anti-fraud and Corruption Strategy and policy,,,,,,95% resolution of reported incidents of corruption,,,,,,95% resolution of reported incidents of corruption,-,,,,,,,168
,Mineral Resources and Energy,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Number of approved Schedule 3A SOE Annual Performance Plans tabled in Parliament,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,7 Approved SOE Annual Performance Plans  tabled in Parliament,,,,,,7 Approved Schedule 3A SOE’s Annual Performance Plans tabled in Parliament  ,-,,,,,,,168
,Mineral Resources and Energy,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Number of approved Shareholder compacts and Corporate Plans of Schedule 2 SOEs,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",N/A,N/A,N/A,N/A,,,N/A,,,,,,N/A,,,,,,"4 approved Shareholder compacts and Corporate Plans of Schedule
2 SOEs 
",,,,,,"4 approved Shareholder compacts and Corporate Plans of Schedule
2 SOEs 
",-,,,,,,,168
,Mineral Resources and Energy,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Number of SOEs Annual Reports tabled in Parliament,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",N/A,N/A,N/A,N/A,,,11 SOEs Annual Reports tabled in Parliament,,,,,,N/A,,,,,,N/A,,,,,,11 SOEs Annual Reports tabled in Parliament,-,,,,,,,168
,Mineral Resources and Energy,National,Programme 1: Administration,Programme 1: Administration,Quarterly,"Number of SOEs Quarterly performance Reports reviewed, and Ministerial submissions produced ",Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster","11 SOEs Quarterly performance Reports reviewed, and Ministerial submissions produce



















ed  ",Not achieved:  Nine (9) Quarterly reports were submitted.,MHSC and SANEDI Q4 performance reports were not submitted and extension for late for submission was granted by the Minister. ,MHSC and SANEDI reports will be reviewed and submitted in the Q2.,,,"11 SOEs Quarterly performance Reports reviewed, and Ministerial submissions produced  ",,,,,,"11 SOEs Quarterly performance Reports reviewed, and Ministerial submissions produced  ",,,,,,"11 SOEs Quarterly performance Reports reviewed, and Ministerial submissions produced  ",,,,,,"44 SOEs Quarterly performance Reports reviewed, and Ministerial submissions produced  ",-,,,,,,,168
,Mineral Resources and Energy,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage of approved invoices from service providers paid within 30 days of receipt,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",100% approved invoices from service providers paid within 30 days of receipt,Achieved,N/A,N/A,,,100% approved invoices from service vice providers paid within 30 days of receipt,,,,,,100% approved invoices from service vice providers paid within 30 days of receipt,,,,,,100% approved invoices from service providers paid within 30 days of receipt,,,,,,100% approved invoices from service providers paid within 30 days of receipt,-,,,,,,,168
,Mineral Resources and Energy,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Unqualified audit opinion,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",N/A,N/A,N/A,N/A,,,Unqualified audit opinion ,,,,,,N/A,,,,,,N/A,,,,,,Unqualified audit opinion ,-,,,,,,,168
,Mineral Resources and Energy,National,Programme 2: Minerals and Petroleum Regulation (MPR),Programme 2: Minerals and Petroleum Regulation (MPR),Quarterly,Number of Environmental Inspections conducted,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",343,Not Achieved: 335 Environmental inspections were conducted. ,8 inspections were not conducted due to prioritisation of processing applications to prospecting and mining rights to eradicate the licensing backlog during the period under review.,Remaining target (08) will be spread amongst the remaining quarters. ,,,344,,,,,,344,,,,,,343,,,,,,1 374 ,-,,,,,,,168
