Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,OTP_Summary,ValidatedAudited_Summary2,National_Q2,DesiredPerformance,National_Q1,National_Q3,National_Q4,UID
,Cooperative Governance,Western Cape,Programme 1.	Administration,Sub Programme 1.2.	Corporate Services,Quarterly,1.1 Level of compliance with the planning & reporting legislative framework,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Enable a resilient, sustainable, quality and inclusive living environment","Governance, State Capacity and Institutional Development cluster",100,100,,,Target achieved. Data accepted.,100,100,,,Target achieved. Data accepted.,100,"
100",,,Target Achieved. Data accepted.,100,"

100",,,Target achieved. Data Accepted.,100,100,100,,,Annual Target achieved. Data accepted.,,,,,,,168
,Cooperative Governance,Western Cape,Programme 1.	Administration,Sub Programme 1.2.	Corporate Services,Quarterly,1.2 Level of compliance with financial legislative framework,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Enable a resilient, sustainable, quality and inclusive living environment","Governance, State Capacity and Institutional Development cluster",100,100,,,Target achieved. Data accepted.,100,100,,,Target achieved. Data accepted.,100,"
100",,,Target Achieved. Data accepted.,100,"
100",,,Target achieved. Data Accepted.,100,100,100,,,Annual Target achieved. Data accepted.,,,,,,,168
,Cooperative Governance,Western Cape,Programme 2: Local Governance,Sub Programme 2.1: Municipal Administration,Annually,2.1.1(a) Number of Legislation development initiatives implemented,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Enable a resilient, sustainable, quality and inclusive living environment","Governance, State Capacity and Institutional Development cluster",,,,,,,,,,,,,,,,4,4,,,,4,4,4,,,The PDO notes the Annual Target is achieved. Data accepted.,,,,,,,168
,Cooperative Governance,Western Cape,Programme 2: Local Governance,Sub Programme 2.1: Municipal Administration,Annually,2.1.2(a) Number of assessments conducted on Senior Management Appointments in accordance with legal prescripts,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Enable a resilient, sustainable, quality and inclusive living environment","Governance, State Capacity and Institutional Development cluster",,,,,,,,,,,,,,,,20,29,,,,20,29,30,This output is depended on appointment from municipalities,,The PDO notes the over achievement as well as the target adjustment for FY2025-26.,,,,,,,168
,Cooperative Governance,Western Cape,Programme 2: Local Governance,Sub Programme 2.1: Municipal Administration,Annually,2.1.4(a) Code of Conduct cases assessed to ensure legislative compliance,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Enable a resilient, sustainable, quality and inclusive living environment","Governance, State Capacity and Institutional Development cluster",,,,,,,,,,,,,,,,10,0,,,,10,0,3,"Demand Driven, cases can only be reviewed once they received",,The PDO notes the Annual Target was not met and reason for deviation due to this indicator being demand driven and dependent on other stakeholders.,,,,,,,168
,Cooperative Governance,Western Cape,Programme 2: Local Governance,Sub Programme 2.1: Municipal Administration,Annually,2.1.5(a) Number of Legal Support initiatives provided to Municipalities to strengthen Municipal Governance,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Enable a resilient, sustainable, quality and inclusive living environment","Governance, State Capacity and Institutional Development cluster",,,,,,,,,,,,,,,,8,8,,,,8,8,8,,,The PDO notes the Annual Target is achieved. Data accepted.,,,,,,,168
,Cooperative Governance,Western Cape,Programme 2: Local Governance,Sub Programme 2.1: Municipal Administration,Annually,21.2(b) Annual report in respect of formal provincial interventions justified or required in terms of Section 139 of the Constitution,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Enable a resilient, sustainable, quality and inclusive living environment","Governance, State Capacity and Institutional Development cluster",,,,,,,,,,,,,,,,1,1,,,,1,1,1,,,The PDO notes the Annual Target is achieved. Data accepted.,,,,,,,168
,Cooperative Governance,Western Cape,Programme 2: Local Governance,Sub Programme 2.1: Municipal Administration,Annually,"SPI:1 Number of municipalities supported to comply with MSA Regulations on the appointment of senior managers (Linked to MTSF 2019 – 2024, Priority 1)",Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Enable a resilient, sustainable, quality and inclusive living environment","The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,,,,,,,30,30,,,,30,30,30,,,The PDO notes the Annual Target is achieved. Data accepted.,,,,,,,168
,Cooperative Governance,Western Cape,Programme 2: Local Governance,Sub Programme 2.1: Municipal Administration,Annually,"SPI:2 Number of municipalities monitored on the extent to which anti-corruption measures are implemented (Linked to MTSF 2019 – 2024, Priority 1)",Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Enable a resilient, sustainable, quality and inclusive living environment","The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,,,,,,,30,30,,,,30,30,30,,,The PDO notes the Annual Target is achieved. Data accepted.,,,,,,,168
,Cooperative Governance,Western Cape,Programme 2: Local Governance,Sub Programme 2.1: Municipal Administration,Quarterly,"2.1.1(b) Quarterly reports in respect assessments and investigations pertaining to allegations of maladministration, fraud, corruption or any other serious malpractice",Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Enable a resilient, sustainable, quality and inclusive living environment","Governance, State Capacity and Institutional Development cluster",1,1,,,Target achieved. Data accepted.,1,"


1",,,Target achieved. Data accepted.,1,"


1",,,Target Achieved. Data accepted.,1,"


1",,,Target achieved. Data Accepted.,4,4,4,,,Data accepted.,,,,,,,168
