Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,OTP_Q1,Target_Q2,ActualOutput_Q2,OTP_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,National_Q1,National_Q2,OTP_Q3,National_Q3,ReasonforDeviation_Q1,CorrectiveAction_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,National_Q4,UID
Basic Education,Education,Limpopo,Programme 1:  Administration,Programme 1:  Administration,Annually,Default,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 1:  Administration,Programme 1:  Administration,Quarterly,Default,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,No comment,,,No comment,,,,,,0,,,,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 1:  Administration,Sub Programme 1.1: Office of the MEC,Annually,Default,Non-Standardized,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 1:  Administration,Sub Programme 1.1: Office of the MEC,Quarterly,Default,Non-Standardized,Not  Applicable,Not Applicable,-,Not Applicable,,,No comment ,,,No comment,,,,,,0,,,,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 1:  Administration,Sub-Programme 1.2: Corporate Services,Annually,Default,Non-Standardized,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 1:  Administration,Sub-Programme 1.2: Corporate Services,Annually,"POI 101: Number of qualified Grade R-12 teachers aged 30 and below, entering the public service as teachers for the first                 time during the financial year.",Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,,,2500,2690,2500,2690,,High vacancy rate .,None,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 1:  Administration,Sub-Programme 1.2: Corporate Services,Quarterly,Default,Non-Standardized,Not  Applicable,Not Applicable,-,Not Applicable,,,No comment,,,No comment,,,,,,0,,,,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 1:  Administration,Sub-Programme 1.2: Corporate Services,Quarterly,SOI 102:  Number of Public schools that can be contacted electronically (e-mail),Standardized,Max,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",3669,3625,Target was achieved,3669,3625,No comment,3669,3619,3669,3619,3669,3625,,,,,"There is  alignment between the targets in the e-QPR and the 2024/25 APP for all the quarters  of the  2024/25 financial year. The outcome for the 1st quarter of the 2024/25 financial year is 100% of the set target.   
"," The outcome for the 2nd quarter of the 2024/25 financial year is 100% of the set target. 
",The department should reflect the updated target,"The output for the quarter under review is 3 619. The PED is advised to send through the revised 2024/25 APP to the department.
",The variance for schools that have been declared non-viable and are set for merging.,The Department is committed to expedite the merging process,Non-viable schools set for rationalisation process,Alignment of rationalisation process to a Financial Year for proper planning and reporting,The Quarterly Target as per the Revised APP 2024-25 is 3619,N/A,None ,N/A,,,207
Basic Education,Education,Limpopo,Programme 1:  Administration,Sub-Programme 1.3: Education Management,Annually,Default,Non-Standardized,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 1:  Administration,Sub-Programme 1.3: Education Management,Annually,POI 102: Number of teachers provided with     ICT devices,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,,,500,0,500,0,,Late provision of funds which resulted in procurement delays.,"Fast-tracking procurement, deliveries and payments.",,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 1:  Administration,Sub-Programme 1.3: Education Management,Annually,SOI 103:  Percentage of expenditure going towards non- personnel Items,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,,,17.8 %,16.3 %,17.8 %,16.3 %,,"Goods/Services and Capital Expenditure: Delays in procurement, deliveries and payments processes.",Fast – tracking the procurement and payments processes in the new financial year.,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 1:  Administration,Sub-Programme 1.3: Education Management,Quarterly,Default,Non-Standardized,Not  Applicable,Not Applicable,-,Not Applicable,,,Default indicator,,,,,,,,,0,,,,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 1:  Administration,Sub-Programme 1.3: Education Management,Quarterly,POI 103: Percentage of valid suppliers’ invoices paid within 30 days of receipt.,Non-Standardized,Max,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",100 %,99.8 %,Target was not achieved,100 %,99.95 %,Target was not achieved,100 %,99.83 %,100 %,99.98 %,100 %,0 %,,,,,"There is  alignment between the targets in the e-QPR and the 2024/25 APP for all the quarters  of the  2024/25 financial year. The outcome for the 1st quarter of the 2024/25 financial year is 98,8% of the set target.    The PED has  provided a reason for the attainment of the set target for the quarter under review. The PED is advised to monitor the outcome of the corrective action to be taken. monitored.
"," The outcome for the 2nd  quarter of the 2024/25 financial year is 99,95% of the set target.   The PED has provided a reason for the attainment of the outcome for the quarter under review. The corrective action to be undertaken should be monitored. Thereafter the payments of the affected suppliers should be tracked to gauge if the corrective action was effective.
",Not achieved,"The outcome is 99,8% for the quarter under review. The PED is advised to monitor the outcome of the corrective action to be undertaken.
","Bank Rejected payments at the bank due to closed accounts & supplier banking details incorrect.
 Delays in the interface of Logis to BAS.
 Internal controls deficiencies on payment to schools and creches.
","Expenditure Management Procedure Manual outlining step-by-step payment processes for Schools and ECD Centres including verification of bank accounts.

(b)	A Circular has been issued reminding all Officials on settlement of invoices on time and process to resolve invalid.

","?
Bank details on the invoice differed from the banking details in the system.
?
Inactive bank details.
?
Late interface between LOGIS to","Development of proper Internal Control measures to ensure timely payment of invoices as follows:
?
Verification of Banking Details on the Central Supplier Database prior acceptance of an invoice.
?
Submission of invoices with proof of account.
?
Engagement of Provincial & National Treasuries.",Delays in BAS payment authorization and integration between LOGIS and BAS. ,Escalation of the matter to National Treasury  for intervention,System errors resulting in payments delays.,A call has been logged with the National Treasury to resolve the system challenge.,Not Achueved,"The PED has achieved 999,98%  of the set target for the quarter under review.   The PED has provided a reason for the attainment  of the quarterly target.  
",207
Basic Education,Education,Limpopo,Programme 1:  Administration,Sub-Programme 1.4: Human Resource Development,Annually,Default,Non-Standardized,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 1:  Administration,Sub-Programme 1.4: Human Resource Development,Quarterly,Default,Non-Standardized,Not  Applicable,Not Applicable,-,Not Applicable,,,Default indicator,,,No comment,,,,,,0,,,,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 1:  Administration,Sub-Programme 1.5: Education Management Information System (EMIS),Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 1:  Administration,Sub-Programme 1.5: Education Management Information System (EMIS),Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,Default indicator,,,No comment,,,,,,0,,,,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 1:  Administration,Sub-Programme 1.5: Education Management Information System (EMIS),Quarterly,SOI 101:  Number of public schools that use the South African Schools Administration and Management Systems (SA-SAMS)                  or any alternative electronic solution to provide data,Standardized,Max,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",3669,3625,Target was achieved,3669,3625,Target was achieved,3669,3619,3669,3619,3669,3625,,,,,"There is  alignment between the targets in the e-QPR and the 2024/25 APP for all the quarters  of the  2024/25 financial year. The outcome for the 1st quarter of the 2024/25 financial year is 100% of the set target.   The PED has  provided a reason for the attainment of the set target for the quarter under review. The PED is advised to monitor the outcome of the corrective action to be taken. monitored.
"," The outcome for the 2nd  quarter of the 2024/25 financial year is 100% of the set target. 
",please indicate the revised qrt  target.,"The output for the quarter under review is 3 619. The PED is advised to send through the revised 2024/25 APP to the department.
",The variance for schools that have been declared non-viable and are set for merging.,The Department is committed to expedite the merging process.,Non-viable schools set for rationalisation process,Alignment of rationalisation process to a Financial Year for proper planning and reporting,The Quarter Target as per the Revised APP 2024-25,N/A,None,N/A,Achieved,"The PED has achieved 98,64%  of the set target for the quarter under review.   The variance is -50 The PED has not provided a reason for the attainment  of the quarterly target and is advised to do so. The PED can gauge if schools have merged or closed  and what is the impact thereof.
",207
Basic Education,Education,Limpopo,Programme 1:  Administration,Sub-Programme 1.6: Conditional Grants,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207
