Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,OTP_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,UID
Police, Safety and Liaison,Northern Cape,Programme 1: Administration,Sub-Programme 1.3: Financial Management,Annually,Percentage Fruitless and Wasteful Expenditure incurred in the previous financial year,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Drive 4:  Accountable and Effective Governance,"Governance, State Capacity and Institutional Development cluster",,,0 %,9.3 %,,,,,0 %,9.3 %,9.3,"Interest charged on late payment.
Arbitration award.
",Payment of undisputed invoices within 30 days,"Underperformance with 9,3% fruitless and wasteful expenditure incurred in 2023/24. Aligned to reports throughout the year. Declined from the 1,1% achieved in the 2023/24 FY.
",,,,,,,,,,,,,,23
Police, Safety and Liaison,Northern Cape,Programme 1: Administration,Sub-Programme 1.3: Financial Management,Annually,Percentage of Irregular Expenditure incurred in the previous financial year,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Drive 4:  Accountable and Effective Governance,"Governance, State Capacity and Institutional Development cluster",,,0 %,11.4 %,,,,,0 %,11.4 %,11.4,"Expired PTOG contracts.
Expired SITA SLA
Ocean Echo rentals for 2023/24 financial year
","Public Transport programme to complete ITP’s and service designs, which are conditions precedent for procurement process that will ultimately regularise PTOG bus contracts.
Concluded SLA with SITA
Addendum to SLA for Ocean Echo lease
","Underperformance with 11,4% Irregular expenditure incurred in 2023/24. Aligned to reports throughout the year. Improved from 45,6% in the 2023/24 FY.",,,,,,,,,,,,,,23
Police, Safety and Liaison,Northern Cape,Programme 1: Administration,Sub-Programme 1.3: Financial Management,Annually,Percentage unauthorised expenditure incurred in the previous financial year,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Drive 4:  Accountable and Effective Governance,"Governance, State Capacity and Institutional Development cluster",,,0 %,0 %,,,,,0 %,0 %,0,,,Annual target achieved as planned in the 2nd Quarter. Aligned to reports throughout the year. ,,,,,,,,,,,,,,23
Police, Safety and Liaison,Northern Cape,Programme 1: Administration,Sub-Programme 1.3: Financial Management,Annually,Unqualified Audit Opinion,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Drive 4:  Accountable and Effective Governance,Not Applicable,,,Unqualified Audit Opinion,Unqualified Audit Opinion,,,,,Unqualified Audit Opinion,Unqualified Audit Opinion,To be determined after audit,,,"Unqualified audit opinion reported in the 2nd quarter, relating to the 2023-24 FY. Please review the Pre-audited output. ",,,,,,,,,,,,,,23
Police, Safety and Liaison,Northern Cape,Programme 1: Administration,Sub-Programme 1.3: Financial Management,Quarterly,Percentage of uncontested invoices paid within 30 days,Non-Standardized,Max,Priority 2: Economic Transformation And Job Creation,"Driver 1: Economic Transformation, Growth and Development","Governance, State Capacity and Institutional Development cluster",100 %,98 %,100 %,98 %,100 %,97 %,100 %,94 %,100 %,98 %,98,,,"Slight underperformance reflected against the annual target with an average performance of 96,75% across all quarters. A decline refleted in comparison with the 100% achieved in 2023/24 FY. Please provide reason for deviation and corrective action. ",,"Systems error
Tax compliance
","Log call with helpdesk.
Ensure that no procurement is done without order.
Implementation of consequence management in cases of non-compliance
",The targets are aligned to the APP 2024-25. Performance of 98% against the quarterly target up to the 1st quarter. (11 invoices not paid within 30 days) Improvement from 97 in the 4th quarter of previous financial year. ,"Expired contract.
Non-tax compliant by service provider.
Discrepancy with banking details on the invoice and CSD of the institution 
",Procurement process or renewal of the contract be initiated prior expiry of the contract.,Performance remained consistent at 98% between Q1 and Q2. (10 invoices not paid within 30 days),"•	Outstanding supporting documentation;
•	Delay in submission of invoices for processing;
•	Contract expired and awaiting the addendum to extend the contract;
Supplier not registered on CSD
","•	Immediate and constant follow-ups on all outstanding documentation
•	Invoices to be monitored daily to avoid delay in processing;
Immediate follow-ups on all expired contracts;
","97% performance against the quarterly target, a slight reduction in comparison with the 1st and 2nd quarter. ","Official currently experiencing challenges with regard resources on printing, internet, financial systems, office space, signatories as officials are working in different departments and not sitting in the same building",Department to get an office space that can accommodate office of the CFO,"A slight decline reflected in the 4th quarter. Average performance of 96,75% across all the quarters. ",23
Police, Safety and Liaison,Northern Cape,Programme 1: Administration,Sub-Programme 1.3: Financial Management,Quarterly,"Percentage procurement for women, youth and persons with disability",Non-Standardized,Max,Priority 2: Economic Transformation And Job Creation,"Driver 1: Economic Transformation, Growth and Development","Governance, State Capacity and Institutional Development cluster",40 %,21 %,40 %,40 %,40 %,36 %,40 %,30 %,40 %,40 %,40,,,"Achieved the annual target as planned, with average performance of 31,75% across the four quarters. Decline indicated from the 68% achieved in 2023/24 FY. ",,Outstanding information from Provincial Treasury on the CSD. Requests have been made to Provincial Treasury and it appears that all Departments are experiencing the same challenge ,Await updated figures from Treasury,"The targets are aligned to the APP 2024-25. Department is reminded to populate the output before the final submission on 31 July 2024, when the information is available. ",,,The department is reminded to populate the quarterly output before the final submission on 31 October 2024. ,Non-responsiveness from RFQ sent to suppliers,"•	Identify RFQ’s that will be used to promote SMME’s for procurement in the designated groups
•	SCM must investigate reasons for the non-responsiveness.
","90% performance against the quarterly target and an average of 32% procurement for women, youth and persons with disability up to the 3rd quarter. ","Women, youth and person with disabilities, owning companies, did not respond satisfactorily, to the request for quotation issued by the department",Additional to the rotational system the Department will make use of the Central Supplier Database (CSD) functionality criteria to specifically target,"75% performance achieved against the quarterly target, with an average performance of 31,75% across the four quarters against the annual target of 40%. ",23
Police, Safety and Liaison,Northern Cape,Programme 1: Administration,Sub-Programme 1.4: Corporate Services,Annually,Percentage of interns and learners employed in the Department,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"Driver 1: Economic Transformation, Growth and Development","The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,5 %,4.2 %,5 %,4.2 %,4.2,Recruitment of interns and learners were reduced as a result of limited budget available,More interns and  learners will be recruited through SETA programmes,Declined slightly from the 5% achieved in 2023/24 FY. Aligned to what was reported through the year.,,,,,,,,,,,,,,23
Police, Safety and Liaison,Northern Cape,Programme 1: Administration,Sub-Programme 1.4: Corporate Services,Annually,Percentage of performance agreements captured,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Drive 4:  Accountable and Effective Governance,"Governance, State Capacity and Institutional Development cluster",100 %,100 %,,,,,,,100 %,100 %,100,,,Annual target achieved as planned. Maintained the 100% performance achieved in the 2023/24 FY. ,,,,,,,,,,,,,,23
Police, Safety and Liaison,Northern Cape,Programme 1: Administration,Sub-Programme 1.4: Corporate Services,Annually,Percentage of persons with disability employed in the Department,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"Driver 1: Economic Transformation, Growth and Development","The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,2 %,0.7 %,2 %,0.7 %,0.7,Not enough people with disabilities respond to advertisements of vacancies,Posts will be targeted for filling by people with disabilities. This will be in line with the EE plan targets ,Declined slightly from the 1% achieved in 2023/24 FY. Aligned to what was reported through the year. ,,,,,,,,,,,,,,23
Police, Safety and Liaison,Northern Cape,Programme 1: Administration,Sub-Programme 1.4: Corporate Services,Annually,Percentage of required employees subjected to the e-disclosure financial interest audit,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Drive 4:  Accountable and Effective Governance,"Governance, State Capacity and Institutional Development cluster",,,100 %,89 %,,,,,100 %,89 %,89,Non-compliance with the prescripts,Officials will be formally charged thereafter request made to DPSA to open the system for those who have valid reasons for non-submission,89% achieved against the annual target and declined in comparison with the 100% achieved in 2023/24 FY. ,,,,,,,,,,,,,,23
