ReportTitle,Textbox95,Textbox80,Textbox81,Textbox82,Textbox83
QPR for FY 2023-24 National Institutions Oversight Performance  Report as of ( FY 2023-24),Location/s: National,InstitutionType:   National,"Institution:   National Treasury, Office of the Chief Justice, Office of the Public Service Commision, Planning, Monitoring and Evaluation, Public Enterprises",FinancialYear:   FY 2023-24,"Report Printed On:   Monday, September 11, 2023 1:47:53 PM"

Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,National_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,National_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,National_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,National_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,OTP_Summary,National_Summary,ValidatedAudited_Summary2,UID
National Treasury,National Treasury,National,Programme 1: Administration,Programme 1: Administration,Annually,1.1.2 Audit Opinion obtained,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,"Unqualified audit opinion
with 15% fewer findings
than 2022/23 on financial
performance information

Unqualified audit opinion
with no audit findings on
non-financial performance
information",,,,,,,,178
National Treasury,National Treasury,National,Programme 1: Administration,Programme 1: Administration,Annually,1.1.3 Risk Management Maturity Assessment level achieved,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,178
National Treasury,National Treasury,National,Programme 1: Administration,Programme 1: Administration,Quarterly,1.1.1 Percentage of ICT service delivery standards met,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,93 %,93 %,N/A,N/A,,,93 %,,,,,,93 %,,,,,,93 %,,,,,,93 %,93 %,,,,,,,178
National Treasury,National Treasury,National,Programme 1: Administration,Programme 1: Administration,Quarterly,1.1.4 Percentage spend of training and development budget,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,10 %,9.59 %,Under-performance is attributed to low demand for training in Quarter 1. ,The unit will continue marketing different training interventions across all targeted groups.,,,21 %,,,,,,21 %,,,,,,18 %,,,,,,70 %,0 %,,,,,,,178
National Treasury,National Treasury,National,Programme 1: Administration,Programme 1: Administration,Quarterly,1.1.5 Number of quarterly reports on the implementation of the action plan on gender mainstreaming produced,Not Applicable,Not  Applicable,Create a better South Africa and contribute to a better Africa and a better world,Governance and Administration cluster,1,1,N/A,N/A,,,1,,,,,,1,,,,,,1,,,,,,4,1,,,,,,,178
National Treasury,National Treasury,National,"Programme 2: Economic Policy, Tax, Financial Regulation and Research","Programme 2: Economic Policy, Tax, Financial Regulation and Research",Annually,2.1.1 Number of research papers completed,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,178
National Treasury,National Treasury,National,"Programme 2: Economic Policy, Tax, Financial Regulation and Research","Programme 2: Economic Policy, Tax, Financial Regulation and Research",Annually,2.1.2 Financial sector legislation drafted,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,"Financial sector
legislation submitted
to Cabinet",,,,,,,,178
National Treasury,National Treasury,National,"Programme 2: Economic Policy, Tax, Financial Regulation and Research","Programme 2: Economic Policy, Tax, Financial Regulation and Research",Quarterly,2.1.3 Legislation to give effect to tax proposals from the Budget drafted,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,N/A,N/A,N/A,N/A,,,"Draft tax legislation
published",,,,,,"Tax legislation
submitted for
tabling in
Parliament",,,,,,N/A,,,,,,"Tax legislation
submitted for
tabling in Parliament",-,,,,,,,178
National Treasury,National Treasury,National,"Programme 2: Economic Policy, Tax, Financial Regulation and Research","Programme 2: Economic Policy, Tax, Financial Regulation and Research",Quarterly,2.1.4 Number of economic forecasts developed,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,1,1,N/A,N/A,,,1,,,,,,1,,,,,,1,,,,,,4,1,,,,,,,178
National Treasury,National Treasury,National,"Programme 2: Economic Policy, Tax, Financial Regulation and Research","Programme 2: Economic Policy, Tax, Financial Regulation and Research",Quarterly,2.1.5 Number of macro and microeconomic policy analysis and advice reports produced,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","The Economic Sectors, Employment and Infrastructure Development cluster",2,2,N/A,N/A,,,2,,,,,,2,,,,,,2,,,,,,8,2,,,,,,,178
