Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q3,DesiredPerformance,National_Q1,National_Q3,National_Q4,OTP_Q1,UID
,Cooperative Governance,North West,Programme 1.	Administration,Sub Programme 1.2 Financial Management,Annually,Number of MTEF budget documents produced ,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Eradication of Corruption,"Governance, State Capacity and Institutional Development cluster",,,,,,,1,1,1,1,1,None,None,,,,,,,,,,,,,,,,100
,Cooperative Governance,North West,Programme 1.	Administration,Sub Programme 1.2 Financial Management,Annually,Number of Post Audit Action Plans produced ,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Eradication of Corruption,"Governance, State Capacity and Institutional Development cluster",,,1,1,,,,,1,1,1,None,None,,,,,,,,,,,,,,,,100
,Cooperative Governance,North West,Programme 1.	Administration,Sub Programme 1.2.	Corporate Services,Quarterly,Number of Gender-Based Violence and Femicide (GBVF) empowerment sessions held,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,3. Fighting crime and corruption (2019-2024),"Governance, State Capacity and Institutional Development cluster",1,1,0,0,1,1 Gender-Based Violence and Femicide  (GBVF) empowerment session held,0,0,2,1,2,None,None,,None,None,None,None,None,None,None,None,,,,,,,100
,Cooperative Governance,North West,Programme 2: Local Governance,Sub Programme 2.1: Municipal Administration,Quarterly,"Number of capacity building interventions conducted in municipalities (Linked to MTSF 2019-2024,Priority 1)(B2B Pillar 5)",Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Eradication of Corruption,"Governance, State Capacity and Institutional Development cluster",2,2,2,"
2 capacity Interventions conducted namely: 
1. Sound municipal administration

Held one on one working sessions  with  Ngaka Modiri Molema District and its local municipalities to monitor and support them on skills development programmes
2. Good governance support
Conducted workshop for Portfolio Committee Members of Corporate Services on appointment and conditions on employment of Senior Managers.


",2,"2  INTERVENTIONS CONDUCTED


SOUND MUNICIPAL ADMINISTRATION 
•	One on one working session with municipalities on sound administration.
•	Presentation of Chapter 5 of the Municipal Staff Regulation (MSR).Chapter 5 is about Skills Development Compliance and Roles and Responsibility of the training committee. 

GOOD GOVERNANCE SUPPORT

•	Workshop conducted on good governance for Councillors to comply with municipal legislation and regulations.
",2,"2 capacity building interventions conducted in municipalities  namely:

•	Sound Administration 

•	Good Governance 
",2,2,2,None,None,,None,None,None,None,None,None,None,None,,,,,,,100
,Cooperative Governance,North West,Programme 2: Local Governance,Sub Programme 2.1: Municipal Administration,Quarterly,"Number of municipalities monitored on the extent to which anti-corruption measures are implemented (Linked to MTSF 2019 – 2024, Priority 1)",Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",6,5,6,"5 municipalities monitored on the extent to which anti-corruption measures are implemented namely:

?	 NMM DM
?	 Mafikeng LM
?	  Ramotshere Moiloa LM
?	 Ratlou LM
?	Naledi LM
",6,"7 municipalities monitored on the extent to which anti-corruption measures are implemented namely:

•	Moretele LM
•	Madibeng LM
•	Rustenburg LM
•	Moses Kotane LM
•	Kgetlengrivier LM

Remedial for Q2
•	Naledi LM
•	Tswaing L
",4,"6 municipalities monitored on the extent to which anti-corruption measures are implemented namely:
•	J B Marks LM
•	Matlosana LM 
•	Maquassie Hills LM
•	DR KK DM
Recovery from last quarters
•	Bojanala DM
•	Ditsobotla LM
",22,5,22,None,None,,A consultative session could not be held with Naledi LM due to the fact that there was no official assigned for this function from the municipality.,A follow up session will be held with the Naledi Local Municipality on or/before the 31st July 2024 as we have been advised that a new official has been assigned for this function.,"Lack of commitment by officials responsible for anti-corruption management and coordination in Tswaing  LM & Ditsobotla LM.
No proper arrangements facilitated by officials of the Tswaing LM & Ditsobotla LM to enable Cogta to have access to relevant data so as to inform appropriate cause of action. 

","
Follow-up on both Tswaing LM and Ditsobotla LM to facilitate submission of anti-corruption reports.
Continue to encourage programme champions and supervisors to promote and report the integrity of municipal business processes, including comprehensive risk management through appropriate governance structures and municipal leadership

","Bojanala DM is the only municipality that has failed to comply with the delivery dates on the submission of anti-corruption report.
Generally, the municipalities treat the subject of anti-corruption as a peripheral issue in their business planning models.
Tswaing LM and Naledi LM was monitored in order to recover under performance of previous quarter.
","Continue to encourage programme champions and supervisors to promote and report the integrity of municipal business processes, including comprehensive risk management through appropriate governance structures and municipal leadership",Bojanala DM and Ditsobotla LM were recovered from previous quarters,None,"Provide reasons for viriance

",,,,,,100
,Cooperative Governance,North West,Programme 2: Local Governance,Sub Programme 2.1: Municipal Administration,Quarterly,Number of Municipalities monitored on the implementation of GBVF responsive programmes (Final M&E Plan for NSP on GBVF)(Pillar 2: Prevention and Restoration of Social Fabric),Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Fighting Crime,"Governance, State Capacity and Institutional Development cluster",6,5,6," 6 Municipalities monitored on the implementation of GBVF responsive programmes namely:
?	NMM DM
?	Ramotshere Moiloa LM
?	Mahikeng LM
?	Ratlou LM
?	Ditsobotla LM
?	Kagisano Molopo LM
",6,"7  Municipalities monitored on the implementation of GBVF responsive programmes namely:
•	Bojanala DM
•	Moretele LM
•	Madibeng LM
•	Rustenburg LM
•	Moses Kotane LM
•	Kgetlengrivier LM

Remedial for Q2
•	Tswaing LM
",4,"4 municipalities monitored on the implementation of GBVF responsive programmes namely:
•	J B Marks LM
•	Matlosana LM 
•	Maquassie Hills LM
•	DR KK DM",22,5,22,None,None,,Instability in Kagisano-Molopo LM resulted in safety concerns for officials and councilors if meetings were to be held in Ganyesa  at the scheduled period ,To conduct one on one session with Kagisano Molopo municipality on the 16th of July 2024.,"Tswaing could not be supported due to a protest action  by municipal  employees during the scheduled visit.
Kagisano Molopo was planned for 1st Quarter and only achieved in the second quarter

 
","To revisit the Tswaing LM and ask for report on GBVF response programme conducted by the municipality in the month of October 2024
 
",Tswaing LM was monitored in order to recover under performance of previous quarter. ,None,None,None,,,,,,,100
,Cooperative Governance,North West,Programme 2: Local Governance,Sub Programme 2.1: Municipal Administration,Quarterly,"Number of municipalities supported to comply with MSA Regulations on the appointment of senior managers (Linked to MTSF 2019 – 2024, Priority 1)",Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",6,6,6,"6 municipalities to comply with MSA regulations on the appointment of senior managers namely:
?	Ngaka Modiri Molema DM
?	Mahikeng LMi
?	Tswaing LM
?	Ratlou LM
?	Ditsobotla LM
?	Ramotshere Moiloa LM 
",6,"6 municipalities supported  to comply with MSA Regulations namely:

•	Bojanala DM
•	Moretele LM
•	Madibeng LM
•	Rustenburg LM
•	Moses Kotane LM
•	Kgetlengrivier LM",4,"4 municipalities supported  to comply with MSA regulations on the appointment of senior managers namely:
•	J B Marks LM
•	Matlosana LM 
•	Maquassie Hills LM
•	DR KK DM	 
",22,6,22,None,None,,None,None,None,None,None,None,None,None,,,,,,,100
,Cooperative Governance,North West,Programme 2: Local Governance,Sub Programme 2.1: Municipal Administration,Quarterly,"Number of municipalities supported to maintain functional ward committees (Linked to MTSF 2019 - 2024, Priority 1)",Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Eradication of Corruption,"Governance, State Capacity and Institutional Development cluster",5,4,5,"6 municipalities supported to maintain functional ward committees namely:
?	Ratlou LM
?	Tswaing LM
?	Ramotshere Moiloa LM
?	Mahikeng LM
?	Ditsobotla LM

",5,"5  municipalities supported to maintain functional ward committees namely:
•	Moretele LM
•	Madibeng LM
•	Rustenburg LM
•	Moses Kotane LM
•	Kgetlengrivier LM",3,"3 municipalities supported to maintain functional ward committees namely:
•	J B Marks LM
•	Matlosana LM 
•	Maquassie Hills LM
",18,4,18,None,None,,Instability in Kagisano-Molopo LM which resulted in safety concerns of officials and councilors if meetings were held in Ganyesa.,To conduct one on one session with Kagisano Molopo municipality on the 16th July 2024.,"Kagisano Molopo LM supported to recover under performance of the 1st quarter.



 
",None,None,None,None,None,Provide reasons for viriance ,,,,,,100
,Cooperative Governance,North West,Programme 2: Local Governance,Sub Programme 2.1: Municipal Administration,Quarterly,"Number of municipalities supported to promote participation in community based local governance processes (Priority 1:Capanle, Ethical and Developmental State)(Priority 6 MTEF Indicatory: Social Cohesion and Safer Communities)",Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Eradication of Corruption,"Governance, State Capacity and Institutional Development cluster",5,4,5,"4 municipalities supported to promote participation in community based local governance processes namely:
?	Ramotshere Moiloa LM
?	Mahikeng LM
?	Ratlou LM
?	Kagisano Molopo LM


",5,"6  municipalities supported to promote participation in community based local governance processes namely:

•	Moretele
•	Madibeng
•	Rustenburg
•	Moses Kotane
•	Kgetlengrivier

Remedial for Q2
Tswaing
",3,"3 municipalities supported to promote participation in community based local governance processes namely:
•	J B Marks LM
•	Matlosana LM 
•	Maquassie Hills LM
",18,4,17,None,None,,To conduct one on one session with Kagisano Molopo municipality on the 16th of July 2024.,To conduct one on one session with Kagisano Molopo municipality on the 16th of July 2024.,"Tswaing and Ditsobotla could not be supported because the IDP unit and PMS unit  had other commitments, therefore could not convene the sessions.
Kagisano Molopo was planned for 1st Quarter and only achieved in the second quarter
",The presentation will now be conducted by the Public Participation unit. The unit will target a ward committee meetings in both municipalities to make a presentation by end of October 2024,Tswaing LM was monitored in order to recover under performance of previous quarter. ,None,None,None,,,,,,,100
,Cooperative Governance,North West,Programme 2: Local Governance,Sub Programme 2.1: Municipal Administration,Quarterly,Number of municipalities supported to resolve community concerns,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Eradication of Corruption,"Governance, State Capacity and Institutional Development cluster",5,3,5,"7 municipalities supported to resolve community concerns namely:
?	Mafikeng LM
?	Ditsobotla LM
?	Ramotshere Moiloa LM
?	Tswaing LM
?	Ratlou LM
?	Kagisano Molopo LM
?	Naledi LM

",5,"5  municipalities supported to resolve community concerns namely:
•	Moretele LM
•	Madibeng LM
•	Rustenburg LM
•	Moses Kotane LM
•	Kgetlengrivier LM",3,"3 municipalities supported to resolve community concerns namely :

•	J B Marks LM
•	Matlosana LM 
•	Maquassie Hills LM
",18,3,18,None,None,,"Instability in Kagisano-Molopo LM which resulted in safety concerns of officials and councilors if meetings were held in Ganyesa  
Unavailability of municipal officials and councilors due to participation in National and Provincial elections i.r.o Naledi LM
",To conduct one on one sessions with Kagisano Molopo and Naledi municipalities on the 16th and 17th July 2024..,"
Kagisano Molopo LM and Naledi LM was planned for 1st Quarter and only achieved in the second quarter.
",None,None,None,None,None,,,,,,,100
