Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,National_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,National_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,National_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,OTP_Q3,National_Q4,UID
,"Sport, Arts and Culture",Mpumalanga,Programme 1: Administration,Programme 1: Administration,Annually,Default,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,Test 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,128
,"Sport, Arts and Culture",Mpumalanga,Programme 1: Administration,Programme 1: Administration,Quarterly,Default,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,Test 1,,,,,,,,,,,,,,,,,,,,,-,,,,,,,128
,"Sport, Arts and Culture",Mpumalanga,Programme 1: Administration,Programme 1: Administration,Quarterly,Number of financial statement approved,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Social Cohesion and Safe communities,"The Social Protection, Community and Human Development cluster",1,1,None,None,Achieved as planned.,1,1,None,None,Achieved.,1,"1
",none,none,Achieved.,1,1,None,None,4,4,4,none,none,,,,128
,"Sport, Arts and Culture",Mpumalanga,Programme 1: Administration,Programme 1: Administration,Quarterly,Number of ICT Corporate Governance Framework objectives implemented,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Social Cohesion and Safe communities,Not Applicable,6,6,None,None,Achieved as planned.,6,6,None,None,Achieved.,6,"6

",none,none,Achieved.,6,6,None,None,6,6,6,none,none,,,,128
,"Sport, Arts and Culture",Mpumalanga,Programme 1: Administration,Programme 1: Administration,Quarterly,Number of marketing initiatives implemented,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Social Cohesion and Safe communities,"The Social Protection, Community and Human Development cluster",4,4,None,None,Achieved as planned.,4,4,None,None,Achieved.,4,4,none,none,Achieved.,4,4,None,None,4,4,4,none,none,,,,128
,"Sport, Arts and Culture",Mpumalanga,Programme 1: Administration,Programme 1: Administration,Quarterly,Number of risk compliance documents produced,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Social Cohesion and Safe communities,"The Social Protection, Community and Human Development cluster","4th quarter risk report submitted to Risk and Audit committee

Annual Risk Assessment report and risk implementation Plan produced",0,Risk Management Committee did not sit during the 4th quarter of 2023/24. ,Intermin Chairperson will be appointed.,"Not achieved, reason for deviation provided.",1st quarter risk report submitted to Risk and Audit committee,"3 risk compliance documents produced

•	1st  quarter risk report submitted to Risk and Audit committee
•	4th quarter risk report submitted to Risk and Audit committee
•	Annual Risk Assessment report and risk implementation Plan produced
","The following two outputs overlaps from the first quarter
•	4th quarter risk report 
•	Annual Risk Assessment report and risk implement    ation Plan 
",The actual output will be consolidated on the 6 months report of 2024/25 FY.,"Achieved, reason for deviation and corrective action provided.",2nd quarter risk report submitted to Risk and Audit committee,"
2nd quarter risk report submitted to Risk and Audit committee 
",none,none,Achieved.,3rd quarter risk report submitted to Risk and Audit committee,"1
3rd quarter risk report submitted to Risk and Audit committee
",None,None,1 Approved risk plan and 4 Risk management reports produced,-,5,none,none,,,,128
,"Sport, Arts and Culture",Mpumalanga,Programme 1: Administration,Programme 1: Administration,Quarterly,Number of strategic planning and accountability documents approved and submitted to Legislature on time,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Social Cohesion and Safe communities,"The Social Protection, Community and Human Development cluster",3,3,None,None,Achieved as planned.,1,1,None,None,Achieved.,0,0,none,none,No reporting required for the quarter under review.,0,0,None,None,4,4,4,none,none,,,,128
,"Sport, Arts and Culture",Mpumalanga,Programme 1: Administration,Sub-programme 1: Office of the MEC,Annually,deafult,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,128
,"Sport, Arts and Culture",Mpumalanga,Programme 1: Administration,Sub-programme 1: Office of the MEC,Quarterly,deafult,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,No annual and quarterly target set.,,,,,,,,,,,,,,,,-,,,,,,,128
,"Sport, Arts and Culture",Mpumalanga,Programme 2: Cultural Affairs ,Programme 2: Cultural Affairs ,Annually,Default,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,128
,"Sport, Arts and Culture",Mpumalanga,Programme 2: Cultural Affairs ,Programme 2: Cultural Affairs ,Quarterly,Number of community conversations / dialogues implemented to foster social interaction per year,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,-,"The Social Protection, Community and Human Development cluster",1,1,None,None,Achieved as planned.,1,1,None,None,Achieved.,1,"1
",none,none,Achieved.,0,,,,3,3,3,none,none,,,,128
,"Sport, Arts and Culture",Mpumalanga,Programme 2: Cultural Affairs ,Programme 2: Cultural Affairs ,Quarterly,Number of initiatives implemented to raise awareness on the national symbols,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"Governance, State Capacity and Institutional Development cluster",6,6,None,None,Achieved as planned.,6,"4
",The two initiatives were postphoned due to clash of dates with other events.,The indicator will be achieved in the third quarter.,"Not achieved, reason for deviation and corrective action provided.",5,"7
",Exceeded target to offset the under achievement of the 2nd quarter ,All actual outputs will be reconciled in the Annual Report ,"Overachieved, reason for deviation and corrective action provided.",0,,,,17,17,17,none,none,,,,128
,"Sport, Arts and Culture",Mpumalanga,Programme 2: Cultural Affairs ,Sub-programme 1: Management,Annually,deafult,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,128
,"Sport, Arts and Culture",Mpumalanga,Programme 2: Cultural Affairs ,Sub-programme 1: Management,Quarterly,deafult,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,No annual and quarterly target set,,,,,,,,,,,,,,,,-,,,,,,,128
,"Sport, Arts and Culture",Mpumalanga,Programme 2: Cultural Affairs ,Sub-Programme: Arts and Culture,Annually,Number of community structures supported,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Social Cohesion and Safe communities,"The Social Protection, Community and Human Development cluster",10,3,,,,,,,,,,,,,,,,,,10,3,11,1 additional structure supported due to more request received than expected,Support was through savings in other structures,,,,128
