Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,National_Summary,OTP_Summary,National_Q1,National_Q2,National_Q3,National_Q4,UID
,Cooperative Governance,Northern Cape,Programme 1.	Administration,Sub Programme 1.2.	Corporate Services,Annually,Percentage of external audit recommendations implemented,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Drive 4:  Accountable and Effective Governance,"Governance, State Capacity and Institutional Development cluster",100 %,90.5 %,,,,,,,100 %,90.5 %,90.5,"The Audit Action Plan has not been fully implemented, however a notable improvement in performance towards the effective implementation of actions plans have been made.",None,,,,,,,,,,,,,,,,,,,,82
,Cooperative Governance,Northern Cape,Programme 1.	Administration,Sub Programme 1.2.	Corporate Services,Quarterly,Percentage of departmental policies implemented,Non-Standardized,Average,"Priority 1: A Capable, Ethical and Developmental State",Drive 4:  Accountable and Effective Governance,"Governance, State Capacity and Institutional Development cluster",100 %,100 %,100 %,100 %,100 %,100 %,100 %,100 %,100 %,100 %,100,,,,,,Quarter target achieved.,,,YTD performance is at 100%,,,YTD performance is at 100%,,,YTD performance is 100%,,,,,,,82
,Cooperative Governance,Northern Cape,Programme 1.	Administration,Sub Programme 1.2.	Corporate Services,Quarterly,Percentage of procurement transactions awarded to women-owned businesses (WOB),Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Drive 4:  Accountable and Effective Governance,"Governance, State Capacity and Institutional Development cluster",15 %,13.3 %,20 %,3.37 %,25 %,22.74 %,30 %,31.07 %,30 %,0 %,31.7,The department managed to prioritise WOB in procurement.,None,,Provincial treasury is experiencing challenges to update the Spend Dashboard.  The reported figure is for April 2024 only.,"Since this indicators is calculated cumulatively year-to-date, the Quarter 2 report (which will cover the 1st six months of the year)  will catch up.",Target for the quarter not achieved.  Reason to be submitted.,The main reason for the department not to spend was due to cost containment measures implemented as from July 2024. This was based on the letter sent from the treasury to implement austerity measures across government,None,Comment noted,None,None,Target not achieved and reason for deviation is required with the final report.,None,None,Comment of Departmental coordinator noted,,,,,,,82
,Cooperative Governance,Northern Cape,Programme 1.	Administration,Sub Programme 1.2.	Corporate Services,Quarterly,Percentage of uncontested invoices paid within 30 days,Non-Standardized,Average,"Priority 1: A Capable, Ethical and Developmental State",Drive 4:  Accountable and Effective Governance,"Governance, State Capacity and Institutional Development cluster",100 %,99 %,100 %,98.7 %,100 %,95.9 %,100 %,96.6 %,100 %,"49,5 %",97.5,Delays in the submission of invoices and bank queries are the reasons for non-compliance,,,"744 invoices from 753 valid invoices were paid within 30 days. The value of invoices paid within 30 days amounts to R286 859 249,19 of a total amount of R289 357 231,77.  Nine (9) or 1 % of invoices received with a total amount of R2 497 982,58 million were unpaid within 30 days.  The late submission of invoices mainly causes non-compliance.  The system calculates 30 days from the date the invoice is received.  The main challenge is when an invoice is received by the end-user department directly and not via Logistics to the centralised invoice system.  This makes it difficult for Finance to track such invoices.  ",The Office of the CFO will arrange meetings with the units to address the non-compliance.,Target for the quarter not achieved.  Reason for deviation to be submitted.,888 Invoices from 900 invoices were paid within 30 days. The value of paid within 30 days amounts to R96 823 062.87 from a total of 900 valid invoices received. Twelve(12) or 1.3 percent of invoices received with a total amount of R35 698.19 million were not paid within 30 days. The late submission of invoices is the main cause of the non-compliance. The system calculates 30 days from the date the invoice is received.,Due to reductions in cash flow procurement was reduced in Q2 to manage the risk of late payments caused by the cash flow situation in the province,Comment noted,845 invoices from 881 valid invoices were paid within 30 days. The value of invoices paid within 30 days amounts to R119 597 640.80 from a total of 881 valid invoices received.  Thirty-six (36) or 4.09 % of invoices received with a total amount of R1 100 360.09 million were not paid within 30 days.  The incomplete documentation cause the late submission of invoices which is the main cause of the non-compliance.  The system calculates 30 days from the date the invoice is received.  ,"Due to budget cuts, procurement was reduced in Q3 to manage the risk of late payments caused by the cash flow situation in the province",Target not achieved and reason for deviation is required with the final report.,A total of 541 or 96.6 percent of 560 invoices were paid within 30 days from receipt of it.  The value of invoices paid within 30 days amounts to R39 411 705.86 from a total of R45 908 384.19.  Nine (9) or 3.4 percent of invoices received with a total amount of R196 303.77 were not paid within 30 days.  Delays in the submission of invoices and bank queries are the reasons for non-compliance.  ,There has been a slight improvement compared to Q3.  Controls will be reviewed to ensure its effectiveness.  ,Overall performance is at 97% as end of the 4th quarter.,,,,,,,82
,Cooperative Governance,Northern Cape,Programme 2: Local Governance,Sub Programme 2.1: Municipal Administration,Quarterly,"Number of municipalities monitored on the extent to which anti-corruption measures are implemented (Linked to MTSF 2019 – 2024, Priority 1)",Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",7,8,8,0,8,16,8,7,31,31,31,,,,"The submission of the Anti-Corruption Monitoring Tool by municipalities evidently show that municipalities policies and SOP’s are not adequate to curb any type of corruption that might arise. 
Thus, it was necessary to assess the tool and provide feedback and the policies submitted as well. Feedback submitted to municipalities will require the unit to assess all the related documents pertaining to anti-corruption that is either outdated and/or does not exist in the municipality.
",None,Target for the quarter exceeded and reasons provided.,The under achievement of Anti-Corruption was since training was identified for ZFM district and its locals. The training address the implementation of Anti-Corruption for municipalities curb any corrupt activities. Since the training address the shortcomings and challenges the officials experienced in the sector they were of the view that the training was sufficient and will be counted as supporting municipalities for Quarter 2. ,"However, since training are regarded as capacity building and skills transferred to municipal officials the eight (8) municipalities of  Q2 will be supported in Q3 meaning more municipalities will be support to ensure Anti-Corruption measures are implemented. ",Quarter target not achieved and no reasons for deviations has been provided. ,"The unit under performed in quarter 2 thus, six-teen (16) municipalities had to be supported for the quarter. In assessing the tool it is evident that municipalities are lacking policies, SOP’s etc to address possible corruption as and when it occur",,"Year to date performance is at 105,35%","The unit overachieved between Q1 and Q3 thus, it left the support for Q4 with only 7 municipalities. 

The unit achieved the support of 31 municipalities by the end of Q4.
",None,100% by end of 4th quarter.  Annual target achieved. ,,,,,,,82
,Cooperative Governance,Northern Cape,Programme 2: Local Governance,Sub Programme 2.1: Municipal Administration,Quarterly,"Number of municipalities supported to comply with MSA Regulations on the appointment of senior managers (Linked to MTSF 2019 – 2024, Priority 1)",Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",0,8,10,14,11,3,10,10,31,35,31,"Magareng, JTG, ZFM, Hantam municipalities were counted twice",,,"Currently municipalities do not appointment senior managers to address the vacancy rate that is at 56%.  Furthermore, there are fixed term contracts of senior managers which is about to expire from end of July 2024. These vacancies will add to the 56% vacancy rate thus, additional work are done to ensure the vacancy rate is addressed adequately.   ",None,Target for the quarter exceeded and reasons provided.,"Currently the vacancy rate in the province is 51%  of which the fixed term contract contribute to the high vacancy rate. The unit had to engage with municipalities on the 
vacancies to address the acting beyond six months ",None,Performance for both quarter 1 and quarter 2 has been exceeded.  YTD performance for the indicator is at 220%. ,"In relation to Pixley, Umsobomvu  currently has one vacancy which it is in the process of filling up. The issue regarding that vacancy was attended to last quarter. The same applies to Thembelihle.
Renosterberg was assisted telephonically by the the Chief Director / Director.
Siyancuma, Pixley ka Seme, Siyathemba currently do not have any vacancies. Emthanjeni is non-responsive to communication efforts in an attempt to assist the municipality with the long outstanding vacancies of the Director Corporate Services and CFO.
The above has also been exacerbated by the short term that we are in due to December month been almost unusable as the Department and municipalities close down while the report is due at the beginning of December and not at the end.
",None,Whilst the quarter target has not been achieved the year to date performance is at 119%,,,Performance as at end of the 4th quarter is 112%. Annual target achieved,,,,,,,82
,Cooperative Governance,Northern Cape,Programme 2: Local Governance,Sub Programme 2.2:  Municipal Finance,Quarterly,"Number of municipalities guided to comply with the MPRA (Linked to MTSF 2019 – 2024, Priority 1) (B2B Pillar 4)",Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",5,5,8,8,8,8,5,5,26,26,26,,,,,,Target for the quarter achieved.,,,YTD performance is at 100%,,,Year to date performance is at 100%,"The service provider finalised and submitted the Certified Valuation Roll of Siyathemba Municipality on the 31st January 2025. An assessment was 
completed for 8 municipalities during the quarter that covered the following areas: 
•	Status of their By-laws
•	Promulgation of resolution levying rates
•	Validity of their valuation 
•	Updating of valuation roll through the annual supplementary to be conducted
Five municipalities had published their Section 49 notices for the implementation of their new valuation rolls at the start of their new financial year.
",None,Annual target achieved.  111% by the end of the 4th quarter. ,,,,,,,82
,Cooperative Governance,Northern Cape,Programme 2: Local Governance,Sub Programme 2.2:  Municipal Finance,Quarterly,"Number of municipalities supported to reduce Unauthorized, Irregular, Wasteful and Fruitless expenditure (Linked to MTSF 2019 – 2024, Priority 1)",Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",4,4,4,4,4,4,4,4,16,16,16,,,,,,Target for the quarter achieved.,,,YTD performance is at 100%,,,Year to date performance is at 100%,,,Annual target achieved.  100% by the end of the 4th quarter.,,,,,,,82
,Cooperative Governance,Northern Cape,Programme 2: Local Governance,Sub Programme 2.3:  Public Participation,Quarterly,Number of Municipalities monitored on the implementation of GBVF responsive programmes (Final M&E Plan for NSP on GBVF) (Pillar 2: Prevention and Restoration of Social Fabric),Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",5,5,8,8,8,8,5,5,26,26,26,,,,,,Target for the quarter achieved.,,,YTD performance is at 100%,,,Year to date performance is at 100%,,,Annual target achieved.  100% by the end of the 4th quarter.,,,,,,,82
,Cooperative Governance,Northern Cape,Programme 2: Local Governance,Sub Programme 2.3:  Public Participation,Quarterly,"Number of municipalities supported to maintain functional ward committees (MTSF 2019 – 2024, Priority 1)",Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",5,5,8,8,8,8,5,5,26,26,26,,,,,,Target for the quarter achieved.,,,YTD performance is at 100%,,,Year to date performance is at 100%,,,Annual target achieved.  100% by the end of the 4th quarter.,,,,,,,82
