Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Cluster,DesiredPerformance,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,UID
Transport,Transport,National,Programme 1: Administration,Budgeting and Compliance ,Quarterly,Unqualified audit report,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",Address 100% of implementation of action plans to achieve an unqualified audit report with no significant findings,0,,,,0,0,0,0,Development of action plans to address AGSA audit findings.,"Action plans to ad
dress AGSA audit findings were developed as targeted.",N/A,N/A,Implementation of the action plans to address AGSA audit findings,"The action plan to address AGSA audit findings was implemented as targeted.
•	15 out of the 16 audit findings were addressed; and
•	One finding is in dispute and has been escalated to the Audit Dispute Committee for resolution.
",N/A,N/A,Unqualified Audit Opinion ,-,,,,,265
Transport,Transport,National,Programme 1: Administration,Budgeting and Compliance ,Quarterly,Percentage implementation of action plans to address audit findings,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",,0,N/A,N/A,N/A,0,0,0,0,0,N/A,N/A,N/A,0,0,0,0,100% implementation of action plans to address audit findings,-,,,,,265
Transport,Transport,National,Programme 1: Administration,Budgeting and Compliance ,Quarterly,Percentage reduction of cases of fruitless and wasteful expenditure,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",,0,N/A,N/A,N/A,100% reduction of cases of wasteful and fruitless expenditure,81% reduction of Fruitless and Wasteful expenditure was achieved during the period under review,Non-compliance to prescripts and policies on addressing cancellation of bookings.,Reviewing the Loss Control Policy and to strengthen internal control measures by raising awareness through circulars.,0,N/A,N/A,N/A," 0
",0,0,0,100% reduction of cases of wasteful and fruitless expenditure,-,,,,,265
Transport,Transport,National,Programme 1: Administration,Budgeting and Compliance ,Quarterly,Percentage reduction of cases of irregular expenditure,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",,0,N/A,N/A,N/A,75% reduction of cases of irregular expenditure,"
100 % reduction of new cases of irregular expenditure as there were no new cases of irregular expenditure during the period","•	Irregular Expenditure Committee is effective to monitor cases of irregular expenditures. 

•	Probity audits are conducted.

•	Implementation of policies and procedures
",N/A,0,N/A,N/A,N/A, 0,0,0,0,75% reduction of cases of irregular expenditure,-,,,,,265
Transport,Transport,National,Programme 1: Administration,Budgeting and Compliance ,Quarterly,Percentage reduction of cases of unauthorised expenditure,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",,0,N/A,N/A,N/A,100% reduction of cases of unauthorised expenditure,"100% reduction of new cases of unauthorized expenditure. 

No new cases were incurred during the period under review.
",N/A,N/A,0,N/A,N/A,N/A,0,0,0,0,100% reduction of cases of unauthorized expenditure ,-,,,,,265
Transport,Transport,National,Programme 1: Administration,Chief Audit Executive (CAE),Quarterly,Percentage resolution of reported incidents of corruption,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",,0,N/A,N/A,N/A,95% resolution of reported incidents of corruption developed,97% resolution of reported incidents of corruption.,"
The over achievement was resultant of the outsourced investigations conducted.",N/A,"100% investigation of all reported allegations of fraud and corruption, within 30 days",100% of all reported allegations of fraud and corruption received were investigated within 30 days.,N/A,N/A,"100% investigation of all reported allegations of fraud and corruption, within 30 days",100% investigation of all reported allegations of fraud and corruption were conducted within 30 days as targeted.,N/A,N/A,95% resolution of reported incidents of corruption,-,,,,,265
Transport,Transport,National,Programme 1: Administration,Communications,Quarterly,Percentage implementation of the stakeholder plan,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",,0,N/A,N/A,N/A,0,0,0,0,0,N/A,N/A,N/A,100% implementation of the stakeholder plan,"•	The stakeholder plan was not implemented. 

•	All Branches were consulted for the completion of their stakeholder relations management plan towards the Department’s Stakeholder Management Framework 2024 -2029. 
","Consultations with management on the Stakeholder Framework are still underway.

",The Framework will be finalised in the 2025/26 financial year.,100% implementation of the stakeholder plan,-,,,,,265
Transport,Transport,National,Programme 1: Administration,Director-General (DG) Administration,Quarterly,Percentage responses to Parliamentary questions ,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",,0,N/A,N/A,N/A,100% responses to Parliamentary questions,"
100% of Parliamentary questions were responded to as targeted.",N/A,N/A,0,N/A,N/A,N/A,100% responses to Parliamentary questions,100% responses to Parliamentary questions were submitted as targeted.,N/A,N/A,100% responses to Parliamentary questions,-,,,,,265
Transport,Transport,National,Programme 1: Administration,Financial Administration and Supply Chain Management,Quarterly,100% compliance to 30 days payment of valid invoices ,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",,0,N/A,N/A,N/A,100% compliance to valid invoices paid within 30 days,80% compliance,"•	863 Payments were late, due to the unavailability of the delegated official to sign-off on the invoices/ payment advice, prior to submitting it to Finance.

•	54 invoices were late, due to the high volume of invoices received in the Travel Office.

•	24 invoices were processed late, due to the unavailability of BAS.
","•	Staff in the department were sensitised on the importance of submitting invoices as quick as possible.

•	All late payments must be accompanied by a motivational letter with reasons for the late payment, approved by the relevant DDG
",0,N/A,N/A,N/A,100% compliance to valid invoices paid within 30 days,"94% compliance to 30-day payment of valid invoices was recorded during the period under review.

A total of 4,517 invoices were processed, of which two hundred and sixty-two (262) invoices were paid late as follows:

•Two hundred and seven (207) in January 2025.
•Fifty-three (53) in February 2025; and 
•Two (2) in March 2025.

","•201 invoices were processed late due to the unavailability of the delegated official to sign-off on the invoices. 

•61 invoices were late, due to internal processes.
","•	Consequence management is implemented.

•	All late payments are accompanied by a motivational letter with reasons for the late payment and approved by the respective DDG.
",100% compliance to valid invoices paid within 30 days,-,,,,,265
Transport,Transport,National,Programme 1: Administration,Financial Administration and Supply Chain Management,Quarterly,Percentage implementation of PPPFA ,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",,0,N/A,N/A,N/A,100% implementation of PPPFA,100% compliance to PPPFA was implemented as targeted.,N/A,N/A,0,N/A,N/A,N/A," Annual report on preference points allocation in procurement, to promote 40% Public Procurement spent on women-owned businesses developed","The annual report on preference points allocation in procurement, to promote 40% of Public Procurement spent on women-owned businesses submitted was developed as targeted.",N/A,N/A,100% implementation of PPPFA,-,,,,,265
Transport,Transport,National,Programme 1: Administration,Human Resource Management and Development,Quarterly,Departmental organisational structure reviewed,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",Obtain approval to conduct organizational review,0,,,,0,0,0,0,Request for approval to conduct an organizational review submitted to the Minister,The request to conduct an organisational review was submitted and approved by the Minister.,N/A,N/A,Request for approval to review the organisational structure submitted to DPSA,The request for approval to review the organisational structure was submitted to DPSA as targeted.,N/A,N/A,Request for approval to review the organisational structure submitted to DPSA,-,,,,,265
Transport,Transport,National,Programme 1: Administration,Human Resource Management and Development,Quarterly,Number of vacant positions filled,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,2.7,14.5,DPSA directive on the filling of vacancies and budgetary constraints.,Submit a motivation to DPSA and fast track the filling of vacancies.,2.7,"
The vacancy rate increased from 14.54% to 14.61%.",The high number of staff turnover and internal promotions led to an increase in the vacancy rate.,N/A,0,N/A,N/A,N/A,0,0,0,0,10,0,,,,,265
Transport,Transport,National,Programme 1: Administration,Human Resource Management and Development,Quarterly,Ethics committees established and operationalised,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",,0,N/A,N/A,N/A,Bi-Annual Report on the status and operations of ethics committees in the Department,"
The bi-annual report on the status and operations of the ethics committees in the Department was developed as targeted.",N/A,N/A,,N/A,N/A,N/A,Annual report on the status and operations of ethics committees in the Department,The annual report on the status and operations of ethics committees in the Department was developed as targeted.,N/A,N/A,Operations of departmental ethics committees monitored,-,,,,,265
Transport,Transport,National,Programme 1: Administration,Human Resource Management and Development,Quarterly,Percentage of employees trained in line with the Workplace Skills Plan,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",,5 %,11.8 %,"The increased delivery resulted from the following:

•	Targeted marketing;
•	Employer recommended programmes; and 
•	Awareness workshops conducted for staff.
",Not applicable,15 %,"
23.9% of DoT employees provided with skills-based training in line with departmental Workplace Skills Plan. %","There was an increase in the number of employees attending training programmes. 

The Directorate also conducted ongoing awareness sessions which further assisted in raising the desire to attend training for career growth.
",N/A,0 %,N/A %,N/A,N/A,0 %,0 %,0,0,30 %,0 %,,,,,265
Transport,Transport,National,Programme 1: Administration,Human Resource Management and Development,Quarterly,Number of bursaries managed,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",,"-
(First semester advertisement of bursaries issued)",183 Bursaries were managed by DoT.,"The quarterly monitoring report on the implementation of internship programme was developed as targeted.

Demographics of interns placed is as follows:
Female		= 26
Male		= 18
Disability	= 01
Youth		= 42

Race
African		= 44
White		= 00
Coloured 	= 00
Indian		= 00
Total		= 44

",N/A,Bi-Annual Report on the status of existing bursaries.,"
The bi-annual report on the status of existing bursaries was developed as targeted.

Department was managing 179 bursaries at the end of quarter 2. The total includes the 14 officials who have completed their respective qualifications.
",N/A,N/A,0,N/A,N/A,N/A,0,0,0,0,160 bursaries managed,-,,,,,265
Transport,Transport,National,Programme 1: Administration,Human Resource Management and Development,Quarterly,Number of interns employed and placed,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,Quarterly Monitoring Report on the implementation of Internship Programme available ,"The quarterly monitoring report on the implementation of internship programme was developed as targeted.

Demographics of interns placed is as follows:
Female		= 26
Male		= 18
Disability	= 01
Youth		= 42

Race
African		= 44
White		= 00
Coloured 	= 00
Indian		= 00
Total		= 44


","N/A

",N/A,Quarterly Monitoring Report on the implementation of Internship Programme  available.,"
The quarterly monitoring report on the implementation of Internship Programme was developed as targeted.

Advertisement for 50 positions for the new Internship intake of 2025 – 2027 was disseminated through DPSA and the public media with a closing date of 06 September 2024.
",N/A,N/A,0,N/A,N/A,N/A,0,0,0,0,Annual (2024/25) Monitoring Report on the implementation of the internship programme developed,-,,,,,265
Transport,Transport,National,Programme 1: Administration,Human Resource Management and Development,Quarterly,Skills development  opportunities provided for youth in various transport sub-sectors monitored,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,0,N/A,N/A,N/A,0,0,0,0,0,N/A,N/A,N/A,0,0,0,0,Annual (2024/25) Monitoring report on the Sector Skills development plan and various opportunities in various transport sub-sectors developed.,-,,,,,265
Transport,Transport,National,Programme 1: Administration,Public Entity Oversight (PEO),Quarterly,"Reviewed shareholders’ compacts, Memoranda of Incorporation and Performance Agreements signed",Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",Performance will be monitored quarterly and annually and higher performance is desired (80%),0,,,,0,0,0,0,"Revised 2024/25 Shareholder Compacts, memoranda of incorporation and performance agreements submitted to the Minister for approval","•Revised 2024/25 shareholder compacts and performance agreements were submitted to the Minister. 

•Memoranda of incorporation were not submitted to the Minister for approval.
",Further consultation still required with key stakeholders on the revision of the Memoranda of Incorporation.,Fast track consultation with key stakeholders.,"Revised 2024/25 Shareholder compacts, memoranda of incorporation and performance agreements of entities signed","•The memoranda of incorporation were revised as targeted.

•The Revised 2024/25 Shareholder compacts, and performance agreements of entities were finalised and signed as targeted.
",N/A,N/A,"Revised 2024/25 Shareholder compacts, memoranda of incorporation and performance agreements of entities signed",-,,,,,265
Transport,Transport,National,Programme 1: Administration,Public Entity Oversight (PEO),Quarterly,PRASA Rail Safety Occurrences monitored,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",,Final Annual (2023/24) Monitoring Report on the number of reported PRASA rail safety occurrences developed,"The
final annual (2023/24) monitoring report on the number of reported PRASA rail safety occurrences was not developed as targeted.",N/A,N/A,0,0,0,0,0,N/A,N/A,N/A,0,0,0,0,Annual (2024/25) Monitoring Report on the number of reported PRASA rail safety occurrences developed,-,,,,,265
Transport,Transport,National,Programme 1: Administration,Public Entity Oversight (PEO),Quarterly,PRASA Rail Security Occurrences monitored,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",,"Final 
Annual (2023/24) Monitoring Report on the number of reported PRASA rail security occurrences developed","The final annual (2023/24) monitoring report on the number of reported PRASA rail security occurrences was not developed as 
targeted.",N/A,N/A,0,0,0,0,0,N/A,N/A,N/A,0,0,0,0,Annual (2024/25) Monitoring Report on the number of reported PRASA rail security occurrences developed,-,,,,,265
