Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,UID
,"Agriculture, Land Reform and Rural Development",National,Programme  1: Administration ,Financial Management Services,Annually,1.1.1 Unqualified audit opinion,Non-Standardized,Not  Applicable,"Responsive, accountable, effective and efficient local government",Governance and Administration cluster,,,,,,,,,Unqualified audit opinion on 2021/22 annual financial statements ,,Qualified audit opinion on 2021/2022 annual financial statements was obtained, The qualified audit opinion was because of inadequate audit evidence as proof of delivery of the goods to the intended beneficiaries of the Presidential Employment Stimulus Initiative,Implementation  action plans to address the root causes of the internal control deficiencies identified in a timely manner,"Qualified
audit
opinion on
2021/2022
annual
financial
statements
was
obtained",,,,,,,,,115
,"Agriculture, Land Reform and Rural Development",National,Programme 1: Administration,Financial Management Services,Quarterly,1.2.1 Percentage of valid invoices paid within 30 days upon receipt by the department,Non-Standardized,Not  Applicable,"An efficient, effective and development-oriented public service",Governance and Administration cluster,100 %,97 %,100 %,99% %,100 %,96% %,100 %,94% %,100 %,97 %,94,Errors in invoices   delayed  payments.,,94,"Delays is submission of invoices for processing.
","Weekly monitoring of payments at hand. Circular 28 of 2022: Effecting payments within thirty (30) days from receipt of an invoice as required in terms of TR 8.2.3 was issued through Internal Communications on 25 March 2022 to sensitize the importance of invoices being within 30 days. 
","
Incomplete documents","
Nodal point established in all offices to ensure that invoices are recorded and monitored.
","Delayed submission of invoices to Finance
Client offices delayed in returning invoices for processing
Disputed invoices
","Awareness on payment of invoices within 30 days will be republished on Departments' ICM
","Invoices were delayed in client offices. 
Invoice had an incorrect billing as insurance was charged 
Proof of three quotations not attached 
Payments were awaiting approval by manager. 
LOGIS Re-issue 
Vodacom sent invoices using different email address 	
","Awareness on payment of invoices within 30 days will be republished on Departments' ICM.
",115
,"Agriculture, Land Reform and Rural Development",National,"Programme 2: Agricultural Production, Biosecurity and Natural Resources Management",Animal Production and Health,Annually,3.2.1 Percentage of eligible veterinarians employed under the Compulsory Community Service Programme,Non-Standardized,Not  Applicable,Decent employment through inclusive growth,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,90 eligible veterinarians employed under the CCS Programme,,93.4%,"Additional resources that became available made it possible to employ more than anticipated, hence a 100% achievement
",N/A,93.4%,,,,,,,,,115
,"Agriculture, Land Reform and Rural Development",National,"Programme 2: Agricultural Production, Biosecurity and Natural Resources Management",Animal Production and Health,Quarterly,3.1.2 Number of animal disease risk surveillance conducted,Non-Standardized,Not  Applicable,"Vibrant, equitable, sustainable rural communities contributing towards food security for all","The Social Protection, Community and Human Development cluster","3 animal disease risk surveillances conducted (CBPP, PPR and FMD)",":  Reports on 3 animal disease risk surveillances conducted were compiled.

","3 animal disease risk surveillances conducted (CBPP, PPR and FMD)","3 animal disease risk surveillances have been conducted 
","3 animal disease risk surveillances conducted (CBPP, PPR and FMD)","3 animal disease risk surveillances have been conducted 
","3 animal disease risk surveillances conducted (CBPP, PPR and FMD)","animal disease risk surveillances have been conducted 
","3 animal disease risk surveillances conducted (CBPP, PPR and FMD)",-,"3 animal disease risk surveillances have been conducted (CBPP, PPR and FMD)",N/A,N/A,"3 animal
disease risk
surveillance
s have
been
conducted
(CBPP;
PPR; FMD)",N/A,N/A,N/A,N/A,N/A,N/A,N/a,N/a,115
,"Agriculture, Land Reform and Rural Development",National,"Programme 2: Agricultural Production, Biosecurity and Natural Resources Management",Inspection and Quarantine Services,Quarterly,2.4.1 Number of regulations approved by the Minister ,Non-Standardized,Not  Applicable,"An efficient, effective and development-oriented public service",Governance and Administration cluster,Consultations on the draft Agricultural Remedies Regulation,"Consultation on the draft Agricultural Remedies regulation were conducted with different stakeholders including the departmental legal service

",Final draft-Agricultural Remedies Regulation developed,"Final draft Agricultural Remedies Regulation is not developed.The process of compiling the Socio-Economic Impact Assessment System Report is in progress. 

",1 (Agricultural Remedies Regulation),"Feedback on the SEIAS report has been received from the DPME 
",-,-,1 (Agricultural Remedies Regulation),-,1 Agricultural Remedies Regulations developed was not completed and at a draft stage at the end of period under review,The SEIAS process was still not finalised by the end of 2022/23 financial year to allow for further processing,N/A,"1
Agricultural
remedies
regulation
was
developed
and was at
a draft
stage at the
end of
period
under
review",N/A,N/A,The SEIAS(Socio-Economic Impact Assessment System) has not yet been concluded and took longer than anticipated.  The SEIAS report is a requirement towards development of regulation,The process will be fast tracked for SEIAS certificate to be obtained to get the target on track so that the annual target can still be achieved,"The SEIAS process is  still in progress (1 (Agricultural Remedies Regulation) to inform the final regulation


","SEIAS issues are being considered to be  addressed to in the final regulation before being taken through for approval.

",-,-,115
,"Agriculture, Land Reform and Rural Development",National,"Programme 2: Agricultural Production, Biosecurity and Natural Resources Management",Inspection and Quarantine Services,Quarterly,3.3.1  Number of provincial agricultural biosecurity coordinating structures established,Non-Standardized,Not  Applicable,"An efficient, effective and development-oriented public service",Governance and Administration cluster,-,-,Final draft ToRs developed,"Final Draft TOR’s have been developed
",Final draft ToRs submitted to MINTECH for approval,"Final draft ToRs were  submitted to MINTECH for approval 
",9 provincial agricultural biosecurity coordinating structures established,"9 provincial agricultural biosecurity coordinating structures were established
",9 provincial agricultural biosecurity coordinating structures established,-,9 provincial agricultural biosecurity coordinating structures were established,N/A,N/A,"9 provincial
agricultural
biosecurity
coordinatin
g structures
were
established",N/A,N/A,N/A,N/A,N/A,N/A,N/a,N/a,115
,"Agriculture, Land Reform and Rural Development",National,"Programme 2: Agricultural Production, Biosecurity and Natural Resources Management",Inspection and Quarantine Services,Quarterly,3.4.1 Percentage of export protocols for phytosanitary requirements implemented,Non-Standardized,Not  Applicable,"An efficient, competitive and responsive economic infrastructure network","International Cooperation, Trade and Security cluster",98% export protocols for phytosanitary requirements implemented,"99.96% of export protocols for phytosanitary requirements were implemented.

",98% export protocols for phytosanitary requirements implemented,"100% of export protocols for phytosanitary requirements were implemented.
",98% export protocols for phytosanitary requirements implemented,"100% of export protocols for phytosanitary requirements were implemented
",98% export protocols for phytosanitary requirements implemented,"100% export protocols for phytosanitary requirements implemented
",98% export protocols for phytosanitary requirements implemented,-,99.95% export protocols for phytosanitary requirements were implemented,The targeted phytosanitary requirements were implemented within shorter turn-around time of 2 days and this led to extra time to do bit more than initially planned,N/A,"99,95%
export
protocols
for
phytosanita
ry
requirement
s
implemente
d","DIS was able to certify 1.96% more than the set target of 98%. The officials were able to process the applications quicker and faster ahead of the turn around time of 2 days.

",N/A,"The client submitted all their consignment within the required timelines. 
",N/A,"The 2% variance on the export protocols was due to a quicker turn around time for processing of phytosanitary certificate which led to more being processed.
",N/A,"The certifications were ahead of the 2 days turnaround time of the phytosanitary certificates process
",N/a,115
,"Agriculture, Land Reform and Rural Development",National,"Programme 2: Agricultural Production, Biosecurity and Natural Resources Management",Natural Resources and Disaster Management,Quarterly,2.3.1 Number of provinces with delineated protected agricultural areas (PAAs),Non-Standardized,Not  Applicable,"Vibrant, equitable, sustainable rural communities contributing towards food security for all","The Social Protection, Community and Human Development cluster",Spatial delineation - FS,"Report on spatial delineation including the map was compiled.

","Spatial delineation-EC and NC

Consultation-FS","Spatial delineation on EC and NC has been done.
Consultation with FS was also done.
","Spatial delineation-WC

Consultation-EC and NC","Spatial delineation on WC and consultations with EC and NC were done

","Consultations-WC

4 provinces with delineated PAAs (FS,EC,NC and WC)","Consultations with  WC and  4 provinces with delineation  PAAs (FS, EC,NC and WC) were done
","4 provinces with delineated protected agricultural areas (FS, EC, NC and WC)",-,"4 provinces (FS, EC, NC, and WC) with delineated protected agricultural areas (PAAs) were completed",N/A,N/A,"4 provinces
with
delineated
PAAs were
completed
(FS, EC,
NC, and
WC)",N/A,N/A,N/A,N/A,N/A,N/A,N/a,N/a,115
,"Agriculture, Land Reform and Rural Development",National,"Programme 2: Agricultural Production, Biosecurity and Natural Resources Management",Natural Resources and Disaster Management,Quarterly,3.5.1 Number of adaptation strategies developed under the Climate Change Crop-Suitability Research Programme,Non-Standardized,Not  Applicable,Protect and enhance our environmental assets and natural resources,"The Social Protection, Community and Human Development cluster",0,0,2,"2 adaptation strategies were developed under the Climate Change Crop-Suitability Research.
",2,"2 (KZN and FS) adaptation strategies were developed under the Climate Change Crop-Suitability Research
",0,-,4,0,4,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,-,-,115
,"Agriculture, Land Reform and Rural Development",National,"Programme 2: Agricultural Production, Biosecurity and Natural Resources Management",Natural Resources and Disaster Management,Quarterly,3.5.2 Number of  subsistence producers supported with integrated bioenergy (biogas) technology ,Non-Standardized,Not  Applicable,"Vibrant, equitable, sustainable rural communities contributing towards food security for all","The Social Protection, Community and Human Development cluster",4,4,5,"5 Subsistence producers were supported with integrated bioenergy(biogas) technology 
",5,"5 Subsistence producers were supported with integrated bioenergy (biogas) technology 
",4,4,18,4,18,N/A,N/A,18,N/A,N/A,N/A,N/A,N/A,N/A,N/a,N/a,115
