Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,National_Q1,National_Q3,National_Q2,DesiredPerformance,UID
Health,Health,Free State,Programme 1: Administration,Sub-Programme: Management,Annually,Audit opinion of FS Department of Health,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",,,,,,,Unqualified  opinion,Audit is still in progress,Unqualified  opinion,Audit is still in progress,,,,,,,,,,,,,,,,,,,,,256
Health,Health,Free State,Programme 1: Administration,Sub-Programme: Management,Annually,Number of business processes automated ,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",,,,,,,4,4,4,4,,Target achieved.,,,,,,,,,,,,,,,,,,,256
Health,Health,Free State,Programme 1: Administration,Sub-Programme: Management,Annually,Number of district hospitals implementing HMS2,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",,,,,,,16,16,16,16,,Target achieved.,,,,,,,,,,,,,,,,,,,256
Health,Health,Free State,Programme 1: Administration,Sub-Programme: Management,Annually,Number of facilities with security QIPs implemented,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",,,,,,,60,0,60,0,,Target not achieved,,,,,,,,,,,,,,,,,,,256
Health,Health,Free State,Programme 1: Administration,Sub-Programme: Management,Annually,Number of research projects recommended for implementation in the department by PHRC,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",,,,,,,3,3,3,3,,Target achieved.,,,,,,,,,,,,,,,,,,,256
Health,Health,Free State,Programme 1: Administration,Sub-Programme: Management,Annually,Percentage of internal audit recommendations implemented,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",,,,,,,100 %,17 %,100 %,17 %,,"Target not achieved.
Shortage of resources.
Insufficient monitoring of audit action plans.","•	Reprioritization of available resources.
•	Regular follow up by management.
•	Conduct regular follow-up audits. ",,,,,,,,,,,,,,,,,,256
Health,Health,Free State,Programme 1: Administration,Sub-Programme: Management,Annually,"Percentage of most procured goods, services and works awarded to women-owned businesses",Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",,,,,,,40 %,,40 %,,,,,,,,,,,,,,,,,,,,,,256
Health,Health,Free State,Programme 1: Administration,Sub-Programme: Management,Quarterly,"Number of employees trained on code of conduct, grievance procedure and disciplinary code and procedures",Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",750,691,750,1452,750,"

2221",750,1 131,3000,5495,,,,,"Target not achieved. 
•	Practitioners were on leave for part of the quarter, taking their previous cycle’s leave days before they expire. 
",There is already a training schedule drafted for the remaining period of the financial year.,,"Target achieved.
The deviation is due to the previous quarters impact from employees and pensioners who were on leave. 
As a result, the performance was lower than expected, contributing to the deviation in meeting the target.
","conduct additional training on code of conduct, grievance procedure, disciplinary code and procedures virtually through  i-Cam and Microsoft teams.",What is the output achieved?,"Target not achieved. 
Officials were on vacation leave as it was festive season and cost containment measures 
","Training schedule will be populated and confirm availability of officials. 
",,Target achieved.,,,,,,,256
Health,Health,Free State,Programme 1: Administration,Sub-Programme: Management,Quarterly,"Number of employees trained on code of conduct, grievance procedure and disciplinary code and procedures",Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",750,,1500,"

1452",2250,"

2221",3000,3352,3000,7025,,,,,,,,"Target not achieved. 
•	The deviation is due to the previous quarter’s impact from employees and practitioners who were on leave. 
•	As a result. The performance was lower than expected, contributing to the deviation in meeting the initial target. 
","•	Incorporate i-Cam training.
•	Conduct additional training on code of conduct, grievance procedure, disciplinary code and procedures virtually i-Cam and Microsoft Teams 
",,"Target not achieved. 
Officials were on vacation leave as it was festive season.

Cost containment measures also affected progress.
",Training schedule will be populated and confirm availability of officials. ,,Target achieved,"Progress on implementation of Q3 action plan:
Training schedule was populated and submitted to senior managers. 
",,,,,,256
Health,Health,Free State,Programme 1: Administration,Sub-Programme: Management,Quarterly,Number of public health facilities security audited,Non-Standardized,Min,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",15,0,15,15,15,"
30",15,0,60,0,,,,,"Target not achieved. 
•	There was lack of communication and coordination for the conducting security audits in facilities.
•	10 visits were done in the facility to review security measures implemented.  
 ",Conclude security audits scheduled for the remaining quarters of the financial year.  ,,Target achieved.,"Q1 Progress on action plan
•	The security audits schedule was compiled, and its implementation has commenced. 
",,Target achieved. ,"Q2 Progress on action plan:
Security audit schedule implemented and the Q1 catch-up audits conducted. 
",,"Target not achieved.

Challenges with the provincial security management due to staff shortage and budgetary constraints.",,What is the reason for none achievement of the target?,,,,,256
