Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,UID
,Mineral Resources and Energy,National,Programme 1: Administration,Programme 1: Administration,Quarterly,% Reduction of irregular expenditure compared to prior year,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",No incidences of irregular expenditure and reporting of identified cases requiring investigation,Achieved,N/A,N/A,No incidences of irregular expenditure and reporting of identified cases requiring investigation,"Achieved 
",None ,None,"No incidences of irregular expenditure and reporting of identified cases requiring investigation


No new incidents of irregular expenditure, reporting of identified cases requiring investigation per annum (Revised)",Achieved,N/A,N/A,"70% reduction of irregular expenditure compared to prior year


No new incidents of irregular expenditure, reporting of identified cases requiring investigation per annum (Revised).",Achieved,N/A,N/A,70% reduction of irregular expenditure compared to prior year,-,Achieved. No new cases of irregular expenditure identified for the year under review. ,N/A,N/A,"Achieved
No new cases of irregular expenditure identified for the year under review.",207
,Mineral Resources and Energy,National,Programme 1: Administration,Programme 1: Administration,Quarterly,% Reduction of Wasteful and fruitless expenditure compared to prior year,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster","No incidents of wasteful and fruitless expenditure, reporting of identified cases requiring investigation",Achieved,N/A,N/A,"No incidents of wasteful and fruitless expenditure, reporting of identified cases requiring investigation","Achieved 
",None ,None ,"No incidents of wasteful and fruitless expenditure, reporting of identified cases requiring investigation



No new incidents of fruitless and wasteful expenditure, reporting of identified cases requiring investigation per annum (Revised)",Not achieved. 1 new incident was reported in November 2023.,A payment was made to Solar Primeg for the storage of Solar Water Heater units in relation to the SWH  project.,Payments for SWH storage are in relation to contracts concluded in prior years.,"70% Reduction of Wasteful and fruitless expenditure compared to prior year


No new incidents of fruitless and wasteful expenditure, reporting of identified cases requiring investigation per annum (Revised)",Achieved,N/A,N/A,70% Reduction of Wasteful and fruitless expenditure compared to prior year,-,"Achieved:
100% of the fruitless and wasteful expenditure incurred in the year under review stems from historical transactions concluded in previous years.
",N/A,N/A,"Achieved
100% of the fruitless and wasteful expenditure incurred in the year under review stems from historical transactions concluded in previous years.

",207
,Mineral Resources and Energy,National,Programme 1: Administration,Programme 1: Administration,Quarterly,% Resolution of reported incidents of corruption,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",Implement the integrated Anti-fraud and Corruption Strategy and policy,Achieved,N/A,N/A,Implement the integrated Anti-fraud and Corruption Strategy and policy,"Achieved:               No fraud and corruption cases reported in Q2.                   
",None ,None ,Implement the integrated Anti-fraud and Corruption Strategy and policy,Achieved:               No fraud and corruption cases reported in Q3.                   ,N/A,N/A,95% resolution of reported incidents of corruption,"Achieved 

No incidents and alleged cases of corruption reported in Q4.
",N/A,N/A,95% resolution of reported incidents of corruption,-,Achieved: No reported incidents of corruption,N/A,N/A,"Achieved: No reported incidents of corruption
",207
,Mineral Resources and Energy,National,Programme 1: Administration,Programme 1: Administration,Quarterly,New Mining cadastre system procured,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,"Appointment and contracting the service provider.

Service Provider assess the DMRE Environment
",Not Achieved,"SITA still finalizing their audit processes.
","Intensify follow up with SITA to speed up the process to ensure appointment and contracting the service provider before end of Q4
","Service provider concludes assessment of the DMRE Environment

Service Provider start with the Design of the mining licensing system.
",Not Achieved,The recommended bidder was only communicated in Q4 by SITA and the milestones could not be implemented until such time an SLA is signed with the service provider. ,The process of signing the SLA is anticipated to be concluded in April 2024.,New Mining cadastre system procured,-,"Achieved
",N/A,N/A,Achieved,207
,Mineral Resources and Energy,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Number of approved Schedule 3A SOE Annual Performance Plans tabled in Parliament,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",N/A,N/A,N/A,N/A,,None ,None ,None ,,N/A,N/A,N/A,7 Approved SOE Annual Performance Plans  tabled in Parliament,Achieved: 7 Approved SOEs Annual Performance Plan tabled in Parliament ,N/A,N/A,7 Approved Schedule 3A SOE’s Annual Performance Plans tabled in Parliament  ,-,Achieved,N/A,N/A,Achieved,207
,Mineral Resources and Energy,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Number of approved Shareholder compacts and Corporate Plans of Schedule 2 SOEs,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",N/A,N/A,N/A,N/A,N/A,None ,None ,None ,N/A,N/A,N/A,N/A,"4 approved Shareholder compacts and Corporate Plans of Schedule
2 SOEs 
",Achieved: 4 approved Shareholder Compacts and Corporate Plans of Schedule 2 SOEs,N/A,N/A,"4 approved Shareholder compacts and Corporate Plans of Schedule
2 SOEs 
",-,Achieved,N/A,N/A,Achieved,207
,Mineral Resources and Energy,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Number of SOEs Annual Reports tabled in Parliament,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",N/A,N/A,N/A,N/A,11 SOEs Annual Reports tabled in Parliament,"Not achieved
","10 SOE Annual Reports were tabled except for CEF Annual Report. 
","CEF AR will be tabled when its audit is finalized by the 20 October 2023. 
",N/A,N/A,N/A,N/A,N/A,N/A,,,11 SOEs Annual Reports tabled in Parliament,-,Achieved,N/A,N/A,Achieved,207
,Mineral Resources and Energy,National,Programme 1: Administration,Programme 1: Administration,Quarterly,"Number of SOEs Quarterly performance Reports reviewed, and Ministerial submissions produced ",Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster","11 SOEs Quarterly performance Reports reviewed, and Ministerial submissions produce



















ed  ",Not achieved:  Nine (9) Quarterly reports were submitted.,MHSC and SANEDI Q4 performance reports were not submitted and extension for late for submission was granted by the Minister. ,MHSC and SANEDI reports will be reviewed and submitted in the Q2.,"11 SOEs Quarterly performance Reports reviewed, and Ministerial submissions produced  ","Achieved: All 11 quarterly performance report were received, reviewed and Ministerial submission were prepared and send to the Minister for noting and approval.
",None ,None ,"11 SOEs Quarterly performance Reports reviewed, and Ministerial submissions produced  ","Achieved: All 11 quarterly performance report were received, reviewed and Ministerial submission were prepared and submitted to the DG/Minister for noting and approval.",N/A,N/A,"11 SOEs Quarterly performance Reports reviewed, and Ministerial submissions produced  ",Achieved: 11 SOEs Quarterly Performance Reports reviewed and Ministerial submission produced for approval,N/A,N/A,"44 SOEs Quarterly performance Reports reviewed, and Ministerial submissions produced  ",-,Achieved,N/A,N/A,Achieved,207
,Mineral Resources and Energy,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage of approved invoices from service providers paid within 30 days of receipt,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",100% approved invoices from service providers paid within 30 days of receipt,Achieved,N/A,N/A,100% approved invoices from service vice providers paid within 30 days of receipt,"Achieved 
",None ,None ,100% approved invoices from service vice providers paid within 30 days of receipt,"349 (100%) approved invoices from service providers were received and paid within 30 days of receipt. 
",N/A,N/A,100% approved invoices from service providers paid within 30 days of receipt,Achieved,N/A,N/A,100% approved invoices from service providers paid within 30 days of receipt,-,Achieved,N/A,N/A,Achieved,207
,Mineral Resources and Energy,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Unqualified audit opinion,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",N/A,N/A,N/A,N/A,Unqualified audit opinion ,"Achieved 
",None ,None ,N/A,N/A,N/A,N/A,N/A,N/A,,,Unqualified audit opinion ,-,"To be updated  upon completion of the audit process on 31 July 2024
",N/A,N/A,Achieved,207
