Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,OTP_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q2,OTP_Q3,National_Q1,National_Q2,National_Q3,National_Q4,UID
,Cooperative Governance,Limpopo,Programme 1.	Administration,Sub Programme 1.1.	Office of the MEC,Annually,Default,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,Governance and Administration cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185
,Cooperative Governance,Limpopo,Programme 1.	Administration,Sub Programme 1.1.	Office of the MEC,Quarterly,Default,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,Governance and Administration cluster,,,,,,,,,Default ,,0,,,,,,,,,,,,,,,,,,,,185
,Cooperative Governance,Limpopo,Programme 1.	Administration,Sub Programme 1.2.	Corporate Services,Annually,Default,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,Governance and Administration cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185
,Cooperative Governance,Limpopo,Programme 1.	Administration,Sub Programme 1.2.	Corporate Services,Quarterly,1.1.1.	Compliance report on Batho Pele principles in the provision of services,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",1. Transform the public service for effective and efficient service delivery (2019-2024),"Governance, State Capacity and Institutional Development cluster",1,1,1,1,1,1,1,1,Achieved ,4,4,,,,,None ,N/A,target met ,1,N/A,None,N/A,N/A,N/A,,,,,,,185
,Cooperative Governance,Limpopo,Programme 1.	Administration,Sub Programme 1.2.	Corporate Services,Quarterly,1.1.10.	Number of ICT Steering Committee meetings held,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",1. Transform the public service for effective and efficient service delivery (2019-2024),"Governance, State Capacity and Institutional Development cluster",1,1,1,1,1,0,1,1,Achieved ,4,3,,,,,None,N/A,target met ,N/A,N/A,The scheduled meeting did not quorate due to other departmental commitments. ,Meeting rescheduled for January 2025 ,N/A,N/A,,,,,,,185
,Cooperative Governance,Limpopo,Programme 1.	Administration,Sub Programme 1.2.	Corporate Services,Quarterly,1.1.11.	Number of ICT Disaster Recovery test conducted,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",1. Transform the public service for effective and efficient service delivery (2019-2024),"Governance, State Capacity and Institutional Development cluster",1,1,1,0,1,0,1,1,Achieved ,4,2,,,,,None,N/A,target met ,The Disaster Recovery (DR) Test was deferred due to the process of migrating to the new DR solution.,The test to be scheduled as soon as Office of the Premier (OTP) resolves the challenge at the DR site.,Office of the Premier deferred the test due to transition to new Provincial DR solution.,The DR test to be conducted in the fourth quarter.,N/A,N/A,,,,,,,185
,Cooperative Governance,Limpopo,Programme 1.	Administration,Sub Programme 1.2.	Corporate Services,Quarterly,1.1.12.	Percentage of PAIA requests administered within statutory regulations,Non-Standardized,Average,"Priority 1: A Capable, Ethical and Developmental State",1. Transform the public service for effective and efficient service delivery (2019-2024),"Governance, State Capacity and Institutional Development cluster",100 %,40 %,100 %,60 %,100 %,0 %,100 %,22 %,Not achieved ,100 %,"30,5 %",,,,,Delays in finalising the response due to poor records keeping and capacity challenges.,Strengthen co-ordination between Records Management and Traditional Affairs,target not met ,The delays in records retrieval due to poor record keeping and lack of capacity within Records Management. ,Regular meetings are held to improve record retrieval turnaround time and improve records keeping at District Offices. Records Manager position to be filled in the third quarter.,PAIA request were not responded to in time due to unavailability of records and poor records management. ,Regular meetings are held with Traditional Affairs to improve record keeping and retrieval 0f historic records.,Delays in the identification and retrieval of old traditional council records and Commission reports,"Electronic Case Management Systems launched to manage
Traditional Affairs enquiries and disputes
",,,,,,,185
,Cooperative Governance,Limpopo,Programme 1.	Administration,Sub Programme 1.2.	Corporate Services,Quarterly,1.1.13.	Percentage of litigation cases attended,Non-Standardized,Average,"Priority 1: A Capable, Ethical and Developmental State",1. Transform the public service for effective and efficient service delivery (2019-2024),"Governance, State Capacity and Institutional Development cluster",100 %,100 %,100 %,100 %,100 %,100 %,100 %,100 %,Achieved ,100 %,100 %,,,,,None ,N/A,target met ,N/A,N/A,None,N/A,N/A,N/A,,,,,,,185
,Cooperative Governance,Limpopo,Programme 1.	Administration,Sub Programme 1.2.	Corporate Services,Quarterly,1.1.2.	Percentage of service delivery cases resolved,Non-Standardized,Average,"Priority 1: A Capable, Ethical and Developmental State",1. Transform the public service for effective and efficient service delivery (2019-2024),"Governance, State Capacity and Institutional Development cluster",100 %,100 %,100 %,97 %,100 %,96 %,100 %,100 %,Achieved ,100 %,"98,25 %",,,,,None,N/A,target met ,Reported prioritised queries still require further investigations and engagements with the relevant stakeholders to assist the identified destitute with houses ,"Engage the relevant stakeholders i.e., the municipal housing officials, respective ward councillors and Project Management division to intervene and request that the identified destitute are prioritised once there is allocation of housing units for them to acquire proper houses.","Technical problems with the system (BMC), which did not enable officials to log in and resolve queries. ",System challenges reported to SITA ,N/A,N/A,,,,,,,185
,Cooperative Governance,Limpopo,Programme 1.	Administration,Sub Programme 1.2.	Corporate Services,Quarterly,1.1.3.	Number of employees appointed.,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",1. Transform the public service for effective and efficient service delivery (2019-2024),"Governance, State Capacity and Institutional Development cluster",15,18,25,4,17,20 ,0,0,Cumulative indicator ,57,42,,,,,Appointed interns.  55 posts were advertised in May and will be filled from second quarter,,target met ,Delays in filling positions due to capacity within HR,"55 posts still being captured. Shortlisting and interviews are being conducted, with only (3) appointment letters issued
Three (3) appointment letters issued
",Additional appointments of permanent employees from the previous quarter and 15 additional EPWP participants.  ,N/A,N/A,N/A,,,,,,,185
