Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,National_Q1,UID
Human Settlements,Human Settlements,National,1.1 PROGRAMME 1: ADMINISTRATION ,Sub Programme: Departmental Management,Quarterly,Percentage compliance with statutory prescripts,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",Governance and Administration cluster,100% compliance with statutory  prescripts,"60% compliance with statutory prescripts.

","Failure to provide requisite Draft Replies in accordance with the 10-Day Rule and delay in providing additional information to some of the Draft Replies. For instance, five Draft Replies were returned by the Ministry requiring additional information, however the responsible Manager despite several reminders, took longer than the prescribed time frame to provide the required information/amended Draft Reply.

Payments were made after 30 days due to insufficient internal controls.
","To continue to enforce the implementation of the approved Standard Operating Procedures for Parliamentary Questions in order to ensure compliance with the 10-Day Rule for submission of requisite Draft Replies for approval and submission to the Ministry, thereafter tabling in Parliament.

Assessment is underway to determine accountability for the late payment of invoice and if found negligent will be dealt with in terms of prescripts and law.
",100% compliance with statutory  prescripts,60% compliance with statutory prescripts ,"A number of Parliamentary Questions (PQs) required information that could only be sourced from provinces.

For July 2022, 8 invoices were paid after 30 days because there was a delay in processing the payments due to the payment being captured incorrectly and had to be reversed to correct the error. 
","In addition to the continued implementation of the approved SOP, the unit is now dealing directly with external bodies such as municipalities and provinces in order to improve turnaround times for the provision of the required information. The approach is starting to yield positive results.

Investigations is underway to determine accountability for the late payment of invoice and if found negligent will be dealt with in terms of prescripts and law
",100% compliance with statutory  prescripts,80% compliance with statutory prescripts  ,Late or delayed submission of information in relation to  responses on Parliamentary questions by Provinces and Municipalities.,Enhance communication with Provinces and Municipalities to submit information on responses to Parliamentary questions timeously  in line with the SOP.,100% compliance with statutory  prescripts,80% compliance with statutory prescripts ,"Some of the furnished Draft Replies had to be returned for amendments, others for additional information, including incomplete info provided by municipalities & provinces.",Continue to ensure strict adherence to the approved SOP as well as continue to liaise directly with other spheres of government,100% compliance with statutory  prescripts,-,74% compliance with statutory prescripts ,"A number of Parliamentary
Questions (PQs) required
information that could only
be sourced from provinces thus delayed the finalisation of parliamentary questions within the 10 day turnaround time.

Invoices were paid after 30 days because there was a delay in processing the payments due to the payment being captured incorrectly and had to be reversed to correct the error.
","
Continue to ensure strict adherence to the approved SOP as well as continue to liaise directly with other spheres of government
Investigations is underway to determine accountability for the late payment of invoice and if found negligent will be dealt with in terms of prescripts and law
",74% compliance with statutory prescripts ,,177
Human Settlements,Human Settlements,National,1.1 PROGRAMME 1: ADMINISTRATION ,Sub Programme: Departmental Management,Quarterly,Percentage execution of the approved anti-fraud and corruption implementation plan,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",Governance and Administration cluster,100% execution of the approved anti-fraud and corruption implementation plan,100% Execution of the approved anti-fraud and corruption implementation plan,Not applicable,Not applicable,100% execution of the approved anti-fraud and corruption implementation plan,80% Execution of the approved anti-fraud and corruption implementation plan,The Financial disclosure system was inaccessible due migration from Oracle server to Cloud environment,Verification has already commence from the beginning of October and this will be achieved in Q3. ,100% execution of the approved anti-fraud and corruption implementation plan,"100% of implementation of Quarter 3 targets 

",Not applicable,Not applicable,100% execution of the approved anti-fraud and corruption implementation plan,"100% execution of the approved anti-fraud and corruption implementation plan


",Not applicable,Not applicable,100% execution of the approved anti-fraud and corruption implementation plan,-,"100% execution of 
the Approved Anti-Fraud and Corruption 
Implementation Plan",Not applicable,Not applicable,"100% execution of 
the Approved Anti-Fraud and Corruption 
Implementation Plan",,177
Human Settlements,Human Settlements,National,1.1 PROGRAMME 1: ADMINISTRATION ,Sub Programme: Departmental Management,Quarterly,Percentage implementation of the approved Internal Audit Plan,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",Governance and Administration cluster,10% implementation of the approved internal audit plan ,"11% implementation of the approved internal audit plan 
",0ver-achievement was due to the percentage rounding off,Not applicable,35% implementation of the approved internal audit plan ,"18% implementation of the approved internal audit plan

","Delays in the appointment of Service Provider due to directive from the National Treasury   with regard suspension of the Preferential Procurement Regulation 2017

",Audits rolled over for completion in the next quarters,55% implementation of the approved internal audit plan ,61% implementation of the approved internal audit plan,One audit completed from Quarter 4,Not applicable,100% implementation of the approved internal audit plan,100% implementation of the approved internal audit plan,Not applicable,Not applicable,100% implementation of the approved internal audit plan ,-,100% implementation of the approved internal audit plan,Not applicable,Not applicable,100% implementation of the approved internal audit plan,,177
Human Settlements,Human Settlements,National,1.1 PROGRAMME 1: ADMINISTRATION ,Sub Programme: Departmental Management,Quarterly,Percentage implementation of the approved Risk Management Implementation Plan,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",Governance and Administration cluster,29% implementation of the approved Risk Management Implementation Plan,24% implementation of the approved Risk Management Implementation Plan,"Intensive discussions and consultation on Enterprise Risk Management framework

",The Enterprise Risk Management framework will be approved in Quarter 2,47% implementation of the approved Risk Management Implementation Plan,47% implementation of the approved Risk Management Implementation Plan,Not Applicable ,Not Applicable,64% implementation of the approved Risk Management Implementation Plan,53% implementation of the approved Risk Management Implementation Plan,Three signed Risk Monitoring Tools submitted in the Fourth Quarter past the deadline.,Ensure that RCF is held before the end of the reporting period.,100% implementation of the approved Risk Management Implementation Plan,"100% implementation of the approved Risk Management Implementation Plan



",Not applicable,Not applicable,100% implementation of the approved Risk Management Implementation Plan,-,100% implementation of the approved Risk Management Implementation Plan,Not applicable,Not applicable,100% implementation of the approved Risk Management Implementation Plan,,177
Human Settlements,Human Settlements,National,1.1 PROGRAMME 1: ADMINISTRATION ,Sub programme: Financial Management ,Annually,Unqualified audit opinion with no material findings,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",Governance and Administration cluster,,,,,,,,,,,,,,,,,2021/22 unqualified audit opinion with no material findings ,,2021/22 unqualified audit opinion with no material findings, Not applicable, Not applicable,2021/22 unqualified audit opinion with no material findings,,177
Human Settlements,Human Settlements,National,1.1 PROGRAMME 1: ADMINISTRATION ,Sub programme: Grant Management ,Quarterly,2023/24 Human Settlements Grants Framework Approved,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",Governance and Administration cluster," No Target
 
 
",,,," No Target
 
 
",,,,"Human Settlements Grants Framework drafts developed

",Human Settlements Grants Framework drafts developed, Not applicable, Not applicable,"2023/24
Human Settlements Grants Framework  Approved
","Approved 2023/24
Human Settlements Grants Framework  
", Not applicable, Not applicable,2023/24 Human Settlements Grants Framework  Approved,-,"Approved 2023/24
Human Settlements Grants Framework  
",Not applicable,Not applicable,"
Approved 2023/24
Human Settlements Grants Framework  ",,177
Human Settlements,Human Settlements,National,1.1 PROGRAMME 1: ADMINISTRATION ,Sub programme: Grant Management ,Quarterly,Number of quarterly assessments conducted on human settlements grants,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",Governance and Administration cluster,"1 (1x 4th quarter-previous financial year) quarterly assessment conducted on Human Settlements  Grant (HSDG)

1 (1x 3rd quarter- previous financial year) quarterly assessment conducted on Human Settlements  Grant (USDG)","1 quarterly assessment conducted on Human Settlements  Grant (HSDG)

1 quarterly assessment conducted on Human Settlements  Grant (USDG)",Not applicable,Not applicable,"1 (1x 1st  quarter- current financial year) quarterly assessment conducted on Human Settlements  Grant (HSDG)

1 (1x 4th quarter- previous financial year) quarterly assessment conducted on Human Settlements  Grant (USDG)"," 1 (1x1st quarter-previous financial year) quarterly assessment conducted on Human Settlements  Grant (HSDG

 1 (1x4th quarter- previous financial year) quarterly assessment conducted on Human Settlements  Grant (USDG)",Not applicable,Not applicable,"1 (1x 2nd quarter- current financial year) quarterly  assessment conducted on Human Settlements  Grant (HSDG)

1 (1x 1st quarter- current financial year) quarterly assessment conducted on Human Settlements  Grant (USDG)"," 1 (1x 2nd quarter-previous financial year) quarterly assessment conducted on Human Settlements Grant (HSDG)

 1 (1x1st quarter- previous financial year) quarterly assessment conducted on Human Settlements Grant (USDG)", Not applicable, Not applicable,"1 (x 3rd quarter current financial year -) quarterly assessment conducted on Human Settlements  Grant (HSDG).

1 (1x 2nd quarter- current financial year) quarterly assessment conducted on Human Settlements  Grant (USDG
"," 1 (1x 3rd quarter-previous financial year) quarterly assessment conducted on Human Settlements Grant (HSDG

 1 (1x 2nd quarter- previous financial year) quarterly assessment conducted on Human Settlements Grant (USDG)", Not applicable, Not applicable,8 quarterly   assessments  conducted on human settlements grants (HSDG & USDG) ,-,8 quarterly   assessments conducted on human settlements grants (HSDG & USDG) ,Not applicable,Not applicable,8 quarterly   assessments conducted on human settlements grants (HSDG & USDG),,177
Human Settlements,Human Settlements,National,1.1 PROGRAMME 1: ADMINISTRATION ,Sub programme: Grant Management ,Quarterly,Number of quarterly financial performance analysis conducted on ISUPG  ,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",Governance and Administration cluster,"  1 (1x 4th   quarter- previous financial year) quarterly financial performance analysis conducted on ISUPG for Provinces

1 (1x 3rd    quarter- previous financial year) quarterly financial performance analysis conducted on ISUPG for Metros 

","1 quarterly financial performance analysis conducted on ISUPG for Provinces 

1  quarterly financial performance analysis conducted on ISUPG for Metros",Not applicable,Not applicable,"1 (1x1st  quarter-current financial year) quarterly financial performance analysis conducted on ISUPG for Provinces)

1 (1x 4th   quarter- previous financial year) quarterly financial performance analysis conducted on ISUPG for Metros  "," 1 (1x1st quarter- previous financial year) quarterly financial performance analysis conducted on ISUPG for Provinces

 1 (1x4th quarter- previous financial year) quarterly financial performance analysis conducted on ISUPG for Metros",Not applicable,Not applicable,"1 (1x2nd quarter-current financial year) quarterly financial performance analysis conducted on ISUPG for Provinces

1 (1x 1st quarter-current financial year) quarterly financial performance analysis conducted on ISUPG for Metros"," 1 (1x2nd quarter- previous financial year) quarterly financial performance analysis conducted on ISUPG for Provinces

 1 (1x1st quarter- previous financial year) quarterly financial performance analysis conducted on ISUPG for Metros


", Not applicable, Not applicable,"1 (x 3rd quarter- current financial year) quarterly  financial performance analysis conducted on ISUPG for Provinces

1 (1x 2nd quarter-current financial year) quarterly financial performance analysis conducted on ISUPG for Metros","  1 (1x3rd quarter- previous financial year) quarterly financial performance analysis conducted on ISUPG for Provinces

 1 (1x 2nd quarter- previous financial year) quarterly financial performance analysis conducted on ISUPG for Metros", Not applicable, Not applicable,"8 quarterly financial performance analyses conducted on ISUPG




 ",-,8 quarterly financial performance analysis conducted on ISUPG,Not applicable,Not applicable,8 quarterly financial performance analysis conducted on ISUPG,,177
Human Settlements,Human Settlements,National,1.1 PROGRAMME 1: ADMINISTRATION ,Sub-Programme: Corporate Services,Quarterly,Percentage implementation of approved communication plan,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",Governance and Administration cluster,25% implementation of the approved communication plan,20% implementation of the approved communication plan,"The events that took place in the country for the past three months, had a major impact on the seating of the communicators forum.","In quarter 2, communicators will have more forums to cover all the areas on the planning of quarter 1 and 2.",50% implementation of the approved communication plan,40% implementation of the approved communication plan,Media Tours and Media Builds as planned did not occur due to the fact that the National Department dependent on Provincial Departments of Human Settlements to partner and participate in the tours and builds.,"4 x Media Tours will be undertaken in Quarter 3 and will improve coordination with key stakeholders

",75% implementation of the approved communication plan,75% implementation of the approved communication plan,Not applicable,Not applicable,100% implementation of the approved communication plan. ,100% implementation of the approved communication plan ,"Not applicable

","Not applicable


",100% implementation of the approved communication plan,-,100% implementation of the approved communication plan ,Not applicable,Not applicable,100% implementation of the approved communication plan ,,177
Human Settlements,Human Settlements,National,1.1 PROGRAMME 1: ADMINISTRATION ,Sub-Programme: Corporate Services,Quarterly,Percentage implementation of the approved annual ICT plan ,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",Governance and Administration cluster,20% implementation of the approved annual ICT plan,30% implementation of the approved annual ICT plan,Inconsistency in the number of activities outlined in the ICT implementation plan and the 20 percent target in the Annual Performance Plan,"Not applicable

",55% implementation of approved annual ICT plan ,49% implementation of the approved annual ICT plan,Steering committee meeting  scheduled however postponed due to lack of quorum,The Steering committee meeting to be held in the third quarter,75% implementation of approved annual ICT plan ,75% implementation of the approved annual ICT plan,Not applicable,Not applicable,100% implementation of approved annual ICT plan ,100% implementation of the approved annual ICT plan,Not applicable,Not applicable,100% implementation of approved annual ICT plan ,-,100% implementation of the approved annual ICT plan,Not applicable,Not applicable,100% implementation of the approved annual ICT plan,,177
