Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,DesiredPerformance,UID
,"Sport, Arts and Culture",National,Programme  1: Administration ,Programme  1: Administration ,Annually, Percentage of interns enrolled against funded posts,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",,,,,,,,,5 %,,,,,,,,,,,,,,,304
,"Sport, Arts and Culture",National,Programme  1: Administration ,Programme  1: Administration ,Annually,30 Years of democracy celebration hosted.,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",,,,,,,1,31,1,,,"The Human Rights and Swimming Pool Handover Weekend was done additionally to ensure at least one event took place in all 9 provinces.

",-,,,,,,,,,,,304
,"Sport, Arts and Culture",National,Programme  1: Administration ,Programme  1: Administration ,Annually,Number of systems developed to automize manual functions,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",,,,,,,2,2,2,,,-,-,,,,,,,,,,,304
,"Sport, Arts and Culture",National,Programme  1: Administration ,Programme  1: Administration ,Quarterly, Percentage of councils/boards that are fully  constituted,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",100 %,96 %,100 %,82 %,100 %,96 %,100 %,100 %,100 %,374 %,,,,,,,"Boxing SA and National Film Video Foundation boards were dissolved by the Minister. The appointment of a board for PanSALB has not been finalised due to Parliamentary processes. 

The National Museum and KwaZulu-Natal Museum boards expired on 31 August 2024 and no appointments have been made as a result of the halt on the amalgamation process.

","The Boards/ Council for the following four Entities will be constituted on or before 31 December 2024:
Boxing SA;
National Film and  Video Foundation ( NFVF);
National Museum;
KwaZulu-Natal Museum

PanSALB: The appointment of the Board is not yet finalised and is contingent to Parliamentary processes which the Department has already initiated. To close the governance vacuum, departmental officials were seconded to be acting CEOs in Boxing SA and  NFVF. 
In PANSLAB and the National Museum, the CEOs were appointed as the acting  Accounting Authorities. 
Furthermore, the Director of the KwaZulu-Natal Museum was appointed as the Accounting Authority.  



","PanSALB board matter is still outstanding as it was referred to Parliament.

The appointment process for the PanSALB board is done through the Portfolio Committee, which shortlist, and interview nominated individuals in line with the provisions of the Pan South African Language Board Act, Act 59 of 1995 as amended. 

The root cause of this lack of appointment is that the previous portfolio committee started with the process but did not finish. They conducted interviews and names were not submitted as the parliamentary process was not done. When the 7th Administration started, the process was revived and the current portfolio committee submitted the proposed names to the Executive Authority (Minister) for appointment, as per the PanSALB Act. The Executive Authority, however rejected the names submitted as they were deemed not representative of the country's demographics. 
",It is envisaged that the appoint PanSALB board will occur before the 31st of March 2025.,-,-,,304
,"Sport, Arts and Culture",National,Programme  1: Administration ,Programme  1: Administration ,Quarterly, Percentage of valid invoices paid within 30 days,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",100 %,100 %,100 %,100 %,100 %,100 %,100 %,100 %,100 %,400 %,0,,,,,,-,-,-,-,-,-,,304
,"Sport, Arts and Culture",National,Programme  1: Administration ,Programme  1: Administration ,Quarterly,Number of events hosted in support of the 30 Years of democracy celebration.,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,1,,2,,1,5 ,1,2,5,7,,,,,,,,, The planned (6th) 30  Year close-out event had to be postponed due to low number of confirmations. This would have been impacted the targeted reach of the message the event carries  and would have impacted the successful execution of the event ,It is planned that the close-out event  will be undertaken in  February 2025,"The close out event of Q3 was postponed to Q4.

During the year there was no presence of 30 Years in the Eastern Cape. The Human Rights weekend took place in Eastern Cape to ensure at least one event took place in all 9 provinces
",- ,30,304
,"Sport, Arts and Culture",National,Programme  1: Administration ,Programme  1: Administration ,Quarterly,"Number of Sport, Arts and Culture Izimbizo held",Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",1,1,1,1,1,1,6,1,9,4,,,,,,,-,-,-,-,"The Izimbizo were reprioritised to structured meetings to address urgent matters affecting the sport, arts and culture sector ","To enable seamless implementation of the Izimbizo, The Department opt to align this programme within line functions in the 2025/26 financial year",,304
,"Sport, Arts and Culture",National,Programme  1: Administration ,Programme  1: Administration ,Quarterly,Percentage of national federations meeting 50% or more of their self-set transformation targets.,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"Governance, State Capacity and Institutional Development cluster",0 %,0 %,0 %,,0 %,,100 %,67 %,100 %,67 %,,,,,,,,,,,"
Capacity challenges in the execution of the indicator. Also, at the time of the reporting the Department was still collecting the data from the federations that had not submitted.",Already implemented.  The service provider has been appointed to conduct the data analysis and develop the report.,50% or more,304
,"Sport, Arts and Culture",National,Programme 2: Recreation Development and Sport Development,Programme 2: Recreation Development and Sport Development,Annually,Number of community outdoor gyms and children's parks constructed ,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",,,,,,,10,11,10,0,,There was one  additional gym installed; this was due to specific request informed by service delivery demand by the community in Centani Mnguma local municipality in Eastern Cape,-,,,,,,,,,,,304
,"Sport, Arts and Culture",National,Programme 2: Recreation Development and Sport Development,Programme 2: Recreation Development and Sport Development,Quarterly,Number of Athlete Development programmes supported.,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",9,6,9,9,9,9,9,9,9,9,,,,,"The KwaZulu-Natal province was not supported in the first quarter in line with their Business Plan. 


", All provinces are due to report in the second quarter of the financial year ,-,-,-,-,-,-,,304
