Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,DesiredPerformance,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,OTP_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,National_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,National_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,National_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,National_Q4,UID
Basic Education,Education,Western Cape,Programme 1:  Administration,Programme 1:  Administration,Annually,MTSF 104: Percentage of learners with access to required maths and EFAL textbooks in Grades 6 and 9,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",VIP 3: Empowering People,"The Social Protection, Community and Human Development cluster",Higher than target,,,,,,,70 %,80.42 %,70 %,80.42 %,80.42,"A sample study of 30 primary and 30 secondary schools was conducted, which reflected an overachievement.",N/A,The annual target of 70% has been exceeded (80.42%). The PDO notes the reason for deviation and corrective action is not required.,,,,,,,,,,,,,,,,,,90
Basic Education,Education,Western Cape,Programme 1:  Administration,Programme 1:  Administration,Annually,POI 103 Percentage of school principals rating the support services of Districts as being satisfactory,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improve education outcomes and opportunities for youth development ,"The Social Protection, Community and Human Development cluster",,,,,,,,98 %,98 %,98 %,98 %,98,No deviation.,N/A,The annual target of 98% is achieved (98%). The PDO notes the reason for deviation and corrective action is not required in this instance.,,,,,,,,,,,,,,,,,,90
Basic Education,Education,Western Cape,Programme 1:  Administration,Programme 1:  Administration,Annually,POI 104: Percentage of SGBs that meet the minimum criteria in terms of governance functionality,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improve education outcomes and opportunities for youth development ,"The Social Protection, Community and Human Development cluster",,,,,,,,70 %,96.2 %,70 %,96.2 %,96.2,"Greater emphasis was placed on the functionality of SGBs and the importance of compliance with processes, procedures and due dates during training and engagements with schools and SGBs.",N/A,The annual target of 70% has been exceeded (96.2%). The PDO notes the reason for deviation and corrective action is not required.,,,,,,,,,,,,,,,,,,90
Basic Education,Education,Western Cape,Programme 1:  Administration,Programme 1:  Administration,Annually,POI 106 Instances of teachers attending ICT integration training ,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",VIP 3: Empowering People,"The Social Protection, Community and Human Development cluster",Higher than target,,,,,,,4700,19338,4700,19338,19338,The target was not adjusted with the indicator title amendment. The performance output therefore exceeds the target. ,N/A,The annual target of 4700 is exceeded (19338). The PDO notes the reason for deviation and corrective action is not required in this instance.,,,,,,,,,,,,,,,,,,90
Basic Education,Education,Western Cape,Programme 1:  Administration,Programme 1:  Administration,Annually,POI 106: Number of teachers attending ICT integration training,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improve education outcomes and opportunities for youth development ,"The Social Protection, Community and Human Development cluster",,,,,,,,4700,0,4700,0,0,The indicator title in the TID is not aligned to the indicator title in the performance table.,N/A,In-year change.,,,,,,,,,,,,,,,,,,90
Basic Education,Education,Western Cape,Programme 1:  Administration,Programme 1:  Administration,Annually,"POI 107: Percentage of textbooks, ordered via the online system, delivered to public schools",Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improve education outcomes and opportunities for youth development ,"The Social Protection, Community and Human Development cluster",,,,,,100 %,100 %,,,100 %,100 %,100,No deviation,N/A,The annual target of 100% is achieved (100%). The PDO notes the reason for deviation and corrective action is not required in this instance.,,,,,,,,,,,,,,,,,,90
Basic Education,Education,Western Cape,Programme 1:  Administration,Programme 1:  Administration,Annually,POI 110: Percentage of schools displaying all selected indicators of basic school functionality,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improve education outcomes and opportunities for youth development ,"The Social Protection, Community and Human Development cluster",,,,,,,,50 %,62.13 %,50 %,62.13 %,62.13,Overachievement due to the emphasis on the importance of addressing school functionality at circuit manager engagements.,N/A,The annual target of 50% has been exceeded (62.13%). The PDO notes the reason for deviation and corrective action is not required.,,,,,,,,,,,,,,,,,,90
Basic Education,Education,Western Cape,Programme 1:  Administration,Programme 1:  Administration,Annually,POI 111 Percentage of schools visited at least twice a year by district officials for monitoring and support purposes ,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improve education outcomes and opportunities for youth development ,"The Social Protection, Community and Human Development cluster",,,,,,,,100 %,100 %,100 %,100 %,100,No deviation.,N/A,The annual target of 100% is achieved (100%). The PDO notes the reason for deviation and corrective action is not required in this instance.,,,,,,,,,,,,,,,,,,90
Basic Education,Education,Western Cape,Programme 1:  Administration,Programme 1:  Administration,Annually,POI 112 Percentage of public schools with a minimum set of required management documents,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improve education outcomes and opportunities for youth development ,"The Social Protection, Community and Human Development cluster",,,,,,,,60 %,73.18 %,60 %,73.18 %,73.18,"Greater emphasis was placed on the functionality of SGBs and importance of compliance with processes, procedures and due dates during training and engagements with schools and SGBs.",N/A,The annual target of 60% has been exceeded (73.18%). The PDO notes the reason for deviation and corrective action is not required.,,,,,,,,,,,,,,,,,,90
Basic Education,Education,Western Cape,Programme 1:  Administration,Programme 1:  Administration,Annually,SOI 103 Percentage of expenditure going towards non-personnel items,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improve education outcomes and opportunities for youth development ,"The Social Protection, Community and Human Development cluster",,,,,,,,21.24 %,0 %,21.24 %,0 %,0,"Adjustment budget 2024 process, the amendments to personnel and non-personnel affected the planned target.","The target has been changed to 21,96.",In-year change,,,,,,,,,,,,,,,,,,90
Basic Education,Education,Western Cape,Programme 1:  Administration,Programme 1:  Administration,Annually,SOI 103: Percentage of education expenditure going towards non-personnel items.,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",VIP 3: Empowering People,"The Social Protection, Community and Human Development cluster",On target ,,,,,,,21.96 %,22.61 %,21.96 %,22.61 %,22.61,Due to an increase in non-personnel expenditure.,N/A,The annual target of 21.96% has been exceeded (22.61%). The PDO notes the reason for deviation and corrective action is not required.,,,,,,,,,,,,,,,,,,90
