Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,OTP_Q3,National_Q3,National_Q4,National_Q1,National_Q2,OTP_Q1,OTP_Q4,UID
Health,Health,Mpumalanga,Programme 1: Administration,Programme 1: Administration,Annually,Audit opinion of Provincial DoH,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144
Health,Health,Mpumalanga,Programme 1: Administration,Programme 1: Administration,Quarterly,Audit opinion of Provincial DoH,Not Applicable,Not  Applicable,"Priority 3: Education, Skills And Health","Education, skills and health","The Social Protection, Community and Human Development cluster",,,,,,0,,,,,0,None,The Department is implementing the audit improvement plan.,,Determination after audit (measured annually),None,The department continues to implement the audit improvement plan,Unqualified Audit,-,,,,,,,,,,,,144
Health,Health,Mpumalanga,Programme 1: Administration,Programme 1: Administration,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,0,,,,0,,,,,0,,,,0,,,,0,0,,,,,,,,,,,,144
Health,Health,Mpumalanga,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage of representation on employment of persons with disabilities across all levels,Not Applicable,Average,"Priority 3: Education, Skills And Health","Education, skills and health","The Social Protection, Community and Human Development cluster",2 %,0.53 %,"The Department was unable to meet the targets, posts were advertised no candidates applied since there is no targeted recruitment.","The Department is planning to conduct various employment flair targeting Hospital Open days to market various career opportunities. Establish relationship with the Disability Desk and foster collaboration on marketing the Department vision and issued bursaries to the targeted groups who are interested to pursue further  studies on various health programs. 
",2 %,0.53 %,"The Department was unable to meet the targets, post was advertised no candidates applied since all the posts required professionals.",The Department is planning to conduct various employment flair targeting Hospital Open days to market various career opportunities. Establish relationship with the Disability Desk and foster collaboration on marketing the Department vision and issued bursaries to the targeted group who are interested to pursue further studies on various health programs. ,Actual output not captured,2 %,0.55 %,"The Department was unable to meet the targets, although posts are advertised since majority of the posts requires professionals.",The Department will be engaging the Department of Social Development Disability Desk to implement targeted recruitment strategy.,2 %,"0,93 %","The Department was unable to meet the targets, although posts have to be advertised since majority of the posts requires professionals",Targeted recruitment which includes engaging Universities and offices representing the Disabled Persons in the Province for a data base ,2 %,0 %,,,,,,,,,,,,144
Health,Health,Mpumalanga,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage of women appointed in Senior Management positions,Not Applicable,Average,"Priority 3: Education, Skills And Health","Education, skills and health","The Social Protection, Community and Human Development cluster",50 %,42 %,"The process of finalizing the recruitment process as prescribed by the Employment Practices 
Policy guidelines for maintaining vacancies for a 12 month period has expired, hence the posts must be re-advertised. The underlying reason for the delays was as a result of Departmental challenges in finalisation of the vetting process.
",The Department has prioritized the filling of the Senior Management posts and advertisement to be issued during the second quarter of 2024/2025.,50 %,50 %,"None, The Department has advertised a total of 17 Senior Management positions.  ",The Department used a targeted approach to ensure that more Females Senior Management are appointed on the advertised posts to address the employment equity targets.,Actual output not captured,50 %,44 %,Delays in the recruitment due to the process of obtaining approvals from Treasury and OTP as per the DPSA directive.,10 of the vacant senior management posts are to be filled by female candidates in the 4th quarter 2024/25.,50 %,"48,2 %",There was a delay in the filling of the posts due to security clearance and competency assessment ,The process will be finalised during the month of April 2025,50 %,"46,05 %",,,,,,,,,,,,144
Health,Health,Mpumalanga,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage of youth appointed,Not Applicable,Average,"Priority 3: Education, Skills And Health","Education, skills and health","The Social Protection, Community and Human Development cluster",30 %,24.95 %,"None, the Department has achieved the target with  the inclusion of the 10% youth employed on Abnormal Appointments.",To target youth when advertising especially the entry level posts.,30 %,24.57 %,"None, the Department has achieved the target with the inclusion of the 10% youth employed on Abnormal Appointments.",None.,Actual output not captured,30 %,34.32 %,None ,None ,30 %,"34,3 %",None,None,30 %,0 %,,,,,,,,,,,,144
Health,Health,Mpumalanga,Programme 1: Administration,Sub-Programme 1: Office of the MEC,Annually,deafult,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144
Health,Health,Mpumalanga,Programme 1: Administration,Sub-Programme 1: Office of the MEC,Quarterly,deafult,Not Applicable,Average,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144
Health,Health,Mpumalanga,Programme 2: District Health Services,Programme 2: District Health Services,Annually,Malaria case fatality rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,0.1 %,0.01 %,,No challenge,Sustain,,,,,,,,,144
Health,Health,Mpumalanga,Programme 2: District Health Services,Programme 2: District Health Services,Annually,Maternal Mortality in facility (Ratio - Per 100 000 live births),Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,113.6 %,81.1 %,,,113.6 %,81.1 %,,No challenge,"Outreach conducted by specialists’ teams at district hospitals.

ESMOE drills conducted.

Perinatal meetings held.
",,,,,,,,,144
