Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,UID
Police,South African Police Service,National,Programme 1: Administration,Programme 1: Administration,Annually,Date of finalisation of the Information Systems and Information and Communication Technology Business Continuity Plan,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",,,,,,,,,2024/03/31,,The draft IS/ICT Business Continuity Plan was finalised and distributed for final inputs.,"Target not achieved.

The Business Continuity Plan impact analysis had to be consulted to incorporate compliance and risk requirements.
","The approval of the Draft Information Systems and Information and Communication Technology Business Continuity Plan has been prioritised in the 2024/25 financial year. The SAPS Backup Policy, 4 of 2023 and the Downtime Policy, 3 of 2023 has been approved, in order to standardise data centre processes.","The draft IS/
ICT Business
Continuity Plan
was finalised and
distributed for
final inputs.",,,,,,,,,262
Police,South African Police Service,National,Programme 1: Administration,Programme 1: Administration,Annually,Number of new mobile contacts points procured,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",,,,,,,,,15,,15,Target achieved.,Not applicable,15,,,,,,,,,262
Police,South African Police Service,National,Programme 1: Administration,Programme 1: Administration,Annually,"Number of new police stations  established, as per the SAPS Infrastructure Development Programme",Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",,,,,,,,,2,,2,Target achieved.,Not applicable,2,,,,,,,,,262
Police,South African Police Service,National,Programme 1: Administration,Programme 1: Administration,Annually,Number of new SAPS Act recruits enlisted annually,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",,,,,,,,,10 000 by 31 March 2024,,10 018,"Target achieved.

Additional trainees were enlisted to compensate for any potential losses that may have transpired throughout the training period.
",Not applicable,10 018,,,,,,,,,262
Police,South African Police Service,National,Programme 1: Administration,Programme 1: Administration,Annually,Percentage of planned forensic investigations finalised,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",,,,,,,,,100%,,25% (1 from a total of 4).,"Target not achieved.

Six investigations were planned for. Two projects could not be finalised due to the extended scope of investigations. One project could not be finalised due to the late approval of co-sourcing. Two projects were deferred.
","As the scope of some forensic investigations is expanded, the number of such investigations that are expected to be completed within a financial year has decreased in 2024/25, as their completion generally takes longer than a year. Additionally, the status of forensic investigations will be monitored on a monthly basis.",25% (1 from a total of 4).,,,,,,,,,262
Police,South African Police Service,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Number of Closed Circuit Television (CCTV) systems implemented at identified sites,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",10 sites,23 sites,21 sites,49 sites,33 sites,85 sites,45 sites,100 sites,45 sites,-,100,"Target achieved.

Positive response to SAPS requests.

The weekly monitoring of projects played a significant role in ensuring the timely completion of the planned sites.

Of the 57 roll-over sites from the previous financial year 2022/23 a total of 46 sites have been completed.
",Not applicable,100,"Overperformance is attributable to suppliers who responded positively to SAPS requests for quotations and orders issued by the end of March 2023. The hands-on approach of SAPS personnel in the provinces, which ensured that suppliers expedited the implementation and commissioning of the prioritised sites, also contributed to the overperformance. In addition, 11 of the 57 roll-over sites from the previous financial year 2022/23 were completed.",Not applicable,"Suppliers responded positively to SAPS requests for quotations. The weekly monitoring of the projects contributed to ensuring that sites are completed as planned. From the 45 planned sites for the 2023/24 financial year, 23 sites were completed in quarter 1 and 26 sites in quarter 2. In addition, 13 roll-over sites were completed in quarter 2. Of the 57 roll-over sites from the previous financial year 2022/23, a total of 24 sites have been completed. ",Not applicable,"Supplier overperformance resulting from positive responses to SAPS requests. The weekly monitoring of the projects played a significant role in ensuring the timely completion of the planned sites. Quarter 1 saw the completion of 23 of the 45 planned sites for the 2023/24 financial year. Quarter 2 saw the completion of 26 sites and quarter 3 saw the completion of 36 sites. A total number of 11 roll-over sites were also completed during the first quarter, followed by 14 in the second and 12 in the third quarters. A total of 37 out of the 57 roll-over sites from the previous financial year (2022/23) have been finalised.",Not applicable,"Supplier overperformance resulting from positive responses to SAPS requests. The weekly monitoring of the projects played a significant role in ensuring the timely completion of the planned sites. Quarter 1 saw the completion of 23 of the 45 planned sites for the 2023/24 financial year, 26 sites in quarter 2, 37 sites in quarter 3 and 14 sites in quarter 4. A total number of 11 roll-over sites were also completed during the first quarter, followed by 14 in the second, 12 in the third and nine in the fourth quarters. A total of 46 out of the 57 roll-over sites from the previous financial year (2022/23) have been finalised.",Not applicable,262
Police,South African Police Service,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Number of identified  National Network Communication Infrastructure sites modernised and implemented,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",20 WAN sites,34 WAN sites,55 WAN sites,95 WAN sites,90 WAN sites,146 WAN sites,120 WAN sites,191 WAN sites,120 WAN sites,-,191,"Target achieved.

More sites were modernised due to the appointment of service contractors for installations and the delivery of equipment to respective provinces.
",Not applicable,191,"Due to the appointment of service contractors for installations and the delivery of equipment to respective provinces, more sites were modernised.",Not applicable,"More sites were modernised due to the appointment of service contractors for installations and the delivery of equipment to respective provinces. From the 120 planned sites for the 2023/24 financial year, 34 sites were modernised in quarter 1 and 61 sites in quarter 2. ",Not applicable,"More sites were modernised due to the appointment of service contractors for installations and the delivery of equipment to respective provinces. A total of 34 sites out of 120 that were planned for modernisation during the 2023/24 financial year were completed in the first quarter, followed by 63 sites in the second quarter and 49 sites in the third quarter. ",Not applicable,"More sites were modernised due to the appointment of service contractors for installations and the delivery of equipment to respective provinces. A total of 34 sites out of 120 that were planned for modernisation during the 2023/24 financial year were completed in the first quarter, followed by 63 sites in the second quarter, 49 sites in the third quarter and 45 in the fourth quarter. ",Not applicable,262
Police,South African Police Service,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Number of incidents of unauthorised expenditure,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",Zero incidents ,Zero incidents ,Zero incidents ,Zero incidents,Zero incidents ,Zero incidents,Zero incidents ,Zero incidents ,Zero incidents ,-,Zero incidents,Target achieved.,Not applicable,Zero incident.,Not applicable ,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,262
Police,South African Police Service,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Number of SAPS-owned firearms confirmed as stolen/lost,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",163,221,326,370,489,562,652,741,Reduce to 652 (10%),-,741,"Target not achieved.

The Department has implemented several measures to reduce firearm losses, including providing members with safes and retention cords. Despite these efforts, the rise in robberies in townships and other areas, as well as incidents of housebreaking, vehicle theft, and personal theft, contribute to ongoing losses. Given the nature of police work, the risk of firearm loss is ever-present. It is the responsibility of each member to safeguard their issued firearm, following the preventive measures established by the department. Unfortunately, instances of firearm loss due to member negligence do occur, but every loss is thoroughly investigated regardless of the circumstances. Preventing firearm losses remains a top priority for the Department.",Every loss is thoroughly investigated regardless of the circumstances.,741,"The escalation of robbery in a township or other place, as well as housebreaking (property locked), negligence of members, theft from a dwelling, and loss from person.","The bar coding and marking of all SAPS-owned firearms with the SAPS emblem, IBIS testing to create firearm profiles, biannual inspections, the issuing of safes to members for the safekeeping of firearms, the issuing of retention cords, daily parade inspections, control over and the safekeeping of firearms not under the direct and physical control of a member and inspections by designated supply chain personnel are all measures taken to prevent the loss of SAPS-owned firearms.","The escalation of robbery in a township or other place, as well as housebreaking (property locked), negligence of members, theft from a dwelling and loss from person.",Implementation of relevant legislative requirements when incidents of lost firearms materialise. Official communication to provincial and divisional offices on the loss of firearms and follow-up monitoring letters. Biannual inspections and certification of all official firearms. ,"The escalation of robbery in a township or other place, as well as housebreaking (property locked), negligence of members, theft from a dwelling and loss from person.","Measures taken to prevent the loss of SAPS-owned firearms, include the bar coding and the marking of all SAPS-owned firearms with the SAPS emblem, IBIS testing to create firearm profiles, biannual inspections, the issuing of safes to members for the safekeeping of firearms, the issuing of retention cords, daily parade inspections, control over and the safekeeping of firearms not under the direct and physical control of a member and inspections by Designated Supply Chain Management Armorers.","The escalation of robbery in a township or other place, as well as housebreaking (property locked), theft from a motor vehicle and loss from person.","Measures taken to prevent the loss of SAPS-owned firearms, include the bar coding and the marking of all SAPS-owned firearms with the SAPS emblem, IBIS testing to create firearm profiles, biannual inspections, the issuing of safes to members for the safekeeping of firearms, the issuing of retention cords, daily parade inspections, control over and the safekeeping of firearms not under the direct and physical control of a member and inspections by Designated Supply Chain Management Armorers.",262
Police,South African Police Service,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage decrease in confirmed incidents of irregular expenditure,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster","Decrease, by 72,25%","0% (4 confirmed incidents during the 1st quarter, in 2023/24, compared to 4 confirmed incidents during the same period, in 2022/23).","Decrease, by 72,25%","Increased, by 200% (three confirmed incidents during the 2nd quarter, in 2023/24, compared to one confirmed incident during the same period, in 2022/23).","Decrease, by 72,25%","Increased, by 300% (three confirmed incidents during the 3rd quarter, in 2023/24, compared to no confirmed incident during the same period, in 2022/23).                 ","Decrease, by 72,25%","Decreased, by 29,41% (12 confirmed incidents during the 4th Quarter, in 2023/24, compared to 17 confirmed incidents during the same period, in 2022/23).","Decrease, by 72,25%",-,"0% increase/decrease from 28 confirmed incidents, in 2022/23 to 28 in 2023/24.","Target not achieved.

The effectiveness of the National Intervention Road Show in curbing irregular expenditure within the SAPS is apparent. Moving forward, the Supply Chain Management Division commits to ongoing collaboration with all divisions and provinces. Furthermore, the road show will focus on empowering newly appointed supply chain management practitioners in navigating the procurement landscape. The key aim is to support Provincial and Divisional Irregular Expenditure Committees in addressing and preventing irregular expenditure.
","Ongoing collaboration with all divisions and provinces, focusing on empowering new practitioners to navigate procurement and support Provincial and Divisional Irregular Expenditure Committees in addressing irregular expenditure.","0% increase/
decrease from
28 confirmed
incidents, in
2022/23 to 28, in 2023/24.",Non-compliance to prescripts.,A new round of National Intervention Road Show will be conducted after the finalisation of the Post Audit Action Plan with all the divisions and provinces with the primary objective of guiding the Provincial and Divisional Irregular Expenditure Committees and to finalise and prevent irregular spending.,"Despite the fact that the percentage increase is significant, only a small number of irregular expenditure incidents have been confirmed. 
",A national intervention road show will be conducted with all divisional and provincial personnel within the procurement environment with the primary objective of preventing incidences of irregular expenditure.,"Despite the fact that the percentage increase is significant, only a small number of irregular expenditure incidents have been confirmed.","A national intervention road show was conducted with all divisional and provincial personnel within the procurement environment with the primary objective of preventing incidences of irregular expenditure and remedial action was conducted by Procurement Policy Development to outline procurement prescripts, in order to prevent the reoccurrence of similar cases.","A total number of six cases, which were not identified during the 2023/24 financial year, were subsequently identified as irregular expenditure during the 4th quarter. Six cases were reported and confirmed during this quarter.","As it is evident that the National Intervention Road Show reduces cases of irregular expenditure within the SAPS, the Supply Chain Management Division will continue to consult with all divisions and provinces. Additionally, the road show will equip newly appointed supply chain management practitioners in the procurement environment with the primary objective of advising Provincial and Divisional Irregular Expenditure Committees to finalise and prevent irregular expenditure.",262
