Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,OTP_Q4,DesiredPerformance,OTP_Q1,OTP_Q2,OTP_Q3,National_Summary,National_Q1,National_Q2,National_Q3,National_Q4,UID
,Cooperative Governance,KwaZulu-Natal,Programme 1.	Administration,Sub Programme 1.1.	Office of the MEC,Quarterly,1.1.1 Number of site inspections conducted,Non-Standardized,Not  Applicable,Not Applicable,Build a caring and incorruptible government,"Governance, State Capacity and Institutional Development cluster",0,0,,,1,1,,,0,0,,,1,1,,,2,2,2,,,,,,,,,,,,,,209
,Cooperative Governance,KwaZulu-Natal,Programme 1.	Administration,Sub Programme 1.10. Strategic Planning and Service Delivery,Annually,1.10.1 Number of Annual Performance Plans developed,Non-Standardized,Not  Applicable,Not Applicable,Build a caring and incorruptible government,"Governance, State Capacity and Institutional Development cluster",,,,,,,,,,,,,1,1,,,1,1,1,,,,,,,,,,,,,,209
,Cooperative Governance,KwaZulu-Natal,Programme 1.	Administration,Sub Programme 1.10. Strategic Planning and Service Delivery,Annually,1.10.2 Number of Annual Operational Plans developed,Non-Standardized,Not  Applicable,Not Applicable,Build a caring and incorruptible government,"Governance, State Capacity and Institutional Development cluster",,,,,,,,,,,,,1,1,,,1,1,1,,,,,,,,,,,,,,209
,Cooperative Governance,KwaZulu-Natal,Programme 1.	Administration,Sub Programme 1.10. Strategic Planning and Service Delivery,Quarterly,1.10.3 Number of SDIPs monitored,Non-Standardized,Average,Not Applicable,Build a caring and incorruptible government,"Governance, State Capacity and Institutional Development cluster",1,1,,,1,1,,,1,1,,,1,1,,,1,1,1,,,,,,,,,,,,,,209
,Cooperative Governance,KwaZulu-Natal,Programme 1.	Administration,Sub Programme 1.10. Strategic Planning and Service Delivery,Quarterly,1.10.4 Percentage of Departmental complaints received monitored for resolution,Non-Standardized,Average,Not Applicable,Build a caring and incorruptible government,"Governance, State Capacity and Institutional Development cluster",100 %,100 %,,,100 %,1 %,,,100 %,100 %,,,100 %,100 %,,,100 %,"75,25 %",75.25,There were no complaints relating to Department were received for resolution monitoring during quarter one.,,,Please provide reason for deviation,,,,,,,,,,209
,Cooperative Governance,KwaZulu-Natal,Programme 1.	Administration,Sub Programme 1.11. Monitoring,Quarterly,1.11.1 Number of Performance reviews conducted,Non-Standardized,Not  Applicable,Not Applicable,Build a caring and incorruptible government,"Governance, State Capacity and Institutional Development cluster",1,1,,,1,1,,,1,1,,,1,1,,,4,4,4,,,,,,,,,,,,,,209
,Cooperative Governance,KwaZulu-Natal,Programme 1.	Administration,Sub Programme 1.12. Evaluation,Annually,1.12.1 Number of evaluation studies conducted on Departmental programmes,Non-Standardized,Not  Applicable,Not Applicable,Build a caring and incorruptible government,"Governance, State Capacity and Institutional Development cluster",,,,,,,,,,,,,1,1,,,1,1,1,,,,,,,,,,,,,,209
,Cooperative Governance,KwaZulu-Natal,Programme 1.	Administration,Sub Programme 1.13. Policy and Research,Quarterly,1.13.1 Number of Policies reviewed,Non-Standardized,Not  Applicable,Not Applicable,Build a caring and incorruptible government,"Governance, State Capacity and Institutional Development cluster",0,0,,,3,3,,,3,3,,,2,9,Additional policies were reviewed as requested by the ICT Directorate.,,8,15,15,,,,,,,,,,,,,,209
,Cooperative Governance,KwaZulu-Natal,Programme 1.	Administration,Sub Programme 1.13. Policy and Research,Quarterly,1.13.2 Number of policies monitored,Non-Standardized,Not  Applicable,Not Applicable,Build a caring and incorruptible government,"Governance, State Capacity and Institutional Development cluster",3,3,,,3,3,,,3,3,,,3,3,,,12,12,12,,,,,,,,,,,,,,209
,Cooperative Governance,KwaZulu-Natal,Programme 1.	Administration,Sub Programme 1.14. Legal Services,Quarterly,1.14.1 Percentage compliance with legislation,Non-Standardized,Average,Not Applicable,Build a caring and incorruptible government,"Governance, State Capacity and Institutional Development cluster",100 %,100 %,,,100 %,100 %,,,100 %,100 %,,,100 %,100 %,,,100 %,100 %,100,,,,,,,,,,,,,,209
