Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,National_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,National_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,National_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,National_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,OTP_Summary,National_Summary,ValidatedAudited_Summary2,UID
,Public Protector of South Africa,National,Programme 1: Administration,Programme 1: Administration,Annually,Obtain clean audit annually,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,Maintain a clean audit opinion for 2022/23 FY,,,N/A,N/A,,,,389
,Public Protector of South Africa,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Development of the ICT system,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,Requirements Gathering and Business Requirement signed.,"Achieved
Requirements
Gathering and
Business Requirements process completed and
signed-off.
",N/A,N/A,,,,,,,,,,,,,,,,,,,,,Development of the ERP system by 31 March 2024,-,,,,,,,389
,Public Protector of South Africa,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Implementation of the ICT system ,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,Approved business case of the CMS Self-Service Portal. ,"Achieved
Business Case for the CMS Self-Service Portal drafted and approved.
",N/A,N/A,,,,,,,,,,,,,,,,,,,,,Implementation of a CMS Self-Service Portal by 31 March 2024,-,,,,,,,389
,Public Protector of South Africa,National,Programme 2: Investigations,Programme 2: Investigations,Annually,Number of systemic investigations/interventions,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,2,,,N/A,N/A,,,,389
,Public Protector of South Africa,National,Programme 2: Investigations,Programme 2: Investigations,Quarterly,Number of cases finalised by means of advice given and / or assistance rendered,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,150,513,"As a result of established relations through MOUs and collaborations with other stakeholders, over achievement was recorded due to referrals and/or rejections for further handling by appropriate bodies.",N/A,,,150,,,,,,100,,,,,,100,,,,,,500,513,,,,,,,389
,Public Protector of South Africa,National,Programme 2: Investigations,Programme 2: Investigations,Quarterly,Number of cases finalised through investigation,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,500,562,Monitoring of investigations to ensure adherence to standard operating procedures and service standard.,N/A,,,600,,,,,,400,,,,,,500,,,,,,2000,562,,,,,,,389
,Public Protector of South Africa,National,Programme 2: Investigations,Programme 2: Investigations,Quarterly,Percentage of adherence to turnaround times in finalisation of cases,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,80 %,96 %,"Monitoring of investigations to ensure adherence with standard operating procedures, service standard and turnaround times.",N/A,,,80 %,,,,,,80 %,,,,,,80 %,,,,,,80 %,96 %,,,,,,,389
,Public Protector of South Africa,National,Programme 3: Stakeholder Management,Programme 3: Stakeholder Management,Quarterly,Number of activities executed in the implementation plan of the Integrated Access and Stakeholder Management Strategy,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,84,93,"The over achievement was due to identifying a bigger pool of CBOs to enable negations in Quarter 2. 
3 CBOs that met the set requirements will be selected for collaboration on advocacy matters at the grassroots level, through the negotiation processes.
",N/A,,,81,,,,,,82,,,,,,81,,,,,,328,93,,,,,,,389
,South African Human Rights Commission,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage implementation of Strategic Risks Treatment Plan,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",10 %,5 %,"Target not achieved.
",Finalise consultations and start implementing the Risk Treatment Plan.,,,40 %,,,,,,70 %,,,,,,100 %,,,,,,100 %,5 %,,,,,,,389
,South African Human Rights Commission,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage Implementation of Human Capital Management Plan,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",20 %,10 %,Target not achieved. ,Revision of Plan to be done in Q2.,,,35 %,,,,,,65 %,,,,,,90 %,,,,,,90 %,10 %,,,,,,,389
