Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q1,OTP_Q4,UID
Police, Safety and Liaison,KwaZulu-Natal,Programme 1: Administration,Sub-Programme 1.3: Financial Management,Annually,% External Audit recommendations implemented within specified timeframe,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build a caring and incorruptible government,"Justice, Crime Prevention and Security cluster",,,,,,,100 %,100 %,100 %,100 %,,100,,,,,,,,,,,,,,,59
Police, Safety and Liaison,KwaZulu-Natal,Programme 1: Administration,Sub-Programme 1.3: Financial Management,Annually,% Internal Audit recommendations implemented within specified timeframe,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build a caring and incorruptible government,"Justice, Crime Prevention and Security cluster",,,,,,,100 %,100 %,100 %,100 %,,100,,,,,,,,,,,,,,,59
Police, Safety and Liaison,KwaZulu-Natal,Programme 1: Administration,Sub-Programme 1.3: Financial Management,Quarterly,% of invoice received paid within 30 days,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build a Peaceful Province  ,"Justice, Crime Prevention and Security cluster",100 %,100 %,100 %,92 %,100 %,100 %,100 %,94 %,100 %,94 %,,,,,,,The lower percentage of invoices paid within 30 days were largely due to insufficient funds available during BAS release runs. These are dates when payments are released from the Department’s Bank account. The absence of funds can be ascribed to carry through costs from the previous financial year overcrowding the current years planned payments.,"The Department is hopeful that the rollover request that was submitted to Provincial Treasury will be approved and allocated during the Adjustment budget process.  
The non-receipt of the rollover would entail in-depth reprioritisation to ensure payments are made within 30 days.
",,,,,"The non-achievement of 100 percent is attributed to internal and external factors. These included CSD problems, especially in relation to Banking details differences on the BAS system. Internal factors included substantial technical problems with the BAS system in terms of optimal functioning to ensure payments are made within  30 days. The delay in receipt of Business Plan funding received during the Adjustment budget was also a huge factor in the substantial late payment made to the Department of Transport",Department to consult expert regarding controls to be put in place to get prior confirmation of the banking details registered on the BAS and CSD before department acknowledges the receipt of goods and services,,,59
Police, Safety and Liaison,KwaZulu-Natal,Programme 1: Administration,Sub-Programme 1.3: Financial Management,Quarterly,% Procurement spent on military veterans,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Job Creation,"Justice, Crime Prevention and Security cluster",2.5 %,0 %,2.5 %,0 %,2.5 %,0 %,2.5 %,0 %,10 %,0 %,,,,,All service providers are invited from CSD. Specific goal points are allocated to suppliers who are Military Veterans. ,Department to speed up the processes to identify or encourage military veterans to register with CSD.,All service providers are invited from CSD. Specific goal points are allocated to suppliers who are Military Veterans. Suppliers fail to provide proof and disclose they are Military Veteran status therefore making it difficult for the department to identify these suppliers. ,Department has required the intervention of Provincial & National Treasury to give a regulation/directive in law that allows departments to utilise supplier databases where people with disability have been identified. Currently departments can only utilise the Central Supplier Database which only selects suppliers per commodity & based on supplier addresses,"Kindly revise the corrective 
action statement as this indicator talks to military veterans not person with disability.",All service providers are invited from CSD. Specific goal points are allocated to suppliers who might have form of disability. Suppliers fail to provide proof of their disability therefore making it difficult to identify these suppliers.,"Department to speed up the processes to identify or encourage people living with disability to register with CSD. We will require the intervention of Provincial & National Treasury to give a regulation/directive in law that allows departments to utilise supplier databases where Military Veterans have been identified. Currently departments can only utilise the Central Supplier Database which only selects suppliers per commodity & based on supplier addresses Department allocates specific goal points to woman, youth, people with disability, and military veterans on their quotation documents.","Kindly revise the first 
sentence of the corrective action to talk to  military veterans.",All service providers are invited from CSD. Specific goal points are allocated to suppliers who are Military Veterans. Suppliers fail to provide proof of their Military Veteran status therefore making it difficult to identify these suppliers,The department suspended the indicator in 2025/26 plan for the National and Provincial Treasury to communicate a turnaround strategy on identification of military veterans during procurement process. ,,,59
Police, Safety and Liaison,KwaZulu-Natal,Programme 1: Administration,Sub-Programme 1.3: Financial Management,Quarterly,% Procurement spent on people with disabilities owned businesses,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Job Creation,"Justice, Crime Prevention and Security cluster",1.5 %,0 %,1.5 %,0 %,1 %,0 %,1 %,"3,24% %",5 %,1 %,,,,,All service providers are invited from CSD. Specific goal points are allocated to suppliers who might have form of disability. Suppliers fail to provide proof of their disability therefore making it difficult to identify these suppliers. The department will liaise with other departments to see how to invite suppliers to quote who have some form of disability.,Department to speed up the processes to identify or encourage people living with disability to register with CSD. ,All service providers are invited from CSD. Specific goal points are allocated to suppliers who might have form of disability. Suppliers fail to provide proof and disclose their status of disability therefore making it difficult for the department to identify these suppliers,Department has required the intervention of Provincial & National Treasury to give a regulation/directive in law that allows departments to utilise supplier databases where people with disability have been identified. Currently departments can only utilise the Central Supplier Database which only selects suppliers per commodity & based on supplier addresses.,,All service providers are invited from CSD. Specific goal points are allocated to suppliers who might have form of disability. Suppliers fail to provide proof of their disability therefore making it difficult to identify these suppliers.,Department to speed up the processes to identify or encourage people living with disability to register with CSD. We will require the intervention of Provincial & National Treasury to give a regulation/directive in law that allows departments to utilise supplier databases where people with disability have been identified. Currently departments can only utilise the Central Supplier Database which only selects suppliers per commodity & based on supplier addresses. The department attended a scm suppliers disability forum on 12 December 2024 where Provincial Treasury mentioned that they would provide department with a list of service providers database who are disable. We still await this database.,The reason for deviation and corrective action statement is noted. However the department should consider this in terms of planning in the next financial year.,Department planned to spend at least 5% on business owned by people with disability and has been achieving 0% for the past 3 quarters over-achievement covers the under achievement,Strategy to encourage and advise people living with disability to provide evidence supporting their disability assisted the department to easily identify and award portion of procurement to business owned by people living with disability.,,,59
Police, Safety and Liaison,KwaZulu-Natal,Programme 1: Administration,Sub-Programme 1.3: Financial Management,Quarterly,% Procurement spent on women owned businesses,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Job Creation,"Justice, Crime Prevention and Security cluster",10 %,40 %,10 %,71 %,10 %,13 %,10 %,"62,68% %",40 %,134 %,,,,,All service providers are invited from CSD. Specific  goal points are allocated to suppliers who are women owned businesses. CSD system generates suppliers for the official inviting quotations.,Actual achievement will be used as a baseline in 2025/26 plans,All service providers are invited from CSD. Specific goal points are allocated to suppliers who are women owned businesses. CSD system generates suppliers for the official inviting quotations,"The over-achievement is due to CSD selection.
Specific goals target points will be awarded be targeted group
",,All service providers are invited from CSD. Specific goal points are allocated to suppliers who are women owned businesses. CSD system generates suppliers for the official inviting quotations,"The over-achievement is due to CSD selection.
Specific goals target points will be awarded be targeted group.
",,All service providers are invited from CSD. Specific goal points are allocated to suppliers who are women owned businesses. More women owned business met the procurement requirement,More women owned business meet the CSD requirements. ,,,59
Police, Safety and Liaison,KwaZulu-Natal,Programme 1: Administration,Sub-Programme 1.3: Financial Management,Quarterly,% Procurement spent on youth owned businesses,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Job Creation,"Justice, Crime Prevention and Security cluster",7.5 %,26 %,7.5 %,66 %,7.5 %,8 %,7.5 %,"21,57% %",30 %,100 %,,,,,All service providers are invited from CSD. Specific goal points are allocated to suppliers who are youth owned enterprises. CSD system generates suppliers for the official inviting quotations.,Actual achievement will be used as a baseline in 2025/26 plans,All service providers are invited from CSD. Specific goal points are allocated to suppliers who are youth owned enterprises. CSD system generates suppliers for the official inviting quotations.,"The over-achievement is due to CSD selection.
Specific goals target points will be awarded be targeted group.
",,All service providers are invited from CSD. Specific goal points are allocated to suppliers who are youth owned enterprises. CSD system generates suppliers for the official inviting quotations.,"The over-achievement is due to CSD selection.
Specific goals target points will be awarded be targeted group.
",,All service providers are invited from CSD. Specific goal points are allocated to suppliers who are youth owned enterprises. Business owned by Youth qualified for the procurement criteria.,"The over-achievement is due to CSD, more youth owned business meet their requirements.",,,59
Police, Safety and Liaison,KwaZulu-Natal,Programme 1: Administration,Sub-Programme 1.4: Corporate Services,Annually,% of posts filled as per the approved structure,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Job Creation,"Justice, Crime Prevention and Security cluster",,,,,,,90 %,90 %,90 %,90 %,,"87,17",Exits due to retirement occurred in quarter 4 resulted in the under-achievement of this target,,,,,,,,,,,,,,59
Police, Safety and Liaison,KwaZulu-Natal,Programme 1: Administration,Sub-Programme 1.4: Corporate Services,Annually,% posts filled by employees with disabilities ,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Job Creation,"Justice, Crime Prevention and Security cluster",,,,,,,5 %,5 %,5 %,5 %,,"1,76",Limited application received from disabled applicant who meets the entry requirements of advertised post,,,,,,,,,,,,,,59
Police, Safety and Liaison,KwaZulu-Natal,Programme 1: Administration,Sub-Programme 1.4: Corporate Services,Annually,% representation of youth on staff establishment,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Job Creation,"Justice, Crime Prevention and Security cluster",,,,,,,30 %,30 %,30 %,30 %,,10,Majority of existing employees in the department were appointed as youth and remain beyond the youth age,,,,,,,,,,,,,,59
