Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,DesiredPerformance,UID
,Government Printing Works,National,Corporate Services,Facilities Management,Quarterly,Percentage refurbishment of GPW's Headquarters building,Non-Standardized,Not  Applicable,Not Applicable,"Justice, Crime Prevention and Security cluster",Project Execution Plan (PEP) developed and submitted for approval,Project Execution Plan (PEP) developed and submitted for approval,None,None,25% progress completed against the project execution plan,25% progress NOT completed against the Project Executive Plan due to approval delays,The official site handover took place on 5 September 2024. The Baseline plan in the PEP was impacted and led to the PEP being three months behind schedule. ,None,60% Progress completed against the project execution plan,"The Baseline plan in progress. Refurbishment program in progress and contractor has started with the works on the fifth (5) floor and is now busy on floors 4, 3 and 2. Scope of works: 
1. demolitions works started
2. sundry brickworks
3. A/C (ducting) in progress
4. Electrical cable and wiring 
Cleaning of Sewer 
Current progress percentage 20%
","The delays are attributed to construction activities, delayed approvals from the City of Tshwane, and logistical challenges (delivery of HVAC and lifts from oversees). Additionally, the Builders' Break started on 13 December 2024, and work resumed on 7 January 2025.",,90% completion of the Headquarters building( practical completion certificate issued) ,80% progress completed against the Project Execution Plan ,"Late connection of Electricity by the City of Tshwane, affecting different stages
 of commissioning.
• Furniture Delivery (Long lead items)
• ICT First Fix Items to be installed. 
• Temporary Parking SDP re-submitted to CoT.

","Project completion set for the 2025/26 financial year, in line with the new APP.",90% of the GPW's Headquarters building refurbished ,-,,,,,,158
,Government Printing Works,National,Corporate Services,Human Resources,Quarterly,70% of total workforce trained as per critical WSP identified priorities ,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Justice, Crime Prevention and Security cluster",10% of total workforce trained as per critical WSP identified priorities,23% (91/395) workforce trained as per the WSP priorities ,"Mandatory trained conducted by NSG,(CIP salary level 4-5)",None,25% of total workforce trained as per critical WSP identified priorities ,"57,72% (228/395) of total workforce trained as per critical WSP identified priorities","Mandatory training from DPSA and NSG (POPI Act, First Aid and Emergency Evacuation Trainings)",None,25% of total workforce trained as per critical WSP identified priorities ,"203/51,4% total workforce trained as per critical WSP identified priorities",The over achievement was because of the mandatory trainings in OHS,,10% of total workforce trained as per critical WSP identified priorities ,17.7% of total workforce trained as per critical WSP identified priorities ,Some of the Quarter 3 training interventions were recovered during Quarter 4 (i.e. NKP training).,,70% of total workforce trained as per critical WSP identified priorities,-,,,,,,158
,Government Printing Works,National,Corporate Services,Human Resources,Quarterly,Number of unemployed young people recruited for Artisan and Graduate skills development programmes,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Justice, Crime Prevention and Security cluster",Skills and areas of placement  identified and a skills development programme developed,Skills and areas of placement identified for various  in collaboration with all branches (covering all programmes),None,None,Artisan and graduate skills development programme submitted for approval and intake advertised ,Artisan and Graduate Skills development intake advertised ,None,None,Artisan and graduate skills development programme shortlisting completed,3 Artisan and Graduate skills development programme shortlisting completed,"The non-achievement of the target was due to high number of applications that was received electronically without the system sorting.  The sorting delayed the commencement of shortlisting.
The IT folder for applications requires internet for access. The two (2) boardrooms used for shortlisting does not have internet access.
Limited access to printers and network availability delayed the shortlisting process.

",More shortlisting’s planned for January 2025,Interviews completed and offer letters awarded to 20 unemployed young people ,Interviews completed and offer letters issued to 37 unemployed young people,"The Recruitment drive was exerted based on priorities highlighted in the SONA 2024/25, with emphasis placed on dealing with the youth unemployment",,20 unemployed  young people recruited for Artisan and Graduate skills development programmes,-,,,,,,158
,Government Printing Works,National,Corporate Services,Human Resources,Quarterly,Percentage Implementation of the change management plan,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Justice, Crime Prevention and Security cluster",10% Change Management plan implemented in line with the approved quarterly deliverables ,10% Change Management plan not implemented in line with the approved quarterly deliverables ,The progress to appoint a service provider for the training of the change agents still need to be finalised.,,20% Change Management plan implemented in line with the approved quarterly deliverables ,"20% Change Management plan implemented in line with the approved quarterly deliverables:
•	Change Management training was conducted for Change Management Technical Committee (CMTC),
•	CMTC meeting convened       •	Draft Communication and Resistance Plan developed

",None,None,20% Change Management plan implemented in line with the approved quarterly deliverables ,20% Change Management plan implemented in line with the approved quarterly deliverables,None,,10% Change Management plan implemented in line with the approved quarterly deliverables ,10% Change Management plan implemented in line with the approved quarterly deliverables,None,,60% implementation of Change Management plan,-,,,,,,158
,Government Printing Works,National,Corporate Services,Human Resources,Quarterly,Percentage implementation of the GPW Gender based Violence and Femicide plan,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",GPW Gender based Violence and Femicide Plan developed and submitted for approval by the CEO,GPW Gender based Violence and Femicide Plan developed and submitted for approval by the CEO,None ,None,20% GPW  Gender- based Violence and Femicide Plan implemented ,"20% GPW Gender-based violence and femicide plan implemented
•	Communication issued on GBV and Femicide to enhance awareness
",None,None,20% GPW  Gender- based Violence and Femicide Plan implemented ,20% GPW Gender-based Violence and Femicide Plan implemented,None,,20% GPW  Gender- based Violence and Femicide Plan implemented ,20% GPW Gender-based Violence and Femicide Plan implemented,None,,60% GPW Gender based Violence and Femicide Plan implemented,-,,,,,,158
,Government Printing Works,National,Corporate Services,Information Communication and Technology,Quarterly,Percentage of the required capability for the GPW Information Systems and Digital Services Ecosystem Platform in line with Disaster Management Act and good governance achieved,Non-Standardized,Not  Applicable,Not Applicable,"Justice, Crime Prevention and Security cluster",Implementation  report on the previous financial year produced and submitted to the CEO,Implementation  report on the previous financial year produced and submitted to the CEO,,None,5% of the required capability for the GPW Information System and Digital services Ecosystem Platform in line with Disaster Management Act and good governance achieved ,5% not achieved pending the conclusion of procurement processes for the ERP and e-Gazette system,"Delays on the appointment of service providers for ERP and e-gazette.


",None,5% of the required capability for the GPW Information System and Digital services Ecosystem Platform in line with Disaster Management Act and good governance achieved ,"1.	Bid Evaluation Committee (BEC) Concluded for the award and appointment of the service provider to provide Maintenance and Support for the e-Gazette System and associated software licenses. Awaiting Bid Adjudication Committee (BAC). The e-Gazette project is closed.

2.	Enterprise Resource Planning (ERP) procurement via SITA SCM (Oracle Framework served Executive Bid Adjudication Committee (EBAC) on the 12-December-2024 for publication approval.
","Target not achieved SCM processes for appointment of eGazette service provider still in-progress awaiting BAC.

Target not achieved SITA SCM process for ERP procurement still in-progress EBAC approval for publication.
",,5% of the required capability for the GPW Information System and Digital services Ecosystem Platform in line with Disaster Management Act and good governance achieved ,"5% of the required capability for the GPW Information System and Digital Services Ecosystem Platform in line with Disaster Management Act and good governance NOT achieved

","
 
Dependencies on procurement processes.

• Only achieved re-automation of e-Gazette
• The Oracle Framework was only approved on the 24th of March 2025 by SITA and Oracle
• Support contract for eGazette: SCM processes still ongoing. 

","ICT Strategy and Implementation Plan milestones to be recovered in the 2025/26 financial year, in line with the new APP.",15% of the required Capability for the GPW Information Systems and Digital Services Ecosystem Platform in line with Disaster Management Act and good governance achieved,-,,,,,,158
,Government Printing Works,National,Corporate Services,Security Services,Quarterly,Percentage implementation of the approved GPW security management plan,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",100% implementation of the approved security management plan,75% implementation of the approved security management plan,"Review of the Whistleblowing Policy, Fraud Investigation Policy and Vetting Procedures conducted in consultation with key stakeholders and subject to finalisation",,100% implementation of the approved security management plan in line with quarter 2 deliverables ,"100% implementation of the approved security management plan in line with quarter 2 deliverables 
•	15 x Vetting files submitted to SSA.
•	12 x Fraud, corruption, and security awareness campaign conducted.
•	Document security operations procedures submitted for approval and Anti-Corruption policy/strategy approved. 
•	Security Audit conducted at Bosman and Masada/publication buildings.
",None,None,100% implementation of the approved security management plan in line with quarter 3 deliverables ,100% implementation of the approved security management plan in line with quarter 3 deliverables,None,,100% implementation of the approved security management plan in line with quarter 4 deliverables ,100% of the approved security management plan in line with quarter 4 deliverables implemented,None,,100% implementation of the approved security management plan,-,,,,,,158
,Government Printing Works,National,Manufacturing and Engineering,Manufacturing and Engineering,Quarterly,Percentage of Examinations papers produced that conform to client's specifications,Non-Standardized,Not  Applicable,Priority 7: A better Africa and the World,"Justice, Crime Prevention and Security cluster",100% of Examination Papers produced that conform to the client's specifications ,100% of 3 806 842 Examination Papers produced that conform to the client's specifications ,None,None,100% of Examination Papers produced that conform to the client's specifications ,100% of 3 706 515 Examination Papers produced that conform to client specifications,None,None,100% of Examination Papers produced that conform to the client's specifications ,100% of 12  336 824 Examination Papers produced that conform to client specifications,None,,100% of Examination Papers produced that conform to the client's specifications ,"100% of 446 510 Examination Papers produced that conform to client specifications
",None,,100% of Examination Papers produced that conform to the client's specifications ,-,,,,,,158
,Government Printing Works,National,Manufacturing and Engineering,Manufacturing and Engineering,Quarterly,Percentage of High Security Certificate produced that conform to client specifications,Non-Standardized,Not  Applicable,Priority 7: A better Africa and the World,"Justice, Crime Prevention and Security cluster",99% of High Security Certificates produced that conform to client specifications,99% of 6 651 928 High Security Certificates produced that conform to client specifications,None ,None,99% of High Security Certificates produced that conform to client specifications,99% of 3 777 086 High Security Certificates produced that conform to client specifications,None,None,99% of High Security Certificates produced that conform to client specifications,99% of 2 607 010 High Security Certificates produced that conform to client specifications,None,,99% of High Security Certificates produced that conform to client specifications,"99% of 6 212 640 High Security Certificates produced that conform to client specifications
",None,,99% of High Security Certificates produced that conform to client specifications,-,,,,,,158
,Government Printing Works,National,Manufacturing and Engineering,Manufacturing and Engineering,Quarterly,Percentage of Identity Documents/Cards produced that conform to client's specifications,Non-Standardized,Not  Applicable,Priority 7: A better Africa and the World,"Justice, Crime Prevention and Security cluster",100% of Identity Documents/Cards produced that conform to clients specifications,100% of  774 419 Identity Documents/Cards produced that conform to clients specifications,None,None ,100% of Identity Documents/Cards produced that conform to clients specifications,100% of 905 722 Identity Documents/ cards produced that conform to client specifications.,None,None,100% of Identity Documents/Cards produced that conform to clients specifications,100% of 1 017 588 Identity Documents/ cards produced that conform to client specifications,None,,100% of Identity Documents/Cards produced that conform to clients specifications,100% of 965 420 Identity Documents/ cards produced that conform to client specifications,None,,100% of Identity Documents/Cards produced that conform to clients specifications,-,,,,,,158
