Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,National_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,National_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,OTP_Q1,OTP_Q2,UID
,"Sport, Arts and Culture",Limpopo,Programme 1: Administration,Programme 1: Administration,Annually,Default,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,Test 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,153
,"Sport, Arts and Culture",Limpopo,Programme 1: Administration,Programme 1: Administration,Quarterly,Default,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,Test 1,,,,,,,,,,,,,,,,,,,,,-,,,,,,,153
,"Sport, Arts and Culture",Limpopo,Programme 1: Administration,Programme 1: Administration,Quarterly,Number of capacity building programmes implemented,Non-Standardized,Max,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",2,2,None,None,Achieved as planned.,2,2,None,None,2,2,None,None,Achieved,Achieved as planned.,2,2,None,None,2,2,,,,,,,153
,"Sport, Arts and Culture",Limpopo,Programme 1: Administration,Programme 1: Administration,Quarterly,Number of employee health and wellness programmes implemented,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"Governance, State Capacity and Institutional Development cluster",1,1,None,None,Achieved as planned.,2,2,None,None,2,2,None,None,Achieved,Achieved as planned.,1,1,None,None,6,6,,,,,,,153
,"Sport, Arts and Culture",Limpopo,Programme 1: Administration,Programme 1: Administration,Quarterly,Number of GBV&F workshops conducted  ,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,7. Strengthen crime prevention and social cohesion (2019-2024),"The Social Protection, Community and Human Development cluster",3,3,None,None,Achieved as planned.,3,3,None,None,3,3,None,None,Achieved,Achieved as planned.,3,3,None,None,12,12,,,,,,,153
,"Sport, Arts and Culture",Limpopo,Programme 1: Administration,Programme 1: Administration,Quarterly,Number of skills development interventions implemented,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",4,5,One (1) additional training funded and provided by Office of the Premier,None ,"Over-achieved, reason for deviation provided.",7,7,None,None,7,9,Target exceeded due to training programmes offered through Office of the Premier.,None,Achieved,Achieved as planned.,4,4,None,None,22,25,,,,,,,153
,"Sport, Arts and Culture",Limpopo,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage of valid invoices paid within 30 days,Standardized,Max,Priority 2: Economic Transformation And Job Creation,2. Transformation and modernisation of the provincial economy (2019-2024),"The Economic Sectors, Employment and Infrastructure Development cluster",100 %,99.6 %,Payments were processed but got rejected due to closed bank accounts and re-issued on BAS.,The rejected payments will not be re-issued but will be cancelled from the BAS system and recaptured when the correct banking details are submitted.,"Not achieved, reason for deviation provided.",100 %,100 %,None,None,100 %,100 %,None,None,Achieved,Achieved as planned.,100 %,100 %,None,None,100 %,100 %,,,,,,,153
,"Sport, Arts and Culture",Limpopo,Programme 1: Administration,Programme 1: Administration,Quarterly,"Percentage preferential procurement spend by sex/gender, age and disability",Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,2. Transformation and modernisation of the provincial economy (2019-2024),"The Economic Sectors, Employment and Infrastructure Development cluster","Minimum 40% target for 
Women, 30% for Youth 
and 7% for persons with 
disabilities
"," 
Women:48.68%
Youth:31.75%
Persons with Disabilities: 1.59%

",Most people living with disability are not providing proof such as a medical certificate from medical Practitioner to claim points. ,Persons with disabilities will be encouraged to submit proof of disabilities.,"Not achieved, no reason for deviation provided.","Minimum 40% target for 
Women, 30% for Youth 
and 7% for persons with 
disabilities
","Women =52.53%
Youth=36.09%
PwD =12.54%
",None,None,"Minimum 40% target for 
Women, 30% for Youth 
and 7% for persons with 
disabilities
","Women: 55%
Youth: 30%
and
Person with disabilities: 11%
",None,None,Achieved,Provide reason for overachievement ,"Minimum 40% target for 
Women, 30% for Youth 
and 7% for persons with 
disabilities
","Women = 70.53%
Youth = 54.50%
PwD = 7.90%
",The department fully implemented the approved departmental Preferential Procurement Policy. The selection of bidders was at all material times centred on previously disadvantaged individuals.,None,"Minimum 40% target for 
Women, 30% for Youth 
and 7% for persons with 
disabilities
",-,,,,,,,153
,"Sport, Arts and Culture",Limpopo,Programme 1: Administration,Sub-programme 1: Office of the MEC,Annually,deafult,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,153
,"Sport, Arts and Culture",Limpopo,Programme 1: Administration,Sub-programme 1: Office of the MEC,Quarterly,deafult,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,No annual and quarterly target set.,,,,,,,,,,,,,,,,-,,,,,,,153
