Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,National_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,National_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,National_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,National_Q4,DesiredPerformance,OTP_Summary,UID
Environmental Affairs,Environmental Affairs,Western Cape,Programme 1:  Administration ,Programme 1:  Administration ,Annually,1.1 Audit opinion obtained in respect of previous financial year,Non-Standardized,Not  Applicable,Not Applicable,"Enable a resilient, sustainable, quality and inclusive living environment","The Economic Sectors, Employment and Infrastructure Development cluster",,,Unqualified Audit Report,Unqualified Audit Report,,,,,Unqualified Audit Report,Unqualified Audit Report,Unqualified Audit Report,N/A,N/A,,,,,,,,,,,,,,,,,,,,201
Environmental Affairs,Environmental Affairs,Western Cape,Programme 1:  Administration ,Programme 1:  Administration ,Annually,1.2 Approved Departmental Communication Plan,Non-Standardized,Not  Applicable,Not Applicable,"Enable a resilient, sustainable, quality and inclusive living environment","The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,1,1,1,1,1,N/A,N/A,,,,,,,,,,,,,,,,,,,,201
Environmental Affairs,Environmental Affairs,Western Cape,"Programme 2: Environmental Policy,  Planning and Coordination  ","Sub-Programme 2.1: Intergovernmental Coordination, Spatial and Development Planning",Annually,2.1.1 Number of Inter-governmental sector programmes implemented,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",VIP 5: Innovation and Culture,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,2,2,2,2,2,N/A,N/A,,,,,,,,,,,,,,,,,,,,201
Environmental Affairs,Environmental Affairs,Western Cape,"Programme 2: Environmental Policy,  Planning and Coordination  ",Sub-Programme 2.2: Legislative Development,Annually,2.2.1 Number of legislated tools developed ,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Enable a resilient, sustainable, quality and inclusive living environment","The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,1,1,1,1,1,N/A,N/A,,,,,,,,,,,,,,,,,,,,201
Environmental Affairs,Environmental Affairs,Western Cape,"Programme 2: Environmental Policy,  Planning and Coordination  ",Sub-Programme 2.3: Research and Development Support,Annually,2.3.1 Number of environmental research projects completed,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Enable a resilient, sustainable, quality and inclusive living environment","The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,201
Environmental Affairs,Environmental Affairs,Western Cape,"Programme 2: Environmental Policy,  Planning and Coordination  ",Sub-Programme 2.3: Research and Development Support,Annually,2.3.2 Report on the Western Cape Green Economy,Non-Standardized,Not  Applicable,Not Applicable,VIP 2: Growth and Jobs,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,1,1,1,1,1,N/A,N/A,,,,,,,,,,,,,,,,,,,,201
Environmental Affairs,Environmental Affairs,Western Cape,"Programme 2: Environmental Policy,  Planning and Coordination  ",Sub-Programme 2.4: Environmental Information Management,Annually,2.4.1 Number of functional environmental information management systems maintained,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Enable a resilient, sustainable, quality and inclusive living environment","The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,2,2,2,2,2,N/A,N/A,,,,,,,,,,,,,,,,,,,,201
Environmental Affairs,Environmental Affairs,Western Cape,"Programme 2: Environmental Policy,  Planning and Coordination  ",Sub-Programme 2.5: Climate Change Management,Annually,2.5.1 Number of climate change response interventions implemented,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",VIP 2: Growth and Jobs,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,2,2,2,2,2,N/A,N/A,,,,,,,,,,,,,,,,,,,,201
Environmental Affairs,Environmental Affairs,Western Cape,"Programme 2: Environmental Policy,  Planning and Coordination  ",Sub-Programme 2.5: Climate Change Management,Annually,2.5.2 Develop a Status Quo assessment report for Short lived climate forcers within the Western Cape,Non-Standardized,Not  Applicable,Not Applicable,VIP 2: Growth and Jobs,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,1,1,1,1,1,N/A,N/A,,,,,,,,,,,,,,,,,,,,201
Environmental Affairs,Environmental Affairs,Western Cape,"Programme 2: Environmental Policy,  Planning and Coordination  ",Sub-Programme 2.5: Climate Change Management,Annually,2.5.3 Compile a Report on Adaptation pathway analysis for the Western Cape,Non-Standardized,Not  Applicable,Not Applicable,"Enable a resilient, sustainable, quality and inclusive living environment","The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,1,1,1,1,1,N/A,N/A,,,,,,,,,,,,,,,,,,,,201
