Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,OTP_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,ReasonforDeviation_Q1,CorrectiveAction_Q1,National_Q1,National_Q4,National_Q2,National_Q3,DesiredPerformance,UID
,Cooperative Governance,Gauteng,Programme 1.	Administration,Sub Programme 1.1.	Office of the MEC,Quarterly,Default,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,Governance and Administration cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191
,Cooperative Governance,Gauteng,Programme 1.	Administration,Sub Programme 1.2.	Corporate Services,Annually,Number of learners with  disabilities awarded with  bursaries,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,"10 Learners with 
disabilities awarded 
bursaries",10 Learners with disabilities were awarded bursaries.,"10 Learners with 
disabilities awarded 
bursaries",10 Learners with disabilities were awarded bursaries.,,,,,,,,,,,,,,,,,,,,,,191
,Cooperative Governance,Gauteng,Programme 1.	Administration,Sub Programme 1.2.	Corporate Services,Quarterly,Default,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,Governance and Administration cluster,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,191
,Cooperative Governance,Gauteng,Programme 1.	Administration,Sub Programme 1.2.	Corporate Services,Quarterly,Number of Anti GBVF Intervention/campaigns for traditional leadership (Pillar 2: Prevention and Restoration of Social Fabric of the NSP,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Safety, Social Cohesion and Food Security","The Social Protection, Community and Human Development cluster",No target planned,,No target planned,,2 Anti GBVF Intervention/campaigns for traditional leadership (Pillar 2: Prevention and Restoration of Social Fabric of the NSP),"No Anti GBVF Intervention/campaign for traditional leadership was implemented during the third quarter. There were numerous GBV activities that the Department engaged in, whereby support to municipalities and National Programmes were supported and attended to. The Department provided mobilisation, coordination of events and also facilitation of events related to Anti GBVF programmes through partnerships and requests for coordination and participation.",No target planned,,2 Anti GBVF Intervention/campaigns for traditional leadership (Pillar 2: Prevention and Restoration of Social Fabric of the NSP),-,,,,,N/A,,,,"The planning for Anti GBVF
Intervention/campaign for traditional leadership was not finalised in time.",The target will be implemented during the fourth quarter.,Target achieved.,,,,,,,,,,,191
,Cooperative Governance,Gauteng,Programme 1.	Administration,Sub Programme 1.2.	Corporate Services,Quarterly,Number of Capacity  Building Initiatives on GEYODI & GBVF  Mainstreaming,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Building a Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",No target planned,,1 Capacity building Initiative on Gender Mainstreaming & GBVF implemented,1 Capacity building Initiative on Gender Mainstreaming & GBVF was conducted in Tshwane.,1 Capacity building Initiative on Gender Mainstreaming & GBVF implemented,1 Capacity building Initiative on Gender Mainstreaming & GBVF was implemented in the City of Tshwane.,2 Capacity building Initiatives on Gender Mainstreaming & GBVF implemented,2 Capacity building initiatives were implemented during the quarter.,"4 Capacity building 
Initiatives on Gender 
Mainstreaming & GBVF",-,,,,,N/A ,,,Target achieved,,,Target noted achieved. Please provide RoD and Corrective Actions upon approval.,,,Target achieved.,,,,,,,,191
,Cooperative Governance,Gauteng,Programme 1.	Administration,Sub Programme 1.2.	Corporate Services,Quarterly,Number of Equity targets  reached for women in  SMS positions and people  with disabilities,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"Economy, Jobs and Infrastructure ","The Economic Sectors, Employment and Infrastructure Development cluster","40% of Women in SMS 
positions and 4% people 
with disabilities.","The Department had 39% female appointees at SMS as of 30 June 2024. The Department employed fourteen (14) people with disabilities as of 30 June 2024 and this translates to 2,2% of the staff complement.","40% of Women in SMS 
positions and 4% people 
with disabilities.","The Department had 39% female appointees at SMS as of 30 September 2024. The Department employed fourteen (14) people with disabilities as of 30 September 2024 and this translates to 2,25% of the staff complement.","40% of Women in SMS 
positions and 4% people 
with disabilities.",The Department had 39.4% female appointees at SMS level and 2.3% people with disabilities were appointed as of 31 December 2024.,"40% of Women in SMS 
positions and 4% people 
with disabilities.","The Department had 35% female appointees at SMS level and 1,93% people with disabilities were appointed as of the end of quarter 4.","40% of Women in SMS 
positions and 4% people 
with disabilities.",-,,,,,In the output provided there is no expression of performance output towards the target of 4% for people with disabilities,The limitation placed by circular 49 of 2023 and extension of the same by circular 20 of 2024 for recruiting for vacant posts. , A concurrence submission to advertise vacant post has been approved by the Premier and the posts have been advertised in the 2nd quarter.  The recruitment process is underway.,Target not achieved ,"The implementation of cost containment measures, requiring the concurrence of both the Office of the Premier and Gauteng Provincial Treasury, necessitated a delay in the advertisement process for posts designated for women in SMS and individuals with disabilities.
",Recruitment for positions targeting women in SMS and individuals with disabilities is expedited but filling all prioritised posts may be limited by funding constraints including the wage settlement. ,Target achieved.,"No new appointments were made at the SMS level in quarter 4, and no persons with disability were appointed.",The Department will review its Organisational Structure in line with the current MTEF budget allocation.  Funding will be reprioritised for vacancies that address the targets for women in SMS and People With Disabilities. The Department will engage the Gauteng Provincial Treasury about additional funding required for the Cost of Employment Budget shortfall to fund currently occupied posts and vacancies.,Target achieved.,The limitation is placed by circular 49 of 2023 and circular 20 of 2024 for recruiting for vacant posts.,A concurrence submission to advertise a vacant post has been submitted (April 2024) to the Office of the Premier and the Department is still awaiting a response.  The request for concurrence to advertise includes vacant SMS posts.,,,,,,191
,Cooperative Governance,Gauteng,Programme 1.	Administration,Sub Programme 1.2.	Corporate Services,Quarterly,Number of Municipalities monitored on the implementation of GBVF responsive programmes (Final M&E Plan for NSP on GBVF) (Pillar 2: Prevention and Restoration of Social Fabric),Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Building a Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster","1 Municipality 
monitored on the 
implementation of 
GBVF responsive 
programmes",1 Municipality (City of Johannesburg) was monitored on the implementation of GBVF responsive programmes.,"1 Municipality 
monitored on the 
implementation of 
GBVF responsive 
programmes","Sedibeng District, Midvaal Local, Merafong Local & Tshwane Metropolitan Municipalities were monitored and supported.","1 Municipality 
monitored on the 
implementation of 
GBVF responsive 
programmes",City of Tshwane was monitored and supported on GBVF responsive programmes.,"1 Municipality 
monitored on the 
implementation of 
GBVF responsive 
programmes",Emfuleni Local Municipality was monitored and supported on GBVF responsive programmes.,"2 Municipalities monitored 
on the implementation of 
GBVF responsive 
programmes",-,,,,,Target achieved,"Extension of monitoring and support efforts to Sedibeng, City of Tshwane, Midvaal and Merafong to address a broader range of development challenges effectively. ",None.,Target exceeded,,,Target noted achieved. Please provide RoD and Corrective Actions upon approval.,,,Target not achieved.,,,,,,,,191
,Cooperative Governance,Gauteng,Programme 1.	Administration,Sub Programme 1.2.	Corporate Services,Quarterly,Number of Persons with Disabilities empowered on Entrepreneurship (B-BBEE Incubation Programme),Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"Economy, Jobs and Infrastructure ","The Economic Sectors, Employment and Infrastructure Development cluster",25 Persons with Disabilities empowered on Entrepreneurship (B-BBEE Incubation Programme) ,27 Persons with Disabilities were incubated in Westrand and Sedibeng Districts.,No target planned ,,No target planned ,,No target planned ,,25 Persons with Disabilities empowered on Entrepreneurship (B-BBEE Incubation Programme) ,-,,,,,Target exceeded,,,,,,,,,,There was over-achievement due to the high demand for Persons with Disabilities to be empowered through the programme.,,,,,,,191
,Cooperative Governance,Gauteng,Programme 1.	Administration,Sub Programme 1.2.	Corporate Services,Quarterly,Percentage of invoices  paid in 15 days,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"Economy, Jobs and Infrastructure ","The Economic Sectors, Employment and Infrastructure Development cluster","100% of undisputed 
invoices paid in 15 days",100% of undisputed invoices has been paid within 15 days.,"100% of undisputed 
invoices paid in 15 days",99% of undisputed invoices were paid within 15 days.,"100% of undisputed 
invoices paid in 15 days",100% of undisputed invoices were paid in 15 days.,"100% of undisputed 
invoices paid in 15 days",100% of undisputed invoices were paid within 15 days.,"100% of undisputed 
invoices paid in 15 days",-,,,,,Target achieved,SAP and SITA system downtime. ,Improvement of system capabilities.,Target not achieved ,,,Target achieved.,,,Please provide actual output upon approval.,,,,,,,,191
,Cooperative Governance,Gauteng,Programme 1.	Administration,Sub Programme 1.2.	Corporate Services,Quarterly,Percentage of procurement  from township-based  companies through the  RFQ process,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"Economy, Jobs and Infrastructure ","The Economic Sectors, Employment and Infrastructure Development cluster","5% of procurement 
from township based companies
through the RFQ 
process ","49,33% of procurement 
from township based companies
through the RFQ 
process ","5% of procurement 
from township based companies
through the RFQ 
process ","47,55% of procurement from township-based companies was through the RFQ process.","10% of procurement 
from township-based 
companies through 
the RFQ process","26,5% of procurement on RFQs was from township-based companies","10% of procurement 
from township-based 
companies through 
the RFQ process","62,85% of procurement on RFQs was from township-based companies","30% of procurement from 
township-based companies
through the RFQ process",-,,,,,Target achieved,More focus was placed on township based companies.,None.,Target exceeded,Township-based companies were encouraged to participate when RFQs were issued.,,Target noted achieved. Please provide RoD and Corrective Actions upon approval.,More focus was placed on township-based companies.,,Please provide actual output upon approval.,More focus was placed on township-based companies. ,,,,,,,191
