Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,UID
,"Agriculture, Land Reform and Rural Development",National,Programme 1: Administration,Financial Management Services,Annually,1.1.1 Unqualified audit opinion,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",,,Unqualified audit opinion on the 2022/23 annual financial statements,Unqualified Audit Opinion on the 2022-2023 Financial Statements,,,,,Unqualified audit opinion on the 2022/23 annual financial statements,,,N/A,N/A,,,,,,,,,,198
,"Agriculture, Land Reform and Rural Development",National,Programme 1: Administration,Financial Management Services,Quarterly,1.2.1 Percentage of valid invoices paid within 30 days upon receipt by the department,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",100 %,99 %,100 %,"
97% %",100 %,99% %,100 %,83 %,100 %,99 %,87,"System challenges, incorrect/incomplete supporting documents ,rejected and re issued payments resulted in delayed payments within 30 days.",N/A,,"n
Delay in submission of invoices by line function","Awareness on payment of invoices within 30 days will be republished on Departments' ICM.

Monitoring of weekly payments at hand.
 
Communication with the affected line function on the delay in submission of invoices to Finance
","Picking up invalid invoices  while in the process towards payment  affected  calculation negatively.
","Create awareness to all officials in finance to sort out  invoices so that to only subject valid ones to 30 days turn around times.
","Delays by business units to approve/submit invoices for processing.

","Awareness on payment of invoices within 30 days will be republished on the Departmental internal Communication platform (ICM).
","Delays by business units to approve/submit invoices for processing and  Incomplete supporting documents caused delayed to finalise payments on time.
",Continuous sensitization to user directorates to submit invoices for payments within 30 days.,198
,"Agriculture, Land Reform and Rural Development",National,"Programme 2: Agricultural Production, Biosecurity and Natural Resources Management",Animal Production and Health,Quarterly,3.1.2 Number of animal disease risk surveillance conducted,Non-Standardized,Not  Applicable,"Vibrant, equitable, sustainable rural communities contributing towards food security for all","The Social Protection, Community and Human Development cluster","3 
animal disease risk surveillances conducted (CBPP, PPR and FMD)","
3 animal disease (CBPP, PPR and FMD)
 risk surveillances were conducted 


","3 animal disease risk surveillances conducted (CBPP, PPR and FMD)","3 animal disease (CBPP, PPR and FMD) risk surveillances were conducted","3 animal disease risk surveillances conducted (CBPP, PPR and FMD)","3 animal disease risk surveillances (CBPP, PPR and FMD) conducted","3 animal disease risk surveillances conducted (CBPP, PPR and FMD)","3 animal disease risk surveillances conducted (CBPP, PPR and FMD)
 were conducted
","3 animal disease risk surveillances conducted (CBPP, PPR and FMD)",-,"3 animal disease risk surveillances (CBPP, PPR and FMD) were conducted
",N/A,N/A,"3 animal disease risk surveillances (CBPP, PPR and FMD) were conducted.",n/a,n/a,N/A,N/A,N/A,N/A,N/A,N/A,198
,"Agriculture, Land Reform and Rural Development",National,"Programme 2: Agricultural Production, Biosecurity and Natural Resources Management",Natural Resources and Disaster Management,Quarterly,2.2.1 Number of provinces with delineated protected agricultural areas (PAAs),Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",Spatial delineation - MP,"Spatial delineation for Mpumalanga (MP)  on grazing protected agricultural area (PAA) was done. 
",Spatial delineation - KZN,"Spatial delineation for KwaZulu Natal (KZN)  on grazing protected agricultural area (PAA) was done. 
",Spatial delineation - GP,Spatial delineation for Gauteng(GP)  on grazing protected agricultural area (PAA) was completed,"Spatial delineation - (MP, KZN and GP)","3 provinces with grazing  PAAs
","3 provinces with grazing PAAs (MP, KZN and GP)",-,"3 provinces with grazing PAAs (MP, KZN and GP) were delineated",N/A,N/A,"3 provinces with grazing PAAs (MP, KZN and GP) were delineated.",n/a,n/a,N/A,N/A,N/A,N/A,N/A,N/A,198
,"Agriculture, Land Reform and Rural Development",National,"Programme 2: Agricultural Production, Biosecurity and Natural Resources Management",Natural Resources and Disaster Management,Quarterly,3.2.1 Number of subsistence producers supported with integrated bioenergy (biogas) technology,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",3,3,4,4,3,3 Subsistence producers ( KZN:1 and LP:2) were supported with integrated bioenergy,3,"3 (FS:1 and LP:2) Subsistence producers supported with integrated bioenergy (Biogas) technology
",13,10,13,N/A,N/A,13,n/a,n/a,N/A,N/A,N/A,N/A,N/A,N/A,198
,"Agriculture, Land Reform and Rural Development",National,"Programme 2: Agricultural Production, Biosecurity and Natural Resources Management",Plant Production and Health,Quarterly,2.1.1 Hemp Seed Certification Scheme developed,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Not Applicable,-,-,Stakeholder consultation,The DALRRD held a consultative stakeholder meeting on the 27th September 2023(Virtually). ,Final Draft Hemp Seed Certification Scheme,Final Draft Hemp certifications scheme developed,Hemp Seed Certification Scheme submitted to the minister for approval,"The Hemp certification scheme  submission was sent to Legal Services for evaluation towards end of March as part of the process to eventually submitting legally sound scheme to Minister for approval.  
",Hemp Seed Certification Scheme submitted to the minister for approval,-,The Hemp certification scheme  submission was sent to Legal Services for evaluation  as a process to eventually submitting legally sound scheme to Minister for approval,"The legal services opinion was not received before  end of financial year to allow the process of 
further processing to the Minister",The Hemp certification scheme is enroute to the Minister for approval,The Hemp Certification Scheme   submission was sent to the Legal Services Unit for evaluation   as a process to eventually submitting legally sound scheme to the Minister for approval.,-,-,N/A,N/A,N/A,N/A,"The process of engaging stakeholders for  inputs and comments occurred in January 2024 and had to be considered for incorporation before submission to Legal Services.
","The process to submit to the minister for approval is already underway and hope this carried over target will be concluded before the end of Q1 of 2024/25
",198
,"Agriculture, Land Reform and Rural Development",National,"Programme 2: Agricultural Production, Biosecurity and Natural Resources Management",Plant Production and Health,Quarterly,3.1.1 Number of plant pest risk surveillances conducted,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Not Applicable,"3 plant pest risk surveillances conducted (Exotic fruit fly, citrus greening survey and BBTV )","3 plant pest risk surveillances  (Exotic fruit fly, citrus greening survey and BBTV) were conducted
","3 plant pest risk surveillances conducted (Exotic fruit fly, citrus greening survey and BBTV )","3 plant pest risk surveillances  (Exotic fruit fly, citrus greening survey and BBTV) were conducted
","3 plant pest risk surveillances conducted (Exotic fruit fly, citrus greening survey and BBTV )","3 Plant pest risk surveillances (Exotic fruit fly, citrus greening survey and BBTV) were conducted","3 plant pest risk surveillances conducted (Exotic fruit fly, citrus greening survey and BBTV )","3 Plant pest risk surveillances conducted (Exotic fruit fly, citrus greening survey and BBTV) were conducted
","3 plant pest risk surveillances conducted (Exotic fruit fly, citrus greening survey and BBTV )",-,"3 Plant pest risk 
surveillances were conducted (Exotic fruit fly, citrus greening survey and BBTV",N/A,N/A,"3 plant pest risk surveillances were conducted (Exotic fruit fly, Citrus greening survey and BBTV).",n/a,n/a,N/A,N/A,n/a,n/a,"N/A
",N/A,198
,"Agriculture, Land Reform and Rural Development",National,"Programme 3: Food Security, Land Reform and Restitution",Food Security,Annually,5.1.1 Number of new students enrolled at agricultural training institutes,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","The Social Protection, Community and Human Development cluster",,,,,,,800,832,800,,832,Majority of the Colleges received a high volume of applications from prospective students and that resulted in Colleges going beyond their normal enrolment target.,"None, due to a dependency on number of applications received by colleges
",832,,,,,,,,,198
,"Agriculture, Land Reform and Rural Development",National,"Programme 3: Food Security, Land Reform and Restitution",Land Redistribution and Tenure Reform,Quarterly,4.1.1 Number of CPAs Executive Committee members trained on governance,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",97,142,152,250,212,158,254,237,715,237,842,The target was overachieved due to the interest in training that has been shown by members of CPAs across the country after oversight visits by executive members. This interest was mainly in developing management capacity within associations.,N/A,842,"The target was overachieved due to the interest on training that has been shown by members of CPAs across the country after oversight visits by executive members. Also, the interest of CPA members to develop management capacity within the association has contributed to the target being overachieved.",N/A,"The target was overachieved due to the interest on training that has been shown by members of CPAs across the country after oversight visits by executive members. Also, the interest of CPA members to develop management capacity within the association has contributed to the target being overachieved.
","A total of 42(LP = 12 & MP = 30) CPA executive members were trained in quarter 1 but reported in Q2. these CPAs are to be accounted for during annual adjustments. 
","Most CPAs executive members were trained in the first two quarters, resulting in the overachievement in both quarters. Cumulatively, the branch is sitting at 84% towards achieving its annual target. 

",There is a total of 42 CPAs trained that were not reported in the previous quarter. This total will be added during annual adjustment,"Overachievements were recorded in q1 and q2

","The annual target is achieved
",198
,"Agriculture, Land Reform and Rural Development",National,"Programme 3: Food Security, Land Reform and Restitution",Land Redistribution and Tenure Reform,Quarterly,5.2.1 Number of farms supported through the Land Development Support Programme,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",11,0,18,0,30,30,7,8,66,38,40,The cost containment measures implemented in the department triggered a reduction in budget allocated and this resulted in less farms being supported than originally planned. ,N/A,40,"The Department is 
currently having an 
impasse with one of its 
commodity organizations
regarding its performance. 
Whilst this dispute is being 
attended to, the 
commodity organization 
then issued a 
communique to suspend 
its services. This 
negatively affected the 
project activities, including 
the development of 
Business plans for 
identified projects. ","New SLA has since been signed with RMIS (Red Meat Industry Services) on the 31 March 2023 to assist in this regard.
","Out of the target of 18, 14 farms are livestock and allocated to RIMS. that  is still  undertaking physical farm visits as part of induction to inform their interventions. 2 business plans for WC and KZN projects were referred back for corrections by the national quality assurance structure. Delays experienced in the opening of the Grant Holding Account affected intended support to 2 projects in MP and KZN respectively.
","A plan is been agreed upon  and it is expected that  the whole quality assurance processes for the 14 farms will  be completed  by end of November to be ready for NLAACC of December 2023 and be supported in the last quarter.. The 2 BPs  that were referred back  have been re -submitted & supported by NLAACC. The intervention was  also made with the bank & new official was allocated to fast-track the opening of the account.
",N/A,N/A,1 farm carried over from previous quarter was supported during the period under review,"To expedite projects approval processes.
",198
,"Agriculture, Land Reform and Rural Development",National,"Programme 3: Food Security, Land Reform and Restitution",Land Redistribution and Tenure Reform,Quarterly,5.3.1 Number of hectares allocated,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",0,0,0,0,16982,"3 044,2268",25474,"12 489,6904",42456,"15533,9172",67376,Land acquired in 2022/23 got invaded and legal matters made it not to be considered in planned allocations for 2023/24. The legal processes were finalized in March 2023-and time allowed for additional allocation,N/A,67376,N/A,N/A,N/A,N/A,"The branch had not set targets in the first two quarters, however managed to allocate +47 900 hectares. As a result, the indicator overachieved its annual target due to the overachievement in the first two quarters",N/A,"Allocations also occurred in quarter 1 and 2 which were not targeted
","The annual target has already been achieved.
",198
,"Agriculture, Land Reform and Rural Development",National,"Programme 3: Food Security, Land Reform and Restitution",Restitution,Quarterly,5.4.1 Number of land claims settled,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",51,69,111,48,127,115,60,126,349,358,361,"The over-achievement can be mainly attributed to the 
settlement of projects with multiple claims.
 
During the planning phase, the focus was on identifying projects for settlement and after further research concluded, a higher number of claims forms was identified
",N/A,361,"The over-achievement is due to settlement of projects with multiple claims by Limpopo & MP.
",N/A,"The deviation was due to delays in acceptance of offers by the claimants and land owners, delays in verification of claimants, untraceable claimants, disputes among the claimants & beneficiaries, delays in getting valuation from OVG,, are awaiting Ministerial approval  for 3 projects supported by QCC in Quarter two. It is also important to remember that an overperformance of 36 was  recorded already in Quarter one
","A recovery plan is been developed and  monitored on a weekly basis through weekly meetings to ensure all issues listed under reason of deviation are managed. There are some of the claims that have been supported by QCC while  others are awaiting CLCC approval. 
","The under- achievement of 12 claims in Quarter 3 is mainly due to the following: Eastern Cape (Delays in obtaining valuation certificates, Non-availability of title deeds to finalise capturing of valuation certificate requests on Valuation tracking system, Delays in verification of claimants, due to large number of claimants per claim. KwaZulu-Natal, Delays in getting valuation certificate from OVG, Delays in accepting of offers from claimants and landowners, Family disputes taking time to be resolved and Change of Options","The Eastern Cape to address the Quarter 3 variance in terms of the following: Two Submissions with Minister, Seven submissions are with NQA PQA/Approved and 08 offers are at Operations vetting. The KwaZulu-Natal office is monitoring the recovery plan on a weekly basis through weekly meetings in terms of the following projects:17 Projects are at NQDA awaiting QCC & 36 are being processed in the province 
","The over-achievement of 66 in Quarter 4 is  due to Implementation of catch-up plans to address the Quarter 2 to 3 backlogs and  settlement of projects with multiple claims.
","Strive to continue to manage dependencies to implement in line with the plan.
",198
,"Agriculture, Land Reform and Rural Development",National,"Programme 3: Food Security, Land Reform and Restitution",Restitution,Quarterly,5.4.2 Number of land claims finalised,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",75,52,135,145,100,313,96,110,406,620,641,The over-achievement by 235 can be mainly attributed to the approval of the declaration of funds from a commitment register for various reasons such as duplicate claims  and also claims  that were not planned for in the current year.,N/A,641,"The underachievement was due to delays in processing payments i.e. EC, KwaZulu, LP and MP.

","EC, KZN, LP and MP will follow-up with National to make sure that their payments are process before end of July.
","The over- achievement of 10 claims in Quarter 2 is mainly due to the finalization of projects with multiple claims received from Gauteng, KwaZulu-Natal, Limpopo and Western Cape.
",N/A,"The over- achievement was due to Gauteng that reported approval of the declaration of funds for the Alexandra project. The Alexandra claims resulted in the variance of 213. The Commission had to declare due to various reasons such as duplicate claims and untraceable claimants so that the Commitment Register can be cleared.
",N/A,"The over-achievement of 14  is due to the finalisation of projects with multiple claims
",N/A,198
,"Agriculture, Land Reform and Rural Development",National,Programme 4: Rural Development,National Rural Youth Service Corps (NARYSEC),Quarterly,	6.2.2 Number of young people supported with business development through the NARYSEC Programme,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",0,0,96,90,50,"30
EC: 10
GP: 20",149,193,295,90,365,Availability of additional partners resulted in young people supported.,N/A,365,N/A,N/A,"Some of the beneficiaries are beyond stipulated age for youth while other young people were supported during q1 and therefore are to be reported in the annual report. 
","The branch has been advised to consider revising TID  to cater for NARYSEC graduate that are no longer regarded as youth .Q1 Performance will form part of the annual adjusted performance
","The target of 12 from Limpopo was achieved in Quarter 2. The support for these businesses were included in Quarter 2 as a precautionary measure after the indication of budget cuts by Nation Treasury. The support was then brought forward into Quarter 2 instead of the planned achievement in Quarter 3. This achievement will form part of the annual achievement.
","The shortfall of the target of 18 from Gauteng will be achieved in Quarter 4 as registration of these businesses to the Contractor Development Programme will commence in February, and the annual target for this target will be achieved.
","More funds was available  to support  more  young people with  business development.

",N/A,198
,"Agriculture, Land Reform and Rural Development",National,Programme 4: Rural Development,National Rural Youth Service Corps (NARYSEC),Quarterly,6.1.1 Number of young people trained through the NARYSEC Programme,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","The Economic Sectors, Employment and Infrastructure Development cluster",31,7,778,796,1605,"1 615
EC: 192
FS: 151
GP: 249
KZN: 175
LP: 198
MP: 228
NW: 189
NC: 46
WC: 187",428,285,2842,803,2889,"The E/Cape Province reported a total of 42 certificates which were not targeted for (12 Poultry & Piggery Production reported in Q2 and 30 Meat Classification reported in Q4).

Moreover, over-achievement of the annual target is also due to drop out rates being less than what was anticipated for the year under review.
",N/A,2889,"A total of  54 (FS = 33 and LP = 21) initially considered had to be retracted based on 2022/23 TID audit issues affecting the current FY.  Reported information was perceived null and void due to training dates falling in the previous financial year despite Certificates/Statement of Result (SoRs) issued in the current fiscal year
","Reporting of performance information to be aligned with the 2023/24 FY
",The Programme received 18 certificates earlier than targeted for which led to this over-achievement.,N/A,"GP and MP provinces received certificates in Q3 which they had targeted for Q4.
Furthermore, provinces had factored in a drop-out rate when setting their targets and in some cases the drop-out was less than what was anticipated.
LP province received certificates which they had targeted for Q3 but, these were not accepted due to the completion date of the training falling into Q1. These certificates will form part of the Annual Adjustment.
",N/A,"Of the 8 provinces performance information reported in this quarter, 2 (MP and NW) was of annual adjustment (General Security). Moreover, General Security under NC had also form part of annual adjusted performance.
","Annual target is already achieved
",198
,"Agriculture, Land Reform and Rural Development",National,Programme 4: Rural Development,National Rural Youth Service Corps (NARYSEC),Quarterly,6.2.1 Number of young people linked to job opportunities through the NARYSEC Programme,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",120,136,33,0,5,"119
GP: 42
MP: 18
NC: 11
NW: 48",327,45,485,136,302,Challenges encountered by Institutions made it impossible to absorb all targeted young people .,"Indicator has been reviewed for 2024/25 implementation, considering external dependencies
",302,"ARC was never planned on the targets for job opportunities, a need arised from ARC for job opportunities and the Organisation requested NARYSEC participants to form part of the 7 days job contract. There was no financial expenditure on the department side, in terms of linking the youth to job opportunities regarding ARC projects, ARC has a Memorandum of Understanding (MOU) with the department, they further implement and manage departmental project
",N/A,"Delays in provision of certificates by SETA resulted in young people not linked to the job . 
","Follow ups are been made for certificates to be issued. The affected young people will then be reported in the period  linked to job opportunities in this financial year.  There are also 5 young people linked to job opportunities in q1 and reported under this period, they will form part of annual report performance by the end of 2023/24 FY.
","The young people are recruited into the NARYSEC programme based on the commitment made by the partners to absorb them into work opportunities upon completion of the training. Absorption of young people into job opportunities in November 2023 depended on the readiness of institutions that had opportunities available. Thus, more opportunities were available in Q3.
",N/A,"Target could not be achieved due to external dependencies. Availability of job vacancies is depended on external stakeholders

","Indicator has been reviewed for 2024/25 implementation, considering external dependencies
",198
,"Agriculture, Land Reform and Rural Development",National,Programme 4: Rural Development,Rural Infrastructure Development,Quarterly,6.3.1 Number of infrastructure projects completed,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",13,55,17,34,15,"25
GP: 2
KZN: 6
LP: 4
MP: 11
WC: 2
",18,26,63,89,174,Target overachieved due to multi-year projects that were rolled over and completed in the current period ,N/A,174,"GP: Target over- achieved due to technical support to a Tenure Project being implemented by RID GP. KZN, LP, MP, NW & WC: Target over-achieved due to rolled-over project completed in the current year.
",N/A,Target overachieved due to multi-year projects completed in the current financial year,N/A,"Target overachieved due to multi-year projects commenced in 2022/ 2023 FY and completed in the current financial year
",N/A,Target overachieved due to multi-year projects commenced in 2022/ 2023 FY and completed in the current financial year,"Department  will continue to work of measures to  improve targeting informed by operational realities
",198
,"Agriculture, Land Reform and Rural Development",National,"Programme 5: Economic Development, Trade and Marketing","Agro-processing, Marketing and Rural Industrial Development ",Quarterly,7.3.1 Number of FPSUs supported to be functional,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",6,6,10,"10=KZN(4), FS(2), GP(2), EC(1), MP(1)
",15,"
 8

MP (1) WC (1) KZN (4) EC (1) NW (1)


",10,2,41,6,30,Cost containment measures created uncertainties  that led to delays in implementation of projects as planned.,N/A,30," 
N/A","
N/A","N/A

","N/A
","Delays in implementation was as a result of directives on cost containments.

","Efforts have been made to catch up on implementation of approved projects
","A total of 8 FPSU were not considered based on the TID requirements i.e. ID copies and entity registration certificates
","Follow up are made to ensure compliance to the TID requirements
",198
,"Agriculture, Land Reform and Rural Development",National,"Programme 5: Economic Development, Trade and Marketing","Agro-processing, Marketing and Rural Industrial Development ",Quarterly,7.4.1 Number of agricultural enterprises supported,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",8,13,36,"36=LP(1), KZN(3), MP(7), WC(3), EC(13), FS(5), GP(4)
",35,"
20

 WC (3), FS (8), NW (9)

Not achieved 
",8,10,87,13,87,N/A,N/A,87,"The delivery of seed was done earlier than expected
",N/A,N/A,N/A,"Delays in implementation was as a result of directives on cost containments.
","Efforts have been made to catch up on implementation of approved projects
",This was due to acceleration of the action plan from non-achievement of targets in Q3 ,N/A,198
,"Agriculture, Land Reform and Rural Development",National,"Programme 5: Economic Development, Trade and Marketing","Agro-processing, Marketing and Rural Industrial Development ",Quarterly,7.6.1 Number of smallholder farmers capacitated in agricultural marketing,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",50,50,100,"124
",100,"

153

",50,99,300,99,477,The training is demand driven with no additional financial implications,N/A,477,,,"The training is demand driven and  24 more farmers attended training, this is possible precisely because there is  no additional financial implications

",N/A,"The training is demand driven and the demand was even greater in Q3 with no additional financial implications


",N/A,"The training is demand driven without additional cost implications
","N/A
",198
,"Agriculture, Land Reform and Rural Development",National,"Programme 5: Economic Development, Trade and Marketing",Cooperatives Development,Annually,7.2.1 Percentage of AgriBEE Fund applications assessed,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,100% of AgriBEE Fund applications assessed,,100%,N/A,N/A,100%,,,,,,,,,198
,"Agriculture, Land Reform and Rural Development",National,"Programme 5: Economic Development, Trade and Marketing",Cooperatives Development,Annually,7.2.1 Percentage of AgriBEE Fund applications assessed,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,,,,,,,,,,,,,,198
,"Agriculture, Land Reform and Rural Development",National,"Programme 5: Economic Development, Trade and Marketing",Cooperatives Development,Quarterly,7.1.1 Number of agricultural cooperatives trained (Farmtogether Agricultural Cooperative Training Programme),Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",24,24,36,":36 = MP(6), LP(6), NW(6), FS(6), WC(6), GP(6) 
",36,"36 
MP (6), KZN (6), EC (6), FS (6), NC (6), GP (6) 
",12,12,108,24,108,N/A,N/A,108,N/A,N/A,NA,NA,N/A,N/A,N/A,N/A,198
,"Agriculture, Land Reform and Rural Development",National,"Programme 5: Economic Development, Trade and Marketing",Cooperatives Development,Quarterly,7.4.2 Number of non-agricultural enterprises supported,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",4,4,6,"4 = KNZ(2), EC(1), FS(1) 
",4,"
 
8 
 KZN (1), EC (3), FS (2), NW (1), WC (1)

 ",4,4,18,4,21,Savings as a result of reprioritisation led to additional enterprises being supported.,N/A,21,N/A,N/A,"Delays in procurement process
",Management will implement measures to expedite the process,"Due to budget limitation in Q2, the work was re-prioritized and implemented in Q3.
",N/A,N/A,N/A,198
,"Agriculture, Land Reform and Rural Development",National,"Programme 5: Economic Development, Trade and Marketing",Development Finance,Quarterly,7.5.1 Number of smallholder producers accessing MAFISA loan,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",10,25,10," 10
",5,"

13

",10,12,35,12,38,"MAFISA is demand driven, more smallholder farmers applied for the loan.",N/A,58,"MAFISA is demand driven, more smallholder farmers applied for the loan",N/A,"N/A
","N/A
","Due to favorable rainfall in KZN, there was high demand for the loans to plant
",N/A,"Due to favourable rainfall, there was high demand for the loans to plant",N/A,198
