Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,UID
Public Works,Public Works,Gauteng,Programme 1: Administration,Sub-Programme 1.2: Management of the Department,Annually,AGSA opinion on the audit of financial statements.,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"Economy, Jobs and Infrastructure ","The Economic Sectors, Employment and Infrastructure Development cluster",,,"Unqualified Audit Opinion with reduced
findings
",Unqualified Audit Opinion with reduced findings,,,,,"Unqualified Audit Opinion with reduced
findings
",Unqualified Audit Opinion with reduced findings,,No deviation,Not applicable,,,,,,,,,,,,39
Public Works,Public Works,Gauteng,Programme 1: Administration,Sub-Programme 1.2: Management of the Department,Annually,Percentage reduction in DID prior year fruitless and wasteful expenditure,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"Economy, Jobs and Infrastructure ","The Economic Sectors, Employment and Infrastructure Development cluster",,,30 %,17 %,,,,,30 %,17 %,,The insufficient reduction was due to interest charged on court orders relating to litigations mainly Health projects. ,The Department will put measures in place to enhance project management to reduce interest on litigations. ,,,,,,,,,,,,39
Public Works,Public Works,Gauteng,Programme 1: Administration,Sub-Programme 1.2: Management of the Department,Annually,Percentage reduction in DID prior year irregular expenditure,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"Economy, Jobs and Infrastructure ","The Economic Sectors, Employment and Infrastructure Development cluster",,,1 %,76.52 %,,,,,1 %,76.52 %,,The reduction of irregular expenditure is due to security services  not disclosed as irregular in the 2023/24 financial year ,Not applicable,,,,,,,,,,,,39
Public Works,Public Works,Gauteng,Programme 1: Administration,Sub-Programme 1.2: Management of the Department,Annually,Percentage year-on-year reduction in the number of material findings on audit of predetermined objectives,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"Economy, Jobs and Infrastructure ","The Economic Sectors, Employment and Infrastructure Development cluster",,,30 %,30 %,,,,,30 %,30 %,,No Deviation,Not applicable,,,,,,,,,,,,39
Public Works,Public Works,Gauteng,Programme 1: Administration,Sub-Programme 1.2: Management of the Department,Quarterly, Percentage of procurement allocated to black-owned enterprises,Non-Standardized,Max,Priority 2: Economic Transformation And Job Creation,"Economy, Jobs and Infrastructure ","The Economic Sectors, Employment and Infrastructure Development cluster",82 %,100 %,82 %,87.10 %,82 %,99.03 %,82 %,82.20 %,82 %,100 %,,,,,All awards and appoimtments had been made to black owned companies for the period under review,Not Applicable,,Overachievement is due to increase in contracting and appointment for the new schools  ,Not Applicable,More awards and appointments had been made through the CIDB (6 - 9) framework agreement,Not Applicable,Awards and appointments were made proportionately to black-owned companies.  ,Not applicable,provide reason for deviation for exceeded target ,39
Public Works,Public Works,Gauteng,Programme 1: Administration,Sub-Programme 1.2: Management of the Department,Quarterly, Percentage of procurement allocated to people with disabilities owned enterprises ,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"Economy, Jobs and Infrastructure ","The Economic Sectors, Employment and Infrastructure Development cluster",5 %,9.92 %,5 %,18.13 %,5 %,2.51 %,5 %,5.02 %,5 %,0 %,,,,,An award with a high monetary value was made to a contractor that has PwD ownership ,Not Applicable,,Overachievement is due to increase in contracting and appointment for the new schools  ,Not Applicable,Limited number of companies of people with disability within Departmental panels,Advertise contractor development database for CIDB 1-3 to prioritise companies with PwD,Awards and appointments were made proportionately to firms owned by people with disabilities,Not applicable,provide reason for deviation for exceeded target ,39
Public Works,Public Works,Gauteng,Programme 1: Administration,Sub-Programme 1.2: Management of the Department,Quarterly, Percentage of procurement allocated to Township Enterprise Revitalisation (TER),Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"Economy, Jobs and Infrastructure ","The Economic Sectors, Employment and Infrastructure Development cluster",30 %,9.48 %,30 %,35.90 %,30 %,51.26 %,30 %,32.82 %,30 %,0 %,,,,,Contractors appointed for capital projects with high monetary values are not located in township areas ,Increasing the appointment of township based contractors for maintenance service requests for precinct and construction services in the new quarter,,Overachievement is due to increase in contracting and appointment for the new schools  ,Not Applicable,More awards and appointments had been made through the CIDB (6 - 9) framework agreement,Not Applicable,Awards and appointments were made proportionately to TER,Not applicable,provide reason for deviation for exceeded target ,39
Public Works,Public Works,Gauteng,Programme 1: Administration,Sub-Programme 1.2: Management of the Department,Quarterly,"Number of emerging black firms empowered through contracting and sub-contracting per annum, of which 40% are women-owned and 30% are youth-owned",Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"Economy, Jobs and Infrastructure ","The Economic Sectors, Employment and Infrastructure Development cluster",100,50,100,100,0,,50,51,250,51,,,,,There is no movement due to less appointments made due to limited number of requests/transactions appointed on Health Maintenance Contracts and limited Departmental budget on Goods and Services,The target to be aligned to the service requests,"The corrective measure that refers to the “target to be aligned to the services requests” for the indicator “Number of emerging black firms empowered through contracting and sub-contracting per annum, of which 40% are women-owned and 30% are youth-owned” may lead to unnecessary audit queries. It implies that the resources are not aligned to the targets which further implies poor planning on the part of the Department. This statement needs to be reviewed and revised.",No deviation,Not Applicable,,,Awards and appointments were made proportionately to emerging black firms,Not applicable,provide reason for deviation for exceeded target ,39
Public Works,Public Works,Gauteng,Programme 1: Administration,Sub-Programme 1.2: Management of the Department,Quarterly,Percentage of DID service providers invoices settled within 30 days,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"Economy, Jobs and Infrastructure ","The Economic Sectors, Employment and Infrastructure Development cluster",100 %,100 %,100 %,100 %,100 %,100 %,100 %,90 %,100 %,90 %,,,,,No Deviation,Not Applicable,,No Deviation,Not Applicable,No Deviation,Not Applicable,The Department is currently facing cash flow challenges and as a result it is unable to settle all invoices submitted within the 30 days period,"Engagement with Treasury on reimbursements of payments made on behalf Health Dept on legal fees.
",,39
Public Works,Public Works,Gauteng,Programme 1: Administration,Sub-Programme 1.2: Management of the Department,Quarterly,Percentage of procurement allocated to black women-owned enterprises ,Non-Standardized,Max,Priority 2: Economic Transformation And Job Creation,"Economy, Jobs and Infrastructure ","The Economic Sectors, Employment and Infrastructure Development cluster",40 %,67.12 %,40 %,54.30 %,40 %,72.38 %,40 %,41 %,40 %,0 %,,,,,Awards and appointments were made proportionately to black women-owned companies.,Not Applicable,,Overachievement is due to increase in contracting and appointment for the new schools  ,Not Applicable,More awards and appointments had been made through the CIDB (6 - 9) framework agreement,Not Applicable,Awards and appointments were made proportionately to black-women owned companies.  ,Not applicable,provide reason for deviation for exceeded target ,39
